date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-10-31,3.71,3.76,3.72,3.69,84476.9,0.01,0.27,3.756,3.774,3.84,85192.99,82494.89,81831.84
2017-10-30,3.8,3.84,3.71,3.7,89271.92,-0.09,-2.37,3.754,3.798,3.846,85915.35,80119.21,82265.25
2017-10-27,3.78,3.82,3.8,3.73,68317.01,0.02,0.53,3.768,3.827,3.857,87613.38,78596.09,81042.01
2017-10-26,3.78,3.84,3.78,3.72,61565.51,0.01,0.27,3.77,3.844,3.866,86558.26,78080.8,80713.64
2017-10-25,3.74,3.86,3.77,3.72,122333.59,0.06,1.62,3.768,3.864,3.877,91013.76,82715.42,82032.67
2017-10-24,3.77,3.77,3.71,3.69,88088.7,-0.07,-1.85,3.792,3.881,3.888,79796.8,82669.02,80798.58
2017-10-23,3.82,3.83,3.78,3.75,97762.08,-0.03,-0.79,3.842,3.895,3.903,74323.07,81915.54,80875.33
2017-10-20,3.8,3.82,3.81,3.77,63041.42,0.04,1.06,3.886,3.902,3.915,69578.8,80734.13,80257.31
2017-10-19,3.86,3.88,3.77,3.77,83843.0,-0.12,-3.08,3.918,3.905,3.929,69603.34,80106.8,81901.44
2017-10-18,3.96,3.98,3.89,3.89,66248.8,-0.07,-1.77,3.96,3.909,3.942,74417.09,78742.68,84928.65
2017-10-17,4.0,4.02,3.96,3.94,60720.03,-0.04,-1.0,3.97,3.906,3.955,85541.24,81168.79,94856.34
2017-10-16,4.0,4.04,4.0,3.97,74040.77,0.03,0.76,3.948,3.894,3.955,89508.02,84411.3,96720.92
2017-10-13,4.04,4.04,3.97,3.97,63164.1,-0.01,-0.25,3.918,3.886,3.95,91889.46,83487.94,99946.1
2017-10-12,3.94,4.01,3.98,3.91,107911.73,0.04,1.01,3.892,3.888,3.949,90610.26,83346.49,101881.99
2017-10-11,3.85,4.03,3.94,3.83,121869.58,0.09,2.34,3.858,3.89,3.947,83068.28,81349.91,101547.01
2017-10-10,3.85,3.86,3.85,3.8,80553.91,0.0,0.0,3.842,3.894,3.948,76796.34,78928.14,100351.56
2017-10-09,3.88,3.92,3.85,3.85,85948.0,0.01,0.26,3.84,3.91,3.954,79314.59,79835.12,101588.91
2017-09-29,3.85,3.86,3.84,3.81,56768.1,0.03,0.79,3.854,3.928,3.961,75086.41,79780.48,102631.64
2017-09-28,3.9,3.9,3.81,3.81,70201.8,-0.05,-1.29,3.884,3.952,3.969,76082.71,83696.07,105907.61
2017-09-27,3.85,3.92,3.86,3.84,90509.9,0.02,0.52,3.922,3.975,3.982,79631.54,91114.61,108654.21
2017-09-26,3.92,3.96,3.84,3.8,93145.13,-0.08,-2.04,3.946,4.004,3.992,81059.95,108543.88,110166.24
2017-09-25,3.9,3.99,3.92,3.9,64807.1,-0.07,-1.75,3.98,4.015,4.005,80355.66,109030.53,111713.61
2017-09-22,3.98,4.02,3.99,3.95,61749.6,-0.01,-0.25,4.002,4.014,4.014,84474.56,116404.26,116404.26
2017-09-21,3.99,4.05,4.0,3.95,87945.97,0.02,0.5,4.02,4.017,4.017,91309.44,122477.0,122477.0
2017-09-20,4.0,4.01,3.98,3.94,97651.93,-0.03,-0.75,4.028,4.019,4.019,102597.69,126793.38,126793.38
2017-09-19,4.03,4.08,4.01,4.0,89623.7,-0.02,-0.5,4.062,4.024,4.024,136027.81,130956.44,130956.44
2017-09-18,4.09,4.1,4.03,4.01,85401.61,-0.05,-1.23,4.05,4.027,4.027,137705.4,137845.23,137845.23
2017-09-15,4.12,4.15,4.08,4.06,95924.0,0.04,0.99,4.026,4.026,4.026,148333.96,148333.96,148333.96
2017-09-14,4.14,4.15,4.04,4.03,144387.2,-0.11,-2.65,4.013,4.013,4.013,161436.45,161436.45,161436.45
2017-09-13,3.95,4.15,4.15,3.95,264802.56,0.2,5.06,4.003,4.003,4.003,167119.53,167119.53,167119.53
2017-09-12,3.9,3.98,3.95,3.89,98011.62,0.04,1.02,3.93,3.93,3.93,118278.02,118278.02,118278.02
2017-09-11,4.01,4.01,3.91,3.9,138544.41,-0.11,-2.74,3.91,3.91,3.91,138544.41,138544.41,138544.41
