date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-10-31,15.45,16.19,16.05,15.45,9774.25,0.6,3.88,15.624,15.576,15.542,6854.94,4881.61,4116.29
2017-10-30,15.26,15.61,15.45,15.26,13663.0,0.02,0.13,15.54,15.527,15.517,5641.77,4054.44,4018.72
2017-10-27,15.6,15.63,15.43,15.4,3758.0,-0.17,-1.09,15.558,15.538,15.502,3472.98,2900.4,3458.72
2017-10-26,15.59,15.65,15.6,15.51,3343.29,0.01,0.06,15.58,15.557,15.504,3311.39,3002.68,3532.29
2017-10-25,15.66,15.68,15.59,15.4,3736.17,-0.04,-0.26,15.544,15.556,15.49,3410.42,3039.72,3573.94
2017-10-24,15.65,15.65,15.63,15.45,3708.41,0.09,0.58,15.528,15.552,15.5,2908.28,3019.91,3715.39
2017-10-23,15.38,15.64,15.54,15.38,2819.01,0.0,0.0,15.514,15.54,15.501,2467.1,2969.2,3644.21
2017-10-20,15.5,15.65,15.54,15.35,2950.08,0.12,0.78,15.518,15.519,15.514,2327.83,3222.77,3656.76
2017-10-19,15.5,15.67,15.42,15.3,3838.41,-0.09,-0.58,15.534,15.497,15.519,2693.96,3272.16,3749.51
2017-10-18,15.56,15.63,15.51,15.4,1225.49,-0.05,-0.32,15.568,15.49,15.533,2669.03,3096.82,3746.54
2017-10-17,15.6,15.68,15.56,15.4,1502.5,0.0,0.0,15.576,15.507,15.544,3131.53,3350.96,3840.72
2017-10-16,15.6,15.64,15.56,15.4,2122.67,-0.06,-0.38,15.566,15.506,15.542,3471.3,3983.01,3960.96
2017-10-13,15.63,15.75,15.62,15.41,4780.73,0.03,0.19,15.52,15.466,15.542,4117.7,4017.05,4217.82
2017-10-12,15.55,15.63,15.59,15.37,3713.74,0.04,0.26,15.46,15.451,15.537,3850.36,4061.91,4188.2
2017-10-11,15.41,15.62,15.55,15.3,3538.01,0.04,0.26,15.412,15.424,15.534,3524.61,4108.17,4214.56
2017-10-10,15.3,15.53,15.51,15.26,3201.36,0.18,1.17,15.438,15.447,15.534,3570.4,4410.87,4254.35
2017-10-09,15.45,15.45,15.33,15.19,5354.67,0.01,0.07,15.446,15.462,15.535,4494.72,4319.23,4320.16
2017-09-29,15.52,15.52,15.32,15.14,3444.03,-0.03,-0.2,15.412,15.509,15.549,3916.39,4090.76,4251.2
2017-09-28,15.68,15.8,15.35,15.2,2085.0,-0.33,-2.1,15.442,15.54,15.565,4273.45,4226.86,4308.85
2017-09-27,15.55,15.89,15.68,15.55,3766.92,0.13,0.84,15.436,15.575,15.582,4691.72,4396.26,4479.92
2017-09-26,15.16,15.8,15.55,15.11,7823.0,0.39,2.57,15.456,15.58,15.573,5251.33,4330.47,4539.33
2017-09-25,15.35,15.49,15.16,15.0,2463.0,-0.31,-2.0,15.478,15.577,15.575,4143.73,3938.9,4240.82
2017-09-22,15.29,15.65,15.47,15.28,5229.33,0.15,0.98,15.606,15.617,15.617,4265.13,4418.6,4418.6
2017-09-21,15.94,15.94,15.32,15.0,4176.33,-0.46,-2.92,15.638,15.633,15.633,4180.27,4328.52,4328.52
2017-09-20,15.65,15.94,15.78,15.51,6565.01,0.12,0.77,15.714,15.673,15.673,4100.8,4347.54,4347.54
2017-09-19,15.9,15.93,15.66,15.65,2285.0,-0.14,-0.89,15.704,15.657,15.657,3409.61,4030.76,4030.76
2017-09-18,15.43,15.87,15.8,15.42,3070.0,0.17,1.09,15.676,15.657,15.657,3734.06,4321.72,4321.72
2017-09-15,15.97,15.97,15.63,15.56,4805.0,-0.07,-0.45,15.628,15.628,15.628,4572.07,4572.07,4572.07
2017-09-14,15.7,15.9,15.7,15.68,3779.0,-0.03,-0.19,15.628,15.628,15.628,4513.83,4513.83,4513.83
2017-09-13,15.41,15.78,15.73,15.41,3109.04,0.21,1.35,15.603,15.603,15.603,4758.78,4758.78,4758.78
2017-09-12,15.56,15.7,15.52,15.36,3907.28,-0.04,-0.26,15.54,15.54,15.54,5583.65,5583.65,5583.65
2017-09-11,15.37,15.63,15.56,15.1,7260.01,0.14,0.91,15.56,15.56,15.56,7260.01,7260.01,7260.01
