date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-09-26,26.39,26.7,26.66,26.3,39456.84,0.29,1.1,26.538,26.527,26.548,38470.42,38531.26,39680.57
2017-09-25,26.21,26.62,26.37,26.21,26458.26,0.04,0.15,26.486,26.523,26.537,37224.69,38774.5,39700.9
2017-09-22,26.45,26.5,26.33,26.1,36685.48,-0.2,-0.75,26.512,26.554,26.554,38467.71,41025.17,41025.17
2017-09-21,26.7,26.84,26.53,26.52,37122.45,-0.27,-1.01,26.554,26.579,26.579,39902.13,41507.36,41507.36
2017-09-20,26.5,26.88,26.8,26.46,52629.06,0.4,1.51,26.522,26.585,26.585,42388.44,42055.47,42055.47
2017-09-19,26.51,26.62,26.4,26.35,33228.21,-0.1,-0.38,26.516,26.554,26.554,38592.11,40544.96,40544.96
2017-09-18,26.58,26.65,26.5,26.36,32673.36,-0.04,-0.15,26.56,26.58,26.58,40324.31,41764.41,41764.41
2017-09-15,26.36,26.79,26.54,26.32,43857.55,0.17,0.65,26.596,26.596,26.596,43582.62,43582.62,43582.62
2017-09-14,26.9,26.9,26.37,26.3,49554.0,-0.4,-1.49,26.61,26.61,26.61,43513.89,43513.89,43513.89
2017-09-13,26.65,26.89,26.77,26.6,33647.41,0.15,0.56,26.69,26.69,26.69,41500.52,41500.52,41500.52
2017-09-12,26.68,26.82,26.62,26.5,41889.25,-0.06,-0.23,26.65,26.65,26.65,45427.08,45427.08,45427.08
2017-09-11,26.5,26.87,26.68,26.28,48964.91,0.09,0.34,26.68,26.68,26.68,48964.91,48964.91,48964.91
