date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-10-31,64.88,67.6,67.23,64.8,117837.13,2.22,3.42,66.24,65.52,63.578,106300.22,86887.06,86167.12
2017-10-30,65.88,66.28,65.01,64.8,105583.85,-0.87,-1.32,65.764,65.178,63.121,93892.49,82872.17,82209.69
2017-10-27,66.34,66.34,65.88,65.32,104221.07,-0.39,-0.59,65.784,64.977,62.776,84534.88,78592.82,79701.17
2017-10-26,65.43,67.69,66.27,65.43,126909.52,-0.54,-0.81,65.604,64.68,62.389,75683.84,73310.11,76099.86
2017-10-25,64.85,67.15,66.81,64.62,76949.55,1.96,3.02,65.436,64.346,61.988,71050.72,67851.84,72103.08
2017-10-24,65.04,65.55,64.85,64.8,55798.44,-0.26,-0.4,64.8,63.904,61.591,67473.89,71603.05,69606.81
2017-10-23,65.0,65.81,65.11,64.56,58795.83,0.13,0.2,64.592,63.511,61.287,71851.85,80289.2,68549.6
2017-10-20,65.38,65.38,64.98,64.4,59965.88,-0.45,-0.69,64.17,63.195,60.962,72650.75,86530.97,67759.75
2017-10-19,63.58,65.5,65.43,63.5,103743.89,1.8,2.83,63.756,62.69,60.624,70936.38,87037.36,66833.44
2017-10-18,63.87,63.95,63.63,63.31,59065.4,-0.18,-0.28,63.256,62.155,60.24,64652.96,86062.3,64513.16
2017-10-17,63.05,63.87,63.81,62.66,77688.26,0.81,1.29,63.008,61.636,59.98,75732.22,85447.19,64215.23
2017-10-16,62.89,63.95,63.0,62.45,62790.32,0.09,0.14,62.43,61.063,59.704,88726.55,81547.22,63909.21
2017-10-13,62.98,63.1,62.91,62.1,51394.03,-0.02,-0.03,62.22,60.575,59.475,100411.19,80809.52,64100.75
2017-10-12,62.44,63.65,62.93,62.44,72326.78,0.54,0.87,61.624,60.098,59.294,103138.35,78889.61,64769.52
2017-10-11,61.1,62.88,62.39,61.1,114461.69,1.47,2.41,61.054,59.629,59.092,107471.64,76354.32,64349.67
2017-10-10,61.9,62.97,60.92,59.83,142659.95,-1.03,-1.66,60.264,59.278,58.898,95162.17,67610.57,61401.91
2017-10-09,60.8,63.8,61.95,60.61,121213.49,2.02,3.37,59.696,59.063,58.771,74367.89,56809.99,56323.28
2017-09-29,60.45,60.97,59.93,59.8,65029.83,-0.15,-0.25,58.93,58.728,58.559,61207.86,48988.54,51997.27
2017-09-28,58.49,60.12,60.08,58.44,93993.25,1.64,2.81,58.572,58.558,58.461,54640.87,46629.52,51066.37
2017-09-27,58.8,58.99,58.44,58.15,52914.33,0.36,0.62,58.204,58.325,58.337,45237.0,42964.01,47764.3
2017-09-26,57.94,58.41,58.08,57.78,38688.53,-0.04,-0.07,58.292,58.324,58.328,40058.97,42983.27,47335.13
2017-09-25,58.25,58.5,58.12,57.62,55413.34,-0.02,-0.03,58.43,58.344,58.351,39252.1,46271.19,48121.19
2017-09-22,58.0,58.55,58.14,57.92,32194.9,-0.1,-0.17,58.526,58.374,58.374,36769.22,47391.97,47391.97
2017-09-21,58.95,58.98,58.24,58.01,46973.9,-0.64,-1.09,58.544,58.4,58.4,38618.16,49080.53,49080.53
2017-09-20,58.77,59.16,58.88,58.71,27024.17,0.11,0.19,58.446,58.42,58.42,40691.03,49343.86,49343.86
2017-09-19,58.6,58.99,58.77,58.4,34654.2,0.17,0.29,58.356,58.354,58.354,45907.58,52532.39,52532.39
2017-09-18,58.41,59.15,58.6,58.27,42998.93,0.37,0.64,58.258,58.285,58.285,53290.29,55512.09,55512.09
2017-09-15,57.58,58.28,58.23,57.5,41439.6,0.48,0.83,58.222,58.222,58.222,58014.72,58014.72,58014.72
2017-09-14,58.32,59.28,57.75,57.7,57338.24,-0.68,-1.16,58.22,58.22,58.22,62158.5,62158.5,62158.5
2017-09-13,58.05,58.7,58.43,57.7,53106.92,0.15,0.26,58.377,58.377,58.377,63765.26,63765.26,63765.26
2017-09-12,58.35,58.4,58.28,57.3,71567.74,-0.14,-0.24,58.35,58.35,58.35,69094.43,69094.43,69094.43
2017-09-11,59.4,59.4,58.42,58.2,66621.11,-1.01,-1.7,58.42,58.42,58.42,66621.11,66621.11,66621.11
