Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
TXG,"10x Genomics, Inc.",79.7,7670455201.2,,2019.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg,
YI,"111, Inc.",6.51,131782691.67,20243117.0,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",5.55,33855000.0,,2014.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",25.55,17885000.0,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,2.01,62554339.62,,,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn,
FLWS,"1-800-FLOWERS.COM, Inc.",18.04,1159914019.44,,1999.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws,
BCOW,"1895 Bancorp of Wisconsin, Inc.",10.865,52985095.605,,2019.0,Finance,Banks,https://old.nasdaq.com/symbol/bcow,
ONEM,"1Life Healthcare, Inc.",21.62,2646530100.76,,2020.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem,
FCCY,1st Constitution Bancorp (NJ),18.32,186711504.32,,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,42.05,1073349882.1,,,Finance,Major Banks,https://old.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",14.98,1114431108.0,74394600.0,2011.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",23.51,1494509752.59,,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou,
QFIN,"360 Finance, Inc.",8.36,629622573.8,75313705.0,2018.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin,
KRKR,36Kr Holdings Inc.,5.23,7217400.0,1380000.0,2019.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr,
JOBS,"51job, Inc.",74.77,2949140473.87,39442831.0,2004.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs,
ETNB,"89bio, Inc.",35.67,491852987.94,,2019.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb,
JFK,8i Enterprises Acquisition Corp,10.1658,75506479.5,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfk,
JFKKR,8i Enterprises Acquisition Corp,0.44,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr,
JFKKU,8i Enterprises Acquisition Corp,10.965,54825000.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku,
JFKKW,8i Enterprises Acquisition Corp,0.55,3162500.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw,
EGHT,8x8 Inc,18.5,1895477366.0,,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
JFU,9F Inc.,9.15,93650250.0,10235000.0,2019.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu,
AAON,"AAON, Inc.",55.01,2865887930.81,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon,
ABEO,Abeona Therapeutics Inc.,3.08,257295007.2,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo,
ABMD,"ABIOMED, Inc.",150.26,6771116042.9,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,0.19,31995932.17,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas,
ACIU,AC Immune SA,6.87,492319073.55,,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu,
ACIA,"Acacia Communications, Inc.",68.51,2850635398.91,,2016.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia,
ACTG,Acacia Research Corporation,2.3,115886284.3,,,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg,
ACHC,"Acadia Healthcare Company, Inc.",29.6,2621659775.2,,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,42.74,6583048245.88,,1985.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad,
ACAM,Acamar Partners Acquisition Corp.,10.13,386932084.76,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acam,
ACAMU,Acamar Partners Acquisition Corp.,10.34,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acamu,
ACAMW,Acamar Partners Acquisition Corp.,0.9,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acamw,
ACST,"Acasti Pharma, Inc.",0.4281,38618665.1169,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst,
AXDX,"Accelerate Diagnostics, Inc.",12.81,700001937.6,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx,
XLRN,Acceleron Pharma Inc.,85.93,4561321651.9,,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn,
ARAY,Accuray Incorporated,2.965,268234515.645,,2007.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray,
ACRX,"AcelRx Pharmaceuticals, Inc.",1.32,105036361.32,,2011.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx,
ACER,Acer Therapeutics Inc.,3.28,33112177.28,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer,
ACHV,"Achieve Life Sciences, Inc. ",0.48,12016940.16,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv,
ACIW,"ACI Worldwide, Inc.",27.87,3221734236.15,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw,
ACRS,"Aclaris Therapeutics, Inc.",1.14,47342857.08,,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs,
ACMR,"ACM Research, Inc.",34.95,635967220.65,,2017.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr,
ACNB,ACNB Corporation,30.48,264399948.72,,,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb,
ACOR,"Acorda Therapeutics, Inc.",1.44,69163485.12,,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor,
ACTT,Act II Global Acquisition Corp.,10.2,382500000.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/actt,
ACTTU,Act II Global Acquisition Corp.,11.06,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acttu,
ACTTW,Act II Global Acquisition Corp.,1.36,29580000.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acttw,
ATVI,"Activision Blizzard, Inc",58.13,44658957869.1,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi,
ADMS,"Adamas Pharmaceuticals, Inc.",4.56,127738568.64,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms,
ADMP,Adamis Pharmaceuticals Corporation,0.5652,34946037.9216,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp,
AHCO,AdaptHealth Corp. ,16.15,1168938469.65,,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco,
ADAP,Adaptimmune Therapeutics plc,3.62,300620919.86,83044453.0,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap,
