Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-12-16,0.08,0.08,0.08,0.08,1900,0.0,0.0
1992-12-17,0.1,0.11,0.08,0.1,163900,0.0,0.0
1992-12-18,0.1,0.1,0.1,0.1,14100,0.0,0.0
1992-12-21,0.08,0.08,0.08,0.08,32400,0.0,0.0
1992-12-22,0.08,0.1,0.08,0.1,62100,0.0,0.0
1992-12-23,0.08,0.08,0.08,0.08,14100,0.0,0.0
1992-12-24,0.11,0.12,0.11,0.11,62100,0.0,0.0
1992-12-28,0.11,0.11,0.11,0.11,62100,0.0,0.0
1992-12-29,0.11,0.11,0.11,0.11,0,0.0,0.0
1992-12-30,0.11,0.11,0.11,0.11,0,0.0,0.0
1992-12-31,0.12,0.13,0.12,0.12,40600,0.0,0.0
1993-01-04,0.12,0.13,0.11,0.13,115600,0.0,0.0
1993-01-05,0.13,0.14,0.13,0.13,30300,0.0,0.0
1993-01-06,0.13,0.14,0.12,0.12,143100,0.0,0.0
1993-01-07,0.12,0.13,0.12,0.13,162100,0.0,0.0
1993-01-08,0.14,0.14,0.14,0.14,100,0.0,0.0
1993-01-11,0.14,0.14,0.14,0.14,122800,0.0,0.0
1993-01-12,0.14,0.14,0.13,0.14,42700,0.0,0.0
1993-01-13,0.14,0.14,0.14,0.14,0,0.0,0.0
1993-01-14,0.14,0.14,0.14,0.14,0,0.0,0.0
1993-01-15,0.14,0.14,0.12,0.13,107500,0.0,0.0
1993-01-18,0.13,0.13,0.13,0.13,0,0.0,0.0
1993-01-19,0.13,0.13,0.13,0.13,24400,0.0,0.0
1993-01-20,0.13,0.13,0.12,0.13,79200,0.0,0.0
1993-01-21,0.12,0.14,0.12,0.13,96000,0.0,0.0
1993-01-22,0.14,0.14,0.13,0.14,105300,0.0,0.0
1993-01-25,0.14,0.14,0.14,0.14,7300,0.0,0.0
1993-01-26,0.15,0.15,0.14,0.15,225000,0.0,0.0
1993-01-27,0.15,0.15,0.14,0.14,182200,0.0,0.0
1993-01-28,0.14,0.14,0.14,0.14,1900,0.0,0.0
1993-01-29,0.14,0.14,0.14,0.14,1900,0.0,0.0
1993-02-01,0.14,0.14,0.14,0.14,0,0.0,0.0
1993-02-02,0.14,0.14,0.14,0.14,14100,0.0,0.0
1993-02-03,0.14,0.14,0.14,0.14,1900,0.0,0.0
1993-02-04,0.14,0.14,0.14,0.14,0,0.0,0.0
1993-02-05,0.14,0.14,0.11,0.11,96000,0.0,0.0
1993-02-08,0.14,0.14,0.14,0.14,100,0.0,0.0
1993-02-09,0.14,0.14,0.14,0.14,14100,0.0,0.0
1993-02-10,0.14,0.14,0.14,0.14,307000,0.0,0.0
1993-02-11,0.13,0.14,0.13,0.14,47400,0.0,0.0
1993-02-12,0.14,0.15,0.14,0.15,155200,0.0,0.0
1993-02-16,0.14,0.17,0.14,0.16,87000,0.0,0.0
1993-02-17,0.15,0.16,0.15,0.15,121500,0.0,0.0
1993-02-18,0.15,0.16,0.15,0.15,144000,0.0,0.0
1993-02-19,0.15,0.18,0.15,0.16,105300,0.0,0.0
1993-02-22,0.16,0.17,0.16,0.17,36600,0.0,0.0
1993-02-23,0.15,0.15,0.15,0.15,20200,0.0,0.0
1993-02-24,0.17,0.17,0.16,0.16,107500,0.0,0.0
1993-02-25,0.16,0.16,0.16,0.16,24400,0.0,0.0
1993-02-26,0.15,0.15,0.15,0.15,14100,0.0,0.0
1993-03-01,0.15,0.19,0.15,0.19,18100,0.0,0.0
1993-03-02,0.15,0.16,0.15,0.16,36600,0.0,0.0
1993-03-03,0.16,0.16,0.16,0.16,0,0.0,0.0
1993-03-04,0.15,0.17,0.15,0.17,105300,0.0,0.0
1993-03-05,0.17,0.17,0.17,0.17,0,0.0,0.0
1993-03-08,0.17,0.19,0.17,0.19,68100,0.0,0.0
1993-03-09,0.19,0.19,0.14,0.16,13500,0.0,0.0
1993-03-10,0.15,0.15,0.15,0.15,18100,0.0,0.0
1993-03-11,0.14,0.15,0.14,0.15,20200,0.0,0.0
1993-03-12,0.18,0.18,0.14,0.14,14100,0.0,0.0
1993-03-15,0.14,0.14,0.14,0.14,0,0.0,0.0
1993-03-16,0.17,0.18,0.16,0.17,94000,0.0,0.0
1993-03-17,0.2,0.2,0.2,0.2,1900,0.0,0.0
1993-03-18,0.17,0.19,0.17,0.17,49900,0.0,0.0
1993-03-19,0.2,0.2,0.2,0.2,2800,0.0,0.0
1993-03-22,0.2,0.2,0.17,0.17,18100,0.0,0.0
1993-03-23,0.19,0.2,0.17,0.17,102100,0.0,0.0
1993-03-24,0.19,0.19,0.19,0.19,36600,0.0,0.0
1993-03-25,0.22,0.22,0.19,0.19,202500,0.0,0.0
1993-03-26,0.22,0.22,0.2,0.2,57600,0.0,0.0
1993-03-29,0.21,0.21,0.19,0.19,94000,0.0,0.0
1993-03-30,0.21,0.21,0.19,0.2,56700,0.0,0.0
1993-03-31,0.2,0.2,0.19,0.2,39300,0.0,0.0
1993-04-01,0.19,0.21,0.19,0.2,49900,0.0,0.0
1993-04-02,0.2,0.21,0.2,0.2,49900,0.0,0.0
1993-04-05,0.2,0.2,0.2,0.2,0,0.0,0.0
1993-04-06,0.19,0.2,0.19,0.2,391600,0.0,0.0
1993-04-07,0.19,0.2,0.19,0.19,94000,0.0,0.0
1993-04-08,0.2,0.2,0.19,0.2,615600,0.0,0.0
1993-04-12,0.21,0.32,0.19,0.27,2895000,0.0,0.0
1993-04-13,0.31,0.32,0.25,0.27,1119100,0.0,0.0
1993-04-14,0.27,0.29,0.25,0.27,1283100,0.0,0.0
1993-04-15,0.29,0.31,0.28,0.3,854700,0.0,0.0
1993-04-16,0.29,0.3,0.26,0.29,1034700,0.0,0.0
1993-04-19,0.29,0.29,0.26,0.26,93100,0.0,0.0
1993-04-20,0.25,0.28,0.24,0.26,180400,0.0,0.0
1993-04-21,0.28,0.28,0.26,0.27,179500,0.0,0.0
1993-04-22,0.27,0.28,0.25,0.28,1435000,0.0,0.0
1993-04-23,0.28,0.31,0.27,0.28,270600,0.0,0.0
1993-04-26,0.27,0.3,0.25,0.27,309700,0.0,0.0
1993-04-27,0.24,0.29,0.24,0.27,588100,0.0,0.0
1993-04-28,0.28,0.28,0.26,0.28,205300,0.0,0.0
1993-04-29,0.28,0.29,0.27,0.27,176100,0.0,0.0
1993-04-30,0.29,0.29,0.27,0.27,171400,0.0,0.0
1993-05-03,0.28,0.28,0.26,0.26,14100,0.0,0.0
1993-05-04,0.26,0.28,0.26,0.27,145800,0.0,0.0
1993-05-05,0.26,0.31,0.26,0.29,1533700,0.0,0.0
1993-05-06,0.27,0.34,0.27,0.33,1216300,0.0,0.0
1993-05-07,0.32,0.34,0.31,0.31,200700,0.0,0.0
1993-05-10,0.31,0.33,0.29,0.29,385600,0.0,0.0
1993-05-11,0.3,0.31,0.28,0.31,269200,0.0,0.0
1993-05-12,0.31,0.32,0.29,0.29,534700,0.0,0.0
1993-05-13,0.31,0.31,0.27,0.27,330900,0.0,0.0
1993-05-14,0.27,0.29,0.27,0.27,74800,0.0,0.0
1993-05-17,0.27,0.27,0.27,0.27,9400,0.0,0.0
1993-05-18,0.27,0.28,0.27,0.28,80200,0.0,0.0
1993-05-19,0.28,0.34,0.28,0.32,1973200,0.0,0.0
1993-05-20,0.34,0.36,0.33,0.35,1863100,0.0,0.0
1993-05-21,0.35,0.36,0.34,0.36,665500,0.0,0.0
1993-05-24,0.36,0.36,0.34,0.35,446400,0.0,0.0
1993-05-25,0.36,0.37,0.35,0.36,343500,0.0,0.0
