Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-10-08,22.49,23.4,22.1,23.05,1239700,0.0,0
2015-10-09,23.11,23.13,22.46,22.46,84300,0.0,0
2015-10-12,22.34,22.56,21.91,22.14,48300,0.0,0
2015-10-13,22.1,22.51,22.1,22.24,32000,0.0,0
2015-10-14,22.22,22.93,22.22,22.29,21600,0.0,0
2015-10-15,22.29,22.86,21.99,22.26,139800,0.0,0
2015-10-16,22.97,22.97,21.96,22.44,19400,0.0,0
2015-10-19,22.38,22.49,22.14,22.44,53400,0.0,0
2015-10-20,22.28,22.34,22.03,22.33,111200,0.0,0
2015-10-21,22.03,22.36,21.99,22.27,96700,0.0,0
2015-10-22,22.05,22.34,22.04,22.1,18600,0.0,0
2015-10-23,22.14,22.33,22.04,22.11,13600,0.0,0
2015-10-26,22.16,22.44,22.0,22.12,50400,0.0,0
2015-10-27,22.02,22.29,22.02,22.04,73000,0.0,0
2015-10-28,22.04,22.44,22.04,22.37,13000,0.0,0
2015-10-29,22.38,23.82,22.17,23.63,42900,0.0,0
2015-10-30,23.68,24.63,22.71,23.11,88500,0.0,0
2015-11-02,23.35,24.41,22.57,23.49,84700,0.0,0
2015-11-03,23.41,24.11,22.84,23.32,25400,0.0,0
2015-11-04,23.08,24.13,22.93,23.21,37800,0.0,0
2015-11-05,23.72,23.72,22.71,23.18,53500,0.0,0
2015-11-06,23.48,23.75,22.94,23.75,36800,0.0,0
2015-11-09,23.13,24.03,22.93,23.02,81700,0.0,0
2015-11-10,23.33,23.97,22.95,23.63,38600,0.0,0
2015-11-11,23.68,24.09,23.3,23.86,18400,0.0,0
2015-11-12,23.72,23.92,23.68,23.82,13600,0.0,0
2015-11-13,23.62,23.93,22.98,23.69,34100,0.0,0
2015-11-16,23.71,23.83,22.19,22.42,60900,0.0,0
2015-11-17,22.57,23.38,22.32,22.58,77200,0.0,0
2015-11-18,23.08,23.24,22.25,22.69,45700,0.0,0
2015-11-19,22.32,22.68,22.25,22.44,12500,0.0,0
2015-11-20,22.24,22.89,22.19,22.54,32600,0.0,0
2015-11-23,22.27,23.56,22.27,23.49,34600,0.0,0
2015-11-24,23.43,23.78,22.94,23.56,23600,0.0,0
2015-11-25,23.37,24.43,23.34,24.42,26200,0.0,0
2015-11-27,24.08,24.55,23.93,24.15,24100,0.0,0
2015-11-30,24.03,24.43,23.49,24.19,25200,0.0,0
2015-12-01,24.1,24.43,24.06,24.4,36400,0.0,0
2015-12-02,24.13,24.39,23.83,23.93,34600,0.0,0
2015-12-03,23.93,24.3,23.86,24.01,25100,0.0,0
2015-12-04,24.18,24.23,23.71,24.07,34100,0.0,0
2015-12-07,24.7,24.7,23.95,24.52,30200,0.0,0
2015-12-08,24.72,27.52,24.32,26.19,46600,0.0,0
2015-12-09,25.92,25.92,24.71,25.27,40000,0.0,0
2015-12-10,24.91,25.18,23.93,24.29,40800,0.0,0
2015-12-11,24.81,24.81,23.54,24.08,96200,0.0,0
2015-12-14,23.74,28.2,23.18,23.51,101600,0.0,0
2015-12-15,23.95,24.41,23.1,23.71,95000,0.0,0
2015-12-16,24.02,24.38,23.46,23.69,165700,0.0,0
2015-12-17,23.21,24.24,23.21,23.92,74400,0.0,0
2015-12-18,23.64,24.16,22.72,22.72,454200,0.0,0
2015-12-21,22.94,23.86,22.6,23.65,48200,0.0,0
2015-12-22,23.7,24.06,23.53,23.83,38900,0.0,0
2015-12-23,23.68,23.93,23.33,23.61,17100,0.0,0
2015-12-24,23.52,23.9,23.13,23.35,13900,0.0,0
2015-12-28,23.75,23.75,22.89,23.08,16500,0.0,0
2015-12-29,23.14,23.43,22.74,23.43,32200,0.0,0
2015-12-30,23.43,23.92,23.14,23.78,20400,0.0,0
2015-12-31,23.65,23.95,23.02,23.58,26100,0.0,0
2016-01-04,23.06,23.25,22.36,22.75,35200,0.0,0
2016-01-05,22.6,23.42,22.37,23.41,40200,0.0,0
2016-01-06,23.25,23.34,22.79,22.94,37700,0.0,0
2016-01-07,22.45,22.48,22.19,22.34,27200,0.0,0
2016-01-08,22.44,22.44,21.77,22.2,22100,0.0,0
2016-01-11,22.24,22.43,21.7,22.14,98600,0.0,0
2016-01-12,22.13,22.14,21.05,21.22,124700,0.0,0
2016-01-13,21.23,21.23,20.53,20.9,15300,0.0,0
2016-01-14,20.84,21.66,20.52,20.76,16000,0.0,0
2016-01-15,20.3,21.0,20.08,20.68,29600,0.0,0
2016-01-19,20.83,20.83,19.38,19.6,39200,0.0,0
2016-01-20,19.32,19.55,19.09,19.29,22400,0.0,0
