Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-08-21,21.79,21.94,21.72,21.88,174800,0.0,0
2017-08-22,21.89,21.93,21.85,21.88,256100,0.0,0
2017-08-23,21.9,21.96,21.87,21.95,119100,0.0,0
2017-08-24,21.92,21.98,21.9,21.91,175600,0.0,0
2017-08-25,21.95,21.95,21.9,21.94,83000,0.0,0
2017-08-28,21.94,21.96,21.87,21.96,123700,0.0,0
2017-08-29,21.93,22.13,21.91,22.0,196900,0.0,0
2017-08-30,22.05,22.07,22.0,22.06,134900,0.0,0
2017-08-31,22.14,22.18,22.05,22.16,119600,0.0,0
2017-09-01,22.07,22.15,22.07,22.08,41800,0.0,0
2017-09-05,22.02,22.12,22.02,22.1,308400,0.0,0
2017-09-06,22.02,22.1,22.02,22.09,141800,0.0,0
2017-09-07,22.11,22.16,21.96,22.03,184100,0.0,0
2017-09-08,22.07,22.07,21.95,21.98,146000,0.0,0
2017-09-11,22.05,22.13,22.02,22.11,54400,0.0,0
2017-09-12,22.13,22.33,22.07,22.32,110300,0.0,0
2017-09-13,22.3,22.31,22.2,22.28,60700,0.0,0
2017-09-14,22.22,22.29,22.01,22.02,192500,0.0,0
2017-09-15,22.03,22.07,22.0,22.02,68600,0.0,0
2017-09-18,22.07,22.09,21.95,22.06,199300,0.0,0
2017-09-19,22.06,22.08,21.99,22.02,59600,0.0,0
2017-09-20,22.05,22.08,22.02,22.04,51800,0.0,0
2017-09-21,22.04,22.11,22.02,22.02,154700,0.0,0
2017-09-22,21.98,22.02,21.96,22.01,84200,0.0,0
2017-09-25,22.03,22.04,21.95,21.98,65700,0.0,0
2017-09-26,21.98,21.98,21.92,21.98,105200,0.0,0
2017-09-27,21.96,21.98,21.88,21.98,92800,0.0,0
2017-09-28,21.98,22.04,21.96,22.02,49400,0.0,0
2017-09-29,22.03,22.06,21.98,22.06,44800,0.0,0
2017-10-02,22.07,22.15,22.06,22.08,67600,0.0,0
2017-10-03,22.11,22.16,22.09,22.14,38600,0.0,0
2017-10-04,22.16,22.17,22.1,22.17,42900,0.0,0
2017-10-05,22.18,22.23,22.17,22.22,70100,0.0,0
2017-10-06,22.19,22.23,22.04,22.15,64900,0.0,0
2017-10-09,22.17,22.2,21.95,21.96,230700,0.0,0
2017-10-10,21.98,22.04,21.96,21.96,146500,0.0,0
2017-10-11,22.02,22.07,22.0,22.04,90200,0.0,0
2017-10-12,22.07,22.16,22.07,22.11,306500,0.0,0
2017-10-13,22.14,22.17,22.13,22.16,63100,0.0,0
2017-10-16,22.14,22.2,22.09,22.16,108200,0.0,0
2017-10-17,22.17,22.2,22.16,22.2,60200,0.0,0
2017-10-18,22.2,22.2,22.1,22.16,250000,0.0,0
2017-10-19,22.2,22.23,22.16,22.19,71200,0.0,0
2017-10-20,22.19,22.19,22.03,22.12,787000,0.0,0
2017-10-23,22.13,22.13,22.06,22.11,45700,0.0,0
2017-10-24,22.11,22.19,22.08,22.18,82200,0.0,0
2017-10-25,22.16,22.16,22.05,22.09,69600,0.0,0
2017-10-26,22.13,22.13,22.07,22.07,44900,0.0,0
2017-10-27,22.1,22.14,22.02,22.14,39900,0.0,0
2017-10-30,22.05,22.14,22.05,22.12,20300,0.0,0
2017-10-31,22.15,22.19,22.09,22.19,37200,0.0,0
2017-11-01,22.2,22.2,22.11,22.16,71200,0.0,0
2017-11-02,22.16,22.21,22.16,22.18,19300,0.0,0
2017-11-03,22.18,22.19,22.16,22.17,24700,0.0,0
2017-11-06,22.2,22.23,22.16,22.17,23600,0.0,0
2017-11-07,22.2,22.2,22.13,22.19,44100,0.0,0
2017-11-08,22.22,22.23,22.13,22.16,26900,0.0,0
2017-11-09,22.23,22.26,22.13,22.17,14700,0.0,0
2017-11-10,22.23,22.23,22.09,22.12,17900,0.0,0
