Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-09-23,20.74,20.82,20.71,20.77,3053400,0.0,0
2016-09-26,20.75,20.84,20.74,20.78,2308600,0.0,0
2016-09-27,20.79,20.85,20.75,20.84,1296100,0.0,0
2016-09-28,20.75,20.88,20.75,20.84,303700,0.0,0
2016-09-29,20.8,20.85,20.75,20.77,429900,0.0,0
2016-09-30,20.82,20.85,20.71,20.82,285100,0.0,0
2016-10-03,20.84,20.84,20.68,20.78,247600,0.0,0
2016-10-04,20.79,20.82,20.69,20.81,541100,0.0,0
2016-10-05,20.78,20.79,20.71,20.75,77500,0.0,0
2016-10-06,20.75,20.75,20.51,20.61,147000,0.0,0
2016-10-07,20.53,20.59,20.44,20.59,114600,0.0,0
2016-10-10,20.59,20.59,20.48,20.55,68200,0.0,0
2016-10-11,20.5,20.54,20.14,20.29,205400,0.0,0
2016-10-12,20.14,20.39,20.14,20.39,173500,0.0,0
2016-10-13,20.42,20.42,20.18,20.34,99400,0.0,0
2016-10-14,20.34,20.46,20.34,20.44,60600,0.0,0
2016-10-17,20.38,20.54,20.29,20.48,159200,0.0,0
2016-10-18,20.54,20.54,20.47,20.51,53200,0.0,0
2016-10-19,20.59,20.59,20.49,20.56,62600,0.0,0
2016-10-20,20.57,20.63,20.54,20.56,79100,0.0,0
2016-10-21,20.5,20.59,20.5,20.59,43800,0.0,0
2016-10-24,20.47,20.63,20.47,20.54,60100,0.0,0
2016-10-25,20.46,20.75,20.46,20.68,226000,0.0,0
2016-10-26,20.73,20.73,20.62,20.67,123200,0.0,0
2016-10-27,20.42,20.65,20.42,20.54,100500,0.0,0
2016-10-28,20.51,20.54,20.35,20.44,40000,0.0,0
2016-10-31,20.49,20.57,20.32,20.32,246500,0.0,0
2016-11-01,20.34,20.34,19.88,19.96,77600,0.0,0
2016-11-02,20.04,20.04,19.66,19.81,94900,0.0,0
2016-11-03,19.91,19.99,19.44,19.51,70700,0.0,0
2016-11-04,19.74,19.79,19.39,19.49,107500,0.0,0
2016-11-07,19.66,19.73,19.46,19.59,56600,0.0,0
2016-11-08,19.59,19.59,19.48,19.58,52400,0.0,0
2016-11-09,19.56,19.56,18.89,19.25,209700,0.0,0
2016-11-10,18.93,19.3,18.0,18.12,245200,0.0,0
2016-11-11,18.34,18.34,17.73,18.09,109100,0.0,0
2016-11-14,18.12,18.12,17.13,17.26,164100,0.0,0
2016-11-15,17.56,18.09,17.45,17.89,138000,0.0,0
2016-11-16,18.04,18.33,17.88,18.29,130800,0.0,0
2016-11-17,18.34,18.34,17.98,18.27,196000,0.0,0
2016-11-18,18.34,18.61,18.04,18.24,118000,0.0,0
2016-11-21,18.41,18.49,18.16,18.24,117500,0.0,0
2016-11-22,18.44,18.55,18.24,18.42,73500,0.0,0
2016-11-23,18.49,18.49,18.16,18.39,51100,0.0,0
2016-11-25,18.49,18.49,18.31,18.39,14500,0.0,0
2016-11-28,18.49,18.49,18.01,18.23,188400,0.0,0
2016-11-29,18.23,18.23,17.98,18.16,72500,0.0,0
2016-11-30,18.04,18.06,17.93,18.04,121800,0.0,0
2016-12-01,18.0,18.04,17.64,17.77,141700,0.0,0
2016-12-02,17.79,17.86,17.62,17.79,96900,0.0,0
