Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-09-23,14.11,16.8,14.11,15.66,3775900,0,0
2016-09-26,15.6,17.4,15.5,16.5,1008300,0,0
2016-09-27,16.78,18.36,16.39,18.21,531500,0,0
2016-09-28,19.04,19.97,18.6,19.3,474400,0,0
2016-09-29,19.6,19.7,17.22,17.54,335400,0,0
2016-09-30,17.48,17.69,16.38,16.47,341000,0,0
2016-10-03,16.5,17.9,15.61,17.86,551700,0,0
2016-10-04,17.69,18.95,17.0,17.52,299600,0,0
2016-10-05,17.5,18.22,16.5,16.66,169400,0,0
2016-10-06,16.6,17.13,15.83,16.08,233000,0,0
2016-10-07,15.9,16.54,15.08,15.81,159500,0,0
2016-10-10,15.75,15.75,14.5,15.25,266800,0,0
2016-10-11,15.31,15.66,14.51,15.1,177400,0,0
2016-10-12,15.22,15.55,14.26,14.48,125400,0,0
2016-10-13,14.25,14.33,13.01,14.01,289500,0,0
2016-10-14,14.02,14.5,13.63,13.96,91900,0,0
2016-10-17,14.0,14.47,13.48,14.43,31400,0,0
2016-10-18,14.83,15.87,14.69,15.19,252100,0,0
2016-10-19,15.3,15.33,14.74,14.75,90800,0,0
2016-10-20,14.74,15.19,14.74,14.96,27300,0,0
2016-10-21,14.84,15.75,14.74,15.68,159700,0,0
2016-10-24,15.75,16.18,14.6,15.18,102300,0,0
2016-10-25,15.25,15.78,14.85,15.74,137800,0,0
2016-10-26,15.77,16.28,15.34,15.75,230700,0,0
2016-10-27,15.8,16.12,14.75,14.91,237900,0,0
2016-10-28,14.83,15.03,14.18,14.56,100700,0,0
2016-10-31,14.04,14.74,13.15,13.62,82400,0,0
2016-11-01,13.6,14.25,12.55,12.81,108000,0,0
2016-11-02,12.7,13.09,12.01,12.05,48200,0,0
2016-11-03,12.05,12.57,11.83,12.08,30000,0,0
2016-11-04,11.85,12.76,11.07,11.86,177100,0,0
2016-11-07,11.85,12.38,11.1,11.51,256400,0,0
2016-11-08,11.82,12.16,10.36,10.52,294400,0,0
2016-11-09,11.12,13.42,11.09,13.29,212300,0,0
2016-11-10,14.0,14.9,13.68,14.15,186900,0,0
2016-11-11,14.0,15.39,13.83,15.11,97400,0,0
2016-11-14,15.41,15.41,14.26,14.7,70000,0,0
2016-11-15,14.75,15.8,14.5,15.36,143000,0,0
