Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-02-24,3.1,3.1,2.96,2.98,18890400,0,0.0
1995-02-27,3.0,3.08,3.0,3.04,2052600,0,0.0
1995-02-28,3.06,3.06,2.98,2.98,3112800,0,0.0
1995-03-01,2.98,3.04,2.98,3.04,604200,0,0.0
1995-03-02,3.04,3.04,2.98,3.04,244200,0,0.0
1995-03-03,3.0,3.46,3.0,3.35,2022600,0,0.0
1995-03-06,3.31,3.54,3.27,3.44,784200,0,0.0
1995-03-07,3.44,3.48,3.29,3.38,636000,0,0.0
1995-03-08,3.33,3.42,3.29,3.38,451200,0,0.0
1995-03-09,3.29,3.38,3.29,3.38,417600,0,0.0
1995-03-10,3.38,3.38,3.29,3.31,155400,0,0.0
1995-03-13,3.29,3.44,3.29,3.44,361200,0,0.0
1995-03-14,3.38,3.44,3.33,3.35,271800,0,0.0
1995-03-15,3.35,3.42,3.35,3.4,84600,0,0.0
1995-03-16,3.35,3.42,3.35,3.38,649800,0,0.0
1995-03-17,3.42,3.42,3.38,3.38,205200,0,0.0
1995-03-20,3.42,3.42,3.35,3.35,461400,0,0.0
1995-03-21,3.38,3.46,3.38,3.38,187800,0,0.0
1995-03-22,3.44,3.44,3.27,3.27,462600,0,0.0
1995-03-23,3.23,3.31,3.23,3.29,370200,0,0.0
1995-03-24,3.25,3.31,3.25,3.31,125400,0,0.0
1995-03-27,3.25,3.31,3.25,3.31,165000,0,0.0
1995-03-28,3.33,3.56,3.31,3.5,486000,0,0.0
1995-03-29,3.58,3.92,3.46,3.5,1274400,0,0.0
1995-03-30,3.56,3.58,3.48,3.56,336000,0,0.0
1995-03-31,3.56,3.56,3.48,3.48,269400,0,0.0
1995-04-03,3.5,3.52,3.48,3.52,44400,0,0.0
1995-04-04,3.52,3.52,3.47,3.47,204000,0,0.0
1995-04-05,3.44,3.46,3.4,3.4,61200,0,0.0
1995-04-06,3.4,3.4,3.33,3.4,115800,0,0.0
1995-04-07,3.33,3.42,3.33,3.4,93600,0,0.0
1995-04-10,3.46,3.46,3.4,3.46,120000,0,0.0
1995-04-11,3.42,3.46,3.4,3.46,97800,0,0.0
1995-04-12,3.4,3.46,3.33,3.33,136200,0,0.0
1995-04-13,3.33,3.4,3.33,3.33,28200,0,0.0
1995-04-17,3.4,3.4,3.31,3.33,142200,0,0.0
1995-04-18,3.33,3.33,3.19,3.25,121200,0,0.0
1995-04-19,3.19,3.25,3.17,3.17,85800,0,0.0
1995-04-20,3.19,3.21,3.15,3.15,88200,0,0.0
1995-04-21,3.21,3.31,3.12,3.28,627000,0,0.0
1995-04-24,3.25,3.29,3.25,3.29,37200,0,0.0
1995-04-25,3.31,3.31,3.25,3.29,79800,0,0.0
1995-04-26,3.25,3.31,3.25,3.31,70200,0,0.0
1995-04-27,3.25,3.35,3.25,3.33,101400,0,0.0
1995-04-28,3.4,3.46,3.31,3.44,234600,0,0.0
1995-05-01,3.4,3.6,3.4,3.6,246600,0,0.0
1995-05-02,3.6,3.6,3.54,3.54,80400,0,0.0
1995-05-03,3.6,3.6,3.54,3.54,3600,0,0.0
1995-05-04,3.6,3.71,3.48,3.48,289800,0,0.0
1995-05-05,3.48,3.52,3.42,3.48,36000,0,0.0
1995-05-08,3.42,3.46,3.21,3.31,154800,0,0.0
1995-05-09,3.25,3.33,3.25,3.25,36600,0,0.0
1995-05-10,3.33,3.33,3.25,3.25,4200,0,0.0
1995-05-11,3.33,3.33,3.33,3.33,19800,0,0.0
1995-05-12,3.25,3.33,3.25,3.33,35400,0,0.0
1995-05-15,3.25,3.44,3.25,3.4,169800,0,0.0
1995-05-16,3.48,3.71,3.48,3.62,345000,0,0.0
1995-05-17,3.67,3.67,3.52,3.52,248400,0,0.0
1995-05-18,3.6,3.6,3.48,3.52,70200,0,0.0
1995-05-19,3.4,3.44,3.35,3.42,40200,0,0.0
1995-05-22,3.42,3.42,3.35,3.38,9000,0,0.0
1995-05-23,3.44,3.73,3.44,3.5,547800,0,0.0
1995-05-24,3.46,3.5,3.42,3.42,196200,0,0.0
1995-05-25,3.46,3.5,3.42,3.5,65400,0,0.0
1995-05-26,3.5,3.5,3.42,3.5,21600,0,0.0
1995-05-30,3.42,3.5,3.42,3.42,35400,0,0.0
1995-05-31,3.5,3.62,3.5,3.58,252000,0,0.0
1995-06-01,3.62,3.62,3.54,3.58,145800,0,0.0
1995-06-02,3.54,3.58,3.5,3.52,297600,0,0.0
1995-06-05,3.58,3.77,3.52,3.77,204000,0,0.0
1995-06-06,3.71,3.79,3.71,3.75,319800,0,0.0
1995-06-07,3.79,3.79,3.58,3.58,208800,0,0.0
1995-06-08,3.58,3.79,3.58,3.71,81600,0,0.0
1995-06-09,3.77,3.77,3.71,3.71,35400,0,0.0
1995-06-12,3.77,3.77,3.71,3.77,323400,0,0.0
1995-06-13,3.71,3.77,3.69,3.69,324600,0,0.0
1995-06-14,3.75,3.79,3.69,3.79,339000,0,0.0
1995-06-15,3.79,3.88,3.75,3.85,322200,0,0.0
1995-06-16,3.79,3.88,3.79,3.88,12600,0,0.0
1995-06-19,3.88,3.88,3.79,3.85,19200,0,0.0
1995-06-20,3.88,3.98,3.79,3.98,240600,0,0.0
1995-06-21,3.98,4.35,3.9,4.29,704400,0,0.0
1995-06-22,4.23,4.4,4.23,4.4,331800,0,0.0
1995-06-23,4.31,4.46,4.31,4.4,201000,0,0.0
1995-06-26,4.38,4.44,4.35,4.35,49800,0,0.0
1995-06-27,4.35,4.35,4.31,4.35,44400,0,0.0
1995-06-28,4.27,4.35,4.27,4.27,188400,0,0.0
1995-06-29,4.33,4.33,4.27,4.29,132600,0,0.0
1995-06-30,4.31,4.31,4.23,4.29,228600,0,0.0
1995-07-03,4.31,4.31,4.31,4.31,13800,0,0.0
1995-07-05,4.25,4.25,4.17,4.17,636600,0,0.0
1995-07-06,4.17,4.23,4.17,4.23,136800,0,0.0
1995-07-07,4.17,4.23,4.17,4.17,30600,0,0.0
1995-07-10,4.19,4.27,4.19,4.21,78600,0,0.0
1995-07-11,4.19,4.29,4.19,4.29,103800,0,0.0
1995-07-12,4.31,4.31,4.31,4.31,1800,0,0.0
1995-07-13,4.31,4.31,4.23,4.31,12000,0,0.0
1995-07-14,4.27,4.31,4.23,4.31,63000,0,0.0
1995-07-17,4.27,4.48,4.27,4.42,187800,0,0.0
1995-07-18,4.46,4.54,4.46,4.54,16800,0,0.0
1995-07-19,4.42,4.5,4.33,4.4,112200,0,0.0
1995-07-20,4.5,4.52,4.42,4.52,160800,0,0.0
1995-07-21,4.58,4.67,4.54,4.67,170400,0,0.0
1995-07-24,4.67,4.67,4.58,4.62,88200,0,0.0
1995-07-25,4.58,4.67,4.58,4.58,26400,0,0.0
1995-07-26,4.58,4.62,4.58,4.58,144600,0,0.0
1995-07-27,4.58,4.62,4.58,4.58,18000,0,0.0
