Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-04-04,6.5,6.5,6.5,6.5,200,0.0,0.0
1994-04-05,6.5,6.5,6.5,6.5,400,0.0,0.0
1994-04-06,6.57,6.64,6.5,6.64,3400,0.0,0.0
1994-04-07,6.64,6.64,6.57,6.57,6600,0.0,0.0
1994-04-08,6.57,6.57,6.5,6.5,1000,0.0,0.0
1994-04-11,6.64,6.64,6.57,6.57,1200,0.0,0.0
1994-04-12,6.64,6.64,6.5,6.5,11400,0.0,0.0
1994-04-13,6.64,6.71,6.5,6.5,6800,0.0,0.0
1994-04-14,6.6,6.6,6.6,6.6,1000,0.0,0.0
1994-04-15,6.55,6.81,6.55,6.81,1000,0.0,0.0
1994-04-18,6.64,6.78,6.64,6.71,1400,0.0,0.0
1994-04-19,6.57,6.71,6.57,6.57,1400,0.0,0.0
1994-04-20,6.57,6.57,6.57,6.57,0,0.0,0.0
1994-04-21,6.64,6.64,6.64,6.64,1400,0.0,0.0
1994-04-22,6.64,6.64,6.64,6.64,0,0.0,0.0
1994-04-25,6.64,6.74,6.64,6.74,400,0.0,0.0
1994-04-26,6.64,6.64,6.64,6.64,2600,0.0,0.0
1994-04-28,6.64,6.64,6.64,6.64,0,0.0,0.0
1994-04-29,6.64,6.64,6.64,6.64,0,0.0,0.0
1994-05-02,6.64,6.64,6.64,6.64,0,0.0,0.0
1994-05-03,6.67,6.74,6.57,6.71,8000,0.0,0.0
1994-05-04,6.64,6.71,6.6,6.71,9200,0.0,0.0
1994-05-05,6.71,6.71,6.71,6.71,0,0.0,0.0
1994-05-06,6.71,6.71,6.71,6.71,0,0.0,0.0
1994-05-09,6.71,6.71,6.71,6.71,0,0.0,0.0
1994-05-10,6.71,6.71,6.71,6.71,200,0.0,0.0
1994-05-11,6.71,6.71,6.64,6.67,800,0.0,0.0
1994-05-12,6.57,6.71,6.57,6.71,800,0.0,0.0
1994-05-13,6.71,6.71,6.71,6.71,0,0.0,0.0
1994-05-16,6.57,6.64,6.57,6.64,400,0.0,0.0
1994-05-17,6.64,6.64,6.64,6.64,0,0.0,0.0
1994-05-18,6.67,6.67,6.67,6.67,400,0.0,0.0
1994-05-19,6.71,6.71,6.6,6.6,3800,0.0,0.0
1994-05-20,6.6,6.6,6.6,6.6,0,0.0,0.0
1994-05-23,6.6,6.6,6.6,6.6,0,0.0,0.0
1994-05-24,6.71,6.71,6.71,6.71,1400,0.0,0.0
1994-05-25,6.71,6.71,6.71,6.71,0,0.0,0.0
1994-05-26,6.57,6.57,6.57,6.57,200,0.0,0.0
1994-05-27,6.68,6.68,6.65,6.65,4600,0.13152,0.0
1994-05-31,6.68,6.68,6.68,6.68,3800,0.0,0.0
1994-06-01,6.61,6.68,6.61,6.68,1400,0.0,0.0
1994-06-02,6.75,6.75,6.68,6.68,1400,0.0,0.0
1994-06-03,6.61,6.61,6.61,6.61,2400,0.0,0.0
1994-06-06,6.61,6.61,6.61,6.61,0,0.0,0.0
1994-06-07,6.61,6.61,6.61,6.61,400,0.0,0.0
1994-06-08,6.66,6.66,6.66,6.66,1000,0.0,0.0
1994-06-09,6.66,6.66,6.66,6.66,0,0.0,0.0
1994-06-10,6.61,6.72,6.61,6.68,4800,0.0,0.0
1994-06-13,6.61,6.61,6.61,6.61,200,0.0,0.0
1994-06-14,6.75,6.75,6.61,6.61,800,0.0,0.0
1994-06-15,6.68,6.75,6.68,6.75,1000,0.0,0.0
1994-06-16,6.61,6.61,6.61,6.61,3400,0.0,0.0
1994-06-17,6.61,6.61,6.61,6.61,800,0.0,0.0
1994-06-20,6.75,6.75,6.75,6.75,3200,0.0,0.0
1994-06-21,6.75,6.75,6.75,6.75,0,0.0,0.0
1994-06-22,6.75,6.75,6.68,6.68,1200,0.0,0.0
1994-06-23,6.68,6.68,6.68,6.68,0,0.0,0.0
1994-06-24,6.61,6.68,6.61,6.68,2400,0.0,0.0
1994-06-27,6.61,6.68,6.61,6.68,1600,0.0,0.0
1994-06-28,6.68,6.68,6.54,6.68,6300,0.0,0.0
1994-06-29,6.65,6.68,6.54,6.54,2200,0.0,0.0
1994-06-30,6.54,6.54,6.51,6.54,3600,0.0,0.0
1994-07-01,6.61,6.61,6.61,6.61,600,0.0,0.0
