Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-10-06,11.0,11.0,11.0,11.0,0,0,0
2015-10-07,11.94,11.98,11.0,11.05,1158700,0,0
2015-10-08,11.14,11.3,10.99,11.05,125100,0,0
2015-10-09,11.0,13.98,11.0,12.5,161900,0,0
2015-10-12,13.34,14.12,12.5,13.6,325200,0,0
2015-10-13,13.6,13.97,12.32,12.46,68200,0,0
2015-10-14,12.95,14.47,12.07,14.36,152400,0,0
2015-10-15,14.58,17.24,14.55,15.56,187200,0,0
2015-10-16,15.78,15.78,14.09,14.57,15800,0,0
2015-10-19,14.91,15.44,13.85,15.42,176700,0,0
2015-10-20,14.96,16.08,14.167,15.43,84300,0,0
2015-10-21,15.18,15.18,14.25,14.92,27400,0,0
2015-10-22,15.41,15.41,13.503,14.5,117900,0,0
2015-10-23,14.48,15.55,12.99,14.43,121300,0,0
2015-10-26,14.44,15.255,14.25,14.48,14500,0,0
2015-10-27,14.64,15.07,14.042,14.66,25500,0,0
2015-10-28,14.28,15.03,13.624,14.31,184300,0,0
2015-10-29,14.03,14.91,13.93,14.38,122500,0,0
2015-10-30,14.02,14.855,13.956,14.47,19700,0,0
2015-11-02,14.22,15.15,14.06,14.61,45400,0,0
2015-11-03,14.28,15.29,14.28,15.13,23300,0,0
2015-11-04,14.93,15.46,14.31,14.9,42100,0,0
2015-11-05,15.1,15.45,14.43,15.21,21700,0,0
2015-11-06,14.86,15.15,14.588,14.67,10000,0,0
2015-11-09,14.67,15.29,14.46,15.14,15200,0,0
2015-11-10,15.44,17.81,14.98,17.29,70500,0,0
2015-11-11,16.62,17.49,15.63,16.61,56000,0,0
2015-11-12,16.7,17.24,16.087,16.91,114000,0,0
2015-11-13,17.2,18.22,16.33,18.15,69100,0,0
2015-11-16,18.17,18.78,16.661,18.36,40500,0,0
2015-11-17,18.1,18.96,18.01,18.81,26400,0,0
2015-11-18,22.14,23.49,19.68,19.95,90900,0,0
2015-11-19,19.92,20.9,18.31,19.9,77800,0,0
2015-11-20,19.68,22.05,19.35,20.84,51000,0,0
2015-11-23,20.46,24.6,20.28,23.65,72700,0,0
2015-11-24,23.16,24.475,20.61,23.5,43800,0,0
2015-11-25,23.06,24.5,19.86,23.39,47200,0,0
2015-11-27,22.5,24.08,21.07,23.4,78800,0,0
2015-11-30,23.26,23.6,22.7,23.55,16900,0,0
2015-12-01,23.6,23.6,22.54,23.24,21300,0,0
2015-12-02,23.13,23.42,21.105,21.4,57000,0,0
2015-12-03,21.3,22.445,19.79,20.55,74400,0,0
2015-12-04,20.37,21.84,20.0,21.13,19000,0,0
2015-12-07,21.19,22.2,19.8,21.025,62200,0,0
2015-12-08,21.45,21.84,20.44,21.1,72500,0,0
2015-12-09,20.86,22.39,20.11,21.0,32100,0,0
2015-12-10,21.15,22.43,20.32,21.44,33100,0,0
2015-12-11,21.43,22.43,20.567,22.05,63400,0,0
2015-12-14,21.85,24.75,21.56,22.67,59300,0,0
2015-12-15,22.45,23.14,21.009,22.03,59000,0,0
2015-12-16,21.0,25.97,20.795,25.97,104900,0,0
2015-12-17,26.26,33.88,26.26,28.92,183700,0,0
2015-12-18,28.41,29.75,27.5,28.68,873400,0,0
2015-12-21,28.72,30.0,28.36,29.14,76900,0,0
2015-12-22,29.24,29.49,28.92,29.28,31500,0,0
2015-12-23,30.0,30.0,28.4,28.69,26300,0,0
2015-12-24,28.59,29.28,28.5,28.99,6000,0,0
2015-12-28,28.97,28.97,28.315,28.78,15700,0,0
2015-12-29,29.0,29.0,23.29,24.09,77000,0,0
2015-12-30,23.68,26.81,23.68,25.59,37300,0,0
2015-12-31,25.85,27.86,25.63,26.94,45200,0,0
2016-01-04,26.86,27.935,25.06,26.39,60000,0,0
2016-01-05,26.36,27.72,24.32,27.37,42800,0,0
2016-01-06,27.22,27.685,25.36,25.68,41200,0,0
2016-01-07,25.09,26.06,23.8,23.98,26800,0,0
2016-01-08,23.98,24.42,23.43,23.5,19700,0,0
2016-01-11,25.35,25.35,16.5,19.44,95800,0,0
2016-01-12,19.72,20.69,18.27,20.43,70600,0,0
2016-01-13,20.46,20.86,19.23,20.18,60700,0,0
2016-01-14,19.95,21.3,19.41,21.15,30700,0,0
2016-01-15,20.53,21.054,19.28,20.42,49500,0,0
2016-01-19,20.5,21.64,19.03,19.98,34000,0,0
2016-01-20,19.69,21.73,19.41,21.05,36500,0,0
2016-01-21,21.3,23.08,20.02,22.56,31000,0,0
2016-01-22,22.85,23.97,21.6,22.0,40900,0,0
2016-01-25,22.24,22.24,19.98,20.15,28300,0,0
2016-01-26,20.24,22.25,19.39,21.84,38900,0,0
2016-01-27,22.16,22.3,20.73,20.88,27900,0,0
2016-01-28,21.27,21.81,20.7,20.94,26400,0,0
2016-01-29,21.05,22.51,20.9,22.23,42700,0,0
2016-02-01,22.26,22.26,21.02,21.65,31300,0,0
2016-02-02,21.34,22.39,21.3,21.93,11300,0,0
2016-02-03,22.27,22.27,21.54,22.0,4000,0,0
2016-02-04,21.95,22.26,20.94,21.97,16900,0,0
2016-02-05,22.62,22.87,21.54,21.54,30200,0,0
2016-02-08,21.4,22.265,20.24,20.46,17400,0,0
2016-02-09,20.17,20.39,19.54,19.6,11300,0,0
2016-02-10,20.04,21.5,19.91,20.12,17300,0,0
2016-02-11,19.9,21.29,19.9,19.9,11000,0,0
2016-02-12,20.28,20.56,19.14,19.45,17500,0,0
2016-02-16,19.51,19.51,18.0,18.78,49600,0,0
2016-02-17,18.95,19.5,14.44,15.65,125500,0,0
2016-02-18,15.61,16.09,15.04,15.12,23800,0,0
2016-02-19,15.09,15.419,14.51,15.29,22600,0,0
2016-02-22,15.4,16.91,15.33,16.76,56600,0,0
2016-02-23,17.16,18.636,17.16,18.01,122000,0,0
2016-02-24,18.0,19.99,17.8,18.6,59000,0,0
2016-02-25,18.82,19.77,18.74,18.95,55800,0,0
2016-02-26,17.21,19.0,15.66,18.93,30500,0,0
2016-02-29,19.1,19.6,17.95,18.34,47500,0,0
2016-03-01,18.24,18.965,17.2,17.71,57300,0,0
2016-03-02,17.61,17.74,16.67,17.39,32900,0,0
2016-03-03,17.32,17.35,16.16,17.33,18100,0,0
2016-03-04,17.86,18.58,16.57,18.02,22600,0,0
2016-03-07,19.6,19.6,17.21,17.92,28200,0,0
2016-03-08,18.02,18.35,17.345,17.42,21300,0,0
2016-03-09,17.9,18.1,15.944,16.93,39800,0,0
2016-03-10,17.4,17.49,16.64,16.74,23500,0,0
2016-03-11,17.01,17.01,16.53,16.84,17900,0,0
2016-03-14,16.85,17.48,16.4,16.4,23600,0,0
2016-03-15,16.22,16.83,16.05,16.14,22300,0,0
2016-03-16,16.2,16.77,16.01,16.14,15400,0,0
2016-03-17,16.12,16.52,15.81,15.99,18700,0,0
2016-03-18,16.11,16.11,15.52,15.71,23700,0,0
2016-03-21,15.42,16.01,15.42,15.8,28900,0,0
2016-03-22,15.98,16.15,15.28,15.37,27800,0,0
2016-03-23,15.28,15.75,14.7,15.0,35400,0,0
2016-03-24,14.9,15.07,14.12,14.77,59900,0,0
2016-03-28,14.68,14.99,14.68,14.91,13900,0,0
2016-03-29,14.9,15.71,14.9,15.49,18900,0,0
2016-03-30,15.49,15.6,15.14,15.45,11000,0,0
2016-03-31,15.69,19.24,15.66,18.95,59700,0,0
2016-04-01,19.38,21.98,18.74,20.5,88400,0,0
2016-04-04,20.45,21.46,20.07,20.5,34700,0,0
2016-04-05,19.93,20.49,19.0,19.69,55600,0,0
2016-04-06,19.74,21.5,18.75,20.84,41000,0,0
2016-04-07,20.75,21.27,20.0,20.69,31100,0,0
2016-04-08,21.11,21.405,19.82,20.16,21800,0,0
2016-04-11,20.23,20.62,19.46,19.98,26300,0,0
2016-04-12,19.535,20.52,19.535,19.61,29200,0,0
2016-04-13,19.67,20.625,19.67,20.0,27700,0,0
2016-04-14,20.06,20.39,19.75,20.1,36700,0,0
2016-04-15,20.02,20.39,19.86,20.06,28900,0,0
2016-04-18,19.86,20.34,19.71,19.91,20700,0,0
2016-04-19,19.89,20.56,19.31,20.4,45100,0,0
2016-04-20,20.03,20.97,18.82,19.81,18000,0,0
2016-04-21,19.67,19.9,19.43,19.69,30300,0,0
2016-04-22,19.58,19.99,19.35,19.66,34900,0,0
2016-04-25,19.77,20.0,19.45,19.68,23000,0,0
2016-04-26,19.67,22.04,19.57,21.78,39200,0,0
2016-04-27,21.92,21.92,20.11,20.48,30600,0,0
2016-04-28,20.27,20.4,18.9,19.76,48500,0,0
2016-04-29,19.89,19.89,18.26,18.48,29200,0,0
2016-05-02,18.78,20.51,18.51,20.41,27100,0,0
2016-05-03,20.34,21.49,18.691,20.63,40600,0,0
2016-05-04,20.61,21.0,19.3,19.69,31200,0,0
2016-05-05,19.45,21.29,19.45,21.02,29400,0,0
2016-05-06,21.38,21.38,20.03,20.71,26800,0,0
2016-05-09,20.72,21.019,20.03,20.5,27700,0,0
2016-05-10,20.4,21.05,19.16,19.98,34700,0,0
2016-05-11,19.73,19.73,17.97,17.97,19000,0,0
2016-05-12,18.04,18.51,16.86,16.93,13300,0,0
2016-05-13,17.1,21.41,17.1,19.06,150000,0,0
2016-05-16,19.33,20.97,18.66,19.19,84300,0,0
2016-05-17,19.925,21.3,19.06,19.18,78700,0,0
2016-05-18,19.09,20.6,19.0,19.92,39700,0,0
2016-05-19,19.59,20.6,18.47,19.79,36600,0,0
2016-05-20,19.93,20.55,19.4,20.35,33700,0,0
2016-05-23,20.3,21.06,18.915,19.21,79600,0,0
2016-05-24,19.35,19.91,18.95,19.8,33200,0,0
2016-05-25,19.47,20.995,19.47,20.49,48900,0,0
2016-05-26,20.38,20.4,19.31,19.7,18500,0,0
2016-05-27,19.55,20.88,19.25,20.0,65400,0,0
2016-05-31,19.8,20.74,19.05,19.98,155800,0,0
2016-06-01,20.42,20.92,19.88,20.24,79900,0,0
2016-06-02,20.58,21.35,20.28,20.94,62500,0,0
2016-06-03,20.74,21.5,20.01,20.21,153700,0,0
2016-06-06,21.15,23.58,20.062,22.07,216800,0,0
2016-06-07,21.9,22.69,21.62,21.91,122600,0,0
2016-06-08,22.36,22.36,21.29,21.64,54300,0,0
2016-06-09,21.41,21.9,21.19,21.57,89300,0,0
2016-06-10,21.61,23.19,21.565,21.97,216700,0,0
2016-06-13,21.97,23.24,20.34,20.44,78900,0,0
2016-06-14,20.7,20.97,18.975,19.39,86400,0,0
2016-06-15,19.15,20.97,19.0,19.2,78000,0,0
2016-06-16,18.92,19.56,18.92,19.47,52200,0,0
2016-06-17,19.54,19.54,18.11,18.93,245100,0,0
