Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-27,4.0,4.4,3.95,4.05,285400,0,0
2018-07-30,4.1,4.25,3.96,4.01,43700,0,0
2018-07-31,3.75,4.16,3.75,4.0,16400,0,0
2018-08-01,3.75,4.35,3.75,4.25,13900,0,0
2018-08-02,4.3,4.3,4.0,4.0,6700,0,0
2018-08-03,4.03,4.18,3.99,4.0,48100,0,0
2018-08-06,4.14,4.18,3.98,3.98,6800,0,0
2018-08-07,4.0,4.0,3.91,3.91,30600,0,0
2018-08-08,4.0,4.0,3.8,3.8,23600,0,0
2018-08-09,3.75,3.75,3.24,3.3,35000,0,0
2018-08-10,3.49,3.49,3.33,3.43,500,0,0
2018-08-13,3.42,3.57,3.4,3.42,6600,0,0
2018-08-14,3.27,3.85,3.0,3.85,37000,0,0
2018-08-15,3.75,3.75,3.53,3.75,2100,0,0
2018-08-16,3.75,3.75,3.75,3.75,600,0,0
2018-08-17,3.76,3.84,3.26,3.84,20000,0,0
2018-08-20,3.8,3.84,3.5,3.52,12300,0,0
2018-08-21,3.65,3.85,3.6,3.71,9300,0,0
2018-08-22,3.65,3.65,3.6,3.6,4100,0,0
2018-08-23,3.51,3.54,3.38,3.54,4000,0,0
2018-08-24,3.17,3.26,2.94,3.25,7000,0,0
2018-08-27,3.41,3.41,2.95,3.02,15300,0,0
2018-08-28,3.1,3.1,3.02,3.1,3000,0,0
2018-08-29,3.33,3.33,2.99,3.03,7300,0,0
2018-08-30,3.05,3.2,3.0,3.15,10100,0,0
2018-08-31,3.0,3.1,3.0,3.08,14300,0,0
2018-09-04,3.34,3.6,2.74,3.13,15500,0,0
2018-09-05,2.8,3.46,2.75,2.9,22000,0,0
2018-09-06,2.99,3.58,2.9,2.9,21500,0,0
2018-09-07,3.09,3.09,2.74,2.9,1700,0,0
2018-09-10,3.0,3.0,2.77,2.8,5000,0,0
2018-09-11,2.76,3.0,2.75,2.85,17200,0,0
2018-09-12,3.0,3.45,2.76,2.89,98100,0,0
2018-09-13,3.0,3.0,2.51,2.94,24100,0,0
2018-09-14,2.9,2.95,2.73,2.75,6300,0,0
2018-09-17,2.85,3.36,2.76,2.92,33700,0,0
2018-09-18,2.99,3.89,2.99,3.2,294300,0,0
2018-09-19,3.18,3.2,2.76,2.9,30900,0,0
2018-09-20,2.88,3.19,2.85,2.94,12000,0,0
2018-09-21,3.16,3.21,2.9,2.9,18600,0,0
2018-09-24,3.04,3.04,2.81,2.91,1100,0,0
2018-09-25,2.89,3.15,2.83,2.85,59800,0,0
2018-09-26,2.95,2.95,2.75,2.75,21700,0,0
2018-09-27,2.75,2.99,2.75,2.87,2300,0,0
2018-09-28,2.93,3.08,2.73,2.73,17800,0,0
2018-10-01,2.76,2.86,2.72,2.72,12000,0,0
2018-10-02,2.76,2.76,2.56,2.64,32400,0,0
2018-10-03,2.87,3.4,2.61,2.7,24600,0,0
2018-10-04,2.71,3.1,2.71,2.75,5000,0,0
2018-10-05,2.72,3.0,2.72,2.75,1800,0,0
2018-10-08,2.85,2.88,2.72,2.72,3900,0,0
2018-10-09,2.6,2.96,2.6,2.96,2000,0,0
2018-10-10,2.88,2.88,2.6,2.6,7200,0,0
2018-10-11,2.74,2.86,2.56,2.64,6100,0,0
2018-10-12,2.63,2.63,2.61,2.61,3000,0,0
2018-10-15,2.59,2.59,2.56,2.56,3400,0,0
2018-10-16,2.62,2.62,2.56,2.56,7600,0,0
2018-10-17,2.56,2.57,2.56,2.57,1100,0,0
2018-10-18,2.57,2.59,2.17,2.19,11200,0,0
2018-10-19,2.52,2.68,2.52,2.63,2700,0,0
2018-10-22,2.62,2.62,2.4,2.41,2600,0,0
2018-10-23,2.6,2.79,2.25,2.6,9300,0,0
2018-10-24,2.51,2.51,2.05,2.11,15900,0,0
2018-10-25,2.24,2.24,1.85,2.0,10600,0,0
2018-10-26,1.99,2.1,1.86,1.95,1400,0,0
2018-10-29,2.04,2.04,1.88,1.88,400,0,0
2018-10-30,2.01,2.06,1.9,1.9,5600,0,0
2018-10-31,1.91,1.91,1.85,1.89,11500,0,0
2018-11-01,1.97,1.97,1.85,1.91,19900,0,0
2018-11-02,1.88,2.12,1.87,2.0,45600,0,0
2018-11-05,1.9,2.25,1.86,1.93,253400,0,0
2018-11-06,2.12,2.12,1.7,1.7,47700,0,0
2018-11-07,1.68,1.68,1.23,1.4,78700,0,0
2018-11-08,1.54,2.1,1.26,1.4,512500,0,0
2018-11-09,1.49,1.65,1.3,1.57,139800,0,0
2018-11-12,1.62,1.64,1.4,1.41,38200,0,0
2018-11-13,1.5,1.5,1.27,1.27,65200,0,0
2018-11-14,1.27,1.39,1.11,1.21,37700,0,0
2018-11-15,1.27,1.44,1.11,1.38,56700,0,0
2018-11-16,1.45,1.45,1.22,1.44,6900,0,0
2018-11-19,1.44,1.44,1.29,1.38,34200,0,0
2018-11-20,1.26,1.52,1.26,1.35,40700,0,0
2018-11-21,1.45,1.57,1.44,1.52,34400,0,0
2018-11-23,1.54,1.54,1.33,1.33,44000,0,0
2018-11-26,1.54,1.68,1.43,1.66,49400,0,0
2018-11-27,1.66,1.66,1.33,1.35,12100,0,0
2018-11-28,1.47,1.47,1.3,1.32,28200,0,0
2018-11-29,1.42,4.26,1.42,2.8,6571900,0,0
2018-11-30,3.54,5.0,3.54,3.84,18334000,0,0
2018-12-03,3.5,3.5,2.77,2.83,1096000,0,0
2018-12-04,2.8,3.39,2.67,2.8,614500,0,0
2018-12-06,2.8,3.14,2.5,3.0,461300,0,0
2018-12-07,3.0,3.03,2.38,2.38,226100,0,0
2018-12-10,2.38,2.5,1.98,2.13,255600,0,0
2018-12-11,2.14,2.24,1.8,1.96,147800,0,0
2018-12-12,2.02,2.25,1.85,2.03,275000,0,0
2018-12-13,2.88,4.33,2.55,4.16,29024000,0,0
2018-12-14,3.65,4.09,3.33,3.8,4458700,0,0
2018-12-17,3.46,3.6,2.8,2.8,717700,0,0
2018-12-18,2.89,3.18,2.72,2.95,441700,0,0
2018-12-19,3.52,4.18,3.29,3.64,10434200,0,0
2018-12-20,3.57,3.57,2.86,3.07,945200,0,0
2018-12-21,3.2,4.3,3.0,4.3,812000,0,0
2018-12-24,3.85,5.75,3.6,4.95,4458300,0,0
2018-12-26,5.5,7.45,5.45,6.31,10023500,0,0
2018-12-27,5.7,6.67,5.45,5.78,2576300,0,0
2018-12-28,5.8,5.9,5.1,5.55,563200,0,0
2018-12-31,5.42,5.51,5.01,5.12,246900,0,0
2019-01-02,4.94,6.5,4.65,6.5,1003200,0,0
2019-01-03,6.29,7.18,6.05,6.75,2134500,0,0
2019-01-04,6.78,7.15,6.11,6.4,769800,0,0
2019-01-07,6.4,6.55,5.7,6.0,260400,0,0
2019-01-08,5.89,6.29,5.78,6.29,172000,0,0
2019-01-09,6.23,6.25,6.0,6.05,66400,0,0
2019-01-10,6.0,7.09,6.0,6.78,843400,0,0
2019-01-11,6.83,7.49,6.5,6.97,387500,0,0
2019-01-14,7.09,7.55,6.97,7.27,295200,0,0
2019-01-15,7.48,9.44,7.35,8.33,1449200,0,0
2019-01-16,8.19,8.49,7.52,7.6,277300,0,0
2019-01-17,7.6,7.68,6.9,7.1,263800,0,0
2019-01-18,7.1,8.0,6.31,6.7,551800,0,0
2019-01-22,6.44,7.14,5.78,5.8,430400,0,0
2019-01-23,5.66,5.8,5.0,5.4,400000,0,0
2019-01-24,5.71,6.39,5.35,5.95,363200,0,0
2019-01-25,5.96,6.0,5.52,5.84,103600,0,0
2019-01-28,5.69,5.69,5.07,5.2,300100,0,0
2019-01-29,5.16,5.4,4.66,4.82,292900,0,0
2019-01-30,4.96,6.11,4.7,5.48,358700,0,0
2019-01-31,5.42,5.6,5.09,5.47,117400,0,0
2019-02-01,5.75,7.0,5.65,6.88,1899200,0,0
2019-02-04,6.76,6.8,6.1,6.46,837300,0,0
2019-02-05,6.17,6.64,6.05,6.19,253000,0,0
2019-02-06,6.1,6.13,5.75,5.95,223000,0,0
2019-02-07,5.95,5.95,5.65,5.86,82700,0,0
2019-02-08,5.76,5.76,5.18,5.39,172200,0,0
2019-02-11,5.35,5.76,5.21,5.25,166100,0,0
2019-02-12,4.98,5.15,4.21,4.74,1430000,0,0
2019-02-13,4.72,5.05,4.35,4.64,527700,0,0
2019-02-14,4.37,4.65,4.21,4.3,326300,0,0
2019-02-15,4.36,4.38,3.94,4.2,452100,0,0
2019-02-19,4.07,4.15,3.52,3.59,712200,0,0
2019-02-20,3.8,3.9,3.2,3.37,888100,0,0
2019-02-21,3.35,4.6,3.29,3.97,5511600,0,0
2019-02-22,3.98,4.19,3.8,3.83,530900,0,0
2019-02-25,3.76,4.0,3.56,3.97,342700,0,0
2019-02-26,3.78,3.93,3.68,3.69,270900,0,0
2019-02-27,3.76,3.78,3.57,3.6,142200,0,0
2019-02-28,3.65,4.09,3.42,3.61,752300,0,0
2019-03-01,3.61,3.65,3.41,3.51,181600,0,0
2019-03-04,3.5,3.55,3.27,3.37,146600,0,0
2019-03-05,3.38,3.4,3.25,3.33,203100,0,0
2019-03-06,3.36,3.58,3.27,3.45,750500,0,0
2019-03-07,3.5,3.51,3.27,3.33,203900,0,0
2019-03-08,3.3,3.92,3.29,3.39,1769000,0,0
2019-03-11,3.35,3.71,3.35,3.61,561000,0,0
2019-03-12,3.59,3.69,3.42,3.45,383600,0,0
2019-03-13,3.47,3.67,3.43,3.63,288600,0,0
2019-03-14,3.6,3.9,3.6,3.63,724400,0,0
2019-03-15,3.6,3.73,3.3,3.31,519300,0,0
2019-03-18,3.35,3.39,2.99,3.01,477000,0,0
2019-03-19,3.01,3.15,2.92,2.98,205400,0,0
2019-03-20,3.0,3.07,2.88,2.92,96000,0,0
2019-03-21,2.91,3.11,2.74,3.11,198300,0,0
2019-03-22,3.1,3.13,2.85,3.01,139100,0,0
2019-03-25,2.99,2.99,2.83,2.98,59500,0,0
2019-03-26,2.98,3.03,2.85,2.95,66100,0,0
2019-03-27,2.96,2.96,2.82,2.94,58100,0,0
2019-03-28,2.93,3.28,2.89,3.24,225400,0,0
2019-03-29,3.28,3.6,3.27,3.43,302800,0,0
2019-04-01,3.41,3.48,3.12,3.15,130400,0,0
2019-04-02,3.41,3.47,3.21,3.22,198500,0,0
2019-04-03,3.24,3.35,3.12,3.21,71300,0,0
2019-04-04,3.19,3.22,3.01,3.08,86800,0,0
2019-04-05,3.11,3.18,3.02,3.07,65300,0,0
2019-04-08,3.05,3.17,2.9,2.98,118200,0,0
2019-04-09,2.99,3.02,2.91,2.95,53400,0,0
2019-04-10,2.95,3.07,2.9,2.96,72400,0,0
2019-04-11,2.95,3.0,2.88,2.9,41500,0,0
2019-04-12,2.91,3.0,2.9,2.93,32800,0,0
2019-04-15,2.94,3.08,2.84,2.93,148800,0,0
2019-04-16,2.97,3.0,2.82,2.91,108000,0,0
2019-04-17,2.9,2.92,2.81,2.83,50300,0,0
2019-04-18,2.8,2.9,2.53,2.69,121800,0,0
2019-04-22,2.68,2.89,2.65,2.69,59400,0,0
2019-04-23,2.69,2.69,2.49,2.59,188700,0,0
2019-04-24,2.47,2.58,2.35,2.4,142500,0,0
2019-04-25,2.43,2.52,2.32,2.4,60700,0,0
2019-04-26,2.34,2.5,2.27,2.5,50000,0,0
2019-04-29,2.5,2.58,2.38,2.55,189600,0,0
2019-04-30,2.51,2.75,2.45,2.62,131700,0,0
2019-05-01,2.58,2.75,2.5,2.72,315400,0,0
2019-05-02,2.8,2.86,2.6,2.83,213900,0,0
2019-05-03,2.78,2.98,2.66,2.89,285500,0,0
2019-05-06,2.85,2.91,2.75,2.88,99800,0,0
2019-05-07,3.02,3.13,2.75,2.76,208300,0,0
2019-05-08,2.74,2.82,2.65,2.77,107100,0,0
2019-05-09,2.75,2.81,2.6,2.63,45800,0,0
2019-05-10,2.63,2.63,2.31,2.37,111400,0,0
2019-05-13,2.37,2.4,2.25,2.26,58100,0,0
2019-05-14,2.34,2.39,2.18,2.23,42700,0,0
2019-05-15,2.25,2.37,2.19,2.28,37300,0,0
2019-05-16,2.34,2.34,2.19,2.25,14800,0,0
2019-05-17,2.22,2.29,2.2,2.26,39600,0,0
2019-05-20,2.33,2.33,2.15,2.2,56900,0,0
2019-05-21,2.16,2.22,2.02,2.15,60500,0,0
2019-05-22,2.15,2.25,2.15,2.21,39100,0,0
2019-05-23,2.2,2.37,2.2,2.3,44900,0,0
