Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-08-14,998.75,1020.0,892.5,892.5,1500,0,0.0
1995-08-15,913.75,913.75,828.75,828.75,400,0,0.0
1995-08-16,903.125,935.0,881.875,935.0,200,0,0.0
1995-08-17,956.25,1041.25,892.5,956.25,900,0,0.0
1995-08-18,988.125,1062.5,977.5,1020.0,900,0,0.0
1995-08-21,1062.5,1147.5,1020.0,1105.0,1000,0,0.0
1995-08-22,1147.5,1147.5,977.5,1083.75,500,0,0.0
1995-08-23,1105.0,1105.0,1020.0,1062.5,500,0,0.0
1995-08-24,1083.75,1232.5,1062.5,1147.5,1100,0,0.0
1995-08-25,1168.75,1190.0,1073.125,1126.25,800,0,0.0
1995-08-28,1126.25,1126.25,1083.75,1105.0,100,0,0.0
1995-08-29,1105.0,1105.0,977.5,977.5,100,0,0.0
1995-08-30,1041.25,1041.25,977.5,1020.0,0,0,0.0
1995-08-31,1062.5,1062.5,1020.0,1041.25,200,0,0.0
1995-09-01,1062.5,1062.5,1020.0,1062.5,0,0,0.0
1995-09-05,1020.0,1062.5,1020.0,1062.5,100,0,0.0
1995-09-06,1062.5,1062.5,998.75,998.75,100,0,0.0
1995-09-07,977.5,998.75,913.75,913.75,200,0,0.0
1995-09-08,913.75,977.5,913.75,956.25,100,0,0.0
1995-09-11,956.25,977.5,935.0,935.0,0,0,0.0
1995-09-12,977.5,977.5,935.0,956.25,0,0,0.0
1995-09-13,977.5,977.5,935.0,977.5,100,0,0.0
1995-09-14,935.0,977.5,935.0,935.0,100,0,0.0
1995-09-15,935.0,977.5,913.75,977.5,0,0,0.0
1995-09-18,977.5,977.5,913.75,913.75,0,0,0.0
1995-09-19,913.75,913.75,913.75,913.75,0,0,0.0
1995-09-20,935.0,956.25,913.75,956.25,0,0,0.0
1995-09-21,956.25,956.25,903.125,932.3438,0,0,0.0
1995-09-22,892.5,935.0,892.5,892.5,100,0,0.0
1995-09-25,892.5,935.0,892.5,892.5,100,0,0.0
1995-09-26,935.0,935.0,871.25,892.5,0,0,0.0
1995-09-27,871.25,913.75,828.75,828.75,0,0,0.0
1995-09-28,850.0,871.25,850.0,850.0,100,0,0.0
