Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-27,2.61,2.61,2.61,2.61,0,0,0
2016-07-26,2.38,2.38,2.38,2.38,0,0,0
2016-09-28,2.38,2.38,2.38,2.38,0,0,0
2020-01-29,14.5,14.5,14.5,14.5,210,0,0
2020-01-30,14.5,14.5,14.5,14.5,0,0,0
2020-01-31,13.5,13.5,13.5,13.5,210,0,0
2020-02-03,13.5,13.5,13.5,13.5,0,0,0
2020-02-04,13.5,13.5,13.5,13.5,0,0,0
2020-02-05,13.5,13.5,13.5,13.5,0,0,0
2020-02-06,13.5,13.5,13.5,13.5,0,0,0
2020-02-07,13.5,13.5,13.5,13.5,0,0,0
2020-02-10,13.5,13.5,13.5,13.5,0,0,0
2020-02-11,13.5,13.5,13.5,13.5,0,0,0
2020-02-12,11.32,11.32,11.3,11.3,1000,0,0
2020-02-13,11.3,11.3,11.3,11.3,0,0,0
2020-02-14,11.3,11.3,11.3,11.3,0,0,0
2020-02-18,11.3,11.3,11.3,11.3,0,0,0
2020-02-19,11.3,11.3,11.3,11.3,0,0,0
2020-02-20,11.3,11.3,11.3,11.3,0,0,0
2020-02-21,11.3,11.3,11.3,11.3,0,0,0
2020-02-24,11.3,11.3,11.3,11.3,0,0,0
2020-02-25,11.3,11.3,11.3,11.3,0,0,0
2020-02-26,11.3,11.3,11.3,11.3,0,0,0
2020-02-27,11.3,11.3,11.3,11.3,0,0,0
2020-02-28,11.3,11.3,11.3,11.3,0,0,0
2020-03-02,11.3,11.3,11.3,11.3,0,0,0
2020-03-03,11.3,11.3,11.3,11.3,0,0,0
2020-03-04,11.3,11.3,11.3,11.3,0,0,0
2020-03-05,11.3,11.3,11.3,11.3,0,0,0
2020-03-06,11.3,11.3,11.3,11.3,0,0,0
2020-03-06,11.32,10.68,10.68,10.68,6,0,0
