Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-10-25,9.63,9.63,9.57,9.58,665300,0,0
2017-10-26,9.58,9.61,9.55,9.55,1000800,0,0
2017-10-27,9.55,9.56,9.537,9.54,17000,0,0
2017-10-30,9.58,9.58,9.58,9.58,1000,0,0
2017-10-31,9.55,9.56,9.55,9.56,14600,0,0
2017-11-01,9.52,9.57,9.52,9.57,1300,0,0
2017-11-02,9.57,9.57,9.57,9.57,1200,0,0
2017-11-03,9.57,9.57,9.57,9.57,4000,0,0
2017-11-06,9.57,9.57,9.55,9.56,30100,0,0
2017-11-07,9.56,9.56,9.56,9.56,0,0,0
2017-11-08,9.56,9.56,9.56,9.56,0,0,0
2017-11-09,9.55,9.57,9.53,9.53,37000,0,0
2017-11-10,9.54,9.54,9.54,9.54,9700,0,0
2017-11-13,9.52,9.52,9.52,9.52,700,0,0
2017-11-14,9.52,9.52,9.52,9.52,0,0,0
2017-11-15,9.54,9.54,9.54,9.54,2500,0,0
2017-11-16,9.53,9.53,9.53,9.53,100000,0,0
2017-11-17,9.57,9.57,9.56,9.568,38000,0,0
2017-11-20,9.57,9.57,9.57,9.57,1000,0,0
2017-11-21,9.58,9.58,9.57,9.58,72700,0,0
2017-11-22,9.58,9.58,9.58,9.58,0,0,0
2017-11-24,9.58,9.58,9.58,9.58,0,0,0
2017-11-27,9.58,9.59,9.58,9.59,1200,0,0
2017-11-28,9.59,9.59,9.59,9.59,0,0,0
2017-11-29,9.59,9.6,9.59,9.6,14600,0,0
2017-11-30,9.58,9.6,9.58,9.6,2500,0,0
2017-12-01,9.6,9.6,9.6,9.6,0,0,0
2017-12-04,9.57,9.6,9.57,9.6,28600,0,0
2017-12-05,9.59,9.59,9.59,9.59,2000,0,0
2017-12-06,9.62,9.62,9.59,9.59,7700,0,0
2017-12-07,9.59,9.59,9.59,9.59,0,0,0
2017-12-08,9.59,9.59,9.59,9.59,0,0,0
2017-12-11,9.59,9.59,9.59,9.59,15100,0,0
2017-12-12,9.59,9.59,9.59,9.59,0,0,0
2017-12-13,9.59,9.59,9.59,9.59,0,0,0
2017-12-14,9.59,9.59,9.59,9.59,0,0,0
2017-12-15,9.61,9.62,9.6,9.62,26500,0,0
2017-12-18,9.62,9.62,9.62,9.62,600,0,0
2017-12-19,9.6,9.6,9.6,9.6,500,0,0
2017-12-20,9.6,9.6,9.6,9.6,0,0,0
2017-12-21,9.6,9.6,9.6,9.6,0,0,0
2017-12-22,9.6,9.6,9.6,9.6,0,0,0
2017-12-26,9.6,9.6,9.6,9.6,0,0,0
2017-12-27,9.63,9.65,9.62,9.65,23300,0,0
2017-12-28,9.66,9.7,9.65,9.65,96500,0,0
2017-12-29,9.65,9.65,9.65,9.65,0,0,0
2018-01-02,9.58,9.58,9.58,9.58,300,0,0
2018-01-03,9.63,9.63,9.63,9.63,4200,0,0
2018-01-04,9.63,9.63,9.63,9.63,0,0,0
2018-01-05,9.63,9.63,9.63,9.63,0,0,0
2018-01-08,9.63,9.65,9.63,9.65,4100,0,0
2018-01-09,9.64,9.65,9.64,9.65,152800,0,0
2018-01-10,9.65,9.65,9.65,9.65,96600,0,0
2018-01-11,9.65,9.65,9.65,9.65,0,0,0
2018-01-12,9.67,9.67,9.65,9.67,700,0,0
2018-01-16,9.67,9.67,9.67,9.67,200,0,0
2018-01-17,9.67,9.67,9.67,9.67,200,0,0
2018-01-18,9.65,9.65,9.65,9.65,1600,0,0
2018-01-19,9.65,9.65,9.65,9.65,0,0,0
2018-01-22,9.65,9.65,9.65,9.65,0,0,0
2018-01-23,9.65,9.65,9.65,9.65,0,0,0
2018-01-24,9.65,9.65,9.65,9.65,0,0,0
2018-01-25,9.65,9.65,9.65,9.65,0,0,0
2018-01-26,9.65,9.65,9.65,9.65,0,0,0
2018-01-29,9.65,9.65,9.65,9.65,0,0,0
2018-01-30,9.65,9.65,9.65,9.65,0,0,0
2018-01-31,9.66,9.66,9.66,9.66,6000,0,0
2018-02-01,9.66,9.66,9.66,9.66,0,0,0
2018-02-02,9.66,9.66,9.65,9.655,15300,0,0
2018-02-05,9.634,9.66,9.6,9.6,87700,0,0
2018-02-06,9.6,9.6,9.6,9.6,0,0,0
2018-02-07,9.67,9.67,9.62,9.655,692400,0,0
2018-02-08,9.67,9.67,9.655,9.655,700,0,0
2018-02-09,9.67,9.67,9.64,9.64,300200,0,0
2018-02-12,9.68,9.68,9.68,9.68,100,0,0
2018-02-13,9.68,9.68,9.68,9.68,0,0,0
2018-02-14,9.68,9.69,9.68,9.69,300,0,0
2018-02-15,9.65,9.65,9.65,9.65,200,0,0
2018-02-16,9.65,9.65,9.65,9.65,0,0,0
2018-02-20,9.69,9.69,9.65,9.65,6600,0,0
2018-02-21,9.65,9.65,9.65,9.65,0,0,0
2018-02-22,9.65,9.65,9.65,9.65,0,0,0
2018-02-23,9.65,9.65,9.65,9.65,0,0,0
2018-02-26,9.65,9.65,9.65,9.65,100,0,0
2018-02-27,9.689,9.689,9.689,9.689,706900,0,0
2018-02-28,9.689,9.689,9.689,9.689,0,0,0
2018-03-01,9.643,9.65,9.62,9.65,3800,0,0
2018-03-02,9.65,9.65,9.65,9.65,0,0,0
2018-03-05,9.65,9.65,9.65,9.65,0,0,0
2018-03-06,9.65,9.65,9.65,9.65,0,0,0
2018-03-07,9.65,9.65,9.65,9.65,0,0,0
2018-03-08,9.65,9.65,9.65,9.65,0,0,0
2018-03-09,9.65,9.65,9.65,9.65,0,0,0
2018-03-12,9.66,9.66,9.66,9.66,150000,0,0
2018-03-13,9.67,9.67,9.66,9.66,800,0,0
2018-03-14,9.67,9.685,9.67,9.685,1300,0,0
2018-03-15,9.68,9.68,9.65,9.65,1400,0,0
2018-03-16,9.66,9.66,9.66,9.66,900,0,0
2018-03-19,9.66,9.66,9.66,9.66,0,0,0
2018-03-20,9.67,9.67,9.65,9.66,10600,0,0
2018-03-21,9.66,9.66,9.66,9.66,0,0,0
2018-03-22,9.72,9.72,9.72,9.72,200500,0,0
2018-03-23,9.72,9.72,9.72,9.72,0,0,0
2018-03-26,9.69,9.69,9.69,9.69,200,0,0
2018-03-27,9.68,9.68,9.68,9.68,100,0,0
2018-03-28,9.69,9.69,9.69,9.69,100,0,0
2018-03-29,9.69,9.69,9.69,9.69,100,0,0
2018-04-02,9.69,9.69,9.69,9.69,600,0,0
2018-04-03,9.71,9.71,9.69,9.69,1200,0,0
2018-04-04,9.72,9.72,9.72,9.72,5100,0,0
2018-04-05,9.71,9.71,9.71,9.71,100,0,0
2018-04-06,9.71,9.71,9.71,9.71,0,0,0
2018-04-09,9.71,9.71,9.71,9.71,0,0,0
2018-04-10,9.69,9.69,9.69,9.69,100000,0,0
2018-04-11,9.71,9.72,9.71,9.72,72300,0,0
2018-04-12,9.7,9.7,9.7,9.7,106100,0,0
2018-04-13,9.73,9.73,9.7,9.7,8900,0,0
2018-04-16,9.7,9.7,9.7,9.7,0,0,0
2018-04-17,9.7,9.7,9.7,9.7,0,0,0
2018-04-18,9.72,9.73,9.72,9.73,300,0,0
2018-04-19,9.75,9.75,9.73,9.73,800,0,0
2018-04-20,9.72,9.72,9.72,9.72,1100,0,0
2018-04-23,9.72,9.725,9.72,9.725,2000,0,0
2018-04-24,9.725,9.725,9.725,9.725,0,0,0
2018-04-25,9.75,9.75,9.75,9.75,6000,0,0
2018-04-26,9.75,9.75,9.75,9.75,1000,0,0
2018-04-27,9.75,9.75,9.74,9.74,1900,0,0
2018-04-30,9.74,9.74,9.74,9.74,7800,0,0
2018-05-01,9.74,9.74,9.74,9.74,0,0,0
2018-05-02,9.75,9.75,9.75,9.75,400,0,0
2018-05-03,9.721,9.721,9.721,9.721,1000,0,0
2018-05-04,9.721,9.721,9.721,9.721,0,0,0
2018-05-07,9.73,9.75,9.72,9.75,100200,0,0
2018-05-08,9.75,9.75,9.75,9.75,0,0,0
2018-05-09,9.73,9.73,9.73,9.73,200,0,0
2018-05-10,9.72,9.76,9.72,9.76,5000,0,0
2018-05-11,9.77,9.77,9.77,9.77,5000,0,0
2018-05-14,9.769,9.77,9.769,9.77,18000,0,0
2018-05-15,9.78,9.78,9.78,9.78,300,0,0
2018-05-16,9.78,9.78,9.78,9.78,0,0,0
2018-05-17,9.78,9.78,9.78,9.78,0,0,0
2018-05-18,9.78,9.78,9.78,9.78,0,0,0
2018-05-21,9.75,9.75,9.75,9.75,137100,0,0
2018-05-22,9.75,9.75,9.75,9.75,385200,0,0
2018-05-23,9.75,9.75,9.75,9.75,553000,0,0
2018-05-24,9.75,9.75,9.75,9.75,0,0,0
2018-05-25,9.759,9.759,9.759,9.759,100,0,0
2018-05-29,9.77,9.77,9.77,9.77,600,0,0
2018-05-30,9.77,9.77,9.77,9.77,2700,0,0
2018-05-31,9.77,9.77,9.77,9.77,500,0,0
2018-06-01,9.72,9.78,9.72,9.78,1100,0,0
2018-06-04,9.78,9.78,9.78,9.78,0,0,0
2018-06-05,9.78,9.78,9.78,9.78,0,0,0
2018-06-06,9.777,9.777,9.777,9.777,500,0,0
2018-06-07,9.78,9.78,9.78,9.78,1000,0,0
2018-06-08,9.78,9.78,9.78,9.78,0,0,0
2018-06-11,9.75,9.79,9.75,9.79,184900,0,0
2018-06-12,9.76,9.76,9.76,9.76,1000,0,0
2018-06-13,9.76,9.76,9.75,9.76,205000,0,0
2018-06-14,9.76,9.8,9.76,9.79,15000,0,0
2018-06-15,9.79,9.79,9.79,9.79,0,0,0
2018-06-18,9.79,9.79,9.79,9.79,0,0,0
2018-06-19,9.79,9.79,9.79,9.79,0,0,0
2018-06-20,9.79,9.79,9.79,9.79,0,0,0
2018-06-21,9.789,9.789,9.789,9.789,300,0,0
2018-06-22,9.789,9.789,9.789,9.789,0,0,0
2018-06-25,9.8,9.8,9.8,9.8,2000,0,0
2018-06-26,9.77,9.8,9.76,9.8,700300,0,0
2018-06-27,9.8,9.8,9.8,9.8,0,0,0
2018-06-28,9.8,9.8,9.8,9.8,0,0,0
2018-06-29,9.8,9.8,9.8,9.8,0,0,0
2018-07-02,9.8,9.8,9.8,9.8,0,0,0
2018-07-03,9.8,9.8,9.8,9.8,0,0,0
2018-07-05,9.79,9.79,9.78,9.78,300,0,0
2018-07-06,9.77,9.77,9.76,9.76,300,0,0
2018-07-09,9.76,9.76,9.76,9.76,0,0,0
2018-07-10,9.76,9.76,9.76,9.76,0,0,0
2018-07-11,9.76,9.76,9.76,9.76,0,0,0
2018-07-12,9.76,9.77,9.76,9.77,24800,0,0
