Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-05-10,6600.0,6825.0,6000.0,6375.0,0,0,0.0
2000-05-11,6300.0,6300.0,5850.0,5850.0,0,0,0.0
2000-05-12,5775.0,6150.0,5775.0,5850.0,0,0,0.0
2000-05-15,5850.0,5850.0,5850.0,5850.0,0,0,0.0
2000-05-16,5850.0,6375.0,5850.0,6225.0,0,0,0.0
2000-05-17,6450.0,6450.0,6225.0,6450.0,0,0,0.0
2000-05-18,6525.0,6525.0,6150.0,6150.0,0,0,0.0
2000-05-19,6375.0,6375.0,6000.0,6225.0,0,0,0.0
2000-05-22,6225.0,6225.0,6225.0,6225.0,0,0,0.0
2000-05-23,5775.0,5775.0,5775.0,5775.0,0,0,0.0
2000-05-24,5775.0,5775.0,5400.0,5400.0,0,0,0.0
2000-05-25,5175.0,5175.0,4800.0,4950.0,0,0,0.0
2000-05-26,4800.0,4800.0,4800.0,4800.0,0,0,0.0
2000-05-30,4950.0,4950.0,4950.0,4950.0,0,0,0.0
2000-05-31,5400.0,6000.0,5250.0,5250.0,0,0,0.0
2000-06-01,5250.0,5250.0,5250.0,5250.0,0,0,0.0
2000-06-02,5250.0,5250.0,5250.0,5250.0,0,0,0.0
2000-06-05,5175.0,5175.0,5175.0,5175.0,0,0,0.0
2000-06-06,5400.0,5400.0,5400.0,5400.0,0,0,0.0
2000-06-07,5700.0,5700.0,5700.0,5700.0,0,0,0.0
2000-06-08,5700.0,6000.0,5137.5,5137.5,0,0,0.0
2000-06-09,5700.0,5700.0,5700.0,5700.0,0,0,0.0
2000-06-12,5400.0,5400.0,5100.0,5100.0,0,0,0.0
2000-06-13,5100.0,5100.0,5100.0,5100.0,0,0,0.0
2000-06-14,5400.0,5400.0,5400.0,5400.0,0,0,0.0
2000-06-15,5475.0,6000.0,5475.0,6000.0,0,0,0.0
2000-06-16,6075.0,6825.0,6075.0,6825.0,0,0,0.0
2000-06-19,6900.0,6900.0,6525.0,6675.0,0,0,0.0
2000-06-20,6600.0,6600.0,6600.0,6600.0,0,0,0.0
2000-06-21,6900.0,6900.0,6825.0,6825.0,0,0,0.0
2000-06-22,6750.0,6750.0,6450.0,6450.0,0,0,0.0
2000-06-23,6487.5,6487.5,6450.0,6450.0,0,0,0.0
2000-06-26,6450.0,6450.0,6300.0,6300.0,0,0,0.0
2000-06-27,6300.0,6300.0,6225.0,6225.0,0,0,0.0
2000-06-28,6225.0,6225.0,6225.0,6225.0,0,0,0.0
2000-06-29,6300.0,6300.0,6300.0,6300.0,0,0,0.0
2000-06-30,6600.0,6600.0,6600.0,6600.0,0,0,0.0
2000-07-03,6150.0,6150.0,6000.0,6000.0,0,0,0.0
2000-07-05,6000.0,6600.0,6000.0,6600.0,0,0,0.0
2000-07-06,6225.0,6225.0,6225.0,6225.0,0,0,0.0
2000-07-07,6000.0,6000.0,5775.0,5775.0,0,0,0.0
2000-07-10,6000.0,6000.0,6000.0,6000.0,0,0,0.0
2000-07-11,6225.0,6600.0,6225.0,6600.0,0,0,0.0
2000-07-12,6600.0,6600.0,6600.0,6600.0,0,0,0.0
2000-07-13,5700.0,5700.0,5700.0,5700.0,0,0,0.0
2000-07-14,5700.0,5700.0,5700.0,5700.0,0,0,0.0
2000-07-17,5625.0,5700.0,5550.0,5700.0,0,0,0.0
2000-07-18,5550.0,5550.0,5550.0,5550.0,0,0,0.0
2000-07-19,5400.0,5700.0,5400.0,5700.0,0,0,0.0
2000-07-20,5850.0,5850.0,5850.0,5850.0,0,0,0.0
2000-07-21,5775.0,5775.0,5700.0,5700.0,0,0,0.0
2000-07-24,5700.0,5700.0,5700.0,5700.0,0,0,0.0
2000-07-25,5700.0,5700.0,5700.0,5700.0,0,0,0.0
2000-07-26,5700.0,5700.0,5700.0,5700.0,0,0,0.0
2000-07-27,5512.5,5512.5,5512.5,5512.5,0,0,0.0
2000-07-28,5400.0,5400.0,4950.0,4950.0,0,0,0.0
2000-07-31,4950.0,4950.0,4950.0,4950.0,0,0,0.0
2000-08-01,4950.0,4950.0,4950.0,4950.0,0,0,0.0
2000-08-02,4950.0,4950.0,4950.0,4950.0,0,0,0.0
2000-08-03,4950.0,4950.0,4950.0,4950.0,0,0,0.0
2000-08-04,4950.0,4950.0,4950.0,4950.0,0,0,0.0
2000-08-07,5100.0,5100.0,4725.0,4950.0,0,0,0.0
2000-08-08,5250.0,5325.0,5100.0,5100.0,0,0,0.0
2000-08-09,5100.0,5100.0,5100.0,5100.0,0,0,0.0
2000-08-10,5100.0,5100.0,5100.0,5100.0,0,0,0.0
2000-08-11,5325.0,5400.0,5325.0,5400.0,0,0,0.0
2000-08-14,5250.0,5850.0,5250.0,5850.0,0,0,0.0
2000-08-15,6000.0,6000.0,6000.0,6000.0,0,0,0.0
2000-08-16,6000.0,6000.0,5700.0,5700.0,0,0,0.0
2000-08-17,5700.0,6450.0,5700.0,5700.0,0,0,0.0
2000-08-18,5700.0,5850.0,5700.0,5850.0,0,0,0.0
2000-08-21,5850.0,5850.0,5850.0,5850.0,0,0,0.0
2000-08-22,5925.0,5925.0,5925.0,5925.0,0,0,0.0
2000-08-23,5550.0,5550.0,5550.0,5550.0,0,0,0.0
2000-08-24,5475.0,5475.0,5475.0,5475.0,0,0,0.0
2000-08-25,5400.0,5400.0,5400.0,5400.0,0,0,0.0
2000-08-28,5700.0,5700.0,5700.0,5700.0,0,0,0.0
