Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-08-07,6.55,6.55,6.55,6.55,0,0.0,0
2017-08-08,6.55,6.55,6.55,6.55,0,0.0,0
2017-08-16,21.08,21.16,21.0,21.13,4632800,0.0,0
2017-08-17,21.2,21.3,21.13,21.21,1797500,0.0,0
2017-08-18,21.21,21.3,21.17,21.24,507500,0.0,0
2017-08-21,21.24,21.34,21.17,21.21,186800,0.0,0
2017-08-22,21.25,21.34,21.2,21.26,385000,0.0,0
2017-08-23,21.3,21.41,21.27,21.31,236400,0.0,0
2017-08-24,21.3,21.38,21.26,21.27,430400,0.0,0
2017-08-25,21.33,21.41,21.25,21.33,140200,0.0,0
2017-08-28,21.26,21.47,21.26,21.33,307200,0.0,0
2017-08-29,21.32,21.34,21.28,21.31,198400,0.0,0
2017-08-30,21.3,21.4,21.3,21.33,167900,0.0,0
2017-08-31,21.36,21.36,21.3,21.33,278800,0.0,0
2017-09-01,21.33,21.36,21.3,21.36,245000,0.0,0
2017-09-05,21.41,21.41,21.31,21.31,262900,0.0,0
2017-09-06,21.37,21.45,21.32,21.45,187400,0.0,0
2017-09-07,21.47,21.54,21.39,21.54,178800,0.0,0
2017-09-08,21.47,21.58,21.47,21.55,101800,0.0,0
2017-09-11,21.59,21.59,21.5,21.53,141400,0.0,0
2017-09-12,21.54,21.58,21.5,21.57,166000,0.0,0
2017-09-13,21.53,21.58,21.46,21.52,205300,0.0,0
2017-09-14,21.49,21.64,21.49,21.58,306900,0.0,0
2017-09-15,21.58,21.58,21.5,21.53,271200,0.0,0
2017-09-18,21.55,21.64,21.5,21.64,400400,0.0,0
2017-09-19,21.64,21.64,21.55,21.58,201600,0.0,0
2017-09-20,21.62,21.66,21.56,21.59,168900,0.0,0
2017-09-21,21.58,21.65,21.55,21.56,386000,0.0,0
2017-09-22,21.53,21.61,21.53,21.59,140400,0.0,0
2017-09-25,21.61,21.65,21.59,21.64,110300,0.0,0
2017-09-26,21.67,21.7,21.62,21.68,145200,0.0,0
2017-09-27,21.65,21.76,21.63,21.71,225400,0.0,0
2017-09-28,21.8,21.9,21.73,21.88,207500,0.258,0
2017-09-29,21.89,22.28,21.81,22.19,213600,0.0,0
2017-10-02,22.21,22.21,22.02,22.11,92100,0.0,0
2017-10-03,22.15,22.15,22.03,22.04,50200,0.0,0
2017-10-04,22.03,22.18,22.02,22.05,89500,0.0,0
2017-10-05,22.11,22.16,22.07,22.13,134700,0.0,0
2017-10-06,22.07,22.15,21.97,22.11,178400,0.0,0
2017-10-09,22.11,22.2,22.07,22.09,211500,0.0,0
2017-10-10,22.15,22.16,22.04,22.1,151800,0.0,0
2017-10-11,22.08,22.2,22.08,22.16,155400,0.0,0
2017-10-12,22.17,22.28,22.16,22.25,161900,0.0,0
2017-10-13,22.28,22.47,22.25,22.45,130700,0.0,0
2017-10-16,22.35,22.72,22.35,22.49,115800,0.0,0
2017-10-17,22.5,22.56,22.45,22.5,117500,0.0,0
2017-10-18,22.55,22.78,22.5,22.71,153100,0.0,0
2017-10-19,22.67,22.75,22.63,22.72,162900,0.0,0
2017-10-20,22.75,22.76,22.56,22.72,1268100,0.0,0
2017-10-23,22.7,22.94,22.65,22.79,92200,0.0,0
2017-10-24,22.82,22.82,22.5,22.72,79600,0.0,0
2017-10-25,22.77,22.9,22.59,22.72,128300,0.0,0
2017-10-26,22.67,22.85,22.65,22.84,115400,0.0,0
2017-10-27,22.84,23.01,22.76,22.81,82000,0.0,0
2017-10-30,22.84,22.89,22.79,22.8,89800,0.0,0
2017-10-31,22.89,23.01,22.84,22.97,46100,0.0,0
2017-11-01,22.97,22.97,22.69,22.75,95400,0.0,0
2017-11-02,22.84,22.84,22.68,22.74,74300,0.0,0
2017-11-03,22.74,22.75,22.68,22.7,39700,0.0,0
2017-11-06,22.67,22.69,22.63,22.63,12400,0.0,0
2017-11-07,22.74,22.74,22.54,22.64,30900,0.0,0
2017-11-08,22.71,22.71,22.47,22.51,85600,0.0,0
2017-11-09,22.5,22.65,22.38,22.42,59000,0.0,0
2017-11-10,22.57,22.59,22.42,22.54,454100,0.0,0
2017-11-13,22.75,22.75,22.44,22.46,21800,0.0,0
2017-11-14,22.46,22.74,22.32,22.55,27500,0.0,0
2017-11-15,22.74,22.75,22.51,22.73,133000,0.0,0
2017-11-16,22.74,22.74,22.17,22.17,126200,0.0,0
