Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-05,25.0,25.51,24.97,24.98,7403400,0,0
2020-02-06,25.03,25.04,24.98,25.0,1749800,0,0
2020-02-07,25.02,25.04,24.9,24.94,900100,0,0
2020-02-10,24.96,25.0,24.91,24.92,918800,0,0
2020-02-11,24.95,24.98,24.9,24.95,899600,0,0
2020-02-12,24.93,24.99,24.85,24.89,910300,0,0
2020-02-13,24.96,24.98,24.89,24.89,1016500,0,0
2020-02-14,24.9,24.94,24.88,24.9,684900,0,0
2020-02-18,24.96,24.97,24.93,24.93,334900,0,0
2020-02-19,24.96,24.99,24.93,24.93,372900,0,0
2020-02-20,24.95,25.01,24.93,25.01,292100,0,0
2020-02-21,25.01,25.05,24.98,24.98,435800,0,0
2020-02-24,24.82,24.85,24.7,24.78,868600,0,0
2020-02-25,24.9,24.9,24.7,24.74,466700,0,0
2020-02-26,24.74,24.82,24.74,24.75,315200,0,0
2020-02-27,24.71,24.71,24.0,24.49,549900,0,0
2020-02-28,24.38,24.38,23.81,24.24,3321300,0,0
2020-03-02,24.12,24.34,23.8,24.15,510800,0,0
2020-03-03,24.21,24.64,24.15,24.26,243700,0,0
2020-03-04,24.67,24.74,24.25,24.72,67700,0,0
2020-03-05,24.43,24.62,24.43,24.6,212000,0,0
2020-03-06,24.35,24.49,24.07,24.39,168800,0,0
2020-03-09,24.35,24.09,23.02,23.85,209977,0,0
