Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-03-27,12.75,16.82,12.5,14.76,1566100,0,0
2014-03-28,14.95,15.9,13.63,14.55,183900,0,0
2014-03-31,14.6,15.45,14.6,15.0,35800,0,0
2014-04-01,15.18,18.39,15.18,15.61,120400,0,0
2014-04-02,16.0,17.18,15.5,16.35,134600,0,0
2014-04-03,16.36,16.36,15.75,16.3,9600,0,0
2014-04-04,16.4,16.529,15.8,16.08,21400,0,0
2014-04-07,16.07,16.49,13.4,14.09,59900,0,0
2014-04-08,14.01,14.85,12.75,14.84,78100,0,0
2014-04-09,14.85,15.15,13.72,14.72,37700,0,0
2014-04-10,14.34,14.82,13.41,14.42,16800,0,0
2014-04-11,13.593,14.0,13.27,13.35,5600,0,0
2014-04-14,13.28,14.86,13.28,13.5,35400,0,0
2014-04-15,14.73,14.89,11.17,12.75,100900,0,0
2014-04-16,13.78,13.88,12.828,13.65,163800,0,0
2014-04-17,13.54,15.0,13.21,14.08,48900,0,0
2014-04-21,14.01,14.32,12.91,13.32,42700,0,0
2014-04-22,13.55,13.7,12.8,13.55,46300,0,0
2014-04-23,13.7,13.7,11.848,12.98,43900,0,0
2014-04-24,12.7,13.49,12.11,12.72,19200,0,0
2014-04-25,12.44,13.315,11.285,12.84,98700,0,0
2014-04-28,12.89,12.99,11.3,12.74,99100,0,0
2014-04-29,12.58,12.9,11.325,12.9,34400,0,0
2014-04-30,12.65,12.66,11.88,12.53,15600,0,0
2014-05-01,11.631,12.8,11.631,12.58,9800,0,0
2014-05-02,11.87,12.66,11.64,12.3,10000,0,0
2014-05-05,12.44,12.65,12.2,12.42,15600,0,0
2014-05-06,12.64,12.65,11.98,11.98,5200,0,0
2014-05-07,12.22,12.54,11.85,12.31,5900,0,0
2014-05-08,12.48,12.48,11.1,11.32,17000,0,0
2014-05-09,11.5,12.45,11.3,12.1,35500,0,0
2014-05-12,12.08,12.24,11.9,11.91,9200,0,0
2014-05-13,11.85,12.3,11.85,12.2,10000,0,0
2014-05-14,12.1,12.7,12.1,12.7,8700,0,0
2014-05-15,12.35,12.69,12.2,12.69,10900,0,0
2014-05-16,12.49,13.4,12.39,13.1,19300,0,0
2014-05-19,12.99,13.26,12.52,13.26,17000,0,0
2014-05-20,13.0,13.04,12.56,13.04,13900,0,0
2014-05-21,13.24,13.3,12.5,12.5,16500,0,0
2014-05-22,12.54,13.0,12.43,12.87,20300,0,0
2014-05-23,12.73,13.2,12.73,13.2,5700,0,0
2014-05-27,13.22,13.48,12.96,13.39,17500,0,0
2014-05-28,13.115,13.42,13.02,13.35,11800,0,0
2014-05-29,13.2,13.5,13.05,13.5,20600,0,0
2014-05-30,13.6,13.74,13.25,13.7,13300,0,0
2014-06-02,13.66,21.88,13.66,19.74,212900,0,0
2014-06-03,19.0,20.5,17.46,20.03,102300,0,0
2014-06-04,20.0,21.01,18.5,20.11,56300,0,0
2014-06-05,20.15,24.25,19.74,22.16,104200,0,0
2014-06-06,22.1,22.25,19.99,21.42,53400,0,0
2014-06-09,21.69,24.54,21.42,23.87,83200,0,0
2014-06-10,24.03,25.89,23.56,25.29,40000,0,0
2014-06-11,25.08,26.81,21.66,24.05,70900,0,0
2014-06-12,24.29,26.5,24.29,25.87,94900,0,0
2014-06-13,26.51,29.63,23.3,27.49,56800,0,0
2014-06-16,26.22,28.0,24.01,27.44,98400,0,0
2014-06-17,27.3,29.87,26.95,29.87,65400,0,0
2014-06-18,31.0,33.92,30.32,31.69,157600,0,0
2014-06-19,32.4,34.37,30.5,30.95,87700,0,0
2014-06-20,30.9,31.4,28.78,30.46,195100,0,0
2014-06-23,30.65,32.65,30.47,31.27,56800,0,0
2014-06-24,31.55,32.49,30.7,31.12,84100,0,0
2014-06-25,31.12,32.0,29.91,30.65,56100,0,0
2014-06-26,30.17,30.45,27.85,28.21,49900,0,0
2014-06-27,27.9,28.8,25.17,25.18,747500,0,0
2014-06-30,25.08,25.3,22.565,23.1,84900,0,0
2014-07-01,22.97,24.35,22.01,22.49,42200,0,0
2014-07-02,22.36,24.478,21.41,24.16,50000,0,0
2014-07-03,24.45,25.45,23.5,23.77,27500,0,0
2014-07-07,23.78,25.46,22.7,23.13,38000,0,0
2014-07-08,23.3,25.09,21.65,22.22,68400,0,0
2014-07-09,22.43,23.7,20.952,21.37,38200,0,0
2014-07-10,21.07,21.14,19.65,19.71,89000,0,0
2014-07-11,19.71,20.11,18.9,19.07,30800,0,0
2014-07-14,19.46,20.16,18.61,18.79,24000,0,0
2014-07-15,19.46,19.46,16.79,17.3,76000,0,0
2014-07-16,18.14,18.14,16.55,17.92,116600,0,0
2014-07-17,17.88,18.49,17.39,17.9,25600,0,0
2014-07-18,17.69,18.52,17.51,18.52,28300,0,0
2014-07-21,18.29,18.29,16.41,17.04,27200,0,0
2014-07-22,17.22,18.184,16.47,18.06,68200,0,0
2014-07-23,18.0,18.25,16.6,16.7,96300,0,0
2014-07-24,16.81,17.01,14.91,15.61,149000,0,0
2014-07-25,15.78,18.47,15.75,17.99,590800,0,0
2014-07-28,17.64,17.73,15.84,16.58,142100,0,0
2014-07-29,16.45,18.38,15.82,16.29,215000,0,0
2014-07-30,17.755,17.936,16.45,16.87,46100,0,0
2014-07-31,16.57,16.99,15.87,16.0,42700,0,0
2014-08-01,16.05,16.096,14.85,14.93,77700,0,0
2014-08-04,14.91,16.05,14.695,15.69,52800,0,0
2014-08-05,15.5,17.06,15.5,16.9,73400,0,0
2014-08-06,16.64,17.3,16.138,16.95,30900,0,0
2014-08-07,17.27,17.27,15.8,16.65,46100,0,0
2014-08-08,16.92,17.75,16.4,17.64,64400,0,0
2014-08-11,17.64,21.65,17.64,20.98,44000,0,0
2014-08-12,20.58,20.65,18.687,19.28,54600,0,0
2014-08-13,19.12,20.344,18.37,19.21,35200,0,0
2014-08-14,19.37,21.2,19.2,21.07,43000,0,0
2014-08-15,21.11,21.11,19.34,19.62,52200,0,0
2014-08-18,19.92,20.11,18.81,19.5,38000,0,0
2014-08-19,19.062,19.87,18.66,19.06,32200,0,0
2014-08-20,19.02,19.02,18.12,18.21,16800,0,0
2014-08-21,18.7,19.01,17.71,18.43,18900,0,0
2014-08-22,18.31,18.31,17.25,18.08,48400,0,0
2014-08-25,18.18,18.56,17.078,18.01,28900,0,0
2014-08-26,18.016,18.31,17.625,18.04,22800,0,0
2014-08-27,17.86,19.15,17.86,18.97,39000,0,0
2014-08-28,18.67,19.09,18.19,18.38,47800,0,0
2014-08-29,18.37,18.66,16.822,17.1,117200,0,0
2014-09-02,17.08,17.08,15.522,16.34,58500,0,0
2014-09-03,16.4,16.4,15.21,15.88,55100,0,0
2014-09-04,16.02,17.195,15.55,15.67,45600,0,0
2014-09-05,15.55,16.21,15.11,16.15,43700,0,0
2014-09-08,16.03,16.75,15.38,16.54,52400,0,0
2014-09-09,16.52,18.55,16.263,17.72,156900,0,0
2014-09-10,17.84,18.0,16.21,17.85,72900,0,0
2014-09-11,17.7,18.11,17.095,17.95,51100,0,0
2014-09-12,17.86,17.86,16.74,17.22,52500,0,0
2014-09-15,16.9,17.11,15.57,16.59,52400,0,0
2014-09-16,16.47,16.57,16.06,16.47,62500,0,0
2014-09-17,16.44,17.07,16.15,16.53,52200,0,0
2014-09-18,16.52,16.68,15.74,16.5,48000,0,0
2014-09-19,16.57,16.74,16.0,16.64,77500,0,0
2014-09-22,16.65,16.78,15.91,16.2,47600,0,0
2014-09-23,15.95,16.8,15.86,16.57,69900,0,0
2014-09-24,16.46,18.45,16.24,17.68,75900,0,0
2014-09-25,17.34,19.29,17.11,19.02,72700,0,0
2014-09-26,19.03,19.462,17.6,18.77,86300,0,0
2014-09-29,18.62,19.15,17.471,17.99,54200,0,0
2014-09-30,18.44,18.7,17.605,18.61,60900,0,0
2014-10-01,18.5,18.69,17.46,18.46,37300,0,0
2014-10-02,18.51,19.12,17.715,18.35,47300,0,0
2014-10-03,19.64,20.991,18.65,19.17,293800,0,0
2014-10-06,19.86,19.86,18.06,18.96,242300,0,0
2014-10-07,18.84,18.84,17.05,17.25,78100,0,0
2014-10-08,17.34,19.0,17.34,18.62,77400,0,0
2014-10-09,18.72,18.75,17.592,17.69,37000,0,0
2014-10-10,17.57,18.54,16.69,17.51,53800,0,0
2014-10-13,17.58,17.965,16.2,17.75,50300,0,0
2014-10-14,17.8,18.98,16.335,18.76,162900,0,0
2014-10-15,17.08,18.895,17.08,18.56,68500,0,0
2014-10-16,18.19,19.02,17.45,18.8,18500,0,0
2014-10-17,19.26,19.26,17.64,17.71,19500,0,0
2014-10-20,17.69,18.01,17.28,17.82,44700,0,0
2014-10-21,17.84,18.11,17.7,17.92,5900,0,0
2014-10-22,17.56,18.11,17.56,17.93,12200,0,0
2014-10-23,18.2,19.0,18.131,18.89,26000,0,0
2014-10-24,18.9,19.22,18.64,18.81,13500,0,0
2014-10-27,18.63,19.9,18.62,19.7,38300,0,0
2014-10-28,19.84,20.19,19.25,20.04,40500,0,0
2014-10-29,20.15,20.2,19.06,19.38,23600,0,0
2014-10-30,19.42,20.1,19.13,20.09,20400,0,0
2014-10-31,20.25,20.75,19.375,20.1,82300,0,0
2014-11-03,20.08,20.303,19.4,19.79,21300,0,0
2014-11-04,19.77,21.73,19.26,21.37,31000,0,0
2014-11-05,21.68,21.785,20.92,21.41,36300,0,0
2014-11-06,21.23,21.76,20.75,21.68,32900,0,0
2014-11-07,21.54,27.04,21.39,26.2,88700,0,0
2014-11-10,26.25,28.24,24.6,25.91,60200,0,0
2014-11-11,25.72,26.0,23.49,24.27,41900,0,0
2014-11-12,24.27,24.42,22.61,24.21,75200,0,0
2014-11-13,24.24,24.26,23.29,23.3,45300,0,0
2014-11-14,23.58,23.58,22.64,23.05,19200,0,0
2014-11-17,23.63,24.08,22.31,22.41,19200,0,0
2014-11-18,22.41,22.41,19.76,20.45,109300,0,0
2014-11-19,19.99,20.15,19.26,20.02,147000,0,0
2014-11-20,19.92,20.36,19.28,19.41,245800,0,0
2014-11-21,19.87,20.21,19.52,19.85,266100,0,0
2014-11-24,19.77,21.0,19.65,20.76,21200,0,0
2014-11-25,20.9,21.08,20.24,20.73,64800,0,0
2014-11-26,20.93,21.57,20.74,21.04,15500,0,0
2014-11-28,20.94,20.94,20.19,20.19,4400,0,0
2014-12-01,19.66,20.11,19.15,20.0,13700,0,0
2014-12-02,20.826,21.19,19.504,21.14,74100,0,0
2014-12-03,21.19,21.563,20.82,21.24,20200,0,0
2014-12-04,21.34,21.539,20.385,20.98,29700,0,0
2014-12-05,21.11,21.38,20.61,21.1,24500,0,0
2014-12-08,20.89,21.17,20.33,20.47,20700,0,0
2014-12-09,19.95,22.0,19.61,21.2,82600,0,0
2014-12-10,21.17,21.47,20.96,21.26,44000,0,0
2014-12-11,21.04,21.4,21.0,21.27,50500,0,0
2014-12-12,20.9,21.51,20.14,20.18,58200,0,0
2014-12-15,20.16,20.96,19.7,19.85,46800,0,0
2014-12-16,19.65,20.51,19.65,19.91,31600,0,0
2014-12-17,19.88,21.0,19.84,20.91,90200,0,0
2014-12-18,21.14,21.14,20.53,21.06,93900,0,0
2014-12-19,21.04,21.42,20.61,20.83,80500,0,0
2014-12-22,21.01,21.1,20.64,20.98,37300,0,0
2014-12-23,21.0,21.27,20.41,20.74,28900,0,0
2014-12-24,20.72,21.24,20.61,20.96,42400,0,0
2014-12-26,20.75,21.5,20.47,21.19,85800,0,0
2014-12-29,21.68,22.23,20.74,21.0,63400,0,0
2014-12-30,21.18,22.24,20.965,21.55,61100,0,0
2014-12-31,21.54,22.19,20.9,21.02,57300,0,0
2015-01-02,21.06,21.64,20.8,21.31,30400,0,0
2015-01-05,21.38,21.7,20.66,21.22,44000,0,0
2015-01-06,21.41,21.73,19.26,20.38,65800,0,0
2015-01-07,20.45,21.4,19.89,21.3,61500,0,0
2015-01-08,21.48,21.87,21.05,21.49,104600,0,0
2015-01-09,21.51,21.93,20.97,21.26,29000,0,0
2015-01-12,21.16,21.3,20.75,21.05,34200,0,0
2015-01-13,21.05,22.19,20.97,21.29,163300,0,0
2015-01-14,21.63,23.14,21.07,22.88,111000,0,0
2015-01-15,22.86,24.0,22.52,22.67,237800,0,0
2015-01-16,22.68,23.74,22.54,22.97,78300,0,0
2015-01-20,23.22,24.72,23.07,24.48,397900,0,0
2015-01-21,24.55,24.69,23.95,24.55,194500,0,0
2015-01-22,24.67,24.9,23.42,24.49,230600,0,0
2015-01-23,24.35,24.9,23.95,24.02,182000,0,0
2015-01-26,24.15,24.6,23.216,24.3,46500,0,0
2015-01-27,24.05,24.78,24.05,24.42,68100,0,0
2015-01-28,24.45,24.62,23.985,24.43,90100,0,0
2015-01-29,23.81,24.89,23.62,24.62,49900,0,0
2015-01-30,24.46,25.11,24.23,24.98,110600,0,0
2015-02-02,25.18,25.42,22.8,23.18,71600,0,0
2015-02-03,23.78,23.78,21.81,22.47,59000,0,0
2015-02-04,22.24,22.24,20.49,21.56,75200,0,0
2015-02-05,21.53,23.82,21.53,23.65,45800,0,0
2015-02-06,23.94,24.69,23.34,23.8,63600,0,0
2015-02-09,23.93,24.25,23.535,23.8,38000,0,0
2015-02-10,23.55,24.32,23.55,23.96,70700,0,0
2015-02-11,24.06,24.91,21.47,23.42,110000,0,0
2015-02-12,23.98,24.85,23.264,24.68,64300,0,0
2015-02-13,24.64,24.82,21.87,24.49,77900,0,0
2015-02-17,24.66,24.765,23.92,24.58,74500,0,0
2015-02-18,24.18,24.74,23.81,24.62,36200,0,0
2015-02-19,24.67,24.69,22.66,22.97,71800,0,0
2015-02-20,23.11,23.84,22.5,22.73,34900,0,0
2015-02-23,22.72,23.41,22.0,22.34,639300,0,0
2015-02-24,22.44,22.45,21.05,21.36,102500,0,0
2015-02-25,21.35,21.57,21.19,21.35,46800,0,0
2015-02-26,21.36,21.96,21.35,21.69,39600,0,0
2015-02-27,21.88,21.88,20.22,20.29,52200,0,0
2015-03-02,20.23,20.845,19.66,20.24,137600,0,0
2015-03-03,20.31,20.73,20.0,20.59,44700,0,0
2015-03-04,20.42,21.0,20.07,20.4,45500,0,0
2015-03-05,20.82,21.44,20.4,20.95,19300,0,0
2015-03-06,20.98,20.98,20.25,20.34,28600,0,0
2015-03-09,20.31,20.78,19.75,20.76,50900,0,0
2015-03-10,21.0,22.25,20.45,21.77,41900,0,0
2015-03-11,21.92,22.25,21.78,22.14,88000,0,0
2015-03-12,22.25,22.25,21.99,22.15,44400,0,0
2015-03-13,22.17,23.07,21.99,22.59,55600,0,0
2015-03-16,22.75,22.9,22.56,22.73,48800,0,0
2015-03-17,22.99,22.99,22.01,22.64,37100,0,0
2015-03-18,22.77,22.85,22.53,22.64,44000,0,0
2015-03-19,22.68,22.99,22.28,22.64,30300,0,0
2015-03-20,22.56,22.65,22.15,22.43,37900,0,0
2015-03-23,22.33,22.39,20.8,21.23,65700,0,0
2015-03-24,21.2,22.165,21.0,21.45,51600,0,0
2015-03-25,21.64,21.64,20.0,20.12,60500,0,0
2015-03-26,20.0,20.77,19.3,20.2,56700,0,0
2015-03-27,20.19,20.33,19.39,20.01,57700,0,0
2015-03-30,20.02,21.08,20.02,20.82,52300,0,0
2015-03-31,20.85,20.85,19.7,19.99,48900,0,0
2015-04-01,19.99,20.82,19.87,20.69,65000,0,0
2015-04-02,20.665,20.82,20.1,20.29,43300,0,0
2015-04-06,20.51,20.99,20.29,20.82,129500,0,0
2015-04-07,20.62,22.41,20.62,21.1,169400,0,0
2015-04-08,21.23,22.45,21.11,22.12,185400,0,0
2015-04-09,22.34,22.46,21.69,22.25,105500,0,0
2015-04-10,22.37,22.99,22.26,22.44,209900,0,0
2015-04-13,22.73,22.73,22.31,22.64,96700,0,0
2015-04-14,22.65,22.799,22.39,22.72,74300,0,0
2015-04-15,22.9,22.9,22.014,22.16,54500,0,0
2015-04-16,22.39,22.39,21.61,21.87,49700,0,0
2015-04-17,21.7,22.43,20.99,21.68,56100,0,0
2015-04-20,21.83,21.83,20.22,20.91,65100,0,0
2015-04-21,21.13,21.69,20.866,21.43,59800,0,0
2015-04-22,21.44,21.45,19.645,20.02,56400,0,0
2015-04-23,20.08,21.562,20.08,21.22,59300,0,0
2015-04-24,22.38,22.38,20.75,21.74,57400,0,0
2015-04-27,22.02,22.02,19.364,20.53,104600,0,0
2015-04-28,21.1,21.1,19.37,20.285,113900,0,0
2015-04-29,20.3,20.62,19.8,20.11,41500,0,0
2015-04-30,20.02,20.22,18.31,19.14,129000,0,0
2015-05-01,19.16,19.91,18.78,19.87,75900,0,0
2015-05-04,19.5,19.6,16.33,16.77,267600,0,0
2015-05-05,17.26,17.872,15.7,15.82,192200,0,0
2015-05-06,15.97,17.19,15.61,16.73,204300,0,0
2015-05-07,16.75,18.22,16.62,18.18,163500,0,0
2015-05-08,18.42,18.73,17.61,18.45,94800,0,0
2015-05-11,18.5,19.13,18.0,18.07,49900,0,0
2015-05-12,17.7,18.24,17.2,17.9,121700,0,0
2015-05-13,17.96,18.38,17.0,17.04,53900,0,0
2015-05-14,17.06,17.36,16.62,16.91,50000,0,0
2015-05-15,16.79,17.836,16.3,17.31,65400,0,0
2015-05-18,17.33,18.43,16.93,18.36,104200,0,0
2015-05-19,18.28,18.944,17.52,18.1,81100,0,0
2015-05-20,18.41,19.455,17.557,19.06,89600,0,0
2015-05-21,19.05,19.2,18.54,19.17,61600,0,0
2015-05-22,19.09,19.18,18.22,19.09,43100,0,0
2015-05-26,18.9,20.23,18.815,19.64,161300,0,0
2015-05-27,19.77,20.21,19.545,20.0,76900,0,0
2015-05-28,20.0,20.2,19.26,19.92,47200,0,0
2015-05-29,19.95,20.194,19.64,20.05,114100,0,0
2015-06-01,20.0,20.15,19.04,19.5,67100,0,0
2015-06-02,19.38,19.698,19.08,19.2,34000,0,0
2015-06-03,19.16,19.586,18.8,19.27,56900,0,0
2015-06-04,19.13,19.19,18.36,18.84,34300,0,0
2015-06-05,18.69,19.09,18.52,19.01,42000,0,0
2015-06-08,18.89,19.09,18.41,18.77,25500,0,0
2015-06-09,18.72,18.87,18.26,18.68,32400,0,0
2015-06-10,18.69,19.84,18.68,19.54,33400,0,0
2015-06-11,19.58,19.7,18.89,19.0,61900,0,0
2015-06-12,18.91,18.98,18.455,18.8,47700,0,0
2015-06-15,18.59,19.93,18.4,19.77,37100,0,0
2015-06-16,19.57,19.75,18.22,18.39,145100,0,0
2015-06-17,18.48,18.86,17.85,18.16,41300,0,0
2015-06-18,18.48,19.08,18.45,18.79,53500,0,0
2015-06-19,18.87,19.12,17.75,17.8,55700,0,0
2015-06-22,17.92,18.81,16.61,17.59,111100,0,0
2015-06-23,17.66,18.2,16.79,16.84,75000,0,0
2015-06-24,16.82,17.14,16.24,16.45,50900,0,0
2015-06-25,16.46,16.69,15.51,15.57,87100,0,0
2015-06-26,15.69,16.09,15.22,15.53,426200,0,0
2015-06-29,15.04,15.47,14.4,14.52,96300,0,0
2015-06-30,14.62,15.36,14.62,15.34,57700,0,0
2015-07-01,15.6,16.59,15.53,16.26,100500,0,0
2015-07-02,18.91,20.1,18.21,19.03,3389700,0,0
2015-07-06,19.1,20.04,19.1,19.42,441500,0,0
2015-07-07,19.4,19.54,17.7,18.68,340700,0,0
2015-07-08,18.23,18.62,17.61,18.02,153800,0,0
2015-07-09,18.3,18.9,18.03,18.22,112100,0,0
2015-07-10,18.66,18.66,17.29,17.82,111700,0,0
2015-07-13,17.66,19.9,17.0,19.5,317000,0,0
2015-07-14,19.8,20.05,18.694,18.9,212900,0,0
2015-07-15,19.17,19.604,18.14,18.37,200900,0,0
2015-07-16,18.44,19.5,18.42,19.08,119300,0,0
2015-07-17,19.0,19.325,18.88,19.15,182400,0,0
2015-07-20,19.28,19.49,18.4,18.52,67300,0,0
2015-07-21,18.61,18.74,18.08,18.48,74600,0,0
2015-07-22,18.68,18.89,18.31,18.71,125400,0,0
2015-07-23,18.65,19.29,18.16,18.39,75200,0,0
2015-07-24,18.29,18.7,17.4,17.8,108600,0,0
2015-07-27,17.51,17.79,17.0,17.41,83400,0,0
2015-07-28,17.4,18.49,17.17,18.18,81200,0,0
2015-07-29,18.2,18.43,17.71,18.25,64000,0,0
2015-07-30,18.2,18.24,17.73,18.16,65100,0,0
2015-07-31,18.29,18.84,18.04,18.46,51100,0,0
2015-08-03,18.82,19.0,18.2,18.61,105900,0,0
2015-08-04,18.53,18.93,18.0,18.38,45900,0,0
2015-08-05,18.42,18.75,17.85,17.91,56900,0,0
2015-08-06,17.88,17.88,17.26,17.61,96600,0,0
2015-08-07,17.39,17.422,15.8,16.89,113400,0,0
2015-08-10,17.1,18.03,16.77,17.81,94700,0,0
2015-08-11,17.75,18.18,17.39,17.65,62400,0,0
2015-08-12,17.41,17.8,17.05,17.6,92200,0,0
2015-08-13,17.46,17.65,16.04,16.2,94700,0,0
2015-08-14,16.07,16.905,15.2,15.64,63300,0,0
2015-08-17,15.51,16.2,15.5,15.87,40900,0,0
2015-08-18,15.82,17.75,15.21,15.8,174700,0,0
2015-08-19,15.69,16.06,14.9,15.51,87300,0,0
2015-08-20,16.13,16.3,14.97,14.98,165800,0,0
2015-08-21,14.5,16.3,14.5,15.74,182400,0,0
2015-08-24,14.89,15.9,14.5,15.12,107000,0,0
2015-08-25,15.74,16.55,14.8,14.96,178000,0,0
2015-08-26,15.41,16.113,14.45,15.48,200400,0,0
2015-08-27,15.8,15.905,14.8,15.9,101200,0,0
2015-08-28,15.76,16.77,15.7,16.69,61300,0,0
2015-08-31,16.44,16.58,16.15,16.43,43800,0,0
2015-09-01,16.09,16.39,15.57,15.68,89400,0,0
2015-09-02,15.79,16.6,15.53,16.56,76900,0,0
2015-09-03,16.6,16.8,16.01,16.21,66700,0,0
2015-09-04,15.89,16.39,15.642,16.28,22900,0,0
2015-09-08,16.54,17.23,16.29,16.96,67200,0,0
2015-09-09,17.03,17.11,15.1,15.28,172600,0,0
2015-09-10,15.24,15.67,14.98,15.51,95900,0,0
2015-09-11,15.02,15.11,13.7,13.88,297800,0,0
2015-09-14,13.92,14.49,13.517,14.43,88700,0,0
2015-09-15,14.41,15.0,14.23,14.72,261600,0,0
2015-09-16,14.68,14.94,14.25,14.83,155000,0,0
2015-09-17,14.72,15.899,14.58,15.84,214800,0,0
2015-09-18,15.61,16.415,15.24,15.86,265500,0,0
2015-09-21,15.94,16.35,14.63,14.98,151800,0,0
2015-09-22,14.68,14.955,13.53,13.95,250600,0,0
2015-09-23,14.02,14.08,13.32,13.49,94000,0,0
2015-09-24,13.39,13.87,12.69,13.8,200900,0,0
2015-09-25,13.83,13.83,12.47,13.0,199500,0,0
2015-09-28,13.0,13.35,12.43,12.81,213600,0,0
2015-09-29,12.85,13.38,12.48,12.85,153500,0,0
2015-09-30,13.05,13.89,12.77,13.14,114000,0,0
2015-10-01,13.05,13.33,12.74,12.86,123000,0,0
2015-10-02,12.59,13.65,12.107,13.04,72100,0,0
