Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-10-15,0.32,0.32,0.2,0.2,2500,0,0
2013-10-16,0.2,0.2,0.2,0.2,0,0,0
2013-10-17,0.2,0.2,0.2,0.2,0,0,0
2013-10-18,0.2,0.2,0.2,0.2,0,0,0
2013-10-21,0.2,0.2,0.2,0.2,0,0,0
2013-10-22,0.2,0.2,0.2,0.2,0,0,0
2013-10-23,0.2,0.2,0.2,0.2,0,0,0
2013-10-24,0.2,0.2,0.2,0.2,0,0,0
2013-10-25,0.25,0.25,0.25,0.25,5000,0,0
2013-10-28,0.25,0.25,0.25,0.25,0,0,0
2013-10-29,0.25,0.25,0.25,0.25,0,0,0
2013-10-30,0.28,0.28,0.22,0.22,4950,0,0
2013-10-31,0.3,0.3,0.3,0.3,500,0,0
2013-11-01,0.25,0.25,0.25,0.25,2500,0,0
2013-11-04,0.25,0.25,0.25,0.25,0,0,0
2013-11-05,0.29,0.3,0.29,0.3,4000,0,0
2013-11-06,0.32,0.32,0.32,0.32,4000,0,0
2013-11-07,0.34,0.35,0.34,0.35,4000,0,0
2013-11-08,0.36,0.37,0.36,0.37,5750,0,0
2013-11-11,0.38,0.42,0.38,0.42,3500,0,0
2013-11-12,0.42,0.45,0.42,0.45,1500,0,0
2013-11-13,0.5,0.5,0.5,0.5,2500,0,0
2013-11-14,0.47,0.47,0.47,0.47,5000,0,0
2013-11-15,0.39,0.39,0.37,0.37,6000,0,0
2013-11-18,0.31,0.31,0.31,0.31,1000,0,0
2013-11-19,0.3,0.3,0.25,0.25,7500,0,0
2013-11-20,0.25,0.25,0.25,0.25,0,0,0
2013-11-21,0.32,0.32,0.32,0.32,10000,0,0
2013-11-22,0.32,0.32,0.32,0.32,0,0,0
2013-11-25,0.25,0.25,0.25,0.25,4000,0,0
2013-11-26,0.25,0.25,0.25,0.25,25000,0,0
2013-11-27,0.25,0.25,0.24,0.24,10500,0,0
2013-11-29,0.24,0.24,0.24,0.24,0,0,0
2013-12-02,0.24,0.24,0.24,0.24,0,0,0
2013-12-03,0.24,0.24,0.24,0.24,0,0,0
2013-12-04,0.24,0.24,0.24,0.24,0,0,0
2013-12-05,0.24,0.24,0.24,0.24,0,0,0
2013-12-06,0.24,0.24,0.24,0.24,0,0,0
2013-12-09,0.24,0.24,0.24,0.24,0,0,0
2013-12-10,0.24,0.24,0.24,0.24,0,0,0
2013-12-11,0.24,0.24,0.24,0.24,0,0,0
2013-12-12,0.24,0.24,0.24,0.24,0,0,0
2013-12-13,0.24,0.24,0.24,0.24,0,0,0
2013-12-16,0.36,0.36,0.23,0.32,24500,0,0
2013-12-17,0.32,0.32,0.32,0.32,0,0,0
2013-12-18,0.32,0.32,0.32,0.32,0,0,0
2013-12-19,0.45,0.45,0.45,0.45,4700,0,0
2013-12-20,0.25,0.25,0.25,0.25,1500,0,0
2013-12-23,0.25,0.25,0.25,0.25,0,0,0
2013-12-24,0.32,0.32,0.32,0.32,1500,0,0
2013-12-26,0.32,0.32,0.32,0.32,0,0,0
2013-12-27,0.32,0.32,0.32,0.32,0,0,0
2013-12-30,0.26,0.26,0.26,0.26,500,0,0
2013-12-31,0.26,0.26,0.26,0.26,0,0,0
2014-01-02,0.25,0.25,0.24,0.24,12500,0,0
2014-01-03,0.24,0.24,0.24,0.24,0,0,0
2014-01-06,0.25,0.25,0.25,0.25,4500,0,0
2014-01-07,0.25,0.25,0.25,0.25,0,0,0
2014-01-08,0.25,0.25,0.25,0.25,27000,0,0
2014-01-09,0.25,0.25,0.25,0.25,0,0,0
2014-01-10,0.25,0.25,0.25,0.25,2364,0,0
2014-01-13,0.25,0.25,0.25,0.25,0,0,0
2014-01-14,0.25,0.25,0.25,0.25,0,0,0
2014-01-15,0.25,0.25,0.25,0.25,0,0,0
2014-01-16,0.26,0.43,0.2,0.43,254926,0,0
2014-01-17,0.43,0.54,0.43,0.5,54502,0,0
2014-01-21,0.53,0.6,0.53,0.55,51000,0,0
2014-01-22,0.55,0.7,0.55,0.7,118100,0,0
2014-01-23,0.7,0.7,0.7,0.7,4500,0,0
2014-01-24,0.65,0.65,0.62,0.62,8728,0,0
2014-01-27,0.62,0.62,0.62,0.62,1000,0,0
2014-01-28,0.62,0.62,0.62,0.62,0,0,0
2014-01-29,0.6,0.6,0.58,0.58,30400,0,0
2014-01-30,0.6,0.6,0.6,0.6,700,0,0
2014-01-31,0.58,0.59,0.55,0.55,55000,0,0
2014-02-03,0.63,0.7,0.63,0.7,3000,0,0
2014-02-04,0.7,0.7,0.7,0.7,5000,0,0
2014-02-05,0.7,0.7,0.7,0.7,0,0,0
2014-02-06,0.67,0.7,0.67,0.7,20000,0,0
2014-02-07,0.68,0.75,0.67,0.75,57250,0,0
2014-02-10,0.78,0.78,0.78,0.78,700,0,0
2014-02-11,0.78,0.78,0.78,0.78,0,0,0
2014-02-12,0.75,0.9,0.75,0.9,32300,0,0
2014-02-13,0.92,0.92,0.86,0.86,4352,0,0
2014-02-14,0.72,0.9,0.72,0.86,3675,0,0
2014-02-18,0.86,0.86,0.86,0.86,0,0,0
2014-02-19,0.86,0.92,0.86,0.92,85300,0,0
2014-02-20,0.9,0.9,0.9,0.9,2000,0,0
2014-02-21,0.9,0.9,0.9,0.9,0,0,0
2014-02-24,0.86,0.86,0.86,0.86,3000,0,0
2014-02-25,0.86,0.86,0.86,0.86,0,0,0
2014-02-26,0.82,0.88,0.82,0.88,98100,0,0
2014-02-27,0.91,0.91,0.91,0.91,5013,0,0
2014-02-28,0.91,0.91,0.91,0.91,14500,0,0
2014-03-03,0.88,0.88,0.86,0.88,5900,0,0
2014-03-04,0.88,0.88,0.88,0.88,0,0,0
2014-03-05,0.88,0.88,0.88,0.88,0,0,0
2014-03-06,0.89,0.89,0.89,0.89,2500,0,0
2014-03-07,0.89,0.89,0.89,0.89,0,0,0
2014-03-10,0.91,0.91,0.91,0.91,2054,0,0
2014-03-11,0.91,0.91,0.91,0.91,0,0,0
2014-03-12,0.91,0.91,0.91,0.91,0,0,0
2014-03-13,0.91,0.91,0.91,0.91,0,0,0
2014-03-14,0.91,0.91,0.91,0.91,500,0,0
2014-03-17,0.86,0.9,0.86,0.9,4500,0,0
2014-03-18,0.9,0.9,0.9,0.9,0,0,0
2014-03-19,0.9,0.9,0.9,0.9,0,0,0
2014-03-20,0.92,0.93,0.92,0.93,3000,0,0
2014-03-21,0.93,0.93,0.93,0.93,0,0,0
2014-03-24,0.93,0.93,0.93,0.93,500,0,0
2014-03-25,0.93,0.93,0.93,0.93,0,0,0
2014-03-26,0.93,0.93,0.93,0.93,0,0,0
2014-03-27,0.82,0.82,0.82,0.82,5000,0,0
2014-03-28,0.82,0.82,0.82,0.82,5400,0,0
2014-03-31,0.82,0.82,0.82,0.82,0,0,0
2014-04-01,0.85,0.93,0.85,0.93,29499,0,0
2014-04-02,0.82,0.82,0.82,0.82,1360,0,0
2014-04-03,0.81,0.91,0.81,0.91,8305,0,0
2014-04-04,0.96,1.0,0.96,1.0,7500,0,0
2014-04-07,1.0,1.0,1.0,1.0,100,0,0
2014-04-08,1.0,1.0,1.0,1.0,0,0,0
2014-04-09,0.93,0.93,0.93,0.93,1000,0,0
2014-04-10,0.86,0.86,0.86,0.86,30100,0,0
2014-04-11,0.91,0.91,0.9,0.9,2000,0,0
2014-04-14,0.9,0.9,0.9,0.9,0,0,0
2014-04-15,0.9,0.9,0.9,0.9,0,0,0
