Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-12-15,11.81,12.51,11.69,12.51,5134900,0.0,0
2006-12-18,12.16,12.44,11.84,12.24,426100,0.0,0
2006-12-19,11.99,12.08,11.81,12.07,289000,0.0,0
2006-12-20,11.81,12.08,11.81,12.03,155400,0.0,0
2006-12-21,11.99,12.73,11.9,12.73,184700,0.0,0
2006-12-22,12.3,12.68,12.09,12.42,40900,0.0,0
2006-12-26,12.0,12.25,11.81,12.25,88300,0.0,0
2006-12-27,11.98,12.38,11.96,12.3,46500,0.0,0
2006-12-28,12.02,12.29,11.95,12.13,42900,0.0,0
2006-12-29,12.03,12.3,12.03,12.3,32400,0.0,0
2007-01-03,12.01,12.39,11.73,12.38,76800,0.0,0
2007-01-04,11.74,12.27,11.74,12.13,60700,0.0,0
2007-01-05,11.82,12.33,11.82,12.12,40100,0.0,0
2007-01-08,11.9,12.25,11.81,12.19,29100,0.0,0
2007-01-09,11.92,12.25,11.88,12.25,27700,0.0,0
2007-01-10,11.92,12.25,11.92,12.16,37700,0.0,0
2007-01-11,12.06,12.26,11.94,12.25,59400,0.0,0
2007-01-12,12.14,12.25,11.95,12.18,210300,0.0,0
2007-01-16,12.5,12.78,12.32,12.54,120400,0.0,0
2007-01-17,12.47,12.86,12.47,12.74,49200,0.0,0
2007-01-18,12.62,12.86,12.56,12.61,93400,0.0,0
2007-01-19,12.6,12.79,12.6,12.64,61000,0.0,0
2007-01-22,12.6,12.64,12.43,12.57,52900,0.0,0
2007-01-23,12.54,12.69,12.47,12.56,84100,0.0,0
2007-01-24,12.82,13.13,12.43,12.61,485400,0.0,0
2007-01-25,12.69,12.73,12.47,12.65,51900,0.0,0
2007-01-26,12.6,12.65,12.56,12.58,200000,0.0,0
2007-01-29,12.23,12.6,12.23,12.6,75800,0.0,0
2007-01-30,12.56,12.65,12.49,12.56,100000,0.0,0
2007-01-31,12.46,12.66,12.37,12.62,313300,0.0,0
2007-02-01,12.47,12.95,12.47,12.85,153900,0.0,0
2007-02-02,12.72,13.56,12.72,13.35,272400,0.0,0
2007-02-05,13.3,13.59,13.24,13.46,148400,0.0,0
2007-02-06,13.35,13.73,13.35,13.63,94100,0.0,0
2007-02-07,13.83,13.91,13.42,13.91,86300,0.0,0
2007-02-08,13.87,14.26,13.58,14.03,57800,0.0,0
2007-02-09,14.08,14.44,14.08,14.26,80200,0.0,0
2007-02-12,14.13,14.13,12.69,13.87,65000,0.0,0
2007-02-13,13.9,14.33,13.89,14.22,71000,0.0,0
2007-02-14,14.35,14.44,13.88,14.44,23100,0.0,0
2007-02-15,13.84,14.44,13.83,14.31,36500,0.0,0
2007-02-16,14.35,14.35,13.91,14.35,24300,0.0,0
2007-02-20,14.44,14.66,13.57,14.51,74700,0.0,0
2007-02-21,14.66,14.66,14.0,14.19,141000,0.0,0
2007-02-22,13.96,14.76,13.21,14.76,72100,0.0,0
2007-02-23,14.7,15.03,14.39,14.56,153500,0.0,0
2007-02-26,14.7,14.7,14.06,14.23,119200,0.0,0
2007-02-27,14.31,14.47,13.3,13.78,59300,0.0,0
2007-02-28,13.28,13.56,12.61,13.18,199800,0.0,0
2007-03-01,12.49,13.14,11.81,12.48,226600,0.0,0
2007-03-02,12.5,12.88,12.4,12.61,75100,0.0,0
2007-03-05,12.43,12.8,12.43,12.58,34500,0.0,0
2007-03-06,12.39,12.69,11.81,12.38,87300,0.0,0
2007-03-07,12.38,12.38,12.23,12.25,95000,0.0,0
2007-03-08,12.12,12.3,12.12,12.25,47200,0.0,0
2007-03-09,12.23,12.74,11.95,12.69,183300,0.0,0
2007-03-12,12.57,13.54,12.12,13.08,83700,0.0,0
2007-03-13,12.93,12.94,12.06,12.56,69200,0.0,0
2007-03-14,12.78,12.78,12.3,12.44,71800,0.0,0
2007-03-15,12.51,12.51,12.25,12.28,105700,0.0,0
2007-03-16,12.02,12.86,11.94,12.5,96600,0.0,0
2007-03-19,12.41,12.69,11.9,12.27,63400,0.0,0
2007-03-20,12.24,12.47,12.09,12.36,66300,0.0,0
2007-03-21,12.44,12.46,12.11,12.31,103200,0.0,0
2007-03-22,12.3,12.46,12.16,12.24,72700,0.0,0
2007-03-23,12.16,12.77,12.16,12.61,78500,0.0,0
2007-03-26,12.69,12.72,12.42,12.44,87700,0.0,0
2007-03-27,12.28,12.65,12.04,12.6,182800,0.0,0
2007-03-28,12.51,12.62,12.49,12.49,63600,0.0,0
