Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-08-06,17.5,27.0,17.5,24.1,7528300,0,0
2015-08-07,23.5,26.5,22.88,23.0,1455100,0,0
2015-08-10,23.16,24.0,22.75,22.97,348000,0,0
2015-08-11,22.99,23.91,22.66,23.01,325600,0,0
2015-08-12,22.65,22.88,21.45,22.49,205300,0,0
2015-08-13,22.5,26.67,22.19,25.52,310600,0,0
2015-08-14,26.26,28.33,25.0,26.05,329700,0,0
2015-08-17,25.8,26.29,22.5,24.16,248100,0,0
2015-08-18,23.91,25.0,23.0,23.37,151900,0,0
2015-08-19,23.5,24.8,23.23,23.77,100400,0,0
2015-08-20,23.52,24.16,21.1,22.08,170700,0,0
2015-08-21,21.59,22.36,20.33,21.1,188200,0,0
2015-08-24,18.47,20.99,18.47,20.13,190600,0,0
2015-08-25,20.93,21.62,19.87,20.74,127600,0,0
2015-08-26,20.84,22.94,20.84,22.67,148900,0,0
2015-08-27,23.07,23.4,21.13,21.35,88500,0,0
2015-08-28,21.84,22.19,20.88,21.11,172100,0,0
2015-08-31,21.6,23.24,20.51,21.09,244300,0,0
2015-09-01,21.0,22.35,20.51,22.1,207800,0,0
2015-09-02,22.47,22.71,21.54,22.25,157200,0,0
2015-09-03,22.5,24.0,21.78,23.53,273300,0,0
2015-09-04,23.34,23.54,21.88,22.59,202100,0,0
2015-09-08,23.18,23.98,22.5,22.82,267500,0,0
2015-09-09,22.57,23.34,22.57,22.76,136000,0,0
2015-09-10,22.59,23.38,21.95,22.87,231800,0,0
2015-09-11,23.31,25.19,23.03,25.01,148600,0,0
2015-09-14,25.5,25.75,23.59,24.29,113200,0,0
2015-09-15,24.78,25.98,24.21,25.89,100800,0,0
2015-09-16,25.89,25.89,23.16,24.54,254200,0,0
2015-09-17,24.03,24.75,23.67,24.34,169400,0,0
2015-09-18,24.25,25.1,24.01,24.29,620300,0,0
2015-09-21,24.32,25.1,23.51,24.17,214400,0,0
2015-09-22,23.86,24.41,23.56,24.18,120200,0,0
2015-09-23,23.92,25.23,23.74,24.64,262200,0,0
2015-09-24,24.32,25.5,23.58,25.05,200500,0,0
2015-09-25,25.18,25.74,24.25,24.46,140800,0,0
2015-09-28,24.21,24.48,23.25,23.9,392700,0,0
2015-09-29,24.11,24.98,23.78,24.1,318400,0,0
2015-09-30,24.39,26.5,24.3,25.32,2117700,0,0
2015-10-01,25.57,26.02,22.33,22.94,543700,0,0
2015-10-02,22.57,23.16,21.0,21.16,514700,0,0
2015-10-05,21.2,21.73,19.01,19.55,261000,0,0
2015-10-06,19.53,19.98,18.51,19.72,121600,0,0
2015-10-07,19.8,20.6,19.47,20.14,352900,0,0
2015-10-08,20.17,20.21,19.01,19.49,106500,0,0
2015-10-09,19.42,19.75,18.75,18.96,115700,0,0
2015-10-12,19.18,19.18,17.01,17.1,216900,0,0
2015-10-13,17.38,19.87,15.56,19.44,594600,0,0
2015-10-14,19.5,19.62,17.49,17.5,148400,0,0
2015-10-15,17.66,18.2,16.39,16.48,412600,0,0
2015-10-16,16.58,17.86,16.03,16.27,358400,0,0
2015-10-19,16.15,17.0,15.64,15.8,210700,0,0
2015-10-20,15.69,16.49,15.18,16.31,192200,0,0
2015-10-21,16.47,16.49,14.75,15.09,269500,0,0
2015-10-22,15.09,15.76,14.94,15.55,166100,0,0
2015-10-23,15.61,16.03,14.84,15.15,154500,0,0
2015-10-26,14.94,15.5,14.57,14.77,126600,0,0
2015-10-27,14.62,15.69,14.4,15.23,186300,0,0
2015-10-28,15.29,15.77,14.92,15.54,121800,0,0
2015-10-29,15.54,16.68,15.07,15.44,242000,0,0
2015-10-30,15.41,15.82,14.96,15.05,91800,0,0
2015-11-02,15.23,16.55,14.62,16.36,166800,0,0
2015-11-03,16.21,17.49,15.83,16.78,345600,0,0
2015-11-04,16.76,17.8,16.76,17.65,117900,0,0
2015-11-05,17.62,18.03,16.82,17.88,70900,0,0
2015-11-06,17.71,19.06,15.5,18.62,104400,0,0
2015-11-09,18.68,19.88,17.85,19.63,124000,0,0
2015-11-10,19.53,19.54,18.71,19.05,118700,0,0
2015-11-11,18.94,20.17,17.07,17.56,177700,0,0
2015-11-12,17.39,17.78,16.06,17.01,113600,0,0
2015-11-13,16.85,18.09,16.61,17.66,150400,0,0
2015-11-16,18.52,18.62,17.62,18.22,124200,0,0
2015-11-17,18.95,19.99,18.02,18.51,202700,0,0
2015-11-18,18.65,19.5,18.16,18.82,161300,0,0
2015-11-19,18.71,19.92,18.45,19.77,67100,0,0
2015-11-20,19.92,20.99,19.24,20.93,117000,0,0
2015-11-23,21.0,21.52,18.97,19.47,166500,0,0
2015-11-24,19.43,20.24,18.25,19.87,103500,0,0
2015-11-25,19.96,21.44,19.02,21.24,93600,0,0
2015-11-27,21.19,21.51,20.68,21.34,35900,0,0
2015-11-30,21.46,22.01,20.57,21.39,229000,0,0
2015-12-01,21.61,21.84,20.42,20.92,68300,0,0
2015-12-02,21.06,21.37,20.72,20.88,116100,0,0
2015-12-03,21.08,21.85,19.05,19.35,301100,0,0
2015-12-04,19.35,19.86,17.67,18.69,184900,0,0
2015-12-07,18.7,19.67,18.4,18.8,151200,0,0
2015-12-08,18.71,20.75,18.06,19.04,86300,0,0
2015-12-09,18.98,19.3,18.09,19.19,88500,0,0
2015-12-10,19.16,20.39,18.51,20.37,90900,0,0
2015-12-11,19.96,20.07,19.05,19.89,178300,0,0
2015-12-14,19.95,20.33,17.97,18.52,227700,0,0
2015-12-15,18.58,19.35,17.86,18.67,267200,0,0
2015-12-16,18.73,19.58,18.71,19.29,107600,0,0
2015-12-17,19.61,20.08,18.19,18.32,154000,0,0
2015-12-18,18.24,19.84,17.9,18.82,369600,0,0
2015-12-21,19.02,19.02,17.7,18.87,176700,0,0
2015-12-22,16.75,19.77,16.75,19.18,110800,0,0
2015-12-23,19.14,19.61,18.93,19.34,66500,0,0
2015-12-24,19.29,20.05,19.29,19.88,50500,0,0
2015-12-28,19.48,19.8,18.64,19.0,139400,0,0
2015-12-29,19.07,19.44,18.91,19.28,81000,0,0
2015-12-30,19.1,19.49,18.45,18.8,191600,0,0
2015-12-31,18.8,18.9,18.26,18.45,86800,0,0
2016-01-04,18.19,18.29,17.81,18.17,227000,0,0
2016-01-05,18.27,18.46,17.35,18.16,164000,0,0
2016-01-06,17.96,18.09,17.25,17.86,460600,0,0
2016-01-07,17.66,17.68,16.91,17.24,109800,0,0
