Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-04-06,8.07,8.09,7.86,7.86,5615400,0.0,0.0
2004-04-07,7.87,7.98,7.86,7.86,929000,0.0,0.0
2004-04-08,7.9,8.01,7.88,7.99,428600,0.0,0.0
2004-04-12,7.99,7.99,7.87,7.96,322100,0.0,0.0
2004-04-13,7.98,7.98,7.86,7.88,1261900,0.0,0.0
2004-04-14,7.88,7.88,7.57,7.63,601400,0.0,0.0
2004-04-15,7.79,7.8,7.56,7.66,99100,0.0,0.0
2004-04-16,7.67,7.78,7.54,7.56,151400,0.0,0.0
2004-04-19,7.64,7.64,7.36,7.41,251500,0.0,0.0
2004-04-20,7.43,7.54,7.38,7.43,140900,0.0,0.0
2004-04-21,7.42,7.52,7.3,7.44,248800,0.0,0.0
2004-04-22,7.41,7.57,7.36,7.57,212500,0.0,0.0
2004-04-23,7.55,7.58,7.44,7.46,28900,0.0,0.0
2004-04-26,7.45,7.45,7.3,7.33,209200,0.0,0.0
2004-04-27,7.3,7.3,6.84,7.11,561200,0.0,0.0
2004-04-28,7.11,7.23,7.05,7.15,438700,0.0,0.0
2004-04-29,7.2,7.35,7.1,7.23,558700,0.0,0.0
2004-04-30,7.18,7.25,7.1,7.2,371100,0.0,0.0
2004-05-03,7.2,7.2,7.05,7.11,114400,0.0,0.0
2004-05-04,7.15,7.18,7.05,7.09,78700,0.0,0.0
2004-05-05,7.07,7.12,7.02,7.06,218700,0.0,0.0
2004-05-06,7.07,7.15,7.0,7.1,291300,0.0,0.0
2004-05-07,7.03,7.1,6.86,6.94,337500,0.0,0.0
2004-05-10,6.97,6.97,6.64,6.72,434900,0.0,0.0
2004-05-11,6.84,6.9,6.76,6.85,215600,0.0,0.0
2004-05-12,6.86,6.93,6.73,6.81,203700,0.0,0.0
2004-05-13,6.79,6.86,6.71,6.78,133900,0.0,0.0
2004-05-14,6.73,6.9,6.71,6.85,189600,0.0,0.0
2004-05-17,6.84,6.86,6.71,6.77,205600,0.0,0.0
2004-05-18,6.78,6.91,6.71,6.88,187000,0.0,0.0
2004-05-19,6.89,7.12,6.81,6.86,199400,0.0,0.0
2004-05-20,6.84,6.97,6.84,6.85,76300,0.0,0.0
2004-05-21,6.87,6.94,6.81,6.89,127200,0.0,0.0
2004-05-24,6.94,6.96,6.75,6.81,263800,0.0,0.0
