Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-08-12,8.0,8.37,7.36,8.0,848700,0,0
2016-08-15,8.0,8.74,7.95,8.3,836100,0,0
2016-08-16,8.4,8.4,8.1,8.11,196900,0,0
2016-08-17,8.1,8.22,7.52,8.2,226300,0,0
2016-08-18,8.12,9.65,8.12,9.2,456300,0,0
2016-08-19,9.05,10.75,8.76,9.95,465300,0,0
2016-08-22,10.2,10.49,9.76,10.3,431200,0,0
2016-08-23,10.4,11.36,10.1,11.32,576100,0,0
2016-08-24,11.5,12.15,10.23,10.53,681500,0,0
2016-08-25,10.3,10.89,10.08,10.62,112100,0,0
2016-08-26,10.41,11.2,10.34,10.7,226100,0,0
2016-08-29,11.33,12.49,10.86,12.49,927100,0,0
2016-08-30,12.74,13.28,11.8,12.55,750900,0,0
2016-08-31,12.49,12.5,11.58,11.66,344400,0,0
2016-09-01,11.65,12.1,11.55,11.86,317600,0,0
2016-09-02,11.77,12.44,11.16,11.57,487300,0,0
2016-09-06,11.66,11.95,11.13,11.61,307800,0,0
2016-09-07,11.59,14.0,11.59,13.95,1400000,0,0
2016-09-08,13.7,14.84,13.13,13.92,761300,0,0
2016-09-09,14.03,14.05,12.7,13.23,468300,0,0
2016-09-12,12.95,13.69,12.58,13.28,320700,0,0
2016-09-13,13.34,13.5,12.63,12.8,221400,0,0
2016-09-14,12.9,13.5,12.9,13.0,242800,0,0
2016-09-15,13.05,15.39,13.05,15.35,1033100,0,0
2016-09-16,15.0,15.18,14.18,14.2,441000,0,0
2016-09-19,14.73,14.9,14.2,14.57,424200,0,0
2016-09-20,14.87,16.91,14.76,16.12,1078000,0,0
2016-09-21,14.95,16.4,14.33,16.05,1036500,0,0
2016-09-22,16.47,16.77,15.25,15.51,349400,0,0
2016-09-23,15.14,15.9,14.65,15.58,315900,0,0
2016-09-26,15.4,15.55,14.77,14.9,350900,0,0
2016-09-27,15.25,15.9,14.5,15.63,453300,0,0
2016-09-28,15.78,16.94,15.48,16.61,540000,0,0
2016-09-29,16.5,16.79,15.5,15.96,284600,0,0
2016-09-30,16.0,16.05,15.6,15.76,130000,0,0
2016-10-03,16.03,16.21,14.8,15.08,205200,0,0
2016-10-04,15.26,15.29,13.71,14.11,242800,0,0
2016-10-05,13.67,14.5,12.84,13.71,332100,0,0
2016-10-06,13.58,13.8,12.62,13.19,227500,0,0
