Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-11,1.68,1.68,1.68,1.68,181,0.0,0.0
2019-06-12,2.56,2.56,2.38,2.38,517,0.0,0.0
2019-06-13,23.46,23.55,18.96,22.22,1100,0.0,0.0
2019-06-14,19.19,19.35,19.11,19.27,300,0.0,0.0
2019-06-17,19.92,21.78,19.84,21.78,100,0.0,0.0
2019-06-18,21.68,21.68,18.89,18.97,5300,0.0,0.0
2019-06-19,19.03,19.84,19.03,19.59,2600,0.0,0.0
2019-06-20,19.11,20.24,19.11,19.51,100,0.0,0.0
2019-06-21,19.38,19.43,19.03,19.39,1100,0.0,0.0
2019-06-24,19.43,20.1,19.35,19.84,3400,0.0,0.0
2019-06-25,19.51,19.68,19.27,19.35,7500,0.0,0.0
2019-06-26,19.19,19.84,19.19,19.84,100,0.0,0.0
2019-06-27,20.16,20.24,19.27,19.35,1300,0.0,0.0
2019-06-28,20.16,20.16,19.35,19.35,700,0.0,0.0
2019-07-01,19.87,19.87,19.35,19.8,100,0.0,0.0
2019-07-02,19.43,19.59,19.43,19.43,0,0.0,0.0
2019-07-03,20.1,20.1,19.59,19.68,0,0.0,0.0
2019-07-05,20.24,21.46,19.35,20.04,2900,0.0,0.0
2019-07-08,19.92,19.92,19.59,19.59,5500,0.0,0.0
2019-07-09,19.95,20.06,19.68,19.76,2900,0.0,0.0
2019-07-10,19.76,19.76,19.76,19.76,0,0.0,0.0
2019-07-11,19.84,19.84,19.51,19.51,400,0.0,0.0
2019-07-12,19.51,19.51,19.51,19.51,0,0.0,0.0
2019-07-15,20.65,20.65,19.51,19.59,2800,0.0,0.0
2019-07-16,19.84,19.84,19.43,19.59,20600,0.0,0.0
2019-07-17,19.59,19.84,19.43,19.43,59000,0.0,0.0
2019-07-18,19.69,19.72,19.31,19.43,47700,0.0,0.0
2019-07-19,19.19,19.51,19.19,19.43,83200,0.0,0.0
2019-07-22,19.3,19.63,18.7,18.87,26700,0.0,0.0
2019-07-23,19.8,19.84,19.03,19.43,11200,0.0,0.0
2019-07-24,19.84,19.84,19.27,19.43,15700,0.0,0.0
2019-07-25,19.43,19.43,19.43,19.43,0,0.0,0.0
2019-07-26,19.84,19.84,19.19,19.43,7000,0.0,0.0
2019-07-29,19.84,19.84,19.43,19.68,25100,0.0,0.0
2019-07-30,19.76,19.76,19.35,19.35,66600,0.0,0.0
2019-07-31,19.39,19.43,19.35,19.35,2000,0.0,0.0
2019-08-01,19.57,19.81,19.27,19.27,12000,0.0,0.0
2019-08-02,19.43,19.51,19.19,19.51,2000,0.0,0.0
2019-08-05,19.19,20.57,19.19,19.35,23800,0.0,0.0
2019-08-06,19.35,19.35,19.35,19.35,600,0.0,0.0
2019-08-07,19.84,19.96,19.27,19.35,7700,0.0,0.0
2019-08-08,19.43,19.43,19.43,19.43,3600,0.0,0.0
2019-08-09,19.43,19.43,19.43,19.43,3600,0.0,0.0
2019-08-12,19.43,19.43,19.35,19.41,3000,0.0,0.0
2019-08-13,19.43,19.43,19.35,19.35,3900,0.0,0.0
2019-08-14,19.27,19.27,19.27,19.27,3100,0.0,0.0
2019-08-15,19.35,19.35,19.27,19.27,3100,0.0,0.0
2019-08-16,19.27,19.27,19.27,19.27,0,0.0,0.0
2019-08-19,19.43,19.43,19.35,19.43,4500,0.0,0.0
2019-08-20,19.59,19.59,19.31,19.43,20200,0.0,0.0
2019-08-21,19.59,19.59,19.43,19.52,19000,0.0,0.0
