Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-24,10.03,10.06,10.0,10.0,1799200,0,0
2018-10-25,10.0,10.05,10.0,10.05,109100,0,0
2018-10-26,10.07,10.07,10.02,10.04,29900,0,0
2018-10-29,10.05,10.05,10.02,10.04,10900,0,0
2018-10-30,10.04,10.04,10.04,10.04,0,0,0
2018-10-31,10.03,10.07,10.03,10.04,131800,0,0
2018-11-01,10.05,10.1,10.05,10.1,4100,0,0
2018-11-02,10.09,10.09,10.09,10.09,2300,0,0
2018-11-05,10.06,10.09,10.06,10.06,80200,0,0
2018-11-06,10.07,10.5,10.07,10.07,91700,0,0
2018-11-07,10.05,10.09,10.05,10.09,94400,0,0
2018-11-08,10.07,10.09,10.07,10.09,3200,0,0
2018-11-09,10.06,10.09,10.06,10.09,19500,0,0
2018-11-12,10.07,10.08,10.07,10.08,400,0,0
2018-11-13,10.08,10.08,10.06,10.06,607200,0,0
2018-11-14,10.06,10.06,10.06,10.06,0,0,0
2018-11-15,10.08,10.08,10.07,10.08,2100,0,0
2018-11-16,10.06,10.08,10.06,10.08,15700,0,0
2018-11-19,10.07,10.08,10.06,10.08,62800,0,0
2018-11-20,10.06,10.08,10.06,10.07,64700,0,0
2018-11-21,10.09,10.09,9.98,10.07,240900,0,0
2018-11-23,10.06,10.06,10.03,10.05,3100,0,0
2018-11-26,10.05,10.05,10.05,10.05,100,0,0
2018-11-27,10.05,10.05,9.59,10.0,5900,0,0
2018-11-28,10.03,10.03,10.03,10.03,100,0,0
2018-11-29,10.02,10.02,10.0,10.0,8200,0,0
2018-11-30,10.0,10.05,9.85,10.05,109800,0,0
2018-12-03,10.04,10.04,10.04,10.04,150000,0,0
2018-12-04,10.03,10.03,10.03,10.03,1000,0,0
2018-12-06,10.03,10.03,10.03,10.03,0,0,0
2018-12-07,10.03,10.03,10.03,10.03,0,0,0
2018-12-10,10.03,10.03,10.03,10.03,0,0,0
2018-12-11,10.03,10.03,10.03,10.03,0,0,0
2018-12-12,10.03,10.03,10.03,10.03,3700,0,0
2018-12-13,10.05,10.07,10.03,10.03,33100,0,0
2018-12-14,10.03,10.03,10.03,10.03,0,0,0
2018-12-17,10.03,10.03,10.03,10.03,0,0,0
2018-12-18,10.03,10.03,10.03,10.03,0,0,0
2018-12-19,10.0,10.02,10.0,10.02,4100,0,0
2018-12-20,10.04,10.09,10.04,10.09,1100,0,0
2018-12-21,10.09,10.09,10.09,10.09,0,0,0
2018-12-24,10.09,10.09,10.09,10.09,0,0,0
2018-12-26,10.09,10.09,10.09,10.09,0,0,0
2018-12-27,10.09,10.09,10.09,10.09,0,0,0
2018-12-28,10.09,10.09,10.09,10.09,0,0,0
2018-12-31,10.09,10.09,10.09,10.09,0,0,0
2019-01-02,10.09,10.09,10.09,10.09,0,0,0
2019-01-03,10.09,10.09,10.09,10.09,0,0,0
2019-01-04,10.09,10.09,10.09,10.09,0,0,0
2019-01-07,10.09,10.09,10.09,10.09,100,0,0
2019-01-08,10.09,10.09,10.09,10.09,0,0,0
2019-01-09,10.1,10.1,10.08,10.08,2000,0,0
2019-01-10,10.12,10.12,10.1,10.12,7100,0,0
2019-01-11,10.12,10.12,10.12,10.12,0,0,0
2019-01-14,10.12,10.12,10.12,10.12,0,0,0
2019-01-15,10.12,10.12,10.12,10.12,0,0,0
2019-01-16,10.13,10.13,10.13,10.13,1000,0,0
2019-01-17,10.15,10.15,10.0,10.15,1500,0,0
2019-01-18,10.0,10.15,10.0,10.15,800,0,0
2019-01-22,10.15,10.15,10.15,10.15,0,0,0
2019-01-23,10.15,10.15,10.15,10.15,500,0,0
2019-01-24,10.15,10.15,10.15,10.15,100,0,0
2019-01-25,10.05,10.15,10.05,10.14,1200,0,0
2019-01-28,10.12,10.15,10.12,10.15,9100,0,0
2019-01-29,10.15,10.15,10.15,10.15,200,0,0
2019-01-30,10.13,10.13,10.13,10.13,400,0,0
2019-01-31,10.13,10.13,10.13,10.13,0,0,0
2019-02-01,10.15,10.15,10.15,10.15,10000,0,0
2019-02-04,10.15,10.15,10.15,10.15,400,0,0
2019-02-05,10.15,10.15,10.15,10.15,0,0,0
2019-02-06,10.15,10.15,10.15,10.15,0,0,0
2019-02-07,10.15,10.15,10.15,10.15,0,0,0
2019-02-08,10.15,10.15,10.15,10.15,0,0,0
2019-02-11,10.15,10.16,10.15,10.16,5400,0,0
2019-02-12,10.16,10.16,10.16,10.16,0,0,0
2019-02-13,10.15,10.18,10.15,10.18,5500,0,0
2019-02-14,10.18,10.19,10.18,10.19,10400,0,0
2019-02-15,10.19,10.19,10.19,10.19,0,0,0
2019-02-19,10.19,10.19,10.19,10.19,0,0,0
2019-02-20,10.19,10.19,10.19,10.19,0,0,0
2019-02-21,10.19,10.19,10.19,10.19,0,0,0
2019-02-22,10.19,10.19,10.19,10.19,600,0,0
2019-02-25,10.19,10.19,10.19,10.19,0,0,0
2019-02-26,10.19,10.19,10.19,10.19,1000,0,0
2019-02-27,10.19,10.19,10.19,10.19,0,0,0
2019-02-28,10.19,10.19,10.19,10.19,100,0,0
2019-03-01,10.19,10.19,10.12,10.12,3500,0,0
2019-03-04,10.12,10.12,10.12,10.12,0,0,0
2019-03-05,10.12,10.12,10.12,10.12,0,0,0
2019-03-06,10.12,10.12,10.12,10.12,0,0,0
2019-03-07,10.12,10.12,10.12,10.12,0,0,0
2019-03-08,10.15,10.15,10.14,10.14,2000,0,0
2019-03-11,10.16,10.17,10.16,10.17,1200,0,0
2019-03-12,10.17,10.17,10.17,10.17,6600,0,0
2019-03-13,10.17,10.17,10.17,10.17,0,0,0
2019-03-14,10.17,10.17,10.17,10.17,0,0,0
2019-03-15,10.17,10.17,10.17,10.17,100,0,0
2019-03-18,10.17,10.17,10.17,10.17,0,0,0
2019-03-19,10.17,10.17,10.17,10.17,0,0,0
2019-03-20,10.17,10.17,10.17,10.17,0,0,0
2019-03-21,10.17,10.17,10.17,10.17,0,0,0
2019-03-22,10.17,10.17,10.17,10.17,0,0,0
2019-03-25,10.17,10.17,10.17,10.17,1000,0,0
2019-03-26,10.17,10.17,10.17,10.17,0,0,0
2019-03-27,10.17,10.17,10.17,10.17,0,0,0
2019-03-28,10.17,10.17,10.17,10.17,1200,0,0
2019-03-29,10.17,10.17,10.17,10.17,0,0,0
2019-04-01,10.17,10.17,10.17,10.17,0,0,0
2019-04-02,10.17,10.17,10.17,10.17,0,0,0
2019-04-03,10.17,10.17,10.17,10.17,0,0,0
2019-04-04,10.17,10.17,10.17,10.17,0,0,0
2019-04-05,10.17,10.17,10.17,10.17,0,0,0
2019-04-08,10.17,10.17,10.17,10.17,0,0,0
2019-04-09,10.17,10.17,10.17,10.17,1500,0,0
2019-04-10,10.17,10.17,10.17,10.17,0,0,0
2019-04-11,10.2,10.23,10.2,10.23,3500,0,0
2019-04-12,10.23,10.23,10.23,10.23,0,0,0
2019-04-15,10.23,10.23,10.23,10.23,0,0,0
2019-04-16,10.23,10.23,10.23,10.23,0,0,0
2019-04-17,10.23,10.23,10.23,10.23,0,0,0
2019-04-18,10.23,10.23,10.23,10.23,0,0,0
2019-04-22,10.23,10.27,10.23,10.27,12200,0,0
