Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-03,1.86,1.95,1.86,1.86,2000,0.0,0.0
1973-05-04,1.86,1.95,1.86,1.86,1600,0.0,0.0
1973-05-07,1.86,1.95,1.86,1.86,1600,0.0,0.0
1973-05-08,1.89,1.98,1.89,1.89,1600,0.0,0.0
1973-05-09,1.89,1.98,1.89,1.89,6000,0.0,0.0
1973-05-10,1.89,1.98,1.89,1.89,2000,0.0,0.0
1973-05-11,1.89,1.98,1.89,1.89,1200,0.0,0.0
1973-05-14,1.89,1.95,1.89,1.89,6000,0.0,0.0
1973-05-15,1.89,1.98,1.89,1.89,1600,0.0,0.0
1973-05-16,1.92,2.02,1.92,1.92,708800,0.0,0.0
1973-05-17,2.08,2.18,2.08,2.08,6000,0.0,0.0
1973-05-18,1.98,1.98,1.89,1.89,6800,0.0,0.0
1973-05-21,1.89,1.92,1.82,1.82,9200,0.0,0.0
1973-05-22,1.86,1.95,1.86,1.86,3200,0.0,0.0
1973-05-23,1.92,2.02,1.92,1.92,2800,0.0,0.0
1973-05-24,1.98,2.08,1.98,1.98,8000,0.0,0.0
1973-05-25,2.08,2.18,2.08,2.08,3200,0.0,0.0
1973-05-29,2.08,2.18,2.08,2.08,7200,0.0,0.0
1973-05-30,2.08,2.14,2.05,2.05,4400,0.0,0.0
1973-05-31,2.05,2.14,2.05,2.05,400,0.0,0.0
1973-06-01,2.05,2.11,2.02,2.02,9200,0.0,0.0
1973-06-04,2.02,2.02,1.89,1.89,6400,0.0,0.0
1973-06-05,1.92,2.02,1.92,1.92,2800,0.0,0.0
1973-06-06,1.92,1.98,1.89,1.89,2800,0.0,0.0
1973-06-07,1.89,1.98,1.89,1.89,3200,0.0,0.0
1973-06-08,1.95,2.05,1.95,1.95,3600,0.0,0.0
1973-06-11,1.95,2.02,1.92,1.92,7600,0.0,0.0
1973-06-12,1.92,2.02,1.92,1.92,5200,0.0,0.0
1973-06-13,1.92,2.02,1.92,1.92,5600,0.0,0.0
1973-06-14,1.92,2.02,1.92,1.92,400,0.0,0.0
1973-06-15,1.92,2.02,1.92,1.92,7200,0.0,0.0
1973-06-18,1.92,2.02,1.92,1.92,14800,0.0,0.0
1973-06-19,1.92,1.98,1.89,1.89,3200,0.0,0.0
1973-06-20,1.89,1.98,1.89,1.89,2000,0.0,0.0
1973-06-21,1.89,1.95,1.86,1.86,4000,0.0,0.0
1973-06-22,1.86,1.89,1.79,1.79,13600,0.0,0.0
1973-06-25,1.79,1.89,1.79,1.79,1600,0.0,0.0
1973-06-26,1.79,1.89,1.79,1.79,2400,0.0,0.0
1973-06-27,1.79,1.89,1.79,1.79,1200,0.0,0.0
1973-06-28,1.79,1.89,1.79,1.79,2000,0.0,0.0
1973-06-29,1.79,1.79,1.7,1.7,10800,0.0,0.0
1973-07-02,1.7,1.79,1.7,1.7,84800,0.0,0.0
1973-07-03,1.73,1.82,1.73,1.73,4800,0.0,0.0
1973-07-05,1.73,1.82,1.73,1.73,400,0.0,0.0
1973-07-06,1.73,1.82,1.73,1.73,14400,0.0,0.0
1973-07-09,1.73,1.82,1.73,1.73,26000,0.0,0.0
1973-07-10,1.76,1.86,1.76,1.76,2400,0.0,0.0
1973-07-11,1.86,1.95,1.86,1.86,7200,0.0,0.0
1973-07-12,1.86,1.89,1.79,1.79,7200,0.0,0.0
1973-07-13,1.79,1.89,1.79,1.79,4400,0.0,0.0
1973-07-16,1.79,1.89,1.79,1.79,400,0.0,0.0
1973-07-17,1.79,1.89,1.79,1.79,400,0.0,0.0
1973-07-18,1.79,1.89,1.79,1.79,6400,0.0,0.0
1973-07-19,1.89,1.98,1.89,1.89,2800,0.0,0.0
1973-07-20,1.92,2.02,1.92,1.92,6800,0.0,0.0
1973-07-23,1.92,2.02,1.92,1.92,2800,0.0,0.0
1973-07-24,1.92,1.98,1.89,1.89,4000,0.0,0.0
1973-07-25,1.98,2.08,1.98,1.98,5200,0.0,0.0
1973-07-26,1.98,2.08,1.98,1.98,400,0.0,0.0
1973-07-27,1.98,2.05,1.95,1.95,9600,0.0,0.0
1973-07-30,1.95,2.05,1.95,1.95,9200,0.0,0.0
1973-07-31,1.95,2.05,1.95,1.95,400,0.0,0.0
1973-08-01,1.95,2.02,1.92,1.92,400,0.0,0.0
1973-08-02,1.92,1.98,1.89,1.89,1600,0.0,0.0
1973-08-03,1.89,1.98,1.89,1.89,400,0.0,0.0
1973-08-06,1.89,1.95,1.86,1.86,7200,0.0,0.0
