Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-13,9.54,9.55,9.53,9.54,1694700,0,0
2018-08-14,9.56,9.58,9.52,9.52,427300,0,0
2018-08-15,9.54,9.54,9.53,9.53,25100,0,0
2018-08-16,9.52,9.52,9.52,9.52,266500,0,0
2018-08-17,9.54,9.54,9.53,9.53,2500,0,0
2018-08-20,9.52,9.54,9.5,9.52,29700,0,0
2018-08-21,9.53,9.54,9.53,9.54,748500,0,0
2018-08-22,9.59,9.59,9.52,9.54,649400,0,0
2018-08-23,9.54,9.55,9.52,9.55,1104200,0,0
2018-08-24,9.57,9.57,9.54,9.56,32100,0,0
2018-08-27,9.55,9.56,9.52,9.56,1300,0,0
2018-08-28,9.59,9.59,9.55,9.55,13700,0,0
2018-08-29,9.55,9.56,9.54,9.56,80800,0,0
2018-08-30,9.56,9.59,9.53,9.59,149600,0,0
2018-08-31,9.59,9.59,9.57,9.59,2600,0,0
2018-09-04,9.5,9.59,9.5,9.57,32700,0,0
2018-09-05,9.59,9.59,9.55,9.57,34100,0,0
2018-09-06,9.58,9.6,9.55,9.55,11500,0,0
2018-09-07,9.58,9.58,9.56,9.58,170300,0,0
2018-09-10,9.58,9.58,9.58,9.58,0,0,0
2018-09-11,9.58,9.58,9.58,9.58,0,0,0
2018-09-12,9.56,9.56,9.54,9.54,21100,0,0
2018-09-13,9.5,9.55,9.5,9.55,15600,0,0
2018-09-14,9.55,9.55,9.52,9.55,27900,0,0
2018-09-17,9.55,9.56,9.55,9.55,18100,0,0
2018-09-18,9.55,9.56,9.55,9.56,9000,0,0
2018-09-19,9.55,9.56,9.02,9.56,31000,0,0
2018-09-20,9.56,9.56,9.55,9.56,155400,0,0
2018-09-21,9.55,9.55,9.55,9.55,2000,0,0
2018-09-24,9.55,9.55,9.55,9.55,0,0,0
2018-09-25,9.55,9.6,9.55,9.6,40500,0,0
2018-09-26,9.57,9.57,9.56,9.57,33400,0,0
2018-09-27,9.57,9.57,9.53,9.53,27300,0,0
2018-09-28,9.53,9.53,9.53,9.53,0,0,0
2018-10-01,9.53,9.53,9.53,9.53,0,0,0
2018-10-02,9.53,9.53,9.53,9.53,0,0,0
2018-10-03,9.55,9.58,9.55,9.55,38400,0,0
2018-10-04,9.54,9.54,9.54,9.54,500,0,0
2018-10-05,9.55,9.56,9.55,9.56,280200,0,0
2018-10-08,9.55,9.56,9.55,9.56,19100,0,0
2018-10-09,9.56,9.56,9.56,9.56,5800,0,0
2018-10-10,9.57,9.57,9.57,9.57,27500,0,0
2018-10-11,9.56,9.57,9.55,9.55,278400,0,0
2018-10-12,9.57,9.57,9.55,9.55,4400,0,0
2018-10-15,9.55,9.55,9.55,9.55,0,0,0
2018-10-16,9.55,9.55,9.55,9.55,0,0,0
2018-10-17,9.55,9.55,9.55,9.55,0,0,0
2018-10-18,9.57,9.57,9.57,9.57,100,0,0
2018-10-19,9.57,9.57,9.57,9.57,0,0,0
2018-10-22,9.57,9.57,9.57,9.57,0,0,0
2018-10-23,9.57,9.57,9.57,9.57,0,0,0
2018-10-24,9.56,9.61,9.5,9.55,17000,0,0
2018-10-25,9.58,9.58,9.53,9.53,1100,0,0
2018-10-26,9.57,9.6,9.57,9.58,147800,0,0
2018-10-29,9.59,9.61,9.58,9.6,134900,0,0
2018-10-30,9.6,9.63,9.6,9.62,4900,0,0
2018-10-31,9.6,9.6,9.6,9.6,400,0,0
2018-11-01,9.59,9.6,9.59,9.59,2900,0,0
2018-11-02,9.59,9.6,9.59,9.6,9500,0,0
2018-11-05,9.61,9.62,9.61,9.62,18000,0,0
2018-11-06,9.61,9.62,9.61,9.62,8000,0,0
2018-11-07,9.61,9.61,9.61,9.61,500,0,0
2018-11-08,9.62,9.63,9.6,9.61,4900,0,0
2018-11-09,9.61,9.62,9.6,9.62,6200,0,0
2018-11-12,9.61,9.64,9.61,9.64,60800,0,0
2018-11-13,9.64,9.64,9.64,9.64,0,0,0
2018-11-14,9.61,9.63,9.61,9.62,2200,0,0
2018-11-15,9.61,9.62,9.6,9.62,2900,0,0
2018-11-16,9.62,9.66,9.62,9.64,7700,0,0
2018-11-19,9.64,9.66,9.64,9.66,139900,0,0
2018-11-20,9.66,9.75,9.65,9.72,195400,0,0
2018-11-21,9.75,9.75,9.66,9.73,15800,0,0
2018-11-23,9.75,9.75,9.75,9.75,1100,0,0
2018-11-26,9.75,9.8,9.74,9.78,3800,0,0
2018-11-27,9.78,9.78,9.78,9.78,100,0,0
2018-11-28,9.72,9.76,9.71,9.71,7600,0,0
2018-11-29,9.7,9.73,9.7,9.72,404100,0,0
2018-11-30,9.69,9.75,9.69,9.73,6500,0,0
2018-12-03,9.73,9.75,9.73,9.74,13800,0,0
2018-12-04,9.74,9.77,9.73,9.73,8000,0,0
2018-12-06,9.74,9.76,9.73,9.73,4500,0,0
2018-12-07,9.73,9.73,9.73,9.73,0,0,0
2018-12-10,9.73,9.73,9.73,9.73,0,0,0
2018-12-11,9.74,9.78,9.74,9.78,102500,0,0
2018-12-12,9.77,9.8,9.75,9.75,113400,0,0
2018-12-13,9.75,9.75,9.75,9.75,1000,0,0
2018-12-14,9.75,9.75,9.75,9.75,400,0,0
2018-12-17,9.6,9.6,9.6,9.6,1300,0,0
2018-12-18,9.75,9.76,9.7,9.7,9700,0,0
2018-12-19,9.73,9.76,9.68,9.68,39100,0,0
2018-12-20,9.66,9.75,9.65,9.68,80700,0,0
2018-12-21,9.7,9.79,9.65,9.65,26200,0,0
2018-12-24,9.68,9.8,9.68,9.74,36800,0,0
2018-12-26,9.74,9.8,9.74,9.76,174000,0,0
2018-12-27,9.75,9.8,9.75,9.77,5000,0,0
2018-12-28,9.77,9.77,9.77,9.77,0,0,0
2018-12-31,9.76,9.76,9.75,9.75,4100,0,0
2019-01-02,9.82,9.85,9.75,9.76,8400,0,0
2019-01-03,9.83,9.84,9.82,9.82,1100,0,0
2019-01-04,9.8,9.81,9.76,9.79,18400,0,0
2019-01-07,9.76,9.8,9.75,9.8,1827800,0,0
2019-01-08,9.78,9.82,9.78,9.82,473800,0,0
2019-01-09,9.8,9.82,9.79,9.82,307200,0,0
2019-01-10,9.82,9.82,9.82,9.82,0,0,0
2019-01-11,9.82,9.89,9.77,9.85,314100,0,0
2019-01-14,9.85,9.85,9.85,9.85,0,0,0
2019-01-15,9.85,9.85,9.85,9.85,0,0,0
2019-01-16,9.83,9.85,9.83,9.84,500,0,0
2019-01-17,9.84,9.84,9.84,9.84,0,0,0
2019-01-18,9.83,9.83,9.83,9.83,500,0,0
2019-01-22,9.79,9.79,9.79,9.79,1000,0,0
2019-01-23,9.8,9.8,9.8,9.8,100100,0,0
2019-01-24,9.81,9.81,9.81,9.81,200,0,0
2019-01-25,9.8,9.8,9.8,9.8,3000,0,0
2019-01-28,9.85,9.88,9.85,9.88,20000,0,0
2019-01-29,9.88,9.88,9.88,9.88,0,0,0
2019-01-30,9.88,9.88,9.88,9.88,0,0,0
2019-01-31,9.88,9.88,9.88,9.88,0,0,0
2019-02-01,9.88,9.88,9.88,9.88,0,0,0
2019-02-04,9.88,9.88,9.88,9.88,0,0,0
2019-02-05,9.88,9.88,9.88,9.88,0,0,0
2019-02-06,9.89,9.89,9.84,9.84,62200,0,0
2019-02-07,9.9,9.9,9.9,9.9,6800,0,0
2019-02-08,9.9,9.9,9.9,9.9,100,0,0
2019-02-11,9.89,9.89,9.86,9.86,10400,0,0
2019-02-12,9.86,9.86,9.86,9.86,100000,0,0
2019-02-13,9.86,9.86,9.86,9.86,0,0,0
2019-02-14,9.88,9.88,9.88,9.88,700,0,0
2019-02-15,9.88,9.89,9.88,9.89,23700,0,0
2019-02-19,9.88,9.88,9.88,9.88,1000,0,0
2019-02-20,9.87,9.88,9.87,9.88,14300,0,0
2019-02-21,9.88,9.88,9.88,9.88,0,0,0
2019-02-22,9.88,9.88,9.88,9.88,0,0,0
2019-02-25,9.87,9.87,9.87,9.87,1000,0,0
2019-02-26,9.87,9.87,9.87,9.87,0,0,0
2019-02-27,9.87,9.87,9.87,9.87,1000,0,0
2019-02-28,9.87,9.87,9.87,9.87,100,0,0
2019-03-01,9.9,9.9,9.88,9.88,500,0,0
2019-03-04,9.88,9.88,9.88,9.88,0,0,0
2019-03-05,9.88,9.88,9.88,9.88,681400,0,0
2019-03-06,9.91,9.92,9.88,9.9,161000,0,0
2019-03-07,9.91,9.91,9.9,9.9,6000,0,0
2019-03-08,9.91,9.95,9.91,9.92,18200,0,0
2019-03-11,9.92,9.92,9.92,9.92,0,0,0
2019-03-12,9.92,9.92,9.92,9.92,100,0,0
2019-03-13,9.92,9.92,9.92,9.92,0,0,0
2019-03-14,9.92,9.92,9.92,9.92,0,0,0
2019-03-15,9.92,9.92,9.92,9.92,0,0,0
2019-03-18,9.95,9.95,9.93,9.95,53700,0,0
2019-03-19,9.98,9.98,9.98,9.98,100,0,0
2019-03-20,9.98,9.98,9.98,9.98,0,0,0
2019-03-21,9.95,9.95,9.94,9.94,7000,0,0
2019-03-22,9.95,9.95,9.95,9.95,45500,0,0
2019-03-25,9.96,9.96,9.95,9.95,3000,0,0
2019-03-26,9.98,9.98,9.96,9.96,23600,0,0
2019-03-27,9.92,9.98,9.92,9.98,1100,0,0
2019-03-28,9.98,9.98,9.98,9.98,0,0,0
2019-03-29,9.94,9.98,9.93,9.93,10400,0,0
2019-04-01,9.99,9.99,9.82,9.93,27900,0,0
2019-04-02,9.93,9.96,9.93,9.93,8100,0,0
2019-04-03,9.98,9.99,9.93,9.93,4000,0,0
2019-04-04,9.93,9.93,9.93,9.93,0,0,0
2019-04-05,9.93,9.93,9.93,9.93,1600,0,0
2019-04-08,9.93,9.93,9.93,9.93,100,0,0
2019-04-09,9.93,9.93,9.93,9.93,500100,0,0
2019-04-10,9.93,9.93,9.93,9.93,0,0,0
2019-04-11,9.93,9.93,9.93,9.93,0,0,0
2019-04-12,9.93,9.93,9.93,9.93,0,0,0
2019-04-15,9.76,9.99,9.76,9.99,4200,0,0
2019-04-16,9.97,10.02,9.97,10.01,35900,0,0
2019-04-17,9.99,10.0,9.97,9.97,198500,0,0
2019-04-18,9.97,10.01,9.97,10.0,77700,0,0
2019-04-22,10.0,10.0,10.0,10.0,0,0,0
2019-04-23,10.0,10.0,10.0,10.0,0,0,0
2019-04-24,10.0,10.0,10.0,10.0,100,0,0
2019-04-25,10.0,10.0,10.0,10.0,0,0,0
2019-04-26,10.05,10.05,10.05,10.05,200,0,0
2019-04-29,10.05,10.05,10.05,10.05,0,0,0
2019-04-30,9.79,10.05,9.79,10.05,103600,0,0
2019-05-01,10.05,10.05,10.05,10.05,100,0,0
2019-05-02,10.05,10.05,10.05,10.05,0,0,0
2019-05-03,9.91,9.99,9.91,9.99,600,0,0
2019-05-06,10.02,10.02,10.0,10.0,9700,0,0
2019-05-07,9.99,9.99,9.99,9.99,4500,0,0
2019-05-08,9.99,9.99,9.99,9.99,0,0,0
2019-05-09,10.0,10.0,10.0,10.0,300,0,0
2019-05-10,9.98,10.03,9.98,10.0,28300,0,0
2019-05-13,10.0,10.01,9.99,9.99,37100,0,0
2019-05-14,10.0,10.0,9.99,9.99,1700,0,0
2019-05-15,10.0,10.0,10.0,10.0,22900,0,0
2019-05-16,10.0,10.0,10.0,10.0,0,0,0
2019-05-17,10.05,10.05,10.0,10.0,1200,0,0
2019-05-20,10.0,10.0,10.0,10.0,0,0,0
2019-05-21,10.04,10.04,9.99,10.0,2800,0,0
2019-05-22,10.0,10.0,10.0,10.0,0,0,0
2019-05-23,10.0,10.0,10.0,10.0,0,0,0
2019-05-24,10.01,10.01,10.01,10.01,4600,0,0
2019-05-28,9.85,10.05,9.85,10.05,1300,0,0
2019-05-29,10.03,10.03,10.03,10.03,600,0,0
2019-05-30,10.03,10.03,10.03,10.03,100,0,0
2019-05-31,10.03,10.03,10.03,10.03,0,0,0
