Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-04-03,5.0,5.625,4.5,5.0,1015200,0,0
1996-04-04,5.125,5.125,4.375,4.625,185600,0,0
1996-04-08,4.5,4.75,4.25,4.5,147100,0,0
1996-04-09,4.5,4.75,4.5,4.5,131200,0,0
1996-04-10,4.7031,4.7031,4.125,4.375,55300,0,0
1996-04-11,4.5,4.5,4.125,4.125,95600,0,0
1996-04-12,4.125,4.125,3.875,3.875,46600,0,0
1996-04-15,3.875,4.125,3.75,3.75,26000,0,0
1996-04-16,3.75,4.125,3.25,4.0,203700,0,0
1996-04-17,4.0,4.25,4.0,4.125,159700,0,0
1996-04-18,4.125,4.375,4.0,4.0,24700,0,0
1996-04-19,4.375,4.375,3.875,3.9375,27600,0,0
1996-04-22,4.25,4.25,3.875,4.125,148800,0,0
1996-04-23,3.875,4.0,3.875,3.875,49000,0,0
1996-04-24,3.875,4.0625,3.875,3.9375,4600,0,0
1996-04-25,3.875,3.875,3.875,3.875,32100,0,0
1996-04-26,3.875,4.125,3.875,4.125,33700,0,0
1996-04-29,4.125,4.125,3.875,3.875,13800,0,0
1996-04-30,3.875,4.2031,3.875,4.0625,102400,0,0
1996-05-01,4.125,4.25,4.0,4.0,85400,0,0
1996-05-02,4.0,4.125,3.9688,3.9688,42600,0,0
1996-05-03,4.0,4.125,4.0,4.0,14100,0,0
1996-05-06,4.0,4.2031,4.0,4.0,29400,0,0
1996-05-07,4.2031,4.2031,4.0,4.125,146000,0,0
1996-05-08,4.125,4.25,4.125,4.125,29500,0,0
1996-05-09,4.125,4.375,4.125,4.125,12200,0,0
1996-05-10,4.125,4.375,4.125,4.125,12500,0,0
1996-05-13,4.125,4.4375,4.125,4.4375,203700,0,0
1996-05-14,4.5,4.5,4.375,4.375,176700,0,0
1996-05-15,4.375,4.5,4.375,4.375,150100,0,0
1996-05-16,4.375,4.75,4.375,4.625,218900,0,0
1996-05-17,4.625,4.75,4.5,4.5,93900,0,0
1996-05-20,4.5,4.5,4.125,4.5,116500,0,0
1996-05-21,4.25,4.5,4.125,4.125,65900,0,0
1996-05-22,4.125,4.375,4.0,4.0,78900,0,0
1996-05-23,4.0,4.25,4.0,4.2031,54900,0,0
1996-05-24,4.0,4.375,4.0,4.25,52100,0,0
1996-05-28,4.2031,4.4531,4.0,4.125,70900,0,0
1996-05-29,4.125,5.0,4.125,4.3125,105000,0,0
1996-05-30,4.5,4.625,4.25,4.25,19600,0,0
1996-05-31,4.25,4.5,4.125,4.125,56700,0,0
1996-06-03,4.125,4.125,3.875,3.875,13800,0,0
1996-06-04,3.75,4.0625,3.75,4.0,11600,0,0
1996-06-05,3.875,4.125,3.5,3.875,86200,0,0
1996-06-06,3.875,4.125,3.875,3.875,36600,0,0
1996-06-07,3.875,3.875,3.625,3.875,56700,0,0
