Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-07-16,5.12,5.62,5.12,5.5,1869200,0,0.0
1991-07-17,5.62,5.62,5.38,5.38,104800,0,0.0
1991-07-18,5.38,5.62,5.38,5.5,266200,0,0.0
1991-07-19,5.62,5.62,5.25,5.38,224800,0,0.0
1991-07-22,5.5,5.5,5.19,5.38,395200,0,0.0
1991-07-23,5.25,5.25,4.88,5.0,87800,0,0.0
1991-07-24,4.88,5.0,4.88,5.0,117000,0,0.0
1991-07-25,5.0,5.12,5.0,5.12,11000,0,0.0
1991-07-26,5.12,5.25,5.12,5.19,7000,0,0.0
1991-07-29,5.25,5.25,4.94,4.94,43400,0,0.0
1991-07-30,5.12,5.12,4.88,4.88,13000,0,0.0
1991-07-31,4.88,5.0,4.56,4.62,493000,0,0.0
1991-08-01,4.62,4.88,4.56,4.88,219000,0,0.0
1991-08-02,4.62,4.62,4.62,4.62,30200,0,0.0
1991-08-05,4.88,4.88,4.75,4.75,24000,0,0.0
1991-08-06,4.75,4.88,4.62,4.62,402800,0,0.0
1991-08-07,4.88,4.88,4.88,4.88,1000,0,0.0
1991-08-08,4.88,4.88,4.88,4.88,800,0,0.0
1991-08-09,4.75,4.75,4.62,4.62,29200,0,0.0
1991-08-12,4.62,4.62,4.62,4.62,16000,0,0.0
1991-08-13,4.75,4.88,4.75,4.88,4400,0,0.0
1991-08-14,4.69,4.69,4.69,4.69,2000,0,0.0
1991-08-15,4.88,4.88,4.62,4.81,286000,0,0.0
1991-08-16,4.81,4.81,4.81,4.81,2000,0,0.0
1991-08-19,4.5,4.62,4.38,4.62,41800,0,0.0
1991-08-20,4.5,4.5,4.25,4.25,58200,0,0.0
1991-08-21,4.5,5.0,4.38,5.0,285400,0,0.0
1991-08-22,5.0,5.75,5.0,5.5,323600,0,0.0
1991-08-23,5.75,6.62,5.62,6.62,369800,0,0.0
1991-08-26,6.62,7.5,6.25,7.25,303400,0,0.0
1991-08-27,7.38,8.0,7.25,7.5,318000,0,0.0
1991-08-28,7.38,7.88,7.25,7.5,188800,0,0.0
1991-08-29,7.88,7.88,7.5,7.62,150000,0,0.0
1991-08-30,7.62,7.62,7.38,7.62,90200,0,0.0
1991-09-03,7.75,7.75,7.0,7.25,94200,0,0.0
1991-09-04,7.62,7.88,7.19,7.38,202800,0,0.0
1991-09-05,7.62,7.62,7.25,7.62,139600,0,0.0
1991-09-06,7.62,7.75,7.38,7.56,60200,0,0.0
1991-09-09,7.75,7.75,7.62,7.62,56600,0,0.0
1991-09-10,7.75,7.75,7.44,7.5,94600,0,0.0
1991-09-11,7.62,7.62,7.38,7.5,72400,0,0.0
1991-09-12,7.62,9.25,7.38,9.25,370400,0,0.0
1991-09-13,9.75,10.0,8.88,9.25,258600,0,0.0
1991-09-16,9.25,9.25,8.75,9.12,119200,0,0.0
1991-09-17,9.12,9.12,8.75,9.0,61800,0,0.0
1991-09-18,8.75,9.0,8.38,8.75,207600,0,0.0
1991-09-19,8.88,8.88,8.5,8.5,84200,0,0.0
1991-09-20,9.0,9.0,8.62,9.0,90400,0,0.0
1991-09-23,8.62,9.0,8.12,8.5,83800,0,0.0
1991-09-24,8.5,8.5,8.12,8.5,35000,0,0.0
1991-09-25,8.62,8.75,8.25,8.75,52400,0,0.0
1991-09-26,8.62,8.75,8.38,8.5,36600,0,0.0
1991-09-27,8.25,8.62,8.25,8.62,7800,0,0.0
1991-09-30,8.25,8.56,8.25,8.5,15000,0,0.0
1991-10-01,8.62,8.62,8.38,8.38,7400,0,0.0
1991-10-02,8.38,8.62,8.38,8.5,7200,0,0.0
1991-10-03,8.62,8.62,8.38,8.62,78000,0,0.0
1991-10-04,8.44,8.62,8.44,8.5,8400,0,0.0
1991-10-07,8.38,8.75,8.38,8.5,765600,0,0.0
1991-10-08,8.75,8.75,8.38,8.38,30600,0,0.0
1991-10-09,8.38,8.75,8.38,8.38,13400,0,0.0
1991-10-10,8.75,8.75,7.38,8.12,139200,0,0.0
1991-10-11,8.38,8.38,8.0,8.12,7200,0,0.0
1991-10-14,8.0,8.12,7.75,7.94,94400,0,0.0
1991-10-15,7.75,8.12,7.75,8.12,38800,0,0.0
1991-10-16,8.12,8.25,7.88,8.25,25600,0,0.0
1991-10-17,8.25,9.25,7.88,9.25,148000,0,0.0
1991-10-18,9.25,9.75,8.88,9.62,209200,0,0.0
1991-10-21,9.25,9.62,9.0,9.25,90800,0,0.0
1991-10-22,9.0,9.38,9.0,9.38,72600,0,0.0
1991-10-23,9.38,10.0,9.0,9.75,164000,0,0.0
1991-10-24,9.75,9.88,8.75,8.81,399600,0,0.0
1991-10-25,8.75,9.5,8.75,9.0,1846000,0,0.0
1991-10-28,9.12,9.38,8.88,9.06,516000,0,0.0
1991-10-29,9.38,9.38,9.0,9.38,233800,0,0.0
1991-10-30,9.38,9.5,9.12,9.5,206000,0,0.0
1991-10-31,9.5,10.44,9.25,10.38,307000,0,0.0
1991-11-01,10.38,10.38,10.12,10.38,211600,0,0.0
1991-11-04,10.38,10.38,10.0,10.25,306000,0,0.0
1991-11-05,10.25,10.25,9.5,9.5,136200,0,0.0
1991-11-06,9.88,9.88,8.38,8.62,327600,0,0.0
1991-11-07,8.88,9.62,8.88,9.0,194200,0,0.0
1991-11-08,9.25,9.5,9.0,9.5,96200,0,0.0
1991-11-11,9.5,9.88,9.25,9.62,128600,0,0.0
1991-11-12,9.88,10.12,9.75,10.12,192200,0,0.0
1991-11-13,9.75,10.12,9.75,9.75,209000,0,0.0
1991-11-14,9.75,10.0,9.0,9.25,167400,0,0.0
1991-11-15,8.88,9.0,7.88,8.0,171400,0,0.0
1991-11-18,7.38,8.0,7.12,7.88,609200,0,0.0
1991-11-19,7.75,7.75,6.5,6.75,282000,0,0.0
1991-11-20,7.0,7.0,6.5,6.5,685800,0,0.0
1991-11-21,6.62,6.62,6.38,6.62,50000,0,0.0
1991-11-22,6.62,6.62,6.0,6.12,104200,0,0.0
1991-11-25,6.12,6.12,5.25,5.88,561000,0,0.0
1991-11-26,6.0,6.0,5.5,5.88,456600,0,0.0
1991-11-27,5.88,5.88,5.5,5.75,1068000,0,0.0
1991-11-29,5.5,6.38,5.5,6.25,156800,0,0.0
1991-12-02,6.25,6.31,5.88,6.31,94600,0,0.0
1991-12-03,6.38,6.5,6.25,6.5,180400,0,0.0
1991-12-04,6.5,6.5,6.25,6.38,179200,0,0.0
1991-12-05,6.5,7.62,6.38,7.38,240000,0,0.0
1991-12-06,7.5,7.75,7.12,7.75,94600,0,0.0
1991-12-09,7.88,8.5,7.5,8.12,337800,0,0.0
1991-12-10,8.12,8.25,7.88,7.88,87600,0,0.0
1991-12-11,7.88,8.0,7.62,7.75,159000,0,0.0
1991-12-12,7.75,8.12,7.75,8.0,94400,0,0.0
1991-12-13,8.12,8.12,7.75,8.0,17000,0,0.0
1991-12-16,8.12,8.38,8.0,8.12,49800,0,0.0
1991-12-17,8.5,8.5,7.62,8.12,41800,0,0.0
1991-12-18,8.0,8.0,7.62,7.62,178200,0,0.0
1991-12-19,7.88,7.88,7.62,7.88,203000,0,0.0
1991-12-20,7.88,7.88,7.62,7.69,88600,0,0.0
1991-12-23,7.5,7.88,7.5,7.5,228800,0,0.0
1991-12-24,7.75,7.75,7.5,7.75,119000,0,0.0
1991-12-26,7.5,7.75,7.5,7.62,109400,0,0.0
1991-12-27,7.75,7.75,7.5,7.75,216200,0,0.0
1991-12-30,7.75,8.25,7.75,8.0,77000,0,0.0
1991-12-31,8.12,9.38,8.12,9.0,135400,0,0.0
1992-01-02,8.88,9.0,8.62,9.0,179600,0,0.0
1992-01-03,9.12,10.88,8.88,10.75,276000,0,0.0
1992-01-06,10.75,11.25,9.88,10.38,172400,0,0.0
1992-01-07,10.0,11.12,9.88,11.12,245400,0,0.0
1992-01-08,11.12,13.62,11.12,13.5,688400,0,0.0
1992-01-09,13.62,14.38,13.5,14.19,867200,0,0.0
1992-01-10,14.38,14.38,12.62,13.12,538400,0,0.0
1992-01-13,13.38,13.38,12.25,13.06,489800,0,0.0
1992-01-14,12.75,13.12,12.75,13.12,63600,0,0.0
1992-01-15,12.75,13.25,12.75,13.06,64400,0,0.0
1992-01-16,13.25,13.25,11.0,11.38,359000,0,0.0
1992-01-17,11.25,11.75,11.25,11.5,218200,0,0.0
1992-01-20,11.5,11.62,11.25,11.38,86800,0,0.0
1992-01-21,11.0,11.12,9.88,10.62,262600,0,0.0
1992-01-22,11.12,11.62,11.0,11.62,131600,0,0.0
1992-01-23,12.0,12.0,11.12,11.5,134000,0,0.0
1992-01-24,11.5,11.62,11.12,11.25,76600,0,0.0
1992-01-27,11.62,11.62,11.25,11.62,90600,0,0.0
1992-01-28,11.62,11.62,11.0,11.38,42400,0,0.0
1992-01-29,11.38,11.38,10.38,10.44,133200,0,0.0
1992-01-30,10.38,10.62,10.25,10.5,85400,0,0.0
1992-01-31,10.5,10.5,10.0,10.5,1600,0,0.0
1992-02-03,10.5,10.5,10.0,10.0,26400,0,0.0
1992-02-04,10.5,10.5,10.0,10.12,47400,0,0.0
1992-02-05,10.0,10.38,10.0,10.0,52600,0,0.0
1992-02-06,10.38,10.38,10.0,10.38,35200,0,0.0
1992-02-07,10.38,10.38,9.88,10.0,48600,0,0.0
1992-02-10,9.88,10.38,9.5,9.5,42800,0,0.0
