Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-03-20,3.2,3.2,3.2,3.2,0,0.0,0.0
2003-03-21,3.2,3.2,3.2,3.2,0,0.0,0.0
2003-03-24,3.2,3.2,3.2,3.2,0,0.0,0.0
2003-03-25,3.2,3.2,3.2,3.2,0,0.0,0.0
2003-03-26,3.2,3.2,3.2,3.2,0,0.0,0.0
2003-03-27,3.2,3.2,3.2,3.2,0,0.0,0.0
2003-03-28,3.2,3.2,3.2,3.2,0,0.0,0.0
2003-03-31,3.2,3.2,3.2,3.2,0,0.0,0.0
2003-04-01,3.06,3.06,3.06,3.06,12000,0.0,0.0
2003-04-02,3.19,3.19,3.19,3.19,12000,0.0,0.0
2003-04-03,3.02,3.02,2.92,2.92,8400,0.0,0.0
2003-04-04,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-07,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-08,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-09,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-10,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-11,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-14,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-15,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-16,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-17,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-21,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-22,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-23,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-24,2.92,2.92,2.92,2.92,0,0.0,0.0
2003-04-25,3.13,3.13,3.13,3.13,4200,0.0,0.0
2003-04-28,3.13,3.13,3.13,3.13,0,0.0,0.0
2003-04-29,3.13,3.13,3.13,3.13,0,0.0,0.0
2003-04-30,3.13,3.13,3.13,3.13,0,0.0,0.0
2003-05-01,3.13,3.13,3.13,3.13,0,0.0,0.0
2003-05-02,3.13,3.13,3.13,3.13,0,0.0,0.0
2003-05-05,3.13,3.13,3.13,3.13,0,0.0,0.0
2003-05-06,3.13,3.13,3.13,3.13,0,0.0,0.0
2003-05-07,2.99,2.99,2.99,2.99,3600,0.0,0.0
2003-05-08,2.99,2.99,2.99,2.99,0,0.0,0.0
2003-05-09,3.02,3.02,3.02,3.02,6000,0.0,0.0
2003-05-12,3.02,3.02,3.02,3.02,0,0.0,0.0
2003-05-13,3.02,3.02,3.02,3.02,0,0.0,0.0
2003-05-14,3.02,3.02,3.02,3.02,0,0.0,0.0
2003-05-15,2.99,3.1,2.99,3.1,12000,0.0,0.0
2003-05-16,2.99,2.99,2.99,2.99,7200,0.0,0.0
2003-05-19,3.12,3.12,3.12,3.12,3000,0.0,0.0
2003-05-20,3.02,3.02,2.94,2.94,4200,0.0,0.0
2003-05-21,2.99,3.02,2.99,3.02,6000,0.0,0.0
2003-05-22,2.99,3.02,2.99,3.02,6000,0.0,0.0
2003-05-23,3.02,3.02,3.02,3.02,0,0.0,0.0
2003-05-27,3.02,3.02,3.02,3.02,0,0.0,0.0
2003-05-28,3.07,3.07,3.07,3.07,3000,0.0,0.0
2003-05-29,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-05-30,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-06-02,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-06-03,2.99,3.03,2.99,3.03,36600,0.0,0.0
2003-06-04,3.03,3.03,3.03,3.03,0,0.0,0.0
2003-06-05,3.03,3.03,3.03,3.03,0,0.0,0.0
2003-06-06,3.03,3.03,3.03,3.03,0,0.0,0.0
2003-06-09,3.03,3.03,3.03,3.03,0,0.0,0.0
2003-06-10,3.07,3.1,3.02,3.1,6000,0.0,0.0
2003-06-11,3.1,3.1,3.1,3.1,0,0.0,0.0
2003-06-12,3.1,3.1,3.1,3.1,0,0.0,0.0
2003-06-13,3.1,3.1,3.1,3.1,0,0.0,0.0
2003-06-16,3.1,3.1,3.1,3.1,0,0.0,0.0
2003-06-17,3.1,3.1,3.1,3.1,0,0.0,0.0
2003-06-18,3.12,3.12,3.12,3.12,0,0.03833,0.0
2003-06-19,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-06-20,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-06-23,3.12,3.12,3.12,3.12,1200,0.0,0.0
2003-06-24,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-06-25,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-06-26,3.1,3.12,3.1,3.12,2400,0.0,0.0
2003-06-27,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-06-30,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-07-01,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-07-02,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-07-03,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-07-07,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-07-08,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-07-09,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-07-10,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-07-11,3.12,3.12,3.07,3.12,9600,0.0,0.0
2003-07-14,3.07,3.12,3.04,3.12,10200,0.0,0.0
2003-07-15,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-07-16,3.07,3.12,3.07,3.12,3600,0.0,0.0
2003-07-17,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-07-18,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-07-21,3.12,3.12,3.12,3.12,0,0.0,0.0
2003-07-22,3.12,3.12,3.07,3.07,6600,0.0,0.0
2003-07-23,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-07-24,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-07-25,3.07,3.1,3.07,3.1,3600,0.0,0.0
2003-07-28,3.07,3.07,3.07,3.07,4200,0.0,0.0
2003-07-29,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-07-30,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-07-31,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-08-01,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-08-04,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-08-05,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-08-06,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-08-07,3.07,3.07,3.07,3.07,1200,0.0,0.0
2003-08-08,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-08-11,3.07,3.07,3.07,3.07,0,0.0,0.0
2003-08-12,3.07,3.07,3.07,3.07,0,0.0,0.0
