Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-11-18,7.739,8.3949,7.2144,7.4111,10634700,0.0,0
1999-11-19,7.3783,7.4767,7.3127,7.3783,2522800,0.0,0
1999-11-22,7.4111,7.4767,7.2799,7.3455,927200,0.0,0
1999-11-23,7.3455,8.067,7.28,7.7718,1601800,0.0,0
1999-11-24,7.8374,7.8702,7.5095,7.5423,508400,0.0,0
1999-11-26,7.6079,7.739,7.5423,7.6407,139900,0.0,0
1999-11-29,7.6079,7.6079,7.4439,7.4767,311200,0.0,0
1999-11-30,7.4111,7.5423,6.8209,7.3127,979300,0.0,0
1999-12-01,7.3127,7.3127,6.8536,6.952,283200,0.0,0
1999-12-02,6.9192,7.3455,6.8864,7.2799,379700,0.0,0
1999-12-03,7.3455,7.5423,7.1488,7.1488,357800,0.0,0
1999-12-06,7.2799,7.2799,6.9192,6.952,205700,0.0,0
1999-12-07,6.952,7.2799,6.3618,7.0832,245100,0.0,0
1999-12-08,7.2144,7.28,6.7881,7.0176,560200,0.0,0
1999-12-09,6.952,7.2799,6.8209,6.8209,357600,0.0,0
1999-12-10,6.8209,7.116,6.6897,6.7553,311000,0.0,0
1999-12-13,6.8209,6.8864,6.5585,6.7881,361200,0.0,0
1999-12-14,6.6897,6.8209,6.2962,6.3618,308600,0.0,0
1999-12-15,6.8209,7.2799,6.6897,6.952,567000,0.0,0
1999-12-16,7.1816,7.2799,6.8209,6.952,399800,0.0,0
1999-12-17,7.0504,7.1488,6.8209,6.9192,363200,0.0,0
1999-12-20,6.952,7.1816,6.8864,7.0832,224000,0.0,0
1999-12-21,7.116,7.1488,6.8864,7.0176,148900,0.0,0
1999-12-22,7.0012,7.116,6.7881,6.7881,155700,0.0,0
1999-12-23,6.8209,6.952,6.6897,6.7225,89100,0.0,0
1999-12-27,6.7225,6.952,6.5585,6.5585,109300,0.0,0
1999-12-28,6.5585,6.6897,6.4601,6.5257,169300,0.0,0
1999-12-29,6.4929,6.6241,6.2962,6.4601,342000,0.0,0
1999-12-30,6.4601,6.6897,6.4601,6.4929,175000,0.0,0
1999-12-31,6.4929,6.6897,6.4929,6.4929,63500,0.0,0
2000-01-03,6.6241,6.952,6.3945,6.952,117500,0.0,0
2000-01-04,6.9848,7.6079,6.952,7.4767,618400,0.0,0
2000-01-05,7.3455,7.8702,7.2144,7.6407,382000,0.0,0
2000-01-06,7.6735,7.9358,7.5095,7.6079,304800,0.0,0
2000-01-07,7.5095,7.8046,7.5095,7.5423,186800,0.0,0
2000-01-10,7.6407,8.4605,7.5423,7.8046,355000,0.0,0
2000-01-11,7.8702,8.2637,7.8046,7.8702,197700,0.0,0
2000-01-12,7.8702,8.067,7.8046,7.9358,170000,0.0,0
2000-01-13,7.8046,8.3949,7.8046,7.9358,208800,0.0,0
2000-01-14,8.0998,8.0998,7.8046,7.8702,49400,0.0,0
2000-01-18,7.8702,7.9358,7.739,7.739,107300,0.0,0
2000-01-19,7.739,7.8702,6.952,7.5423,109800,0.0,0
2000-01-20,7.3455,7.4439,6.952,7.2472,64400,0.0,0
2000-01-21,7.116,7.2799,6.6897,6.8864,92900,0.0,0
2000-01-24,6.8209,7.116,6.7553,7.0832,140300,0.0,0
2000-01-25,6.952,7.5095,6.952,7.3455,74000,0.0,0
2000-01-26,7.4111,7.4111,7.0832,7.1816,39600,0.0,0
2000-01-27,7.2799,7.6079,7.1816,7.3455,93000,0.0,0
2000-01-28,7.4111,7.5423,7.2799,7.2799,57600,0.0,0
2000-01-31,7.2799,8.0014,7.2472,7.5423,222300,0.0,0
2000-02-01,7.5751,8.3949,7.5751,8.1981,156800,0.0,0
2000-02-02,8.1326,8.2637,7.8046,8.067,133200,0.0,0
2000-02-03,8.0014,8.1653,7.8046,7.8702,77900,0.0,0
2000-02-04,7.8046,7.8702,7.739,7.8046,113400,0.0,0
2000-02-07,7.8702,8.1326,7.8046,7.8702,146000,0.0,0
2000-02-08,7.8702,8.0014,7.8046,7.9358,193000,0.0,0
2000-02-09,8.0342,8.5261,7.9358,8.1326,363100,0.0,0
2000-02-10,8.3293,8.7884,8.0014,8.0014,480300,0.0,0
2000-02-11,7.9686,8.2637,7.6735,7.7718,1336100,0.0,0
2000-02-14,7.7554,7.8702,7.4111,7.6735,643100,0.0,0
2000-02-15,7.5915,8.0014,7.4111,7.6735,157100,0.0,0
2000-02-16,7.6735,7.8702,7.4767,7.4767,127100,0.0,0
2000-02-17,7.4767,7.6407,7.1816,7.3455,300400,0.0,0
2000-02-18,7.2799,7.7718,7.2144,7.4767,209200,0.0,0
2000-02-22,7.4767,7.9686,7.4767,7.8702,374200,0.0,0
2000-02-23,7.903,8.1981,7.8046,8.0998,297500,0.0,0
2000-02-24,8.1326,8.1981,7.5423,7.7063,321200,0.0,0
2000-02-25,7.6735,7.9358,7.6735,7.739,89700,0.0,0
2000-02-28,7.739,7.8702,7.3455,7.8702,160900,0.0,0
2000-02-29,7.739,7.739,7.2144,7.3455,152000,0.0,0
2000-03-01,7.2799,7.5423,7.1488,7.2472,293500,0.0,0
2000-03-02,7.2144,7.4111,7.2144,7.4111,389000,0.0,0
2000-03-03,7.3455,7.5423,7.2144,7.5095,78400,0.0,0
2000-03-06,7.3783,7.5423,7.2144,7.5423,24600,0.0,0
2000-03-07,7.2472,7.3455,7.1488,7.3127,113400,0.0,0
2000-03-08,7.3127,7.4767,7.2799,7.3127,31600,0.0,0
2000-03-09,7.3127,7.5095,7.3127,7.3455,67400,0.0,0
2000-03-10,7.5423,7.5423,7.2799,7.3455,44700,0.0,0
2000-03-13,7.2144,7.4767,7.1488,7.2799,29600,0.0,0
2000-03-14,7.2799,7.4111,7.0832,7.2799,77600,0.0,0
2000-03-15,7.3127,7.4111,7.0176,7.2144,75400,0.0,0
2000-03-16,7.2472,7.4439,7.1488,7.4111,99200,0.0,0
2000-03-17,7.3455,7.4439,7.2554,7.2799,91700,0.0,0
2000-03-20,7.3127,7.3455,7.2144,7.3127,141200,0.0,0
2000-03-21,7.3127,7.3455,7.2799,7.2799,49400,0.0,0
