Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-04,13.75,14.0,13.75,13.75,4000,0,0.0
2000-01-05,13.9,14.1,13.9,13.9,81400,0,0.0
2000-01-06,13.9,13.9,13.6,13.6,0,0,0.0
2000-01-07,13.7,13.9,13.7,13.7,32100,0,0.0
2000-01-10,14.5,14.55,14.5,14.55,391500,0,0.0
2000-01-11,14.7,15.1,14.7,15.1,31600,0,0.0
2000-01-12,15.0,15.1,15.0,15.0,363600,0,0.0
2000-01-13,15.2,15.25,15.2,15.25,2400,0,0.0
2000-01-14,15.25,15.5,15.25,15.5,17100,0,0.0
2000-01-18,16.5,17.25,16.5,16.7,93400,0,0.0
2000-01-19,16.7,16.7,16.7,16.7,9000,0,0.0
2000-01-20,16.7,16.7,16.6,16.7,152600,0,0.0
2000-01-21,16.6,16.7,16.5,16.7,81200,0,0.0
2000-01-24,16.7,16.7,16.6,16.7,78400,0,0.0
2000-01-25,16.4,16.4,16.4,16.4,6500,0,0.0
2000-01-26,16.55,16.65,16.55,16.65,87900,0,0.0
2000-01-27,16.65,16.7,16.55,16.55,39700,0,0.0
2000-01-28,16.5,16.5,16.4,16.4,37700,0,0.0
2000-01-31,16.5,16.5,16.4,16.4,0,0,0.0
2000-02-01,16.4,17.0,16.4,16.4,195700,0,0.0
2000-02-02,16.9,16.9,16.9,16.9,1000,0,0.0
2000-02-03,16.85,16.85,16.5,16.5,42300,0,0.0
2000-02-04,16.5,16.6,16.5,16.5,573600,0,0.0
2000-02-07,16.4,16.4,16.25,16.25,72800,0,0.0
2000-02-08,16.15,16.15,16.1,16.15,251500,0,0.0
2000-02-09,16.1,16.1,16.0,16.0,14000,0,0.0
2000-02-10,15.5,15.5,15.5,15.5,18900,0,0.0
2000-02-11,15.5,15.5,15.0,15.05,123000,0,0.0
2000-02-14,15.0,15.0,14.9,14.9,250800,0,0.0
2000-02-15,14.9,15.0,14.8,14.8,311300,0,0.0
2000-02-16,14.6,14.6,14.5,14.5,302100,0,0.0
2000-02-17,14.5,14.5,14.25,14.25,10600,0,0.0
2000-02-18,14.3,14.3,14.25,14.25,39700,0,0.0
2000-02-22,14.25,14.25,14.25,14.25,160600,0,0.0
2000-02-23,14.0,14.0,13.8,13.9,32000,0,0.0
2000-02-24,13.9,14.5,13.9,14.45,258400,0,0.0
2000-02-25,14.25,14.5,14.25,14.45,52700,0,0.0
2000-02-28,14.4,14.4,14.3,14.3,128800,0,0.0
2000-02-29,14.3,14.3,14.0,14.0,204700,0,0.0
2000-03-01,13.9,14.0,13.9,13.95,36500,0,0.0
2000-03-02,13.95,13.95,13.8,13.9,80100,0,0.0
2000-03-03,13.6,13.6,13.45,13.45,70000,0,0.0
2000-03-06,13.5,13.5,13.3,13.3,1008300,0,0.0
2000-03-07,13.0,13.1,13.0,13.0,15700,0,0.0
2000-03-08,13.0,13.05,13.0,13.05,4300,0,0.0
2000-03-09,13.05,13.3,13.05,13.25,490300,0,0.0
2000-03-10,13.25,13.3,13.25,13.3,2600,0,0.0
2000-03-13,13.3,13.3,13.3,13.3,0,0,0.0
2000-03-14,13.25,13.25,13.25,13.25,15600,0,0.0
2000-03-15,13.0,13.0,13.0,13.0,14700,0,0.0
2000-03-16,12.95,13.2,12.9,12.9,121900,0,0.0
2000-03-17,13.0,13.0,12.9,13.0,291200,0,0.0
2000-03-20,13.0,13.3,13.0,13.25,592900,0,0.0
2000-03-21,13.25,13.25,13.25,13.25,0,0,0.0
2000-03-22,13.35,13.45,13.25,13.45,10700,0,0.0
2000-03-23,13.45,13.45,13.3,13.45,43200,0,0.0
2000-03-24,13.45,13.5,13.45,13.5,8700,0,0.0
2000-03-27,13.5,13.55,13.5,13.55,15600,0,0.0
2000-03-28,13.6,13.6,13.5,13.55,609500,0,0.0
2000-03-29,14.0,14.0,13.55,13.55,0,0,0.0
2000-03-30,13.55,13.65,13.55,13.65,4600,0,0.0
2000-03-31,13.65,14.1,13.65,14.1,36500,0,0.0
2000-04-03,14.0,14.0,13.75,13.75,0,0,0.0
2000-04-04,13.75,13.75,13.65,13.65,323800,0,0.0
2000-04-05,13.6,13.6,13.5,13.5,30000,0,0.0
2000-04-06,14.0,14.0,13.55,13.55,0,0,0.0
2000-04-07,13.55,13.55,13.55,13.55,105900,0,0.0
2000-04-10,14.0,14.0,13.6,13.6,13000,0,0.0
2000-04-11,14.0,14.0,14.0,14.0,300,0,0.0
2000-04-12,14.0,14.0,14.0,14.0,135700,0,0.0
2000-04-13,13.9,13.9,13.5,13.5,0,0,0.0
2000-04-14,13.4,13.4,13.4,13.4,55300,0,0.0
2000-04-17,12.8,12.8,12.8,12.8,2000,0,0.0
2000-04-18,12.2,13.4,12.2,12.2,151000,0,0.0
2000-04-19,13.5,13.5,13.4,13.4,20100,0,0.0
2000-04-20,13.45,13.55,13.45,13.45,80200,0,0.0
2000-04-24,13.45,13.45,13.45,13.45,0,0,0.0
2000-04-25,13.55,13.8,13.55,13.55,2700,0,0.0
2000-04-26,14.0,14.25,14.0,14.0,145300,0,0.0
2000-04-27,14.0,14.0,14.0,14.0,0,0,0.0
2000-04-28,14.2,14.4,14.2,14.2,33000,0,0.0
2000-05-01,14.2,14.2,14.2,14.2,0,0,0.0
2000-05-02,14.5,14.8,14.5,14.5,553600,0,0.0
2000-05-03,15.0,15.5,15.0,15.0,291500,0,0.0
2000-05-04,15.2,15.95,15.2,15.2,450600,0,0.0
2000-05-05,15.95,15.95,15.75,15.75,286300,0,0.0
2000-05-08,16.0,16.45,15.9,15.9,83300,0,0.0
2000-05-09,15.9,15.9,15.9,15.9,0,0,0.0
2000-05-10,16.0,16.0,15.6,15.6,754600,0,0.0
2000-05-11,15.5,15.6,15.4,15.4,214800,0,0.0
2000-05-12,15.7,15.9,15.7,15.7,315000,0,0.0
2000-05-15,15.8,15.9,15.8,15.8,258500,0,0.0
2000-05-16,15.8,15.8,15.6,15.6,42500,0,0.0
2000-05-17,15.4,15.4,15.15,15.15,370000,0,0.0
2000-05-18,15.15,15.15,15.0,15.0,156300,0,0.0
2000-05-19,14.8,14.85,14.8,14.8,17900,0,0.0
2000-05-22,14.8,14.8,14.8,14.8,2000,0,0.0
2000-05-23,14.85,14.85,14.85,14.85,2300,0,0.0
2000-05-24,14.8,14.8,14.5,14.5,0,0,0.0
2000-05-25,14.5,14.5,14.5,14.5,200,0,0.0
2000-05-26,14.85,14.85,14.55,14.55,0,0,0.0
2000-05-30,14.2,14.2,14.2,14.2,500,0,0.0
2000-05-31,14.5,14.5,14.35,14.35,0,0,0.0
2000-06-01,14.5,14.7,14.5,14.5,31600,0,0.0
2000-06-02,14.85,15.1,14.85,14.85,425800,0,0.0
2000-06-05,15.25,15.25,15.0,15.0,1400,0,0.0
2000-06-06,14.8,14.8,14.8,14.8,646700,0,0.0
2000-06-07,14.9,15.0,14.9,14.9,103200,0,0.0
2000-06-08,15.0,15.0,15.0,15.0,3174000,0,0.0
2000-06-09,15.0,15.0,15.0,15.0,54800,0,0.0
2000-06-12,15.0,15.05,15.0,15.0,85900,0,0.0
2000-06-13,15.05,15.05,14.8,14.8,87600,0,0.0
2000-06-14,14.8,15.0,14.8,14.8,240400,0,0.0
2000-06-15,15.0,15.1,15.0,15.0,355500,0,0.0
2000-06-16,15.0,15.0,15.0,15.0,0,0,0.0
2000-06-19,15.0,15.0,15.0,15.0,0,0,0.0
2000-06-20,15.0,15.0,14.95,14.95,100000,0,0.0
2000-06-21,15.0,15.0,15.0,15.0,26200,0,0.0
2000-06-22,15.0,15.0,15.0,15.0,9600,0,0.0
2000-06-23,15.0,15.0,14.9,14.9,30200,0,0.0
2000-06-26,15.0,15.0,15.0,15.0,16100,0,0.0
2000-06-27,15.0,15.0,14.9,14.9,298400,0,0.0
2000-06-28,15.0,15.0,14.8,14.8,53400,0,0.0
