Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-09,15.65,16.28,15.65,16.14,3584100,0.0,0
2018-08-10,16.03,16.12,15.66,16.04,337800,0.0,0
2018-08-13,16.09,16.16,15.85,16.14,212100,0.0,0
2018-08-14,16.13,16.16,15.99,16.14,199800,0.0,0
2018-08-15,16.15,16.17,15.85,16.07,82100,0.0,0
2018-08-16,16.04,16.17,15.98,16.07,227800,0.0,0
2018-08-17,16.06,16.17,16.04,16.06,107300,0.0,0
2018-08-20,16.13,16.19,15.97,16.13,69400,0.0,0
2018-08-21,16.16,16.32,16.08,16.28,66700,0.0,0
2018-08-22,16.28,16.68,16.24,16.67,86400,0.0,0
2018-08-23,16.62,17.47,16.62,17.3,229200,0.0,0
2018-08-24,17.26,17.61,17.22,17.31,70800,0.0,0
2018-08-27,17.46,17.46,16.5,16.92,71600,0.0,0
2018-08-28,17.02,17.59,16.68,17.31,56500,0.0,0
2018-08-29,17.4,17.49,16.91,17.21,42700,0.0,0
2018-08-30,17.05,17.33,16.48,17.02,81900,0.0,0
2018-08-31,16.82,17.09,16.51,17.06,82100,0.0,0
2018-09-04,17.06,17.49,16.99,17.36,154700,0.0,0
2018-09-05,17.49,17.59,17.3,17.57,56600,0.0,0
2018-09-06,17.59,19.19,17.57,18.68,318200,0.0,0
2018-09-07,18.71,18.71,17.88,18.57,511900,0.0,0
2018-09-10,18.58,18.58,17.74,18.54,325900,0.0,0
2018-09-11,18.48,18.58,16.97,18.49,393000,0.0,0
2018-09-12,18.54,18.56,18.18,18.44,93300,0.0,0
2018-09-13,18.46,18.54,17.99,18.5,342000,0.0,0
2018-09-14,18.49,18.54,18.12,18.35,90700,0.0,0
2018-09-17,18.42,18.54,18.04,18.48,73200,0.0,0
2018-09-18,18.48,18.48,17.86,18.25,122300,0.0,0
2018-09-19,18.3,18.42,17.75,18.23,305700,0.0,0
2018-09-20,18.35,18.39,17.31,17.7,206600,0.0,0
2018-09-21,17.71,18.73,17.51,18.18,1482300,0.0,0
2018-09-24,18.66,18.66,18.19,18.34,242500,0.0,0
2018-09-25,18.52,18.58,18.15,18.45,202000,0.0,0
2018-09-26,18.45,18.93,18.36,18.72,274000,0.0,0
2018-09-27,18.75,18.99,18.43,18.98,100800,0.0,0
2018-09-28,18.89,18.92,18.58,18.87,120100,0.0,0
2018-10-01,18.95,19.27,18.73,19.03,144200,0.0,0
2018-10-02,19.09,19.32,18.54,18.58,134400,0.0,0
2018-10-03,18.69,19.44,18.6,19.27,66200,0.0,0
2018-10-04,19.23,19.38,18.86,19.08,42800,0.0,0
2018-10-05,19.15,19.43,18.81,18.99,41900,0.0,0
2018-10-08,18.99,19.35,18.97,19.29,57200,0.0,0
2018-10-09,19.29,19.38,19.06,19.23,26700,0.0,0
2018-10-10,19.23,19.32,19.08,19.17,70000,0.0,0
2018-10-11,19.12,19.34,19.07,19.08,52300,0.0,0
2018-10-12,19.18,19.27,19.07,19.25,77300,0.0,0
2018-10-15,19.24,19.55,19.07,19.55,71400,0.0,0
2018-10-16,19.56,19.78,19.52,19.62,237900,0.0,0
2018-10-17,19.58,19.79,19.48,19.79,38100,0.0,0
2018-10-18,19.6,20.03,19.6,19.84,34100,0.0,0
2018-10-19,19.84,19.84,19.09,19.36,48100,0.0,0
2018-10-22,19.45,19.45,19.16,19.18,61800,0.0,0
2018-10-23,19.12,19.17,18.54,18.77,58200,0.0,0
2018-10-24,18.73,19.2,18.42,18.51,171200,0.0,0
2018-10-25,18.61,18.95,18.37,18.95,29200,0.0,0
2018-10-26,18.81,19.06,18.67,18.78,41300,0.0,0
2018-10-29,18.93,19.01,18.12,18.36,21200,0.0,0
2018-10-30,18.31,18.98,18.31,18.83,60300,0.0,0
2018-10-31,18.98,19.06,18.13,18.98,74100,0.0,0
2018-11-01,19.0,19.22,18.86,19.2,28000,0.0,0
2018-11-02,19.22,19.45,19.16,19.32,225900,0.0,0
2018-11-05,19.37,19.56,19.09,19.53,97100,0.0,0
2018-11-06,19.55,20.89,19.55,20.75,48700,0.0,0
2018-11-07,20.77,20.9,19.34,19.72,54000,0.0,0
2018-11-08,19.64,20.69,19.64,20.56,39900,0.0,0
2018-11-09,20.48,20.79,20.27,20.51,25000,0.0,0
2018-11-12,20.47,21.66,20.07,21.21,37500,0.0,0
2018-11-13,21.33,22.47,21.33,21.93,26500,0.0,0
2018-11-14,19.08,19.71,18.93,19.39,776100,0.0,0
2018-11-15,19.33,19.46,18.91,19.45,53000,0.06,0
2018-11-16,19.33,19.64,18.89,19.55,75900,0.0,0
2018-11-19,19.57,19.8,19.47,19.53,99400,0.0,0
2018-11-20,19.51,19.63,19.13,19.51,143700,0.0,0
2018-11-21,19.6,19.79,19.19,19.5,139600,0.0,0
2018-11-23,19.48,20.68,19.47,19.77,90000,0.0,0
2018-11-26,19.57,20.34,19.57,20.26,69400,0.0,0
2018-11-27,20.01,20.16,19.92,20.01,53300,0.0,0
2018-11-28,20.07,20.23,19.47,20.16,128000,0.0,0
2018-11-29,20.2,20.91,19.9,20.44,74400,0.0,0
2018-11-30,20.51,21.08,20.13,20.96,95900,0.0,0
2018-12-03,21.19,21.19,19.94,20.33,46500,0.0,0
2018-12-04,20.35,20.35,19.1,19.64,75800,0.0,0
2018-12-06,19.43,20.18,19.34,19.79,103400,0.0,0
2018-12-07,19.68,19.95,18.93,19.37,78100,0.0,0
2018-12-10,19.26,19.62,19.22,19.47,85000,0.0,0
2018-12-11,19.53,19.65,19.39,19.47,56500,0.0,0
2018-12-12,19.65,19.65,19.37,19.44,75300,0.0,0
2018-12-13,19.47,19.47,18.0,18.24,75000,0.0,0
2018-12-14,17.98,18.53,17.98,18.15,84800,0.0,0
2018-12-17,18.06,18.45,17.84,18.2,82600,0.0,0
2018-12-18,18.27,18.55,17.77,17.88,29700,0.0,0
2018-12-19,17.81,18.04,16.92,17.08,39400,0.0,0
2018-12-20,16.78,17.01,16.29,16.65,101100,0.0,0
2018-12-21,16.7,16.87,15.99,16.52,349800,0.0,0
2018-12-24,16.68,16.68,15.83,16.28,32700,0.0,0
2018-12-26,16.4,18.04,16.4,17.13,37600,0.0,0
2018-12-27,16.95,18.58,16.72,18.4,80000,0.0,0
2018-12-28,18.44,19.61,17.98,19.1,65200,0.0,0
2018-12-31,19.13,19.24,18.2,19.13,102600,0.0,0
2019-01-02,19.06,19.12,17.61,19.11,68200,0.0,0
2019-01-03,18.97,19.06,17.59,18.93,41300,0.0,0
2019-01-04,19.13,19.13,18.45,18.78,71500,0.0,0
2019-01-07,18.63,19.37,17.75,19.34,81200,0.0,0
2019-01-08,19.38,19.38,17.93,18.99,38300,0.0,0
2019-01-09,19.21,19.28,18.57,18.87,153200,0.0,0
2019-01-10,18.71,19.03,18.46,18.84,63800,0.0,0
2019-01-11,18.58,18.98,18.28,18.5,35900,0.0,0
2019-01-14,18.29,18.82,18.03,18.45,47200,0.0,0
2019-01-15,18.5,18.5,17.98,18.31,53400,0.0,0
2019-01-16,18.32,18.88,18.3,18.79,97200,0.0,0
2019-01-17,18.73,19.03,18.73,18.92,27800,0.0,0
2019-01-18,18.98,19.13,18.77,19.08,58100,0.0,0
2019-01-22,19.01,19.26,18.68,18.9,32000,0.0,0
2019-01-23,18.94,20.11,18.32,19.36,86400,0.0,0
2019-01-24,19.33,19.58,19.18,19.42,11300,0.0,0
2019-01-25,19.58,19.58,18.41,19.49,73700,0.0,0
2019-01-28,19.49,19.7,18.95,19.08,24800,0.0,0
2019-01-29,19.16,19.38,18.42,19.0,40800,0.0,0
2019-01-30,18.9,18.9,17.81,18.55,90000,0.0,0
2019-01-31,18.21,18.27,17.21,17.6,107000,0.0,0
2019-02-01,17.81,18.7,17.61,18.45,97800,0.0,0
2019-02-04,18.44,18.82,17.82,18.18,47200,0.0,0
2019-02-05,18.09,18.44,17.97,18.31,23400,0.0,0
2019-02-06,18.26,18.4,18.12,18.24,8500,0.0,0
2019-02-07,18.3,18.4,17.65,17.87,28500,0.0,0
2019-02-08,17.69,18.33,17.63,18.08,41600,0.0,0
2019-02-11,17.83,18.07,17.68,17.77,20000,0.0,0
2019-02-12,17.87,18.3,17.73,18.01,40700,0.0,0
2019-02-13,18.24,18.4,17.92,18.24,54900,0.0,0
2019-02-14,18.11,18.62,18.07,18.1,65900,0.06,0
2019-02-15,18.25,18.65,17.85,17.96,56800,0.0,0
2019-02-19,17.95,18.47,17.95,18.21,21000,0.0,0
2019-02-20,18.2,18.41,17.92,18.02,42700,0.0,0
2019-02-21,18.02,18.17,17.91,18.01,12700,0.0,0
2019-02-22,18.01,18.16,17.82,18.09,15600,0.0,0
2019-02-25,18.15,18.16,17.85,17.85,81500,0.0,0
2019-02-26,17.86,18.02,17.36,17.6,35400,0.0,0
2019-02-27,17.6,18.01,17.37,17.66,24800,0.0,0
2019-02-28,17.26,17.82,17.26,17.43,33200,0.0,0
2019-03-01,17.47,17.7,17.36,17.57,33300,0.0,0
2019-03-04,17.52,17.89,17.32,17.33,47800,0.0,0
2019-03-05,17.3,17.4,16.47,16.74,27400,0.0,0
2019-03-06,17.24,17.24,16.48,16.72,61000,0.0,0
2019-03-07,16.71,16.95,16.43,16.72,35600,0.0,0
2019-03-08,16.67,16.67,16.18,16.39,45400,0.0,0
2019-03-11,16.41,16.68,16.26,16.57,95100,0.0,0
2019-03-12,16.54,16.54,16.24,16.33,44000,0.0,0
2019-03-13,16.33,16.7,16.25,16.52,18500,0.0,0
