Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-10-20,0.0,1.01,1.01,1.01,3600,0.0,0.0
1980-10-21,0.0,1.01,1.01,1.01,22500,0.0,0.0
1980-10-22,0.0,1.06,1.06,1.06,600,0.0,0.0
1980-10-23,1.06,1.06,1.06,1.06,0,0.0,0.0
1980-10-24,0.0,1.06,1.06,1.06,1500,0.0,0.0
1980-10-27,0.0,1.06,1.06,1.06,2100,0.0,0.0
1980-10-28,1.06,1.06,1.06,1.06,0,0.0,0.0
1980-10-29,1.06,1.06,1.06,1.06,0,0.0,0.0
1980-10-30,1.06,1.06,1.06,1.06,0,0.0,0.0
1980-10-31,0.0,1.17,1.01,1.01,4500,0.0,0.0
1980-11-03,1.01,1.01,1.01,1.01,0,0.0,0.0
1980-11-05,0.0,1.17,1.01,1.01,1800,0.0,0.0
1980-11-06,0.0,1.11,1.06,1.06,19500,0.0,0.0
1980-11-07,0.0,1.27,1.06,1.06,900,0.0,0.0
1980-11-10,0.0,1.22,1.06,1.06,4500,0.0,0.0
1980-11-11,0.0,1.22,1.06,1.06,600,0.0,0.0
1980-11-12,0.0,1.22,1.06,1.06,900,0.0,0.0
1980-11-13,0.0,1.22,1.06,1.06,1500,0.0,0.0
1980-11-14,0.0,1.27,1.11,1.11,10800,0.0,0.0
1980-11-17,0.0,1.22,1.06,1.06,4800,0.0,0.0
1980-11-18,0.0,1.22,1.06,1.06,300,0.0,0.0
1980-11-19,0.0,1.22,1.06,1.06,7500,0.0,0.0
1980-11-20,1.06,1.06,1.06,1.06,0,0.0,0.0
1980-11-21,1.06,1.06,1.06,1.06,0,0.0,0.0
1980-11-24,1.06,1.06,1.06,1.06,0,0.0,0.0
1980-11-25,0.0,1.22,1.06,1.06,5400,0.0,0.0
1980-11-26,0.0,1.22,1.06,1.06,9300,0.0,0.0
1980-11-28,0.0,1.22,1.09,1.09,7500,0.0,0.0
1980-12-01,1.09,1.09,1.09,1.09,0,0.0,0.0
1980-12-02,1.09,1.09,1.09,1.09,0,0.0,0.0
1980-12-03,0.0,1.17,1.06,1.06,22500,0.0,0.0
1980-12-04,0.0,1.17,1.06,1.06,2400,0.0,0.0
1980-12-05,1.06,1.06,1.06,1.06,0,0.0,0.0
1980-12-08,1.06,1.06,1.06,1.06,0,0.0,0.0
1980-12-09,0.0,1.27,1.06,1.06,6300,0.0,0.0
1980-12-10,0.0,1.22,1.06,1.06,9900,0.0,0.0
1980-12-11,0.0,1.22,1.06,1.06,8100,0.0,0.0
1980-12-12,0.0,1.27,1.11,1.11,5400,0.0,0.0
1980-12-15,0.0,1.27,1.11,1.11,1800,0.0,0.0
1980-12-16,1.11,1.11,1.11,1.11,0,0.0,0.0
1980-12-17,0.0,1.22,1.17,1.17,3600,0.0,0.0
1980-12-18,0.0,1.27,1.17,1.17,2100,0.0,0.0
1980-12-19,0.0,1.27,1.11,1.11,4800,0.0,0.0
1980-12-22,0.0,1.27,1.11,1.11,3600,0.0,0.0
1980-12-23,1.11,1.11,1.11,1.11,0,0.0,0.0
1980-12-24,1.11,1.11,1.11,1.11,0,0.0,0.0
1980-12-26,1.11,1.11,1.11,1.11,0,0.0,0.0
1980-12-29,1.11,1.11,1.11,1.11,0,0.0,0.0
1980-12-30,1.11,1.11,1.11,1.11,0,0.0,0.0
1980-12-31,0.0,1.27,1.17,1.17,600,0.0,0.0
1981-01-02,0.0,1.27,1.17,1.17,3600,0.0,0.0
1981-01-05,1.17,1.17,1.17,1.17,0,0.0,0.0
1981-01-06,1.17,1.17,1.17,1.17,0,0.0,0.0
1981-01-07,1.17,1.17,1.17,1.17,0,0.0,0.0
1981-01-08,0.0,1.22,1.11,1.11,8100,0.0,0.0
1981-01-09,1.11,1.11,1.11,1.11,0,0.0,0.0
1981-01-12,1.11,1.11,1.11,1.11,0,0.0,0.0
1981-01-13,0.0,1.27,1.11,1.11,300,0.0,0.0
1981-01-14,1.11,1.11,1.11,1.11,0,0.0,0.0
1981-01-15,1.11,1.11,1.11,1.11,0,0.0,0.0
1981-01-16,0.0,1.27,1.11,1.11,300,0.0,0.0
1981-01-19,0.0,1.27,1.11,1.11,5400,0.0,0.0
1981-01-20,1.11,1.11,1.11,1.11,0,0.0,0.0
1981-01-21,1.11,1.11,1.11,1.11,0,0.0,0.0
1981-01-22,0.0,1.27,1.11,1.11,6600,0.0,0.0
1981-01-23,0.0,1.27,1.11,1.11,300,0.0,0.0
1981-01-26,0.0,1.27,1.11,1.11,1500,0.0,0.0
