Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-02-08,2.15,2.22,2.15,2.22,28200,0.0,0.0
2001-02-09,2.23,2.27,2.22,2.27,6000,0.0,0.0
2001-02-12,2.28,2.41,2.26,2.34,106200,0.0,0.0
2001-02-13,2.33,2.34,2.21,2.21,29400,0.0,0.0
2001-02-14,2.23,2.28,1.96,2.0,384600,0.0,0.0
2001-02-15,2.0,2.1,1.99,2.01,459000,0.0,0.0
2001-02-16,2.01,2.12,1.94,2.06,42000,0.0,0.0
2001-02-20,2.01,2.01,1.95,1.95,11400,0.0,0.0
2001-02-21,1.94,1.94,1.89,1.89,218400,0.0,0.0
2001-02-22,1.9,1.94,1.86,1.94,49800,0.0,0.0
2001-02-23,1.87,1.95,1.82,1.83,33600,0.0,0.0
2001-02-26,1.83,1.83,1.83,1.83,600,0.0,0.0
2001-02-27,1.83,1.83,1.82,1.83,46800,0.0,0.0
2001-02-28,1.83,1.85,1.78,1.85,97200,0.0,0.0
2001-03-01,1.83,1.83,1.76,1.76,20400,0.0,0.0
2001-03-02,1.76,1.76,1.71,1.73,27600,0.0,0.0
2001-03-05,1.73,1.73,1.73,1.73,7800,0.0,0.0
2001-03-06,1.78,1.83,1.77,1.8,28200,0.0,0.0
2001-03-07,1.82,1.83,1.81,1.83,4200,0.0,0.0
2001-03-08,1.81,1.81,1.8,1.8,10200,0.0,0.0
2001-03-09,1.77,1.82,1.76,1.8,13800,0.0,0.0
2001-03-12,1.8,1.8,1.71,1.71,19800,0.0,0.0
2001-03-13,1.7,1.71,1.7,1.7,18000,0.0,0.0
2001-03-14,1.7,1.7,1.62,1.62,36600,0.0,0.0
2001-03-15,1.62,1.66,1.6,1.6,12600,0.0,0.0
2001-03-16,1.59,1.64,1.59,1.64,52200,0.0,0.0
2001-03-19,1.66,1.76,1.64,1.71,37200,0.0,0.0
2001-03-20,1.76,1.79,1.67,1.67,49800,0.0,0.0
2001-03-21,1.63,1.68,1.6,1.6,24600,0.0,0.0
2001-03-22,1.61,1.61,1.48,1.53,100800,0.0,0.0
2001-03-23,1.53,1.58,1.5,1.58,25800,0.0,0.0
2001-03-26,1.5,1.53,1.5,1.5,42600,0.0,0.0
2001-03-27,1.52,1.52,1.49,1.49,22800,0.0,0.0
2001-03-28,1.48,1.48,1.45,1.45,62400,0.0,0.0
2001-03-29,1.47,1.47,1.41,1.41,88200,0.0,0.0
2001-03-30,1.41,1.48,1.41,1.48,8400,0.0,0.0
2001-04-02,1.48,1.54,1.48,1.48,52200,0.0,0.0
2001-04-03,1.46,1.48,1.43,1.48,123000,0.0,0.0
2001-04-04,1.45,1.49,1.45,1.45,51600,0.0,0.0
2001-04-05,1.47,1.54,1.47,1.5,18000,0.0,0.0
2001-04-06,1.55,1.55,1.49,1.52,25800,0.0,0.0
2001-04-09,1.54,1.54,1.54,1.54,1800,0.0,0.0
2001-04-10,1.54,1.66,1.54,1.66,42000,0.0,0.0
2001-04-11,1.64,1.64,1.64,1.64,16800,0.0,0.0
2001-04-12,1.64,1.66,1.64,1.65,16800,0.0,0.0
2001-04-16,1.65,1.65,1.65,1.65,10800,0.0,0.0
2001-04-17,1.67,1.67,1.66,1.66,1200,0.0,0.0
2001-04-18,1.69,1.8,1.69,1.73,24600,0.0,0.0
2001-04-19,1.71,1.71,1.7,1.7,6000,0.0,0.0
2001-04-20,1.69,1.69,1.62,1.62,22200,0.0,0.0
2001-04-23,1.68,1.68,1.56,1.65,43200,0.0,0.0
2001-04-24,1.65,1.75,1.65,1.67,22200,0.0,0.0
2001-04-25,1.66,1.71,1.66,1.66,4200,0.0,0.0
2001-04-26,1.73,1.83,1.69,1.76,30000,0.0,0.0
2001-04-27,1.78,1.82,1.78,1.79,8400,0.0,0.0
2001-04-30,1.75,1.87,1.75,1.79,16800,0.0,0.0
2001-05-01,1.87,1.88,1.83,1.83,15000,0.0,0.0
2001-05-02,1.83,1.98,1.83,1.98,21000,0.0,0.0
2001-05-03,1.97,2.0,1.95,1.97,5400,0.0,0.0
2001-05-04,1.97,1.97,1.97,1.97,2400,0.0,0.0
2001-05-07,1.97,2.01,1.95,1.97,33600,0.0,0.0
2001-05-08,1.99,2.02,1.99,2.02,7800,0.0,0.0
2001-05-09,1.97,1.97,1.93,1.93,34200,0.0,0.0
2001-05-10,2.03,2.04,2.0,2.04,50400,0.0,0.0
2001-05-11,2.03,2.03,1.98,2.0,7800,0.0,0.0
2001-05-14,1.99,2.04,1.99,2.0,8400,0.0,0.0
2001-05-15,1.99,1.99,1.99,1.99,1800,0.0,0.0
2001-05-16,1.98,1.98,1.95,1.98,13200,0.0,0.0
2001-05-17,2.03,2.07,2.03,2.05,27600,0.0,0.0
2001-05-18,2.09,2.19,2.05,2.19,61200,0.0,0.0
2001-05-21,2.19,2.26,2.19,2.25,26400,0.0,0.0
2001-05-22,2.2,2.26,2.2,2.21,79200,0.0,0.0
2001-05-23,2.2,2.31,2.2,2.26,133800,0.0,0.0
2001-05-24,2.26,2.26,2.19,2.19,24600,0.0,0.0
2001-05-25,2.17,2.17,2.16,2.16,20400,0.0,0.0
2001-05-29,2.22,2.22,2.12,2.12,19200,0.0,0.0
2001-05-30,2.12,2.12,2.07,2.07,57600,0.0,0.0
2001-05-31,2.07,2.09,2.04,2.06,19800,0.0,0.0
2001-06-01,2.1,2.14,2.06,2.09,72000,0.0,0.0
2001-06-04,2.04,2.07,2.04,2.06,12600,0.0,0.0
2001-06-05,2.06,2.1,2.06,2.1,7200,0.0,0.0
2001-06-06,2.06,2.27,2.06,2.27,74400,0.0,0.0
2001-06-07,2.21,2.29,2.21,2.29,18600,0.0,0.0
2001-06-08,2.29,2.29,2.19,2.21,603000,0.0,0.0
2001-06-11,2.2,2.2,2.14,2.15,21000,0.0,0.0
2001-06-12,2.14,2.2,2.12,2.18,21600,0.0,0.0
2001-06-13,2.21,2.21,2.19,2.19,13200,0.0,0.0
2001-06-14,2.19,2.22,2.19,2.19,87600,0.0,0.0
2001-06-15,2.17,2.18,2.16,2.17,16800,0.0,0.0
2001-06-18,2.16,2.16,2.06,2.06,566400,0.0,0.0
2001-06-19,2.06,2.06,1.99,1.99,53400,0.0,0.0
2001-06-20,1.99,2.03,1.98,2.03,55200,0.0,0.0
2001-06-21,2.05,2.05,2.01,2.03,19200,0.0,0.0
2001-06-22,2.06,2.08,2.05,2.05,3600,0.0,0.0
2001-06-25,2.02,2.02,2.02,2.02,7800,0.0201,0.0
2001-06-26,2.02,2.09,2.02,2.08,33000,0.0,0.0
2001-06-27,2.1,2.11,2.1,2.1,9000,0.0,0.0
2001-06-28,2.11,2.11,2.1,2.1,1200,0.0,0.0
2001-06-29,2.08,2.14,2.08,2.11,18000,0.0,0.0
2001-07-02,2.11,2.2,2.11,2.2,43200,0.0,0.0
2001-07-03,2.18,2.18,2.18,2.18,1200,0.0,0.0
2001-07-05,2.18,2.18,2.18,2.18,2400,0.0,0.0
2001-07-06,2.14,2.14,2.07,2.07,33600,0.0,0.0
2001-07-09,2.06,2.14,2.06,2.14,7800,0.0,0.0
2001-07-10,2.07,2.12,2.06,2.06,6000,0.0,0.0
2001-07-11,2.06,2.06,2.04,2.04,16800,0.0,0.0
2001-07-12,2.02,2.02,1.96,1.96,18600,0.0,0.0
2001-07-13,1.96,1.97,1.96,1.96,6600,0.0,0.0
2001-07-16,1.96,2.03,1.93,1.93,34200,0.0,0.0
2001-07-17,1.93,1.93,1.92,1.92,12000,0.0,0.0
2001-07-18,1.95,1.95,1.92,1.92,5400,0.0,0.0
2001-07-19,1.91,1.91,1.91,1.91,600,0.0,0.0
2001-07-20,1.91,1.99,1.9,1.95,19200,0.0,0.0
2001-07-23,1.98,1.98,1.94,1.95,13800,0.0,0.0
2001-07-24,1.94,1.95,1.91,1.91,27600,0.0,0.0
2001-07-25,1.92,1.93,1.92,1.93,12600,0.0,0.0
2001-07-26,1.96,1.98,1.93,1.98,9000,0.0,0.0
2001-07-27,1.96,1.97,1.96,1.97,6000,0.0,0.0
2001-07-30,1.98,2.02,1.98,2.0,18000,0.0,0.0
2001-07-31,2.0,2.02,2.0,2.02,7200,0.0,0.0
2001-08-01,2.0,2.0,2.0,2.0,22800,0.0,0.0
2001-08-02,2.01,2.07,2.01,2.07,28200,0.0,0.0
2001-08-03,2.04,2.09,2.04,2.09,19200,0.0,0.0
2001-08-06,2.01,2.08,2.01,2.05,13200,0.0,0.0
2001-08-07,2.05,2.05,2.04,2.04,6600,0.0,0.0
2001-08-08,2.04,2.06,2.03,2.05,21000,0.0,0.0
2001-08-09,2.02,2.04,2.0,2.0,6000,0.0,0.0
2001-08-10,2.0,2.02,2.0,2.02,11400,0.0,0.0
2001-08-13,2.02,2.03,2.02,2.02,8400,0.0,0.0
