Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-06-25,7.0,8.95,6.67,8.75,4159700,0,0
2014-06-26,9.0,11.07,8.8,10.01,1412900,0,0
2014-06-27,10.25,10.68,9.96,10.5,395600,0,0
2014-06-30,10.0,10.96,9.75,10.01,183800,0,0
2014-07-01,9.9,10.39,9.49,9.75,204800,0,0
2014-07-02,9.75,9.77,8.32,9.14,618200,0,0
2014-07-03,8.98,9.1,8.8,9.07,29300,0,0
2014-07-07,9.1,9.1,8.45,8.75,102900,0,0
2014-07-08,8.6,9.02,8.45,9.0,96100,0,0
2014-07-09,9.0,9.15,8.72,9.05,25100,0,0
2014-07-10,8.64,9.04,8.5,8.69,88300,0,0
2014-07-11,8.6,9.33,8.6,9.29,79700,0,0
2014-07-14,9.24,10.0,9.24,9.83,75900,0,0
2014-07-15,9.68,9.95,9.38,9.49,170100,0,0
2014-07-16,9.52,9.95,9.5,9.65,216100,0,0
2014-07-17,9.45,9.92,9.22,9.58,31600,0,0
2014-07-18,9.5,9.74,9.25,9.55,95700,0,0
2014-07-21,9.7,9.74,9.02,9.35,105700,0,0
2014-07-22,9.11,10.1,9.11,9.5,264100,0,0
2014-07-23,9.35,9.62,9.05,9.14,112100,0,0
2014-07-24,9.2,9.94,9.05,9.22,116500,0,0
2014-07-25,9.05,9.23,8.92,8.98,131900,0,0
2014-07-28,9.05,9.09,8.9,8.97,46200,0,0
2014-07-29,9.04,9.26,8.92,9.12,83000,0,0
2014-07-30,9.11,9.5,8.92,9.04,83600,0,0
2014-07-31,8.92,9.2,8.76,8.88,30200,0,0
2014-08-01,8.84,9.39,8.76,8.84,38300,0,0
2014-08-04,8.97,9.15,8.77,8.83,24400,0,0
2014-08-05,8.75,8.93,8.71,8.75,38600,0,0
2014-08-06,9.37,9.75,9.02,9.44,210900,0,0
2014-08-07,9.68,9.68,9.05,9.45,165300,0,0
2014-08-08,9.45,10.4,9.45,10.0,194800,0,0
2014-08-11,10.03,10.54,9.99,10.0,191100,0,0
2014-08-12,10.11,10.3,9.8,10.2,91900,0,0
2014-08-13,9.8,10.15,9.59,10.15,197800,0,0
2014-08-14,10.15,10.24,10.01,10.13,47900,0,0
2014-08-15,10.37,10.4,10.0,10.15,159000,0,0
