Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-04,4.59,4.59,4.59,4.59,4200,0.0,0.0
1999-01-05,4.7,4.7,4.7,4.7,2900,0.0,0.0
1999-01-06,4.59,4.8,4.59,4.59,7500,0.0,0.0
1999-01-07,4.59,4.59,4.59,4.59,0,0.0,0.0
1999-01-08,4.59,4.61,4.59,4.61,4800,0.0,0.0
1999-01-11,4.61,4.61,4.61,4.61,0,0.0,0.0
1999-01-12,4.61,4.61,4.61,4.61,0,0.0,0.0
1999-01-13,4.61,4.61,4.61,4.61,0,0.0,0.0
1999-01-14,4.8,4.8,4.8,4.8,400,0.0,0.0
1999-01-15,4.97,4.97,4.97,4.97,4400,0.15981,0.0
1999-01-19,4.97,4.97,4.97,4.97,0,0.0,0.0
1999-01-20,4.97,4.97,4.76,4.76,900,0.0,0.0
1999-01-21,4.89,4.97,4.89,4.97,600,0.0,0.0
1999-01-22,4.85,4.85,4.85,4.85,5800,0.0,0.0
1999-01-25,4.97,4.97,4.97,4.97,5800,0.0,0.0
1999-01-26,4.97,4.97,4.97,4.97,0,0.0,0.0
1999-01-27,4.97,4.97,4.97,4.97,0,0.0,0.0
1999-01-28,4.97,5.0,4.97,5.0,1300,0.0,0.0
1999-01-29,5.0,5.0,4.97,4.97,5300,0.0,0.0
1999-02-01,4.97,4.97,4.97,4.97,0,0.0,0.0
1999-02-02,5.0,5.0,4.97,4.97,1000,0.0,0.0
1999-02-03,4.97,4.97,4.97,4.97,0,0.0,0.0
1999-02-04,5.0,5.12,5.0,5.12,9800,0.0,0.0
1999-02-05,5.12,5.12,5.12,5.12,0,0.0,0.0
1999-02-08,5.12,5.12,5.12,5.12,0,0.0,0.0
1999-02-09,5.06,5.06,5.06,5.06,400,0.0,0.0
1999-02-10,5.06,5.06,5.06,5.06,0,0.0,0.0
1999-02-11,5.06,5.06,5.06,5.06,0,0.0,0.0
1999-02-12,5.06,5.06,5.06,5.06,0,0.0,0.0
1999-02-16,5.06,5.06,5.06,5.06,0,0.0,0.0
1999-02-17,5.16,5.19,5.16,5.19,900,0.0,0.0
1999-02-18,5.27,5.27,5.19,5.19,5300,0.0,0.0
1999-02-19,5.31,5.31,5.31,5.31,2700,0.0,0.0
1999-02-22,5.16,5.36,5.16,5.16,21000,0.0,0.0
1999-02-23,5.16,5.16,5.16,5.16,0,0.0,0.0
1999-02-24,5.36,5.36,5.27,5.27,9300,0.0,0.0
1999-02-25,5.27,5.27,5.27,5.27,0,0.0,0.0
1999-02-26,5.21,5.27,5.21,5.27,3200,0.0,0.0
1999-03-01,5.27,5.27,5.27,5.27,0,0.0,0.0
1999-03-02,5.27,5.27,5.27,5.27,0,0.0,0.0
1999-03-03,5.23,5.27,5.23,5.27,400,0.0,0.0
1999-03-04,5.27,5.27,5.27,5.27,0,0.0,0.0
1999-03-05,5.27,5.27,5.27,5.27,0,0.0,0.0
1999-03-08,5.27,5.54,5.27,5.54,1000,0.0,0.0
1999-03-09,5.54,5.54,5.54,5.54,0,0.0,0.0
1999-03-10,5.54,5.54,5.54,5.54,0,0.0,0.0
1999-03-11,5.54,5.54,5.54,5.54,0,0.0,0.0
1999-03-12,5.54,5.54,5.54,5.54,0,0.0,0.0
1999-03-15,5.54,5.54,5.54,5.54,0,0.0,0.0
1999-03-16,5.21,5.27,5.21,5.27,4800,0.0,0.0
1999-03-17,5.19,5.27,5.19,5.27,28600,0.0,0.0
1999-03-18,5.27,5.27,5.27,5.27,2700,0.0,0.0
1999-03-19,5.27,5.27,5.27,5.27,0,0.0,0.0
1999-03-22,5.27,5.27,5.27,5.27,0,0.0,0.0
1999-03-23,5.27,5.27,5.27,5.27,0,0.0,0.0
1999-03-24,5.27,5.27,5.27,5.27,0,0.0,0.0
1999-03-25,5.21,5.21,5.21,5.21,6300,0.0,0.0
1999-03-26,5.19,5.19,5.16,5.16,900,0.0,0.0
1999-03-29,5.16,5.21,5.16,5.21,10100,0.0,0.0
1999-03-30,5.12,5.12,5.12,5.12,100,0.0,0.0
1999-03-31,5.12,5.12,5.12,5.12,1000,0.0,0.0
