Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-03-17,11.76,12.89,11.76,12.53,34100,0.0,0
2014-03-18,12.53,14.03,12.48,13.42,67800,0.0,0
2014-03-19,13.33,13.56,13.05,13.19,12800,0.0,0
2014-03-20,13.19,13.19,13.0,13.19,4100,0.0,0
2014-03-21,13.09,13.09,12.24,12.47,5300,0.0,0
2014-03-24,12.29,12.29,11.35,11.7,28700,0.0,0
2014-03-25,11.87,12.66,11.49,12.66,4100,0.0,0
2014-03-26,11.87,12.62,11.54,11.75,12600,0.0,0
2014-03-27,11.82,12.43,11.82,12.37,25300,0.0,0
2014-03-28,12.23,12.24,12.23,12.24,2100,0.0,0
2014-03-31,12.61,12.61,12.29,12.36,21600,0.0,0
2014-04-01,12.43,12.43,12.3,12.32,7300,0.0,0
2014-04-02,12.34,12.34,12.06,12.25,4900,0.0,0
2014-04-03,12.33,12.33,12.07,12.13,4700,0.0,0
2014-04-04,12.19,12.19,11.77,11.79,10400,0.0,0
2014-04-07,11.77,11.78,11.3,11.77,11300,0.0,0
2014-04-08,11.76,11.77,11.31,11.44,8500,0.0,0
2014-04-09,11.41,11.44,11.2,11.3,4000,0.0,0
2014-04-10,11.21,11.33,11.07,11.31,35300,0.0,0
2014-04-11,11.22,11.27,11.22,11.27,6800,0.0,0
2014-04-14,11.07,11.25,10.97,11.25,7600,0.0,0
2014-04-15,10.97,11.16,10.97,11.04,9400,0.0,0
2014-04-16,11.11,11.26,11.11,11.21,7700,0.0,0
2014-04-17,11.26,11.32,11.25,11.3,39600,0.0,0
2014-04-21,11.31,11.31,10.97,11.02,4300,0.0,0
2014-04-22,11.06,11.28,11.05,11.09,5400,0.0,0
2014-04-23,11.0,11.21,9.88,11.07,16900,0.0,0
2014-04-24,10.93,10.93,10.56,10.61,4000,0.0,0
2014-04-25,10.68,11.27,10.68,11.08,3600,0.0,0
2014-04-28,11.27,11.29,11.11,11.11,11900,0.0,0
2014-04-29,11.03,11.29,11.03,11.15,6200,0.0,0
2014-04-30,10.97,10.97,10.89,10.91,600,0.0,0
2014-05-01,11.02,11.02,10.98,10.98,700,0.0,0
2014-05-02,11.26,11.26,11.04,11.04,1100,0.0,0
2014-05-05,11.11,11.26,10.79,11.07,11200,0.0,0
2014-05-06,11.05,11.05,10.83,10.83,700,0.0,0
2014-05-07,11.04,11.11,10.75,11.1,3000,0.0,0
2014-05-08,11.11,11.11,11.11,11.11,8400,0.0,0
2014-05-09,11.03,11.05,10.86,10.86,2000,0.0,0
2014-05-12,11.04,11.13,11.02,11.11,5900,0.0,0
2014-05-13,10.84,10.94,10.74,10.93,6100,0.0,0
2014-05-14,10.64,11.11,10.64,10.88,4800,0.0,0
2014-05-15,10.78,10.83,10.78,10.83,1100,0.0,0
2014-05-16,10.71,10.82,10.71,10.82,600,0.0,0
2014-05-19,10.64,10.69,10.58,10.64,14100,0.0,0
2014-05-20,10.55,10.78,10.55,10.78,4200,0.0,0
2014-05-21,10.78,10.78,10.73,10.78,1400,0.0,0
2014-05-22,10.76,10.78,10.4,10.78,2200,0.0,0
2014-05-23,10.78,10.78,10.78,10.78,0,0.0,0
2014-05-27,10.38,10.46,10.38,10.4,3100,0.0,0
2014-05-28,10.37,10.72,10.37,10.72,200,0.0,0
2014-05-29,10.37,10.74,10.37,10.72,6500,0.0,0
2014-05-30,10.42,10.73,10.41,10.55,2100,0.0,0
2014-06-02,10.55,10.55,10.36,10.36,8100,0.0,0
2014-06-03,10.36,10.46,10.36,10.38,16300,0.0,0
2014-06-04,10.36,10.55,10.36,10.44,11800,0.0,0
2014-06-05,10.43,10.83,10.42,10.7,35600,0.0,0
2014-06-06,10.64,10.74,10.43,10.73,4700,0.0,0
