Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-11-18,6.08,6.18,5.47,6.06,3272500,0.0,0
2005-11-21,6.12,6.33,5.95,6.27,695900,0.0,0
2005-11-22,6.01,6.2,6.01,6.19,329400,0.0,0
2005-11-23,6.21,6.25,6.07,6.21,111800,0.0,0
2005-11-25,6.21,6.4,6.08,6.4,39000,0.0,0
2005-11-28,6.77,6.77,6.21,6.59,189800,0.0,0
2005-11-29,6.67,6.69,6.46,6.64,109000,0.0,0
2005-11-30,6.7,6.7,6.6,6.62,39300,0.0,0
2005-12-01,6.54,6.74,6.47,6.67,150000,0.0,0
2005-12-02,6.83,6.83,6.5,6.7,103800,0.0,0
2005-12-05,6.99,6.99,6.5,6.77,107400,0.0,0
2005-12-06,6.87,6.9,6.62,6.71,30400,0.0,0
2005-12-07,6.74,6.84,6.6,6.7,26900,0.0,0
2005-12-08,6.51,6.77,6.51,6.73,30300,0.0,0
2005-12-09,6.77,7.4,6.74,6.99,45100,0.0,0
2005-12-12,7.08,7.08,6.81,7.01,14500,0.0,0
2005-12-13,6.94,7.03,6.74,6.87,10300,0.0,0
2005-12-14,6.97,6.97,6.77,6.94,7600,0.0,0
2005-12-15,7.01,7.01,6.26,6.67,244800,0.0,0
2005-12-16,6.41,7.04,6.41,7.04,48100,0.0,0
2005-12-19,6.75,7.38,6.74,7.03,50800,0.0,0
2005-12-20,7.14,7.14,6.52,6.74,267900,0.0,0
2005-12-21,6.74,6.9,6.62,6.9,10500,0.0,0
2005-12-22,6.87,6.87,6.54,6.6,14500,0.0,0
2005-12-23,6.54,6.74,6.4,6.46,21500,0.0,0
2005-12-27,6.5,6.54,6.34,6.44,24800,0.0,0
2005-12-28,6.34,6.84,6.3,6.81,42600,0.0,0
2005-12-29,6.92,6.92,6.74,6.83,29900,0.0,0
2005-12-30,6.83,6.93,6.74,6.79,19700,0.0,0
2006-01-03,6.79,6.83,6.54,6.6,32000,0.0,0
2006-01-04,6.74,6.78,6.4,6.57,57900,0.0,0
2006-01-05,6.65,6.82,6.5,6.68,23500,0.0,0
2006-01-06,6.7,6.81,6.68,6.81,13000,0.0,0
2006-01-09,6.82,7.0,6.75,6.85,2500,0.0,0
2006-01-10,6.82,6.85,6.75,6.85,24700,0.0,0
2006-01-11,6.81,6.84,6.74,6.75,7000,0.0,0
2006-01-12,6.67,6.84,6.65,6.77,12700,0.0,0
2006-01-13,6.87,6.87,6.74,6.83,7000,0.0,0
2006-01-17,6.67,6.85,6.67,6.72,13300,0.0,0
2006-01-18,6.66,6.83,6.66,6.74,17200,0.0,0
2006-01-19,6.74,6.82,6.74,6.81,13800,0.0,0
2006-01-20,6.81,6.81,6.67,6.74,45200,0.0,0
2006-01-23,6.74,6.78,6.7,6.71,55500,0.0,0
2006-01-24,6.74,6.8,6.68,6.8,64600,0.0,0
2006-01-25,6.74,6.8,6.72,6.74,25100,0.0,0
2006-01-26,6.74,7.84,6.62,7.84,33700,0.0,0
2006-01-27,7.76,7.76,6.76,6.93,36500,0.0,0
2006-01-30,7.03,7.09,6.81,6.87,7600,0.0,0
2006-01-31,6.96,6.96,6.9,6.9,31400,0.0,0
2006-02-01,6.75,6.89,6.74,6.77,13200,0.0,0
2006-02-02,6.7,6.87,6.7,6.87,38500,0.0,0
2006-02-03,6.87,6.94,6.84,6.94,4000,0.0,0
2006-02-06,6.99,7.01,6.75,6.76,1400,0.0,0
2006-02-07,6.85,7.01,6.75,6.75,16300,0.0,0
2006-02-08,6.74,6.74,6.71,6.71,1900,0.0,0
2006-02-09,6.77,6.77,6.58,6.67,69100,0.0,0
2006-02-10,6.58,6.61,6.44,6.44,10000,0.0,0
2006-02-13,6.37,6.38,6.27,6.33,37100,0.0,0
2006-02-14,6.34,6.34,6.1,6.1,23300,0.0,0
2006-02-15,6.1,6.26,6.1,6.26,33600,0.0,0
2006-02-16,6.27,6.3,6.23,6.3,1000,0.0,0
2006-02-17,6.37,6.37,6.3,6.3,20000,0.0,0
2006-02-21,6.64,6.64,6.04,6.04,11400,0.0,0
2006-02-22,6.15,6.15,6.04,6.08,21600,0.0,0
2006-02-23,6.02,6.06,5.63,6.06,22600,0.0,0
2006-02-24,6.06,6.06,5.9,5.9,2900,0.0,0
2006-02-27,5.79,5.93,5.79,5.86,18200,0.0,0
2006-02-28,6.27,6.74,6.23,6.46,255700,0.0,0
2006-03-01,6.68,6.83,6.44,6.7,135700,0.0,0
2006-03-02,6.78,7.08,6.76,7.08,40900,0.0,0
2006-03-03,7.21,7.41,7.08,7.26,9400,0.0,0
2006-03-06,6.87,7.41,6.87,7.41,23000,0.0,0
2006-03-07,7.09,7.31,7.08,7.21,17200,0.0,0
2006-03-08,6.87,7.18,6.87,7.0,10900,0.0,0
2006-03-09,7.11,7.14,7.11,7.14,1800,0.0,0
2006-03-10,7.31,7.48,7.18,7.18,17900,0.0,0
2006-03-13,6.97,7.2,6.91,7.08,9100,0.0,0
2006-03-14,7.22,7.22,6.91,6.91,21400,0.0,0
2006-03-15,6.91,7.82,6.91,6.95,48600,0.0,0
2006-03-16,7.01,7.55,7.01,7.14,12700,0.0,0
2006-03-17,7.32,7.45,7.28,7.45,7000,0.0,0
2006-03-20,7.3,7.61,7.3,7.4,9800,0.0,0
2006-03-21,7.41,7.58,7.31,7.34,20700,0.0,0
2006-03-22,7.41,7.45,7.33,7.45,4000,0.0,0
2006-03-23,7.52,7.56,7.28,7.32,12300,0.0,0
2006-03-24,7.56,7.61,7.31,7.48,19700,0.0,0
2006-03-27,7.74,7.74,7.18,7.23,7400,0.0,0
2006-03-28,7.07,7.54,6.99,7.24,7000,0.0,0
2006-03-29,7.2,7.4,7.01,7.21,3900,0.0,0
2006-03-30,7.14,7.75,7.14,7.74,21900,0.0,0
2006-03-31,7.72,8.42,7.53,8.09,11600,0.0,0
2006-04-03,8.09,8.58,8.09,8.09,11200,0.0,0
2006-04-04,8.48,8.48,8.08,8.4,8500,0.0,0
2006-04-05,8.4,8.55,8.08,8.12,7200,0.0,0
2006-04-06,8.02,8.09,8.02,8.09,10200,0.0,0
2006-04-07,8.03,8.32,8.03,8.23,1300,0.0,0
2006-04-10,8.2,8.25,8.19,8.19,1900,0.0,0
2006-04-11,8.32,8.32,8.09,8.09,5200,0.0,0
2006-04-12,8.08,8.08,8.02,8.08,800,0.0,0
2006-04-13,8.08,8.15,7.98,8.09,10700,0.0,0
2006-04-17,8.09,8.42,8.03,8.42,7800,0.0,0
2006-04-18,8.09,8.36,8.08,8.09,17800,0.0,0
2006-04-19,8.42,8.46,8.22,8.28,2100,0.0,0
2006-04-20,8.03,8.05,7.82,8.05,7300,0.0,0
2006-04-21,8.02,8.09,8.02,8.03,4400,0.0,0
2006-04-24,8.09,8.19,7.98,8.09,500,0.0,0
2006-04-25,8.57,8.57,7.94,8.09,9700,0.0,0
2006-04-26,8.02,8.73,7.82,8.15,10400,0.0,0
2006-04-27,8.08,8.68,8.08,8.39,7500,0.0,0
2006-04-28,8.69,8.69,7.88,7.88,20400,0.0,0
2006-05-01,7.99,8.0,7.33,7.76,31600,0.0,0
2006-05-02,7.5,8.01,6.94,7.48,101600,0.0,0
2006-05-03,7.41,7.83,7.22,7.76,4400,0.0,0
2006-05-04,7.84,7.84,7.36,7.61,11300,0.0,0
2006-05-05,7.61,7.84,7.34,7.58,19100,0.0,0
2006-05-08,7.45,7.84,7.45,7.84,1300,0.0,0
2006-05-09,7.51,8.25,7.04,8.25,6100,0.0,0
2006-05-10,8.38,8.77,8.33,8.69,25900,0.0,0
2006-05-11,8.76,8.76,8.29,8.42,12900,0.0,0
2006-05-12,8.49,8.98,8.2,8.76,33900,0.0,0
2006-05-15,8.64,8.73,8.22,8.27,18700,0.0,0
2006-05-16,8.15,8.56,8.15,8.27,11000,0.0,0
2006-05-17,8.27,8.33,8.09,8.09,12100,0.0,0
2006-05-18,8.26,8.26,7.58,7.92,4300,0.0,0
2006-05-19,7.86,8.01,7.58,7.87,3000,0.0,0
2006-05-22,7.6,7.77,7.59,7.73,2100,0.0,0
2006-05-23,7.84,7.84,7.62,7.82,1700,0.0,0
2006-05-24,7.72,8.25,7.29,7.53,49100,0.0,0
2006-05-25,7.41,8.24,7.11,7.89,186100,0.0,0
2006-05-26,7.85,8.15,7.77,7.94,45100,0.0,0
2006-05-30,7.78,7.95,7.49,7.61,45000,0.0,0
2006-05-31,7.59,8.06,7.22,7.58,113200,0.0,0
2006-06-01,7.52,7.94,7.52,7.77,72200,0.0,0
2006-06-02,7.8,7.98,7.49,7.63,120500,0.0,0
2006-06-05,7.59,8.01,7.51,7.96,74500,0.0,0
2006-06-06,8.02,8.09,7.96,8.02,29800,0.0,0
2006-06-07,8.01,8.16,7.59,7.6,214000,0.0,0
2006-06-08,7.59,7.85,7.58,7.74,16200,0.0,0
2006-06-09,7.53,7.86,7.53,7.62,33800,0.0,0
2006-06-12,7.55,8.05,7.55,7.75,125300,0.0,0
2006-06-13,7.68,7.75,7.54,7.56,2900,0.0,0
2006-06-14,7.53,7.82,7.16,7.31,92500,0.0,0
2006-06-15,7.18,7.85,7.03,7.58,196600,0.0,0
2006-06-16,7.32,7.76,7.11,7.19,43100,0.0,0
2006-06-19,7.12,7.97,6.91,7.42,39400,0.0,0
2006-06-20,7.38,7.88,7.08,7.47,56400,0.0,0
2006-06-21,7.77,7.77,7.34,7.64,41700,0.0,0
2006-06-22,7.36,7.64,7.36,7.64,3400,0.0,0
2006-06-23,7.41,7.63,7.34,7.39,2200,0.0,0
2006-06-26,7.43,7.43,7.34,7.34,1800,0.0,0
2006-06-27,7.6,7.65,7.34,7.65,2900,0.0,0
2006-06-28,7.82,7.9,7.75,7.89,15000,0.0,0
2006-06-29,7.87,8.09,7.87,8.02,9900,0.0,0
2006-06-30,8.15,9.67,7.96,8.38,75400,0.0,0
2006-07-03,8.68,8.85,8.46,8.58,17400,0.0,0
2006-07-05,8.48,8.79,8.27,8.27,4900,0.0,0
2006-07-06,8.27,8.58,8.03,8.42,5900,0.0,0
2006-07-07,8.25,8.42,7.62,8.09,45100,0.0,0
2006-07-10,8.03,8.53,7.97,8.42,5300,0.0,0
2006-07-11,8.43,8.76,8.09,8.76,7400,0.0,0
2006-07-12,8.75,8.96,8.56,8.96,5400,0.0,0
2006-07-13,8.78,9.05,8.73,8.88,37900,0.0,0
2006-07-14,8.88,8.88,8.58,8.75,11700,0.0,0
2006-07-17,8.39,8.39,8.36,8.36,1200,0.0,0
2006-07-18,8.43,8.76,8.39,8.67,2500,0.0,0
2006-07-19,8.6,8.6,8.05,8.29,4300,0.0,0
2006-07-20,7.98,8.42,7.98,8.34,3300,0.0,0
2006-07-21,8.35,8.52,7.99,8.05,16300,0.0,0
2006-07-24,7.92,7.92,7.58,7.77,16700,0.0,0
2006-07-25,7.38,7.75,7.38,7.51,5500,0.0,0
2006-07-26,7.51,7.55,7.48,7.48,18000,0.0,0
2006-07-27,7.65,7.65,7.41,7.53,2400,0.0,0
2006-07-28,7.49,7.72,7.41,7.48,4700,0.0,0
2006-07-31,7.41,7.55,7.34,7.55,22900,0.0,0
2006-08-01,7.85,8.42,7.85,8.3,3700,0.0,0
2006-08-02,8.39,8.42,8.06,8.39,27100,0.0,0
2006-08-03,8.26,8.36,8.11,8.36,1600,0.0,0
2006-08-04,8.06,8.06,7.83,7.83,1900,0.0,0
2006-08-07,7.75,7.75,7.43,7.43,3300,0.0,0
2006-08-08,7.37,7.58,7.24,7.41,54100,0.0,0
2006-08-09,7.58,8.76,7.58,8.19,2500,0.0,0
2006-08-10,7.94,8.09,7.94,8.09,700,0.0,0
2006-08-11,8.42,8.42,8.09,8.11,1400,0.0,0
2006-08-14,9.1,9.1,8.42,8.42,16800,0.0,0
2006-08-15,8.53,8.67,8.36,8.36,9400,0.0,0
2006-08-16,8.42,8.46,8.15,8.16,1100,0.0,0
2006-08-17,8.34,8.49,8.26,8.26,1400,0.0,0
2006-08-18,8.13,8.38,8.05,8.05,3500,0.0,0
2006-08-21,8.19,8.42,8.02,8.23,11800,0.0,0
2006-08-22,8.23,8.23,7.9,8.01,4500,0.0,0
2006-08-23,8.2,8.2,8.01,8.01,7200,0.0,0
2006-08-24,8.07,8.07,7.98,7.98,13100,0.0,0
2006-08-25,8.07,8.09,7.84,7.84,33500,0.0,0
2006-08-28,7.92,8.42,7.68,8.09,29600,0.0,0
2006-08-29,8.17,8.17,7.4,7.58,39200,0.0,0
2006-08-30,7.34,7.67,7.34,7.37,55400,0.0,0
2006-08-31,7.41,7.41,7.24,7.24,38000,0.0,0
2006-09-01,7.38,7.41,7.32,7.37,4900,0.0,0
2006-09-05,7.49,7.92,7.36,7.41,31500,0.0,0
2006-09-06,7.44,7.51,7.36,7.41,7900,0.0,0
2006-09-07,7.41,7.51,7.1,7.27,15700,0.0,0
2006-09-08,7.3,7.3,7.14,7.23,8300,0.0,0
2006-09-11,7.24,7.34,7.08,7.24,27800,0.0,0
2006-09-12,7.18,7.43,7.18,7.24,2200,0.0,0
2006-09-13,7.34,7.43,6.95,7.34,21700,0.0,0
2006-09-14,7.27,7.55,7.18,7.55,28000,0.0,0
2006-09-15,7.64,7.64,7.18,7.41,32200,0.0,0
2006-09-18,7.43,7.43,7.2,7.29,5200,0.0,0
2006-09-19,7.36,7.46,7.0,7.12,5800,0.0,0
2006-09-20,7.09,7.14,6.81,7.0,12000,0.0,0
2006-09-21,7.08,7.34,6.76,6.87,47600,0.0,0
2006-09-22,6.97,6.97,6.27,6.58,42500,0.0,0
2006-09-25,6.67,6.74,6.56,6.72,36100,0.0,0
2006-09-26,6.67,6.72,6.47,6.66,28300,0.0,0
2006-09-27,6.59,6.65,6.51,6.57,12000,0.0,0
2006-09-28,6.51,6.51,6.3,6.36,49700,0.0,0
2006-09-29,6.33,6.6,6.3,6.6,196500,0.0,0
2006-10-02,6.72,6.72,6.41,6.42,14900,0.0,0
2006-10-03,6.41,6.49,6.36,6.45,8100,0.0,0
2006-10-04,6.44,6.49,6.35,6.46,6500,0.0,0
2006-10-05,6.52,7.7,6.52,7.32,75100,0.0,0
2006-10-06,7.34,7.58,7.11,7.28,27800,0.0,0
2006-10-09,7.33,7.36,7.01,7.12,18100,0.0,0
2006-10-10,7.07,7.16,6.94,7.03,13300,0.0,0
2006-10-11,6.94,7.74,6.94,7.54,48100,0.0,0
2006-10-12,7.53,7.68,7.39,7.65,80200,0.0,0
2006-10-13,7.48,7.82,7.48,7.81,11000,0.0,0
2006-10-16,7.84,8.09,7.8,7.99,43400,0.0,0
2006-10-17,8.15,8.36,8.08,8.36,17800,0.0,0
2006-10-18,8.39,8.66,8.31,8.31,12700,0.0,0
2006-10-19,8.32,8.36,8.09,8.22,19800,0.0,0
2006-10-20,8.07,8.19,7.8,7.86,16500,0.0,0
2006-10-23,7.85,7.85,7.61,7.64,6100,0.0,0
2006-10-24,7.64,7.75,7.41,7.75,44000,0.0,0
2006-10-25,7.61,7.75,7.61,7.75,3700,0.0,0
2006-10-26,7.85,7.85,7.61,7.83,8000,0.0,0
2006-10-27,7.83,8.22,7.83,8.22,11400,0.0,0
2006-10-30,8.23,8.36,8.09,8.36,14300,0.0,0
2006-10-31,8.42,8.96,8.22,8.4,34600,0.0,0
2006-11-01,8.49,8.69,8.11,8.11,61800,0.0,0
2006-11-02,8.09,8.42,8.05,8.38,9900,0.0,0
2006-11-03,8.05,8.42,8.05,8.09,3900,0.0,0
2006-11-06,8.27,8.41,8.09,8.09,3400,0.0,0
2006-11-07,8.09,8.09,7.76,7.92,8900,0.0,0
2006-11-08,7.95,8.17,7.8,8.16,28300,0.0,0
