Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-18,30.0,30.0,30.0,30.0,200,0,0.0
2018-10-19,26.25,26.25,26.25,26.25,200,0,0.0
2018-10-22,26.25,26.25,26.25,26.25,0,0,0.0
2018-10-23,26.25,26.25,26.25,26.25,0,0,0.0
2018-10-24,29.7,29.7,29.7,29.7,100,0,0.3333333333333333
2018-10-25,27.1,27.1,27.1,27.1,300,0,0.0
2018-10-26,27.1,27.1,25.0,25.0,2600,0,0.0
2018-10-29,24.38,24.38,24.38,24.38,200,0,0.0
2018-10-30,22.8,23.01,21.0,21.0,4600,0,0.0
2018-10-31,21.0,23.0,20.25,21.39,6700,0,0.0
2018-11-01,21.6,21.6,19.0,19.51,2400,0,0.0
2018-11-02,20.5,21.21,20.5,20.92,1100,0,0.0
2018-11-05,21.0,21.0,21.0,21.0,100,0,0.0
2018-11-06,21.49,21.49,20.06,20.34,800,0,0.0
2018-11-07,20.54,20.54,16.75,17.2,5000,0,0.0
2018-11-08,16.95,19.0,16.95,19.0,4400,0,0.0
2018-11-09,19.0,19.0,19.0,19.0,100,0,0.0
2018-11-12,19.0,19.0,19.0,19.0,0,0,0.0
2018-11-13,17.0,17.0,17.0,17.0,700,0,0.0
2018-11-14,16.88,16.88,16.88,16.88,300,0,0.0
2018-11-15,16.75,16.75,15.8,16.75,3800,0,0.0
2018-11-16,16.75,16.75,16.75,16.75,100,0,0.0
2018-11-19,16.0,16.0,15.63,16.0,2300,0,0.0
2018-11-20,16.0,16.0,16.0,16.0,0,0,0.0
2018-11-21,15.91,15.93,15.91,15.93,600,0,0.0
2018-11-23,16.0,16.0,15.27,15.27,1200,0,0.0
2018-11-26,15.1,15.14,11.94,12.9,16900,0,0.0
2018-11-27,13.1,15.43,13.1,14.84,13700,0,0.0
2018-11-28,15.01,16.72,15.0,16.72,2400,0,0.0
2018-11-29,16.0,16.23,15.77,16.23,2000,0,0.0
2018-11-30,16.0,16.0,15.99,16.0,2100,0,0.0
2018-12-03,15.84,16.72,15.84,16.0,900,0,0.0
2018-12-04,15.25,15.25,15.1,15.1,900,0,0.0
2018-12-06,15.1,15.27,13.5,14.0,2600,0,0.0
