Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-05-15,5.72,6.0,5.72,5.72,8600,0,0.1
2014-05-16,5.72,6.4,5.0,5.825,16400,0,0.0
2014-05-19,5.82,5.99,5.01,5.5,10100,0,0.0
2014-05-20,5.02,5.24,5.0,5.24,3800,0,0.0
2014-05-21,5.0,5.0,5.0,5.0,3100,0,0.0
2014-05-22,4.98,5.4,4.98,5.25,36600,0,0.0
2014-05-23,5.25,5.35,5.1,5.35,6600,0,0.0
2014-05-27,5.4,5.75,5.31,5.75,24600,0,0.0
2014-05-28,5.75,5.8,5.75,5.8,14300,0,0.0
2014-05-29,5.8,6.19,5.8,6.19,38900,0,0.0
2014-05-30,6.19,6.44,5.94,6.05,19700,0,0.0
2014-06-02,6.05,6.35,6.0,6.21,17900,0,0.0
2014-06-03,6.35,7.49,6.35,6.9,81800,0,0.0
2014-06-04,7.1,7.15,5.66,6.6,75700,0,0.0
2014-06-05,6.59,7.45,6.23,7.01,48000,0,0.0
2014-06-06,7.115,7.2,6.85,7.1,33300,0,0.0
2014-06-09,7.49,7.49,7.0,7.3,90600,0,0.0
2014-06-10,7.38,8.29,7.2,7.76,98600,0,0.0
2014-06-11,8.33,8.33,7.71,7.98,61400,0,0.0
2014-06-12,8.06,8.47,8.04,8.47,39200,0,0.0
2014-06-13,8.45,8.45,7.74,7.75,76400,0,0.0
2014-06-16,7.8,8.5,7.77,8.5,93200,0,0.0
2014-06-17,8.3,8.31,7.99,8.08,125500,0,0.0
2014-06-18,8.36,9.4,8.3,9.38,271200,0,0.0
2014-06-19,9.45,10.44,9.4,10.38,384200,0,0.0
2014-06-20,10.31,10.9,10.05,10.8,234100,0,0.0
2014-06-23,10.84,11.2,10.0,10.17,205400,0,0.0
2014-06-24,10.21,10.21,8.75,8.9,270100,0,0.0
2014-06-25,8.96,9.93,8.96,9.15,76100,0,0.0
2014-06-26,9.47,9.68,9.1,9.2,44500,0,0.0
2014-06-27,9.39,9.39,8.81,8.976,52100,0,0.0
2014-06-30,9.37,9.55,9.03,9.54,61900,0,0.0
2014-07-01,9.59,10.55,9.59,10.2,98900,0,0.0
2014-07-02,10.68,10.68,10.04,10.19,49200,0,0.0
2014-07-03,10.04,10.506,10.04,10.2,30800,0,0.0
2014-07-07,10.22,10.3,9.75,10.02,73300,0,0.0
2014-07-08,10.12,10.12,9.75,9.77,20700,0,0.0
2014-07-09,9.75,9.752,9.3,9.61,35700,0,0.0
2014-07-10,9.64,9.64,9.32,9.5,14400,0,0.0
2014-07-11,9.31,9.8,9.221,9.74,29800,0,0.0
2014-07-14,9.73,9.86,9.5,9.8,57200,0,0.0
2014-07-15,9.86,11.0,9.725,10.51,124100,0,0.0
2014-07-16,10.55,12.79,10.54,12.16,799200,0,0.0
2014-07-17,11.68,12.87,11.68,12.4,192000,0,0.0
2014-07-18,13.03,13.03,12.21,12.35,53300,0,0.0
2014-07-21,12.25,13.29,12.25,12.78,96700,0,0.0
2014-07-22,12.97,13.09,12.38,12.64,89000,0,0.0
2014-07-23,13.1,13.1,12.35,12.75,65300,0,0.0
2014-07-24,12.85,12.9,12.51,12.75,31700,0,0.0
2014-07-25,12.8,12.8,11.75,11.78,93300,0,0.0
2014-07-28,11.2,11.29,10.01,10.01,129600,0,0.0
2014-07-29,10.17,11.48,10.17,10.63,58100,0,0.0
2014-07-30,10.83,11.16,10.03,10.71,35800,0,0.0
2014-07-31,10.51,10.61,9.92,9.97,56300,0,0.0
2014-08-01,9.8,10.769,9.8,10.57,81400,0,0.0
2014-08-04,10.73,11.25,10.44,10.9,171700,0,0.0
2014-08-05,10.65,11.65,10.4,10.4,87800,0,0.0
