Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-12,11.5,11.5,10.51,10.8,650000,0,0
2019-02-13,10.9,10.9,8.72,9.15,128100,0,0
2019-02-14,9.18,9.2,8.772,9.2,56600,0,0
2019-02-15,9.2,9.44,8.91,9.3,30700,0,0
2019-02-19,9.3,9.3,8.73,9.0,22400,0,0
2019-02-20,9.05,9.05,8.74,8.9,7800,0,0
2019-02-21,9.16,9.25,8.946,9.05,9800,0,0
2019-02-22,9.25,9.25,8.75,9.06,10700,0,0
2019-02-25,9.01,9.01,8.39,8.39,39500,0,0
2019-02-26,8.4,8.4,8.11,8.2,16700,0,0
2019-02-27,8.3,8.39,7.328,7.99,15800,0,0
2019-02-28,8.05,8.12,7.97,8.0,13100,0,0
2019-03-01,7.92,8.0,7.91,7.985,8500,0,0
2019-03-04,8.1,8.11,7.928,8.01,16700,0,0
2019-03-05,8.05,8.05,7.67,7.981,7200,0,0
2019-03-06,8.0,8.03,7.79,7.79,18000,0,0
2019-03-07,8.02,8.05,7.68,7.835,20500,0,0
2019-03-08,7.66,7.715,7.54,7.715,10300,0,0
2019-03-11,7.9,7.924,7.681,7.689,3500,0,0
2019-03-12,7.73,7.772,7.7,7.7,3100,0,0
2019-03-13,7.69,7.72,7.37,7.56,10600,0,0
2019-03-14,7.51,7.51,6.735,7.2,18600,0,0
2019-03-15,7.0,7.112,6.53,6.99,51100,0,0
2019-03-18,6.98,7.2,6.75,7.05,46900,0,0
2019-03-19,7.03,7.1,6.71,7.0,7200,0,0
2019-03-20,6.84,6.84,6.68,6.75,5100,0,0
2019-03-21,6.75,6.869,6.682,6.869,1700,0,0
2019-03-22,6.96,6.96,6.8,6.96,10200,0,0
2019-03-25,7.05,7.05,6.76,7.0,9800,0,0
2019-03-26,6.689,6.75,6.68,6.75,1900,0,0
2019-03-27,6.86,7.46,6.68,7.09,60000,0,0
2019-03-28,6.68,7.04,6.456,7.0,47800,0,0
2019-03-29,6.98,6.98,6.67,6.795,11900,0,0
2019-04-01,6.92,6.98,6.75,6.96,3200,0,0
2019-04-02,6.925,6.925,5.85,6.69,6700,0,0
2019-04-03,6.98,7.2,6.8,6.9,8200,0,0
2019-04-04,6.614,6.95,6.26,6.6,22700,0,0
2019-04-05,6.5,7.028,6.5,6.5,2600,0,0
2019-04-08,6.87,6.87,6.6,6.855,9400,0,0
2019-04-09,6.81,6.845,6.29,6.52,16900,0,0
2019-04-10,6.46,6.67,6.3,6.67,6100,0,0
2019-04-11,6.57,6.706,6.29,6.36,7800,0,0
2019-04-12,6.573,6.573,6.3,6.3,5000,0,0
2019-04-15,6.3,6.3,6.26,6.26,1300,0,0
2019-04-16,6.25,6.719,6.13,6.64,3100,0,0
2019-04-17,6.44,6.44,5.92,5.99,9800,0,0
2019-04-18,6.0,6.4,5.8,6.1,30200,0,0
2019-04-22,5.81,5.99,5.71,5.78,1800,0,0
2019-04-23,6.18,6.26,5.672,5.86,9200,0,0
2019-04-24,5.751,5.84,5.751,5.8,1200,0,0
2019-04-25,5.7,5.862,5.695,5.862,3400,0,0
2019-04-26,5.7,5.99,5.7,5.86,1100,0,0
2019-04-29,6.09,6.2,5.96,5.96,2600,0,0
2019-04-30,5.8,5.86,5.8,5.825,6200,0,0
2019-05-01,5.73,6.172,5.62,6.0,2100,0,0
2019-05-02,5.972,5.996,5.972,5.996,200,0,0
2019-05-03,5.6,6.662,5.6,5.73,3900,0,0
2019-05-06,5.73,5.73,5.73,5.73,200,0,0
2019-05-07,5.88,5.95,5.88,5.95,800,0,0
2019-05-08,5.95,5.95,5.6,5.922,3100,0,0
2019-05-09,5.66,5.66,5.52,5.54,3100,0,0
2019-05-10,5.54,5.54,5.54,5.54,400,0,0
2019-05-13,5.54,5.7,5.53,5.7,900,0,0
2019-05-14,5.568,5.662,5.54,5.649,3900,0,0
2019-05-15,5.55,5.653,5.31,5.653,1600,0,0
2019-05-16,5.65,5.65,5.35,5.63,3900,0,0
2019-05-17,5.614,5.614,5.291,5.291,10000,0,0
2019-05-20,5.328,5.446,5.15,5.15,4000,0,0
2019-05-21,5.568,5.568,5.377,5.44,1500,0,0
2019-05-22,5.22,5.241,5.22,5.241,1200,0,0
2019-05-23,5.25,5.25,4.91,5.02,4500,0,0
2019-05-24,4.98,4.99,4.95,4.95,1900,0,0
2019-05-28,4.9,4.9,4.73,4.795,2500,0,0
2019-05-29,4.75,5.2,4.51,4.91,20900,0,0
2019-05-30,4.67,5.02,4.495,4.98,23500,0,0
2019-05-31,5.0,5.0,5.0,5.0,200,0,0
2019-06-03,4.692,4.967,4.692,4.9,2300,0,0
2019-06-04,4.933,4.933,4.62,4.8,6400,0,0
2019-06-05,5.0,5.0,4.7,4.97,4900,0,0
2019-06-06,4.554,4.658,4.554,4.64,1900,0,0
2019-06-07,4.221,4.59,4.221,4.59,3000,0,0
2019-06-10,4.485,4.66,4.485,4.65,1700,0,0
2019-06-11,4.45,4.45,4.3,4.31,4900,0,0
2019-06-12,4.21,4.21,3.77,3.86,19100,0,0
2019-06-13,4.59,4.59,4.3,4.379,7800,0,0
2019-06-14,4.69,4.71,4.25,4.25,3400,0,0
2019-06-17,4.27,4.3,4.26,4.3,700,0,0
2019-06-18,4.54,4.818,4.09,4.6,4100,0,0
2019-06-19,4.6,4.6,4.6,4.6,0,0,0
2019-06-20,4.75,4.9,4.5,4.5,10300,0,0
2019-06-21,4.5,4.558,4.4,4.5,1100,0,0
2019-06-24,4.19,4.459,4.15,4.45,1700,0,0
2019-06-25,4.72,4.72,4.24,4.25,400,0,0
2019-06-26,4.29,4.45,4.29,4.29,4000,0,0
2019-06-27,4.15,4.49,3.85,4.44,8700,0,0
2019-06-28,4.405,4.48,4.351,4.48,1600,0,0
2019-07-01,4.55,4.55,4.39,4.48,1000,0,0
2019-07-02,3.852,4.55,3.852,4.26,2600,0,0
2019-07-03,4.26,4.492,4.26,4.476,3200,0,0
2019-07-05,4.406,4.46,4.406,4.452,1000,0,0
2019-07-08,4.452,4.452,4.452,4.452,100,0,0
2019-07-09,4.55,4.55,4.2,4.42,5400,0,0
2019-07-10,4.74,4.74,4.56,4.56,7600,0,0
2019-07-11,4.51,4.65,4.4,4.55,12000,0,0
2019-07-12,4.52,4.64,4.52,4.64,800,0,0
2019-07-15,4.64,4.64,4.3,4.3,1000,0,0
2019-07-16,4.5,4.5,4.205,4.23,1100,0,0
2019-07-17,4.23,4.23,4.23,4.23,100,0,0
2019-07-18,4.25,4.34,4.18,4.3,2000,0,0
2019-07-19,4.23,4.25,4.04,4.25,5300,0,0
2019-07-22,4.35,4.53,4.25,4.53,1000,0,0
2019-07-23,4.25,4.39,3.85,4.1,46800,0,0
2019-07-24,4.122,4.122,3.713,3.82,33400,0,0
2019-07-25,3.7,3.81,3.28,3.6,14100,0,0
2019-07-26,3.78,3.79,3.375,3.58,4900,0,0
2019-07-29,3.493,3.493,3.3,3.35,15400,0,0
2019-07-30,3.454,3.454,3.06,3.155,25800,0,0
2019-07-31,3.133,3.17,2.785,2.97,86600,0,0
2019-08-01,2.9,2.99,2.73,2.83,4500,0,0
2019-08-02,2.85,3.49,2.75,3.19,99100,0,0
2019-08-05,3.15,3.33,2.73,3.25,75800,0,0
2019-08-06,3.25,3.25,2.86,3.005,19400,0,0
2019-08-07,3.1,3.18,2.943,3.15,10400,0,0
2019-08-08,3.03,3.14,2.8,2.81,37400,0,0
2019-08-09,2.8,2.876,2.529,2.72,18700,0,0
2019-08-12,2.73,2.8,2.57,2.57,18100,0,0
2019-08-13,2.49,2.999,2.49,2.79,27300,0,0
2019-08-14,2.73,2.82,2.55,2.55,27500,0,0
2019-08-15,2.593,2.593,2.15,2.345,50700,0,0
2019-08-16,2.388,2.55,2.32,2.37,19200,0,0
2019-08-19,2.3,2.41,2.085,2.12,52500,0,0
2019-08-20,2.12,2.47,2.12,2.379,38600,0,0
2019-08-21,2.36,2.58,2.31,2.43,15500,0,0
2019-08-22,2.46,2.51,2.38,2.44,15500,0,0
2019-08-23,2.328,2.4,2.26,2.37,9100,0,0
2019-08-26,2.3,2.3,2.3,2.3,300,0,0
2019-08-27,2.342,2.566,2.15,2.29,19100,0,0
2019-08-28,2.19,2.3,2.161,2.3,2900,0,0
2019-08-29,2.2,2.25,2.057,2.24,23300,0,0
2019-08-30,2.18,2.47,2.12,2.47,148700,0,0
2019-09-03,2.56,2.56,2.22,2.41,61200,0,0
2019-09-04,2.42,2.42,2.25,2.4,2500,0,0
2019-09-05,2.41,2.59,2.05,2.46,303600,0,0
2019-09-06,2.45,2.48,2.212,2.47,50600,0,0
2019-09-09,2.46,2.46,2.255,2.32,53500,0,0
2019-09-10,2.35,2.7,2.323,2.547,183300,0,0
2019-09-11,2.55,2.75,2.45,2.68,78000,0,0
2019-09-12,2.799,2.817,2.56,2.6,38600,0,0
2019-09-13,2.59,2.681,2.18,2.53,50700,0,0
2019-09-16,2.44,2.52,2.42,2.431,18700,0,0
2019-09-17,2.42,2.48,2.38,2.381,13700,0,0
2019-09-18,2.39,2.44,2.18,2.332,21900,0,0
2019-09-19,2.389,2.53,2.18,2.51,67000,0,0
2019-09-20,2.48,2.62,2.45,2.545,29300,0,0
2019-09-23,2.59,2.81,2.503,2.67,114100,0,0
2019-09-24,2.61,3.0,2.61,2.66,174400,0,0
2019-09-25,2.64,2.64,2.35,2.45,25400,0,0
2019-09-26,2.32,2.5,2.28,2.39,19600,0,0
2019-09-27,2.39,2.495,2.3,2.3,15400,0,0
2019-09-30,2.241,2.314,2.22,2.299,14500,0,0
2019-10-01,2.25,2.36,2.25,2.26,2900,0,0
2019-10-02,2.2,2.3,2.16,2.3,5900,0,0
2019-10-03,2.3,2.3,2.19,2.245,8800,0,0
2019-10-04,2.16,2.16,2.16,2.16,100,0,0
2019-10-07,2.15,2.29,2.14,2.19,30400,0,0
2019-10-08,2.21,2.21,2.15,2.195,19100,0,0
2019-10-09,2.13,2.28,2.13,2.209,27900,0,0
2019-10-10,2.16,2.28,2.12,2.16,69700,0,0
2019-10-11,2.236,2.236,2.236,2.236,500,0,0
2019-10-14,2.16,2.29,2.16,2.23,25700,0,0
2019-10-15,2.17,2.35,2.13,2.13,28100,0,0
2019-10-16,2.319,2.319,2.11,2.13,7300,0,0
