Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-05-05,213.75,213.75,213.75,213.75,0,0,0.0
2000-05-08,213.75,213.75,213.75,213.75,0,0,0.0
2000-05-09,213.75,213.75,213.75,213.75,0,0,0.0
2000-05-10,213.75,213.75,213.75,213.75,0,0,0.0
2000-05-11,213.75,213.75,213.75,213.75,0,0,0.0
2000-05-12,185.62,213.75,185.62,213.75,0,0,0.0
2000-05-15,213.75,213.75,213.75,213.75,0,0,0.0
2000-05-16,213.75,213.75,213.75,213.75,0,0,0.0
2000-05-17,213.75,213.75,213.75,213.75,0,0,0.0
2000-05-18,185.62,213.75,185.62,196.88,0,0,0.0
2000-05-19,196.88,196.88,196.88,196.88,0,0,0.0
2000-05-22,196.88,196.88,196.88,196.88,0,0,0.0
2000-05-23,196.88,196.88,196.88,196.88,0,0,0.0
2000-05-24,180.0,196.88,180.0,180.0,0,0,0.0
2000-05-25,174.38,174.38,174.38,174.38,0,0,0.0
2000-05-26,174.38,174.38,174.38,174.38,0,0,0.0
2000-05-30,174.38,174.38,174.38,174.38,0,0,0.0
2000-05-31,196.88,253.12,168.75,253.12,100,0,0.0
2000-06-01,253.12,253.12,230.62,253.12,0,0,0.0
2000-06-02,253.12,450.0,241.88,450.0,0,0,0.0
2000-06-05,405.0,405.0,275.62,360.0,0,0,0.0
2000-06-06,343.12,343.12,270.0,270.0,0,0,0.0
2000-06-07,270.0,270.0,270.0,270.0,0,0,0.0
2000-06-08,286.88,315.0,270.0,270.0,0,0,0.0
2000-06-09,315.0,315.0,315.0,315.0,0,0,0.0
2000-06-12,315.0,360.0,303.75,320.62,100,0,0.0
2000-06-13,337.5,376.88,298.12,376.88,0,0,0.0
2000-06-14,376.88,382.5,360.0,360.0,0,0,0.0
2000-06-15,343.12,343.12,292.5,326.25,0,0,0.0
2000-06-16,331.88,360.0,315.0,343.12,0,0,0.0
2000-06-19,315.0,376.88,315.0,376.88,0,0,0.0
2000-06-20,393.75,393.75,303.75,348.75,0,0,0.0
2000-06-21,315.0,360.0,315.0,360.0,0,0,0.0
2000-06-22,360.0,360.0,315.0,315.0,0,0,0.0
2000-06-23,360.0,360.0,315.0,315.0,0,0,0.0
2000-06-26,337.5,337.5,315.0,337.5,0,0,0.0
2000-06-27,360.0,360.0,360.0,360.0,0,0,0.0
2000-06-28,360.0,360.0,360.0,360.0,0,0,0.0
2000-06-29,292.5,360.0,286.88,360.0,0,0,0.0
2000-06-30,360.0,360.0,303.75,303.75,0,0,0.0
2000-07-03,326.25,326.25,326.25,326.25,0,0,0.0
