Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-30,12.0,12.18,11.0,11.25,316119,0,0
2020-01-31,10.99,11.2,9.66,10.12,107400,0,0
2020-02-03,10.09,10.91,10.09,10.62,39200,0,0
2020-02-04,10.62,10.89,9.84,10.64,31300,0,0
2020-02-05,10.6,10.6,9.8,10.0,44600,0,0
2020-02-06,10.15,10.25,9.8,10.01,23700,0,0
2020-02-07,10.01,10.01,9.8,9.82,18200,0,0
2020-02-10,10.41,10.41,9.93,9.95,4400,0,0
2020-02-11,10.5,10.5,9.75,9.94,9400,0,0
2020-02-12,9.7,9.7,8.86,9.65,9600,0,0
2020-02-13,9.97,9.97,9.9,9.9,6500,0,0
2020-02-14,9.9,9.9,9.7,9.7,2900,0,0
2020-02-18,9.54,9.59,9.54,9.55,1900,0,0
2020-02-19,9.55,9.61,9.5,9.6,6000,0,0
2020-02-20,9.5,9.5,9.4,9.44,7300,0,0
2020-02-21,9.65,9.75,9.62,9.66,3000,0,0
2020-02-24,9.45,9.45,9.45,9.45,2200,0,0
2020-02-25,9.46,10.56,9.45,10.48,21800,0,0
2020-02-26,10.48,10.6,9.9,10.0,22000,0,0
2020-02-27,12.0,12.0,9.27,9.87,62100,0,0
2020-02-28,9.8,10.0,8.19,8.5,8400,0,0
2020-03-02,8.75,9.84,8.75,9.84,7000,0,0
2020-03-03,9.84,9.84,8.91,9.25,2400,0,0
2020-03-04,9.24,9.39,9.24,9.39,1400,0,0
2020-03-05,9.37,9.39,9.37,9.39,1100,0,0
2020-03-06,8.52,8.97,8.24,8.97,2300,0,0
2020-03-09,8.5,9.45,8.5,9.0,984,0,0
