Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-11-07,97.5,113.55,96.0,104.5,2381500,0,0.0
2007-11-08,97.5,101.75,92.5,95.0,648400,0,0.0
2007-11-09,92.5,98.65,91.0,97.0,339200,0,0.0
2007-11-12,90.0,96.5,90.0,92.8,250700,0,0.0
2007-11-13,91.55,94.4,90.0,90.0,361900,0,0.0
2007-11-14,95.0,99.25,91.05,95.5,151000,0,0.0
2007-11-15,94.0,95.4,92.5,92.5,77500,0,0.0
2007-11-16,98.6,98.6,89.15,89.95,257700,0,0.0
2007-11-19,88.85,91.35,86.4,90.85,84300,0,0.0
2007-11-20,82.05,89.85,81.75,86.25,145100,0,0.0
2007-11-21,82.5,82.55,78.0,81.25,302200,0,0.0
2007-11-23,81.25,92.1,78.65,82.8,158700,0,0.0
2007-11-26,84.7,89.25,81.55,84.5,168300,0,0.0
2007-11-27,82.5,84.05,82.45,83.25,101700,0,0.0
2007-11-28,84.5,89.9,81.3,86.15,200000,0,0.0
2007-11-29,84.0,86.35,82.85,85.0,92300,0,0.0
2007-11-30,85.0,92.5,85.0,88.2,94600,0,0.0
2007-12-03,85.0,91.25,83.65,89.55,33800,0,0.0
2007-12-04,86.5,91.75,86.5,87.75,23900,0,0.0
2007-12-05,86.5,91.35,86.2,89.95,70200,0,0.0
2007-12-06,87.5,94.5,87.5,92.65,52100,0,0.0
2007-12-07,90.0,102.5,90.0,98.8,48400,0,0.0
2007-12-10,96.25,103.95,94.9,103.0,54300,0,0.0
2007-12-11,101.25,109.8,97.5,101.8,29900,0,0.0
2007-12-12,103.5,104.2,98.25,98.95,22900,0,0.0
2007-12-13,97.5,97.85,90.95,96.5,19200,0,0.0
2007-12-14,97.5,100.0,96.7,96.8,21000,0,0.0
2007-12-17,94.2,98.75,92.5,93.1,24000,0,0.0
2007-12-18,91.95,98.6,91.95,95.5,49900,0,0.0
2007-12-19,97.05,112.4,93.85,102.25,54400,0,0.0
2007-12-20,98.0,105.0,95.65,102.35,19800,0,0.0
2007-12-21,102.5,109.7,102.5,108.15,26900,0,0.0
2007-12-24,108.5,112.0,108.25,110.75,15500,0,0.0
2007-12-26,110.45,112.2,108.05,109.6,8300,0,0.0
2007-12-27,103.15,111.2,103.05,109.05,41800,0,0.0
2007-12-28,108.6,125.75,108.0,117.1,37300,0,0.0
2007-12-31,117.4,117.4,109.65,111.9,103300,0,0.0
2008-01-02,110.05,112.25,107.45,108.8,140900,0,0.0
2008-01-03,110.3,117.3,106.45,114.4,119400,0,0.0
2008-01-04,111.05,122.65,107.55,118.0,30400,0,0.0
2008-01-07,113.05,118.9,112.5,115.0,53300,0,0.0
2008-01-08,113.6,118.6,112.7,115.0,51600,0,0.0
2008-01-09,124.85,124.85,114.75,116.3,5400,0,0.0
2008-01-10,116.65,119.5,114.1,119.25,40800,0,0.0
2008-01-11,119.4,120.95,113.4,120.9,57300,0,0.0
2008-01-14,122.6,132.55,118.05,125.2,56000,0,0.0
2008-01-15,124.0,128.85,119.5,127.5,46500,0,0.0
2008-01-16,121.2,125.0,120.6,122.0,87200,0,0.0
2008-01-17,122.6,124.4,117.55,120.45,160300,0,0.0
2008-01-18,120.0,122.0,117.5,120.05,79500,0,0.0
2008-01-22,107.55,113.5,99.0,110.8,145300,0,0.0
2008-01-23,108.0,110.65,92.85,103.3,242300,0,0.0
2008-01-24,104.85,117.25,100.0,114.85,126800,0,0.0
2008-01-25,114.1,117.1,109.0,116.45,20800,0,0.0
