Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-06-03,3.7808,3.7808,2.2685,2.8356,31600,0.0,0.0
1993-06-04,2.552,2.8356,2.552,2.552,90100,0.0,0.0
1993-06-07,2.4575,3.3082,2.4575,3.3082,82400,0.0,0.0
1993-06-08,3.3082,3.3082,3.0246,3.0246,75800,0.0,0.0
1993-06-09,3.2137,3.2137,2.8356,3.0483,10600,0.0,0.0
1993-06-11,3.0719,3.2137,2.9774,3.2137,633600,0.0,0.0
1993-06-14,3.2137,3.2137,3.0246,3.1192,5300,0.0,0.0
1993-06-15,3.0246,3.1192,3.0246,3.1192,6600,0.0,0.0
1993-06-16,3.2137,3.2137,3.0246,3.0246,123200,0.0,0.0
1993-06-17,3.2137,3.2137,3.0246,3.0246,142600,0.0,0.0
1993-06-18,3.2137,3.7808,3.0246,3.7808,19000,0.0,0.0
1993-06-21,3.7808,3.7808,3.7808,3.7808,2500,0.0,0.0
1993-06-22,3.7808,4.3479,3.6863,4.3479,26200,0.0,0.0
1993-06-23,4.3479,4.3479,3.9698,4.3479,7800,0.0,0.0
1993-06-24,4.3479,4.3479,3.7808,3.9698,9600,0.0,0.0
1993-06-25,3.7808,3.7808,3.2137,3.2137,7500,0.0,0.0
1993-06-28,3.7808,3.7808,3.7808,3.7808,300,0.0,0.0
1993-06-29,3.4027,3.4027,3.4027,3.4027,400,0.0,0.0
1993-07-02,3.2137,3.2137,3.2137,3.2137,1900,0.0,0.0
1993-07-06,3.2137,3.2137,3.2137,3.2137,300,0.0,0.0
1993-07-07,3.2137,3.2137,3.2137,3.2137,300,0.0,0.0
1993-07-08,3.0246,3.5917,3.0246,3.2137,40700,0.0,0.0
1993-07-09,3.5917,3.5917,3.2137,3.2137,27800,0.0,0.0
1993-07-12,3.2137,3.4972,3.2137,3.2137,4100,0.0,0.0
1993-07-14,3.2137,3.4027,3.0246,3.0246,2500,0.0,0.0
1993-07-15,3.0246,3.2137,3.0246,3.0246,3800,0.0,0.0
1993-07-16,3.2137,3.2137,2.8356,3.0246,2100,0.0,0.0
1993-07-19,2.8356,2.8829,2.8356,2.8829,1000,0.0,0.0
1993-07-20,2.8356,2.8356,2.8356,2.8356,0,0.0,0.0
1993-07-21,2.9301,3.0246,2.6466,2.6466,10000,0.0,0.0
1993-07-22,2.6466,2.8356,2.4575,2.4575,5700,0.0,0.0
1993-07-23,2.4575,2.6466,2.2685,2.6466,21100,0.0,0.0
1993-07-26,2.6466,2.6466,2.2685,2.3157,15700,0.0,0.0
1993-07-27,2.2685,2.4575,2.2685,2.4575,24600,0.0,0.0
1993-07-28,2.2685,2.3157,2.2685,2.3157,4000,0.0,0.0
1993-07-29,2.2685,2.2685,2.2685,2.2685,5000,0.0,0.0
1993-07-30,2.2685,2.4575,2.2685,2.4575,5100,0.0,0.0
1993-08-02,2.2685,2.552,2.2685,2.363,11000,0.0,0.0
1993-08-03,2.4575,3.4027,2.2685,3.3082,54700,0.0,0.0
1993-08-04,3.7808,3.8753,3.0246,3.4027,34000,0.0,0.0
1993-08-05,3.4027,3.4027,3.2137,3.4027,1100,0.0,0.0
1993-08-06,3.4027,3.4027,3.0246,3.4027,3100,0.0,0.0
1993-08-09,3.2137,3.4027,2.8356,3.2137,12600,0.0,0.0
1993-08-10,2.8356,3.2137,2.8356,3.2137,800,0.0,0.0
1993-08-11,3.2137,3.2137,2.8356,3.2137,1200,0.0,0.0
1993-08-12,3.2137,3.2137,2.8356,3.0246,2700,0.0,0.0
1993-08-13,3.2137,3.2137,2.8356,3.2137,600,0.0,0.0
1993-08-16,3.2137,3.2137,3.0246,3.0246,1800,0.0,0.0
1993-08-17,3.0246,3.2137,3.0246,3.2137,700,0.0,0.0
1993-08-18,3.0246,3.2137,3.0246,3.1192,400,0.0,0.0
1993-08-19,3.0246,3.2137,3.0246,3.0246,100,0.0,0.0
1993-08-20,3.1192,3.1192,3.1192,3.1192,200,0.0,0.0
1993-08-23,3.2137,3.2137,3.1192,3.2137,2800,0.0,0.0
1993-08-24,3.1192,3.5917,3.0246,3.5917,9700,0.0,0.0
1993-08-25,3.5917,3.8753,3.5917,3.7808,10300,0.0,0.0
1993-08-26,3.8753,3.8753,3.6863,3.8753,11200,0.0,0.0
1993-08-27,4.0643,4.1589,3.7808,3.7808,23000,0.0,0.0
1993-08-30,4.0643,4.0643,3.7808,3.9226,3300,0.0,0.0
1993-08-31,4.0643,4.0643,3.7808,3.8753,13000,0.0,0.0
1993-09-01,3.7808,4.0643,3.7808,4.0643,8000,0.0,0.0
