Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-08-01,26.25,26.8,25.75,26.5,34400,0,0.0
2016-08-02,26.25,26.25,25.05,25.5,10900,0,0.0
2016-08-03,25.5,25.5,23.55,24.5,15600,0,0.0
2016-08-04,24.45,24.55,23.15,23.15,5200,0,0.0
2016-08-05,24.95,24.95,22.75,23.5,4900,0,0.0
2016-08-08,24.05,24.95,24.0,24.8,6900,0,0.0
2016-08-09,26.1,26.35,25.75,26.0,16400,0,0.0
2016-08-10,26.25,26.25,24.7,25.0,4000,0,0.0
2016-08-11,25.9,25.9,25.2,25.2,800,0,0.0
2016-08-12,24.145,25.95,24.145,25.95,1000,0,0.0
2016-08-15,25.0,25.0,24.15,24.95,2900,0,0.0
2016-08-16,24.65,25.25,24.3,24.45,2000,0,0.0
2016-08-17,23.65,24.05,23.5,24.05,4400,0,0.0
2016-08-18,23.65,23.65,21.5,21.95,8100,0,0.0
2016-08-19,21.5,23.0,21.5,22.95,5200,0,0.0
2016-08-22,22.9,23.25,22.17,23.2,5000,0,0.0
2016-08-23,24.7,24.7,23.725,23.95,3400,0,0.0
2016-08-24,24.5,24.5,23.45,23.8,3800,0,0.0
2016-08-25,23.46,23.75,23.46,23.7,1200,0,0.0
2016-08-26,23.2,24.1,23.15,24.1,300,0,0.0
2016-08-29,23.55,23.85,23.275,23.85,1300,0,0.0
2016-08-30,23.65,23.65,23.25,23.55,500,0,0.0
2016-08-31,23.05,23.2,22.25,22.35,4100,0,0.0
2016-09-01,22.1,22.2,21.55,22.0,4600,0,0.0
2016-09-02,22.0,22.15,21.2,22.15,3100,0,0.0
2016-09-06,23.35,23.35,22.45,22.95,6500,0,0.0
2016-09-07,22.75,23.15,22.3,23.15,900,0,0.0
2016-09-08,23.2,23.4,23.15,23.15,2100,0,0.0
2016-09-09,22.75,22.85,22.1,22.17,9600,0,0.0
2016-09-12,22.55,23.05,22.5,23.05,1100,0,0.0
2016-09-13,23.25,23.25,22.9,23.05,1000,0,0.0
2016-09-14,23.05,23.05,22.15,22.65,3100,0,0.0
2016-09-15,22.65,22.65,22.3,22.3,400,0,0.0
2016-09-16,22.45,23.25,22.3,22.6,3300,0,0.0
2016-09-19,23.5,23.8,23.45,23.8,2800,0,0.0
2016-09-20,23.3,23.3,22.55,23.25,1500,0,0.0
2016-09-21,22.8,22.8,22.01,22.5,2600,0,0.0
2016-09-22,22.5,22.55,21.95,22.45,1400,0,0.0
2016-09-23,22.25,22.65,21.9,22.65,800,0,0.0
2016-09-26,22.45,22.45,21.95,22.2,1400,0,0.0
2016-09-27,22.1,22.4,22.0,22.4,1400,0,0.0
2016-09-28,22.5,23.2,22.26,23.2,1000,0,0.0
2016-09-29,22.9,22.9,21.85,22.7,1500,0,0.0
2016-09-30,23.5,23.5,22.85,23.0,2200,0,0.0
2016-10-03,23.04,23.04,22.15,22.925,900,0,0.0
2016-10-04,23.0,23.15,22.85,23.15,900,0,0.0
2016-10-05,22.75,22.85,22.5,22.85,2400,0,0.0
2016-10-06,22.75,22.75,22.3,22.7,1700,0,0.0
2016-10-07,22.9,23.05,22.5,23.05,500,0,0.0
2016-10-10,22.5,22.5,21.75,22.0,2000,0,0.0
2016-10-11,21.5,22.3,21.5,22.05,600,0,0.0
2016-10-12,22.1,22.1,21.85,22.0,300,0,0.0
2016-10-13,21.75,21.85,20.15,21.6,2700,0,0.0
2016-10-14,21.25,22.3,20.6,21.1,500,0,0.0
2016-10-17,21.05,21.5,20.35,20.95,1300,0,0.0
2016-10-18,20.6,21.45,20.15,21.15,1000,0,0.0
2016-10-19,20.25,20.5,19.8,20.5,600,0,0.0
2016-10-20,19.8,19.85,19.25,19.25,1300,0,0.0
2016-10-21,19.25,19.31,18.4,19.31,1400,0,0.0
2016-10-24,19.2,20.395,19.2,20.2,3800,0,0.0
2016-10-25,20.8,20.8,20.8,20.8,0,0,0.0
2016-10-26,20.8,21.4,19.8,21.4,900,0,0.0
2016-10-27,20.9,21.0,20.0,20.3,2600,0,0.0
2016-10-28,20.13,21.5,20.1,21.5,1700,0,0.0
2016-10-31,21.15,21.2,20.955,20.955,500,0,0.0
2016-11-01,20.65,20.75,20.5,20.75,800,0,0.0
2016-11-02,20.3,20.8,20.3,20.55,800,0,0.0
2016-11-03,20.5,20.5,20.5,20.5,0,0,0.0
2016-11-04,20.45,20.5,20.0,20.5,300,0,0.0
2016-11-07,19.2,19.75,18.9,19.75,400,0,0.0
2016-11-08,19.3,20.7,18.8,18.8,500,0,0.0
2016-11-09,19.1,19.35,17.4,17.8,4600,0,0.0
2016-11-10,18.1,19.325,17.695,19.0,1900,0,0.0
2016-11-11,18.9,18.9,18.25,18.65,600,0,0.0
2016-11-14,18.7,19.25,17.6,18.25,3100,0,0.0
2016-11-15,17.78,17.875,17.76,17.76,200,0,0.0
2016-11-16,17.76,17.76,17.76,17.76,0,0,0.0
2016-11-17,17.5,17.5,17.25,17.3,400,0,0.0
2016-11-18,17.8,17.8,17.8,17.8,100,0,0.0
2016-11-21,16.9,17.2,16.55,17.2,700,0,0.0
2016-11-22,16.95,16.95,16.95,16.95,0,0,0.0
2016-11-23,16.95,16.95,16.95,16.95,0,0,0.0
2016-11-25,16.905,16.905,16.905,16.905,100,0,0.0
2016-11-28,16.85,16.9,16.65,16.65,300,0,0.0
2016-11-29,17.15,17.15,16.44,16.44,100,0,0.0
2016-11-30,16.0,16.0,16.0,16.0,800,0,0.0
2016-12-01,14.65,14.7,13.55,14.23,2500,0,0.0
2016-12-02,13.75,14.75,13.75,14.75,1400,0,0.0
2016-12-05,14.65,14.8,13.3,14.1,4300,0,0.0
2016-12-06,14.1,14.165,13.65,13.65,2300,0,0.0
2016-12-07,13.5,13.5,12.75,13.35,1800,0,0.0
2016-12-08,13.6,14.4,13.6,14.0,500,0,0.0
2016-12-09,14.0,14.0,14.0,14.0,0,0,0.0
2016-12-12,14.0,14.0,14.0,14.0,0,0,0.0
2016-12-13,14.0,14.0,14.0,14.0,0,0,0.0
2016-12-14,14.0,14.0,14.0,14.0,0,0,0.0
2016-12-15,14.0,14.0,14.0,14.0,0,0,0.0
2016-12-16,14.0,14.0,14.0,14.0,0,0,0.0
2016-12-19,13.1,13.75,13.0,13.65,500,0,0.0
2016-12-20,13.65,13.65,13.65,13.65,0,0,0.0
2016-12-21,12.3,13.65,12.3,13.3,400,0,0.0
2016-12-22,13.3,13.3,13.3,13.3,0,0,0.0
2016-12-23,11.5,13.75,11.5,13.465,1000,0,0.0
2016-12-27,14.85,15.0,14.0,14.0,3700,0,0.0
2016-12-28,14.75,16.1,14.75,15.4,1600,0,0.0
2016-12-29,14.5,15.25,14.5,15.2,400,0,0.0
2016-12-30,15.45,15.45,15.45,15.45,0,0,0.0
2017-01-03,15.95,15.95,15.34,15.34,400,0,0.0
2017-01-04,15.95,17.5,15.95,16.4,2200,0,0.0
2017-01-05,17.25,17.25,17.25,17.25,200,0,0.0
2017-01-06,16.25,16.25,16.25,16.25,0,0,0.0
2017-01-09,16.95,17.5,16.25,16.74,2200,0,0.0
2017-01-10,17.725,17.75,17.38,17.63,400,0,0.0
2017-01-11,16.25,16.6,16.25,16.6,1000,0,0.0
2017-01-12,22.25,43.9,20.235,30.55,1502100,0,0.0
2017-01-13,27.0,28.725,20.5,21.75,103900,0,0.0
2017-01-17,22.5,22.5,17.5,18.05,26900,0,0.0
2017-01-18,19.35,20.0,18.75,19.3,18500,0,0.0
2017-01-19,19.75,19.8,18.55,18.8,5300,0,0.0
2017-01-20,18.4,19.1,18.35,19.1,6400,0,0.0
2017-01-23,17.0,17.8,17.0,17.7,10600,0,0.0
2017-01-24,16.5,17.11,16.25,16.9,9700,0,0.0
2017-01-25,17.6,18.05,16.55,16.8,8900,0,0.0
2017-01-26,17.0,17.15,15.75,16.45,6700,0,0.0
2017-01-27,16.45,16.45,15.545,15.9,4500,0,0.0
2017-01-30,15.7,16.25,15.5,15.695,8100,0,0.0
2017-01-31,14.7,15.8,14.7,15.485,6300,0,0.0
2017-02-01,15.85,19.25,15.85,17.25,15700,0,0.0
2017-02-02,18.2,28.55,17.78,20.1,82000,0,0.0
2017-02-03,19.5,20.05,17.4,18.7,13600,0,0.0
2017-02-06,20.35,21.225,19.65,20.25,7100,0,0.0
2017-02-07,20.55,21.695,20.55,20.85,5500,0,0.0
2017-02-08,27.1,33.85,23.7,24.8,1134600,0,0.0
2017-02-09,23.15,25.95,23.15,24.95,44500,0,0.0
2017-02-10,24.5,25.5,24.5,25.3,16700,0,0.0
2017-02-13,25.25,25.75,24.45,25.75,20300,0,0.0
2017-02-14,25.6,33.75,25.6,30.6,311100,0,0.0
2017-02-15,30.0,32.0,28.62,30.0,47900,0,0.0
2017-02-16,30.75,30.75,28.75,29.15,20500,0,0.0
2017-02-17,28.85,29.85,28.5,29.15,7200,0,0.0
2017-02-21,35.5,38.85,32.65,33.6,379000,0,0.0
2017-02-22,34.35,34.35,29.85,30.25,29300,0,0.0
2017-02-23,30.15,32.2,30.15,31.1,8100,0,0.0
2017-02-24,31.25,32.365,30.1,30.7,6300,0,0.0
2017-02-27,31.75,32.5,30.7,31.25,9900,0,0.0
2017-02-28,31.1,34.95,31.1,32.95,33800,0,0.0
2017-03-01,33.7,35.0,33.15,34.05,13400,0,0.0
2017-03-02,34.25,36.45,34.05,34.25,14300,0,0.0
2017-03-03,36.25,36.25,32.8,33.7,4500,0,0.0
2017-03-06,33.55,33.55,31.3,31.75,8000,0,0.0
2017-03-07,31.4,32.15,30.0,32.05,6900,0,0.0
2017-03-08,32.2,33.35,31.7,32.55,6200,0,0.0
2017-03-09,32.25,32.55,31.025,31.75,3400,0,0.0
2017-03-10,31.84,34.195,31.63,33.25,3600,0,0.0
2017-03-13,32.8,33.025,31.8,31.95,7700,0,0.0
2017-03-14,31.6,31.75,31.2,31.3,3900,0,0.0
2017-03-15,31.75,32.375,31.5,31.8,3500,0,0.0
2017-03-16,31.45,31.95,30.5,31.15,2700,0,0.0
2017-03-17,31.75,32.55,31.2,31.75,1900,0,0.0
2017-03-20,31.75,31.75,31.2,31.2,2600,0,0.0
2017-03-21,31.5,31.5,30.0,30.05,5600,0,0.0
2017-03-22,29.85,30.595,29.115,29.7,5800,0,0.0
2017-03-23,32.15,32.15,30.25,31.135,4400,0,0.0
2017-03-24,30.5,32.065,30.5,31.32,1100,0,0.0
2017-03-27,43.85,67.5,42.75,54.5,1825000,0,0.0
2017-03-28,51.6,53.75,39.5,41.5,250200,0,0.0
2017-03-29,39.0,44.45,38.2,43.7,69500,0,0.0
2017-03-30,43.5,45.45,41.4,44.9,32300,0,0.0
2017-03-31,46.15,46.15,40.5,43.0,25100,0,0.0
2017-04-03,49.45,53.21,44.75,47.55,293400,0,0.0
2017-04-04,48.35,48.35,44.9,45.5,47700,0,0.0
2017-04-05,45.0,46.35,43.76,46.3,26300,0,0.0
2017-04-06,45.65,47.95,42.75,47.85,28100,0,0.0
2017-04-07,44.1,46.3,40.0,43.45,39200,0,0.0
2017-04-10,43.65,44.0,41.6,43.25,8600,0,0.0
2017-04-11,42.6,43.05,41.31,42.15,5000,0,0.0
2017-04-12,42.3,42.3,40.6,41.35,10100,0,0.0
2017-04-13,41.25,41.65,40.6,41.25,4900,0,0.0
2017-04-17,40.75,41.75,40.05,41.6,5400,0,0.0
2017-04-18,41.05,41.45,39.3,40.0,13300,0,0.0
2017-04-19,39.9,40.8,39.25,40.05,8400,0,0.0
2017-04-20,41.0,41.38,40.05,40.3,3900,0,0.0
2017-04-21,40.25,40.7,39.6,39.7,1800,0,0.0
2017-04-24,40.6,40.7,40.15,40.5,3500,0,0.0
2017-04-25,41.15,46.15,40.45,41.6,53500,0,0.0
2017-04-26,41.05,41.05,40.11,40.25,2900,0,0.0
