Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-17,10.11,10.15,10.08,10.15,4155200,0,0
2019-09-18,10.13,10.15,10.12,10.14,901700,0,0
2019-09-19,10.16,10.16,10.13,10.13,184000,0,0
2019-09-20,10.15,10.15,10.13,10.15,108800,0,0
2019-09-23,10.15,10.17,10.15,10.15,172900,0,0
2019-09-24,10.17,10.17,10.14,10.15,13100,0,0
2019-09-25,10.14,10.25,10.14,10.15,23000,0,0
2019-09-26,10.15,10.15,10.15,10.15,0,0,0
2019-09-27,10.17,10.19,10.17,10.19,204100,0,0
2019-09-30,10.17,10.19,10.16,10.19,60000,0,0
2019-10-01,10.19,10.2,10.19,10.19,1500,0,0
2019-10-02,10.18,10.18,10.18,10.18,29600,0,0
2019-10-03,10.18,10.18,10.18,10.18,3400,0,0
2019-10-04,10.19,10.19,10.19,10.19,200,0,0
2019-10-07,10.19,10.19,10.18,10.18,3400,0,0
2019-10-08,10.18,10.19,10.17,10.18,501300,0,0
2019-10-09,10.2,10.2,10.2,10.2,100,0,0
2019-10-10,10.2,10.21,10.18,10.21,6000,0,0
2019-10-11,10.0,10.25,10.0,10.2,61400,0,0
2019-10-14,10.25,10.25,10.2,10.2,6200,0,0
2019-10-15,10.2,10.24,10.2,10.24,12000,0,0
2019-10-16,10.22,10.24,10.2,10.24,19100,0,0
2019-10-17,10.19,10.28,10.18,10.25,90700,0,0
2019-10-18,10.22,10.24,10.22,10.24,109700,0,0
2019-10-21,10.18,10.24,10.18,10.24,36100,0,0
2019-10-22,10.25,10.25,10.22,10.24,26200,0,0
2019-10-23,10.24,10.24,10.23,10.23,10500,0,0
2019-10-24,10.2,10.25,10.2,10.25,9800,0,0
2019-10-25,10.21,10.26,10.21,10.25,12800,0,0
2019-10-28,10.24,10.28,10.22,10.28,29100,0,0
2019-10-29,10.28,10.28,10.28,10.28,0,0,0
2019-10-30,10.18,10.3,10.18,10.28,25700,0,0
2019-10-31,10.25,10.28,10.25,10.25,689700,0,0
2019-11-01,10.3,10.3,10.27,10.27,1500,0,0
