Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-25,15.1,19.3,15.02,16.05,3144000,0,0
2018-07-26,16.2,16.665,15.0,15.85,469700,0,0
2018-07-27,16.17,16.195,15.05,15.18,294400,0,0
2018-07-30,15.1,15.32,15.06,15.06,34100,0,0
2018-07-31,15.06,15.417,15.0,15.04,169300,0,0
2018-08-01,15.0,15.42,14.751,15.1,102500,0,0
2018-08-02,15.07,15.1,15.0,15.02,77400,0,0
2018-08-03,15.0,15.623,15.0,15.01,31700,0,0
2018-08-06,15.02,15.86,15.0,15.0,75200,0,0
2018-08-07,15.1,15.187,15.0,15.01,114000,0,0
2018-08-08,15.01,15.26,15.0,15.06,219400,0,0
2018-08-09,15.08,15.24,15.0,15.06,199600,0,0
2018-08-10,15.03,16.0,15.03,15.68,76400,0,0
2018-08-13,16.667,16.667,15.7,16.17,44800,0,0
2018-08-14,16.76,16.83,16.17,16.53,54900,0,0
2018-08-15,16.85,16.85,15.92,16.46,33300,0,0
2018-08-16,16.59,16.8,15.5,16.1,63400,0,0
2018-08-17,16.15,16.25,15.035,16.0,53100,0,0
2018-08-20,16.25,16.36,15.75,15.96,158200,0,0
2018-08-21,16.08,16.186,15.75,15.84,78700,0,0
2018-08-22,16.0,16.365,15.9,15.97,88400,0,0
2018-08-23,16.0,16.25,15.25,15.93,169100,0,0
2018-08-24,15.85,16.0,15.65,15.73,63400,0,0
2018-08-27,15.73,15.954,15.355,15.51,71100,0,0
2018-08-28,15.4,16.5,15.4,16.02,145800,0,0
2018-08-29,16.02,17.4,16.02,16.9,230800,0,0
2018-08-30,17.0,17.5,16.5,17.18,171200,0,0
2018-08-31,16.99,18.67,16.933,18.01,229000,0,0
2018-09-04,17.82,18.386,17.22,17.89,192000,0,0
2018-09-05,18.0,18.04,17.21,17.96,98500,0,0
2018-09-06,17.98,19.17,17.948,18.88,188800,0,0
2018-09-07,18.89,19.19,18.375,18.96,145600,0,0
2018-09-10,19.09,19.28,18.5,18.67,108800,0,0
2018-09-11,18.61,19.28,17.8,18.28,133300,0,0
2018-09-12,18.19,18.85,17.57,18.47,119100,0,0
2018-09-13,18.61,20.696,18.011,18.31,208600,0,0
2018-09-14,18.27,18.607,16.5,16.52,176500,0,0
2018-09-17,16.55,16.975,15.03,16.53,197600,0,0
2018-09-18,16.44,16.65,15.23,16.07,202200,0,0
2018-09-19,16.18,16.56,15.54,16.38,164200,0,0
2018-09-20,16.42,16.75,15.77,16.31,252600,0,0
2018-09-21,16.39,16.7,15.57,16.33,705900,0,0
2018-09-24,16.22,17.38,15.96,17.16,199400,0,0
2018-09-25,17.17,18.05,17.17,17.5,174000,0,0
2018-09-26,17.5,17.6,17.0,17.19,74000,0,0
2018-09-27,17.25,17.4,16.44,17.31,72600,0,0
2018-09-28,17.34,17.71,16.31,17.51,84200,0,0
2018-10-01,17.4,18.33,16.375,17.31,143000,0,0
2018-10-02,17.33,18.055,17.179,17.9,79200,0,0
2018-10-03,17.9,18.09,17.455,17.85,136800,0,0
2018-10-04,17.85,17.95,16.4,16.62,178400,0,0
2018-10-05,16.73,16.85,15.675,16.14,136700,0,0
2018-10-08,16.13,16.855,15.39,15.78,73600,0,0
2018-10-09,15.55,15.92,14.67,14.8,97500,0,0
2018-10-10,14.8,15.13,13.81,14.42,108000,0,0
