Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-07-29,1.05,1.09,1.02,1.05,938200,0,0.0
2008-07-30,1.05,1.05,1.01,1.02,224700,0,0.0
2008-07-31,1.02,1.04,1.0,1.02,176400,0,0.0
2008-08-04,1.02,1.01,0.99,0.99,108400,0,0.0
2008-08-05,0.99,1.0,0.96,0.97,125600,0,0.0
2008-08-06,0.97,1.0,0.96,1.0,149100,0,0.0
2008-08-07,1.0,1.03,0.98,0.98,143600,0,0.0
2008-08-12,1.07,1.05,1.02,1.02,600400,0,0.0
2008-08-13,1.02,1.02,0.97,1.0,246800,0,0.0
2008-08-14,1.0,1.01,0.97,0.98,63600,0,0.0
2008-08-18,0.94,0.93,0.9,0.93,67300,0,0.0
2008-08-19,0.93,0.93,0.9,0.92,38500,0,0.0
2008-08-20,0.92,0.92,0.88,0.88,80700,0,0.0
2008-08-21,0.88,0.87,0.84,0.84,91300,0,0.0
2008-08-25,0.88,0.92,0.9,0.91,144500,0,0.0
2008-08-27,0.89,0.89,0.86,0.88,115300,0,0.0
2008-08-28,0.88,0.88,0.85,0.88,65000,0,0.0
2008-09-02,0.84,0.86,0.83,0.85,38400,0,0.0
2008-09-03,0.85,0.84,0.81,0.82,48500,0,0.0
2008-09-04,0.82,0.83,0.79,0.83,188300,0,0.0
2008-09-08,0.8,0.81,0.78,0.8,18900,0,0.0
2008-09-09,0.8,0.82,0.77,0.78,88000,0,0.0
2008-09-10,0.78,0.8,0.78,0.79,35100,0,0.0
2008-09-11,0.79,0.79,0.77,0.77,50900,0,0.0
2008-09-15,0.79,0.78,0.76,0.78,15700,0,0.0
2008-09-16,0.78,0.78,0.75,0.78,53400,0,0.0
2008-09-17,0.78,0.8,0.78,0.8,34700,0,0.0
2008-09-18,0.8,0.8,0.77,0.78,55800,0,0.0
2008-09-22,0.8,0.83,0.79,0.83,116600,0,0.0
2008-09-23,0.83,0.85,0.8,0.85,118900,0,0.0
2008-09-24,0.85,0.85,0.81,0.81,281900,0,0.0
2008-09-25,0.81,0.81,0.79,0.8,59300,0,0.0
2008-09-29,0.8,0.81,0.79,0.79,42100,0,0.0
2008-10-06,0.78,0.76,0.75,0.75,33200,0,0.0
2008-10-07,0.75,0.74,0.72,0.72,116000,0,0.0
2008-10-08,0.72,0.69,0.69,0.69,8000,0,0.0
2008-10-09,0.69,0.72,0.7,0.72,30000,0,0.0
2008-10-13,0.69,0.71,0.67,0.71,31600,0,0.0
2008-10-14,0.71,0.74,0.73,0.74,39500,0,0.0
2008-10-15,0.74,0.75,0.71,0.72,58100,0,0.0
2008-10-16,0.72,0.7,0.69,0.7,68500,0,0.0
2008-10-20,0.69,0.7,0.68,0.7,15500,0,0.0
2008-10-21,0.7,0.7,0.67,0.67,63100,0,0.0
2008-10-22,0.67,0.68,0.64,0.64,19800,0,0.0
2008-10-23,0.64,0.61,0.61,0.61,13600,0,0.0
2008-10-27,0.58,0.56,0.56,0.56,9200,0,0.0
2008-10-29,0.54,0.56,0.56,0.56,4900,0,0.0
2008-10-30,0.56,0.58,0.58,0.58,18700,0,0.0
2008-11-03,0.6,0.63,0.62,0.63,59200,0,0.0
2008-11-04,0.63,0.65,0.61,0.62,61300,0,0.0
2008-11-05,0.62,0.65,0.65,0.65,18900,0,0.0
2008-11-06,0.65,0.67,0.62,0.66,40700,0,0.0
2008-11-10,0.64,0.65,0.61,0.62,18600,0,0.0
2008-11-11,0.62,0.61,0.59,0.59,40100,0,0.0
2008-11-12,0.59,0.59,0.56,0.56,56600,0,0.0
2008-11-13,0.56,0.55,0.54,0.54,38800,0,0.0
2008-11-17,0.56,0.58,0.58,0.58,17500,0,0.0
2008-11-18,0.58,0.6,0.56,0.57,75700,0,0.0
2008-11-19,0.57,0.57,0.55,0.55,38700,0,0.0
2008-11-20,0.55,0.56,0.53,0.53,15500,0,0.0
2008-11-24,0.51,0.49,0.49,0.49,77000,0,0.0
2008-11-25,0.49,0.51,0.49,0.51,31300,0,0.0
2008-11-26,0.51,0.51,0.49,0.49,33600,0,0.0
2008-12-01,0.53,0.55,0.54,0.55,29600,0,0.0
2008-12-02,0.55,0.54,0.53,0.54,37400,0,0.0
2008-12-03,0.54,0.56,0.52,0.56,135700,0,0.0
2008-12-04,0.56,0.58,0.55,0.58,44600,0,0.0
2008-12-15,0.59,0.58,0.56,0.56,32800,0,0.0
2008-12-16,0.56,0.58,0.56,0.56,39200,0,0.0
2008-12-17,0.56,0.58,0.57,0.57,31300,0,0.0
2008-12-18,0.57,0.59,0.57,0.58,57900,0,0.0
2008-12-22,0.56,0.58,0.54,0.57,20300,0,0.0
2008-12-23,0.57,0.59,0.56,0.59,86200,0,0.0
2008-12-24,0.59,0.61,0.58,0.61,225500,0,0.0
2008-12-30,0.64,0.67,0.64,0.67,148800,0,0.0
2009-01-05,0.7,0.73,0.73,0.73,4600,0,0.0
2009-01-06,0.73,0.76,0.76,0.76,6200,0,0.0
2009-01-07,0.76,0.79,0.79,0.79,19200,0,0.0
2009-01-08,0.79,0.82,0.75,0.75,845000,0,0.0
2009-01-12,0.72,0.7,0.69,0.69,437700,0,0.0
2009-01-13,0.69,0.69,0.66,0.66,205000,0,0.0
2009-01-14,0.66,0.69,0.64,0.69,417200,0,0.0
2009-01-15,0.69,0.69,0.66,0.66,85000,0,0.0
2009-01-20,0.67,0.66,0.64,0.64,82600,0,0.0
2009-01-21,0.64,0.64,0.61,0.62,75400,0,0.0
2009-01-22,0.62,0.63,0.59,0.63,46700,0,0.0
2009-01-26,0.64,0.64,0.61,0.61,89300,0,0.0
2009-01-27,0.61,0.62,0.61,0.62,23700,0,0.0
2009-01-28,0.62,0.62,0.6,0.62,88600,0,0.0
2009-01-29,0.62,0.62,0.6,0.6,30900,0,0.0
2009-02-02,0.62,0.64,0.6,0.62,145500,0,0.0
2009-02-03,0.62,0.63,0.61,0.62,5600,0,0.0
2009-02-04,0.62,0.61,0.6,0.61,36800,0,0.0
2009-02-05,0.61,0.62,0.6,0.62,22000,0,0.0
2009-02-09,0.62,0.65,0.63,0.65,181100,0,0.0
2009-02-10,0.65,0.66,0.63,0.66,72300,0,0.0
2009-02-12,0.68,0.68,0.66,0.67,54600,0,0.0
2009-02-17,0.67,0.68,0.66,0.68,22800,0,0.0
2009-02-18,0.68,0.66,0.66,0.66,36000,0,0.0
2009-02-19,0.66,0.69,0.66,0.69,168100,0,0.0
2009-02-23,0.71,0.72,0.68,0.68,93600,0,0.0
2009-02-24,0.68,0.67,0.65,0.65,121100,0,0.0
2009-02-25,0.65,0.68,0.66,0.66,126100,0,0.0
2009-02-26,0.66,0.69,0.67,0.67,84800,0,0.0
2009-03-02,0.67,0.69,0.66,0.66,36900,0,0.0
2009-03-03,0.66,0.67,0.65,0.67,42600,0,0.0
2009-03-04,0.67,0.69,0.67,0.67,40900,0,0.0
2009-03-05,0.67,0.68,0.67,0.67,5500,0,0.0
2009-03-10,0.66,0.67,0.66,0.67,5200,0,0.0
2009-03-11,0.67,0.68,0.67,0.67,26000,0,0.0
2009-03-12,0.67,0.68,0.66,0.67,14600,0,0.0
2009-03-16,0.68,0.69,0.67,0.68,86400,0,0.0
2009-03-17,0.68,0.71,0.69,0.71,117700,0,0.0
2009-03-19,0.69,0.69,0.68,0.69,15725,0,0.0
2009-03-23,0.69,0.7,0.68,0.7,53100,0,0.0
2009-03-24,0.7,0.73,0.71,0.73,139800,0,0.0
2009-03-26,0.73,0.76,0.71,0.76,278610,0,0.0
2009-03-30,0.79,0.8,0.76,0.76,157400,0,0.0
2009-04-01,0.73,0.76,0.71,0.76,91510,0,0.0
2009-04-02,0.76,0.76,0.73,0.75,47269,0,0.0
2009-04-06,0.72,0.73,0.71,0.73,48651,0,0.0
2009-04-07,0.73,0.73,0.7,0.71,120409,0,0.0
2009-04-08,0.71,0.72,0.71,0.72,10817,0,0.0
2009-04-09,0.72,0.72,0.7,0.72,22793,0,0.0
2009-04-13,0.72,0.74,0.72,0.72,13200,0,0.0
2009-04-15,0.72,0.75,0.7,0.71,204106,0,0.0
2009-04-16,0.71,0.74,0.72,0.74,55176,0,0.0
2009-04-20,0.77,0.78,0.74,0.74,145618,0,0.0
2009-04-22,0.74,0.75,0.72,0.75,23505,0,0.0
2009-04-23,0.75,0.74,0.72,0.72,56866,0,0.0
2009-04-27,0.74,0.74,0.72,0.73,19975,0,0.0
2009-04-28,0.73,0.73,0.71,0.71,22376,0,0.0
2009-04-29,0.71,0.73,0.71,0.71,9880,0,0.0
2009-04-30,0.71,0.72,0.71,0.71,38000,0,0.0
2009-05-04,0.71,0.71,0.69,0.7,11871,0,0.0
2009-05-05,0.7,0.72,0.7,0.7,43350,0,0.0
2009-05-06,0.7,0.72,0.7,0.72,8250,0,0.0
2009-05-20,0.72,0.75,0.7,0.75,159266,0,0.0
2009-05-21,0.75,0.78,0.75,0.77,393340,0,0.0
2009-05-26,0.74,0.74,0.71,0.71,84515,0,0.0
2009-05-27,0.71,0.72,0.7,0.72,66505,0,0.0
2009-05-28,0.72,0.71,0.69,0.69,36005,0,0.0
2009-06-01,0.72,0.75,0.75,0.75,48600,0,0.0
2009-06-02,0.75,0.78,0.76,0.78,394905,0,0.0
2009-06-03,0.78,0.8,0.77,0.77,194313,0,0.0
2009-06-04,0.77,0.77,0.74,0.76,45405,0,0.0
2009-06-08,0.79,0.82,0.81,0.82,241194,0,0.0
2009-06-10,0.82,0.86,0.82,0.84,402427,0,0.0
2009-06-11,0.84,0.84,0.81,0.82,130600,0,0.0
2009-06-15,0.82,0.86,0.82,0.86,296240,0,0.0
2009-06-16,0.82,0.86,0.82,0.86,82480,0,0.0
2009-06-17,0.86,0.86,0.84,0.85,40050,0,0.0
2009-06-18,0.85,0.83,0.81,0.81,53749,0,0.0
2009-06-22,0.81,0.85,0.81,0.85,338312,0,0.0
2009-06-23,0.85,0.87,0.81,0.81,101478,0,0.0
2009-06-24,0.81,0.81,0.77,0.8,85375,0,0.0
2009-06-25,0.8,0.78,0.76,0.76,111816,0,0.0
2009-06-29,0.77,0.76,0.74,0.74,316290,0,0.0
2009-06-30,0.74,0.76,0.72,0.74,276788,0,0.0
2009-07-01,0.74,0.73,0.71,0.73,53411,0,0.0
2009-07-02,0.73,0.73,0.71,0.72,64664,0,0.0
2009-07-06,0.7,0.72,0.7,0.71,160170,0,0.0
2009-07-07,0.71,0.72,0.69,0.72,59270,0,0.0
2009-07-08,0.72,0.7,0.69,0.69,57126,0,0.0
2009-07-09,0.69,0.7,0.66,0.68,52347,0,0.0
2009-07-13,0.68,0.67,0.65,0.66,18600,0,0.0
2009-07-14,0.66,0.69,0.65,0.69,50410,0,0.0
2009-07-15,0.69,0.72,0.67,0.72,37825,0,0.0
2009-07-16,0.72,0.75,0.71,0.74,20400,0,0.0
2009-07-20,0.77,0.77,0.74,0.74,164950,0,0.0
2009-07-21,0.74,0.74,0.71,0.71,99260,0,0.0
2009-07-22,0.71,0.72,0.68,0.7,80940,0,0.0
2009-07-23,0.7,0.73,0.71,0.71,22880,0,0.0
2009-07-27,0.71,0.7,0.68,0.68,258991,0,0.0
2009-07-28,0.68,0.7,0.68,0.68,6262,0,0.0
2009-07-29,0.68,0.69,0.66,0.68,21200,0,0.0
2009-07-30,0.68,0.7,0.67,0.67,50700,0,0.0
2009-08-03,0.69,0.7,0.67,0.69,59563,0,0.0
2009-08-05,0.69,0.71,0.68,0.68,27926,0,0.0
2009-08-06,0.68,0.71,0.68,0.7,89267,0,0.0
2009-08-10,0.69,0.7,0.68,0.68,13505,0,0.0
2009-08-11,0.68,0.71,0.67,0.71,64509,0,0.0
2009-08-12,0.71,0.71,0.69,0.7,59301,0,0.0
2009-08-13,0.7,0.73,0.7,0.73,27010,0,0.0
2009-08-17,0.7,0.69,0.67,0.67,36596,0,0.0
2009-08-18,0.67,0.7,0.67,0.69,17610,0,0.0
2009-08-19,0.69,0.71,0.69,0.69,3576,0,0.0
2009-08-20,0.69,0.72,0.7,0.72,146257,0,0.0
2009-08-24,0.73,0.73,0.71,0.73,8051,0,0.0
2009-08-25,0.73,0.76,0.72,0.76,110173,0,0.0
2009-08-26,0.76,0.77,0.73,0.75,43440,0,0.0
2009-08-27,0.75,0.75,0.72,0.72,8091,0,0.0
2009-09-01,0.72,0.75,0.72,0.72,14243,0,0.0
2009-09-02,0.72,0.73,0.71,0.72,42840,0,0.0
2009-09-03,0.72,0.74,0.71,0.72,67776,0,0.0
2009-09-08,0.73,0.72,0.71,0.72,55873,0,0.0
2009-09-09,0.72,0.72,0.71,0.72,10995,0,0.0
2009-09-10,0.72,0.74,0.72,0.73,29300,0,0.0
2009-09-15,0.71,0.74,0.71,0.73,39804,0,0.0
2009-09-16,0.73,0.74,0.72,0.73,47874,0,0.0
2009-09-17,0.73,0.75,0.74,0.75,44320,0,0.0
2009-09-24,0.75,0.78,0.78,0.78,80765,0,0.0
2009-09-28,0.81,0.85,0.81,0.85,208122,0,0.0
2009-09-29,0.85,0.87,0.84,0.84,88775,0,0.0
2009-09-30,0.84,0.84,0.82,0.83,49628,0,0.0
2009-10-01,0.83,0.82,0.79,0.79,112975,0,0.0
2009-10-05,0.82,0.82,0.81,0.82,22593,0,0.0
2009-10-06,0.82,0.85,0.82,0.85,70394,0,0.0
2009-10-07,0.85,0.87,0.84,0.85,76974,0,0.0
2009-10-08,0.85,0.86,0.83,0.84,61570,0,0.0
2009-10-12,0.83,0.83,0.82,0.83,20940,0,0.0
2009-10-13,0.83,0.83,0.82,0.82,8943,0,0.0
2009-10-14,0.82,0.84,0.82,0.84,24006,0,0.0
2009-10-15,0.84,0.85,0.83,0.83,53530,0,0.0
2009-12-03,0.83,0.57,0.56,0.57,3293,0,0.0
2009-12-16,0.57,0.45,0.45,0.45,200,0,0.0
2009-12-17,0.45,0.47,0.47,0.47,20,0,0.0
2009-12-22,0.47,0.53,0.51,0.53,121607,0,0.0
2009-12-28,0.53,0.61,0.61,0.61,1564,0,0.0
2009-12-29,0.61,0.64,0.64,0.64,327,0,0.0
2009-12-30,0.64,0.67,0.67,0.67,8773,0,0.0
2010-01-04,0.67,0.9,0.73,0.73,1547,0,0.0
2010-01-05,0.73,0.76,0.74,0.76,141698,0,0.0
2010-01-06,0.76,0.79,0.73,0.79,26949,0,0.0
2010-01-07,0.79,0.8,0.77,0.77,22913,0,0.0
2010-01-12,0.78,0.78,0.77,0.78,7801,0,0.0
2010-01-13,0.78,0.79,0.77,0.79,54267,0,0.0
2010-01-14,0.79,0.8,0.77,0.8,371577,0,0.0
2010-01-19,0.88,0.9,0.86,0.86,11793,0,0.0
2010-01-21,0.85,0.87,0.84,0.85,13044,0,0.0
2010-01-26,0.84,0.84,0.81,0.84,3686,0,0.0
2010-01-27,0.84,0.85,0.84,0.85,3750,0,0.0
2010-01-28,0.85,0.88,0.84,0.85,35968,0,0.0
2010-02-01,0.88,0.91,0.86,0.86,21389,0,0.0
