Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-05-13,10.43,10.52,10.24,10.34,9338300,0.0,0
1992-05-14,10.43,10.43,9.97,10.34,3385900,0.0,0
1992-05-15,10.43,10.71,10.34,10.71,348900,0.0,0
1992-05-18,10.71,10.71,10.52,10.71,195400,0.0,0
1992-05-19,10.71,10.71,10.43,10.52,252600,0.0,0
1992-05-20,10.52,10.89,10.52,10.71,233400,0.0,0
1992-05-21,10.8,10.89,10.71,10.8,238500,0.0,0
1992-05-22,10.89,10.89,10.61,10.71,202300,0.0,0
1992-05-26,10.71,10.89,10.71,10.71,126900,0.0,0
1992-05-27,10.8,10.8,10.43,10.71,131000,0.0,0
1992-05-28,10.43,10.71,10.43,10.43,40300,0.0,0
1992-05-29,10.61,10.61,10.43,10.61,298300,0.0,0
1992-06-01,10.52,10.71,10.52,10.71,220500,0.0,0
1992-06-02,10.71,10.71,10.52,10.52,184200,0.0,0
1992-06-03,10.52,10.52,10.15,10.15,83100,0.0,0
1992-06-04,10.24,10.24,10.06,10.24,92600,0.0,0
1992-06-05,10.06,10.43,10.06,10.43,37800,0.0,0
1992-06-08,10.43,10.98,10.43,10.98,119300,0.0,0
1992-06-09,10.89,10.98,10.24,10.34,209600,0.0,0
1992-06-10,10.52,10.52,10.24,10.24,31100,0.0,0
1992-06-11,10.15,10.24,9.87,9.97,105700,0.0,0
1992-06-12,10.15,10.15,9.87,9.87,75100,0.0,0
1992-06-15,9.87,10.06,9.78,9.78,24300,0.0,0
1992-06-16,9.87,9.87,8.77,8.86,98100,0.0,0
1992-06-17,9.04,9.04,8.77,8.86,211700,0.0,0
1992-06-18,8.86,8.95,8.77,8.77,320100,0.0,0
1992-06-19,8.86,8.86,7.75,7.84,629300,0.0,0
1992-06-22,7.75,7.84,7.57,7.75,317100,0.0,0
1992-06-23,7.75,7.84,7.57,7.57,748600,0.0,0
1992-06-24,7.57,7.75,7.29,7.38,619300,0.0,0
1992-06-25,7.38,7.38,6.55,6.92,1871600,0.0,0
1992-06-26,7.01,7.38,6.92,7.38,297100,0.0,0
1992-06-29,7.29,8.12,7.29,8.12,1197700,0.0,0
1992-06-30,8.31,8.58,8.12,8.58,448600,0.0,0
1992-07-01,8.58,8.95,8.4,8.86,332000,0.0,0
1992-07-02,8.86,8.86,8.58,8.67,32900,0.0,0
1992-07-06,8.4,8.67,7.94,8.21,460700,0.0,0
1992-07-07,8.21,8.21,7.84,7.94,158800,0.0,0
1992-07-08,7.84,7.84,7.66,7.75,33500,0.0,0
1992-07-09,7.84,8.21,7.66,8.12,204000,0.0,0
1992-07-10,8.21,8.58,8.03,8.49,97500,0.0,0
1992-07-13,8.67,8.67,8.4,8.58,50100,0.0,0
1992-07-14,8.58,8.67,8.49,8.49,89400,0.0,0
1992-07-15,8.86,9.14,8.86,8.86,127300,0.0,0
1992-07-16,8.86,8.86,8.58,8.58,51800,0.0,0
1992-07-17,8.77,8.77,8.21,8.31,78400,0.0,0
1992-07-20,8.21,8.21,7.84,8.21,70500,0.0,0
1992-07-21,8.31,8.31,7.94,8.12,147000,0.0,0
1992-07-22,8.12,8.12,7.84,8.03,623700,0.0,0
1992-07-23,8.12,8.21,7.94,8.12,49600,0.0,0
1992-07-24,8.21,8.21,7.94,7.94,196100,0.0,0
1992-07-27,7.94,8.12,7.94,8.12,7100,0.0,0
1992-07-28,8.12,8.31,7.94,8.12,177500,0.0,0
1992-07-29,8.03,8.4,8.03,8.4,35300,0.0,0
1992-07-30,8.22,8.59,8.22,8.5,82800,0.01,0
1992-07-31,8.41,8.68,8.41,8.68,249200,0.0,0
1992-08-03,8.5,8.59,8.5,8.5,8800,0.0,0
1992-08-04,8.59,8.68,8.5,8.5,17000,0.0,0
1992-08-05,8.5,8.68,8.5,8.5,19100,0.0,0
1992-08-06,8.68,8.77,8.5,8.77,230500,0.0,0
1992-08-07,8.68,8.96,8.5,8.77,173100,0.0,0
1992-08-10,8.68,8.96,8.59,8.59,78900,0.0,0
1992-08-11,8.77,8.77,8.5,8.77,39900,0.0,0
1992-08-12,8.5,8.77,8.5,8.5,15800,0.0,0
1992-08-13,8.68,8.77,8.5,8.68,107200,0.0,0
1992-08-14,8.5,8.68,8.31,8.5,104500,0.0,0
1992-08-17,8.5,8.5,8.31,8.31,26800,0.0,0
1992-08-18,8.5,8.59,8.31,8.59,103400,0.0,0
1992-08-19,8.41,8.59,8.31,8.31,18400,0.0,0
1992-08-20,8.5,8.5,8.13,8.13,91800,0.0,0
1992-08-21,8.22,8.31,7.94,7.94,73700,0.0,0
1992-08-24,8.04,8.04,7.67,7.94,32600,0.0,0
1992-08-25,7.94,7.94,7.67,7.85,22200,0.0,0
1992-08-26,7.76,7.94,7.76,7.94,30300,0.0,0
1992-08-27,7.94,8.13,7.85,8.13,14100,0.0,0
1992-08-28,8.13,8.22,7.85,8.13,74800,0.0,0
1992-08-31,8.22,8.22,8.04,8.04,49200,0.0,0
1992-09-01,8.13,8.22,8.04,8.22,126900,0.0,0
1992-09-02,8.22,8.22,8.04,8.22,14600,0.0,0
1992-09-03,8.22,8.22,8.04,8.04,5600,0.0,0
1992-09-04,8.04,8.04,8.04,8.04,200,0.0,0
1992-09-08,8.04,8.22,8.04,8.04,17700,0.0,0
1992-09-09,8.13,8.13,7.85,7.85,19800,0.0,0
1992-09-10,8.13,8.13,7.76,7.76,5400,0.0,0
1992-09-11,8.04,8.13,7.67,7.76,99700,0.0,0
1992-09-14,7.76,7.76,7.3,7.67,152500,0.0,0
1992-09-15,7.76,8.13,7.76,8.13,120000,0.0,0
1992-09-16,8.13,8.13,8.13,8.13,2200,0.0,0
1992-09-17,8.13,8.68,8.13,8.59,122500,0.0,0
1992-09-18,8.31,8.59,8.13,8.13,82100,0.0,0
1992-09-21,8.13,8.31,8.04,8.13,55100,0.0,0
1992-09-22,8.04,8.13,7.85,7.94,111600,0.0,0
1992-09-23,7.76,7.94,7.76,7.85,13000,0.0,0
1992-09-24,7.94,8.31,7.76,8.22,60100,0.0,0
1992-09-25,8.41,8.41,8.04,8.04,22200,0.0,0
1992-09-28,8.04,8.22,8.04,8.13,20400,0.0,0
1992-09-29,8.13,8.41,8.13,8.41,95200,0.0,0
1992-09-30,8.41,8.41,8.04,8.22,26200,0.0,0
1992-10-01,8.22,8.22,7.94,8.04,301700,0.0,0
1992-10-02,8.04,8.13,8.04,8.13,1700,0.0,0
1992-10-05,8.04,8.04,7.85,8.04,101800,0.0,0
1992-10-06,7.85,7.94,7.85,7.85,63900,0.0,0
1992-10-07,8.04,8.04,7.85,7.85,45900,0.0,0
1992-10-08,7.94,7.94,7.85,7.94,113100,0.0,0
1992-10-09,7.94,7.94,7.85,7.85,7000,0.0,0
1992-10-12,7.76,7.94,7.76,7.94,600,0.0,0
1992-10-13,7.94,7.94,7.57,7.76,292800,0.0,0
1992-10-14,7.67,7.94,7.67,7.76,21700,0.0,0
1992-10-15,7.76,7.94,7.76,7.94,137600,0.0,0
1992-10-16,8.04,8.31,7.94,8.04,138000,0.0,0
1992-10-19,8.04,8.04,7.76,7.76,105800,0.0,0
1992-10-20,7.85,8.41,7.85,8.22,487300,0.0,0
1992-10-21,8.5,8.87,8.22,8.77,142200,0.0,0
1992-10-22,9.05,9.33,9.05,9.14,187100,0.0,0
1992-10-23,9.42,9.79,9.14,9.7,460600,0.0,0
1992-10-26,9.61,9.88,9.61,9.88,74800,0.0,0
1992-10-27,9.7,9.79,9.61,9.79,27900,0.0,0
1992-10-28,9.61,9.61,9.24,9.42,60700,0.0,0
1992-10-29,9.52,9.61,9.43,9.52,45400,0.01,0
1992-10-30,9.61,9.71,9.43,9.43,20300,0.0,0
1992-11-02,9.71,10.08,9.61,10.08,53600,0.0,0
1992-11-03,10.08,10.35,9.98,10.08,76000,0.0,0
1992-11-04,10.17,10.26,9.98,10.26,87200,0.0,0
1992-11-05,10.08,10.26,10.08,10.26,77600,0.0,0
1992-11-06,10.26,10.35,9.98,9.98,60000,0.0,0
1992-11-09,10.08,10.08,9.61,9.89,145900,0.0,0
1992-11-10,9.89,10.08,9.71,10.08,184800,0.0,0
1992-11-11,9.98,10.35,9.89,10.26,244300,0.0,0
1992-11-12,10.35,10.54,10.17,10.35,312100,0.0,0
1992-11-13,10.45,11.37,10.35,11.19,980800,0.0,0
1992-11-16,11.19,11.28,10.72,10.72,642900,0.0,0
1992-11-17,10.91,10.91,10.54,10.91,48000,0.0,0
1992-11-18,10.72,11.0,10.72,10.91,22100,0.0,0
1992-11-19,11.0,11.09,10.82,10.82,34200,0.0,0
1992-11-20,11.0,11.19,10.91,11.09,172500,0.0,0
1992-11-23,11.19,11.37,11.0,11.19,438800,0.0,0
1992-11-24,11.28,11.74,11.09,11.37,217700,0.0,0
1992-11-25,11.55,12.02,11.55,11.83,584900,0.0,0
1992-11-27,11.92,12.29,11.83,12.2,118500,0.0,0
1992-11-30,12.29,12.39,12.2,12.2,168800,0.0,0
1992-12-01,12.57,12.66,12.29,12.57,182200,0.0,0
1992-12-02,11.83,12.11,11.55,11.83,182000,0.0,0
1992-12-03,11.65,12.11,11.55,11.74,217400,0.0,0
1992-12-04,11.55,11.74,11.55,11.74,148600,0.0,0
1992-12-07,11.55,11.74,11.46,11.55,58400,0.0,0
1992-12-08,11.46,11.74,11.46,11.74,261900,0.0,0
1992-12-09,11.55,11.74,11.37,11.37,88300,0.0,0
1992-12-10,11.65,11.65,11.37,11.55,28400,0.0,0
1992-12-11,11.65,11.65,11.0,11.0,46100,0.0,0
1992-12-14,11.28,11.28,10.91,11.0,80500,0.0,0
1992-12-15,11.09,11.09,10.72,10.82,125300,0.0,0
1992-12-16,10.91,10.91,10.72,10.82,21800,0.0,0
1992-12-17,10.72,10.91,10.72,10.91,156300,0.0,0
1992-12-18,10.91,10.91,10.82,10.82,120600,0.0,0
1992-12-21,10.91,10.91,10.82,10.82,222300,0.0,0
1992-12-22,10.91,10.91,10.72,10.82,72300,0.0,0
1992-12-23,10.82,10.82,10.63,10.82,178300,0.0,0
1992-12-24,10.82,10.82,10.82,10.82,14600,0.0,0
1992-12-28,10.82,11.0,10.82,10.82,231200,0.0,0
1992-12-29,11.0,11.09,10.82,11.09,134000,0.0,0
1992-12-30,11.09,11.19,11.0,11.0,125200,0.0,0
1992-12-31,11.09,11.19,10.91,11.19,341700,0.0,0
1993-01-04,11.0,11.28,11.0,11.09,106800,0.0,0
1993-01-05,11.28,11.37,11.19,11.28,215100,0.0,0
1993-01-06,11.19,11.37,11.0,11.0,105800,0.0,0
1993-01-07,11.09,11.09,11.0,11.09,255000,0.0,0
1993-01-08,11.0,11.09,10.82,10.91,111900,0.0,0
1993-01-11,11.0,11.09,10.82,11.09,207500,0.0,0
1993-01-12,11.09,11.09,11.0,11.0,151600,0.0,0
1993-01-13,11.19,11.19,10.82,11.09,264900,0.0,0
1993-01-14,11.28,12.02,11.28,12.02,256100,0.0,0
1993-01-15,12.02,12.11,11.83,12.02,236300,0.0,0
1993-01-18,11.92,12.02,11.65,11.65,288300,0.0,0
1993-01-19,11.83,11.83,11.46,11.46,189800,0.0,0
1993-01-20,11.65,11.65,11.46,11.55,31500,0.0,0
1993-01-21,11.55,12.2,11.55,12.2,87400,0.0,0
1993-01-22,12.2,12.39,12.02,12.39,75900,0.0,0
1993-01-25,12.57,12.57,12.11,12.29,110200,0.0,0
1993-01-26,12.2,12.2,11.92,11.92,133800,0.0,0
1993-01-27,12.12,12.12,11.65,11.65,137100,0.01,0
1993-01-28,11.47,11.56,11.1,11.56,469000,0.0,0
