Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-06-19,14.5,14.88,14.09,14.11,1583100,0,0
2014-06-20,14.06,14.54,14.05,14.31,74500,0,0
2014-06-23,14.36,15.88,14.36,15.15,99600,0,0
2014-06-24,15.2,16.0,15.2,15.81,50200,0,0
2014-06-25,15.67,15.93,15.35,15.45,30900,0,0
2014-06-26,15.45,15.95,15.23,15.54,36200,0,0
2014-06-27,15.63,16.0,15.59,15.96,12000,0,0
2014-06-30,15.85,16.0,15.51,15.97,20200,0,0
2014-07-01,16.0,18.0,15.98,17.74,45500,0,0
2014-07-02,17.86,19.49,17.86,19.44,48300,0,0
2014-07-03,19.49,20.5,19.46,20.44,19500,0,0
2014-07-07,20.63,21.6,18.61,19.0,67700,0,0
2014-07-08,19.1,19.84,17.4,17.7,29000,0,0
2014-07-09,17.7,18.97,17.12,17.92,29800,0,0
2014-07-10,16.71,17.2,16.0,16.5,64600,0,0
2014-07-11,16.45,18.01,16.45,17.75,24400,0,0
2014-07-14,18.24,18.51,15.88,16.51,109200,0,0
2014-07-15,16.55,16.71,16.03,16.5,31500,0,0
2014-07-16,16.47,16.61,16.09,16.39,26300,0,0
2014-07-17,16.29,16.65,16.2,16.24,31200,0,0
2014-07-18,16.38,16.38,15.85,16.2,14800,0,0
2014-07-21,16.06,16.11,15.2,15.2,22500,0,0
2014-07-22,15.2,16.44,15.16,16.25,6700,0,0
2014-07-23,16.17,16.17,15.33,15.91,33700,0,0
2014-07-24,15.94,16.44,15.51,15.79,64200,0,0
2014-07-25,15.61,15.78,15.16,15.69,55400,0,0
2014-07-28,15.58,15.8,15.2,15.37,9500,0,0
2014-07-29,15.26,15.9,15.16,15.65,5800,0,0
2014-07-30,15.53,15.54,15.15,15.2,8100,0,0
2014-07-31,15.06,15.06,14.37,14.46,31500,0,0
2014-08-01,14.53,14.53,12.97,13.23,25500,0,0
2014-08-04,13.26,13.75,12.8,13.39,28600,0,0
2014-08-05,13.35,13.38,12.46,13.02,24000,0,0
2014-08-06,12.35,13.0,12.13,12.36,16900,0,0
2014-08-07,12.6,12.6,11.37,12.03,17200,0,0
2014-08-08,11.56,12.3,11.56,11.7,12800,0,0
2014-08-11,11.75,12.28,11.63,11.86,19600,0,0
2014-08-12,11.9,12.18,11.68,11.97,7700,0,0
2014-08-13,12.21,12.59,11.82,12.09,4900,0,0
2014-08-14,12.1,12.1,11.52,11.99,38700,0,0
2014-08-15,11.79,12.24,11.37,11.65,56600,0,0
2014-08-18,11.95,12.47,11.78,12.24,17300,0,0
2014-08-19,12.38,12.48,12.02,12.46,10300,0,0
2014-08-20,12.5,12.9,12.3,12.89,24600,0,0
2014-08-21,11.88,13.0,11.83,12.46,30700,0,0
2014-08-22,12.16,12.75,12.0,12.6,15500,0,0
2014-08-25,12.75,13.69,12.75,13.24,29700,0,0
2014-08-26,13.28,13.45,12.61,13.44,12200,0,0
2014-08-27,13.5,14.23,13.4,13.9,18400,0,0
2014-08-28,13.96,14.99,13.64,14.93,19500,0,0
2014-08-29,14.93,15.0,14.77,14.96,5800,0,0
2014-09-02,14.54,14.62,13.91,14.62,13800,0,0
2014-09-03,14.12,14.49,13.98,14.37,15300,0,0
2014-09-04,14.06,14.75,13.99,14.18,14600,0,0
2014-09-05,13.98,14.3,13.98,13.98,18700,0,0
2014-09-08,14.25,14.58,14.17,14.32,28600,0,0
2014-09-09,14.54,14.55,13.49,13.75,38700,0,0
2014-09-10,14.78,14.78,13.75,13.76,23200,0,0
2014-09-11,13.74,14.09,12.31,12.98,47900,0,0
2014-09-12,12.98,13.72,12.62,12.7,36100,0,0
2014-09-15,12.82,14.02,12.76,13.91,30900,0,0
2014-09-16,13.96,14.45,13.43,13.69,55300,0,0
2014-09-17,13.35,13.7,12.96,13.04,28900,0,0
2014-09-18,13.01,14.16,13.01,13.24,12800,0,0
2014-09-19,13.92,14.0,12.71,12.71,81600,0,0
2014-09-22,13.17,13.71,12.54,12.89,28600,0,0
2014-09-23,12.89,14.39,12.65,14.01,30600,0,0
2014-09-24,14.01,14.35,13.63,14.08,28700,0,0
2014-09-25,13.92,14.1,13.66,13.95,22200,0,0
2014-09-26,13.99,14.2,13.79,14.14,35000,0,0
2014-09-29,14.05,14.52,13.92,14.39,32200,0,0
2014-09-30,14.15,14.4,13.8,14.21,516200,0,0
2014-10-01,15.4,20.0,15.1,19.0,908500,0,0
2014-10-02,19.0,19.93,18.67,19.38,153200,0,0
2014-10-03,19.38,22.87,18.91,22.48,204800,0,0
2014-10-06,22.5,25.23,22.5,24.13,190400,0,0
2014-10-07,24.0,24.0,22.02,22.45,127000,0,0
2014-10-08,22.45,22.45,20.49,21.0,70300,0,0
2014-10-09,20.81,21.28,18.67,19.01,158800,0,0
2014-10-10,18.86,20.35,18.86,19.61,58600,0,0
2014-10-13,19.39,20.47,19.2,20.24,52800,0,0
2014-10-14,20.53,20.84,19.51,20.0,70300,0,0
2014-10-15,20.02,20.08,18.57,19.08,112600,0,0
2014-10-16,19.0,21.2,19.0,20.77,40600,0,0
2014-10-17,21.01,21.01,20.11,20.79,46700,0,0
2014-10-20,20.64,22.61,19.76,19.98,79300,0,0
2014-10-21,20.03,21.8,20.03,21.16,44700,0,0
2014-10-22,21.61,24.22,20.5,23.5,82000,0,0
2014-10-23,23.96,24.69,22.5,22.98,43900,0,0
2014-10-24,23.08,24.49,21.06,21.35,35800,0,0
2014-10-27,21.19,24.25,19.43,20.09,27100,0,0
2014-10-28,19.85,20.32,19.33,20.3,30700,0,0
2014-10-29,20.3,21.17,19.82,20.39,8500,0,0
2014-10-30,20.36,21.91,19.9,19.91,69700,0,0
2014-10-31,20.25,22.33,20.25,21.93,91900,0,0
2014-11-03,21.8,23.0,20.82,22.58,21000,0,0
2014-11-04,24.0,24.0,21.44,22.42,27300,0,0
2014-11-05,23.29,23.3,21.55,23.14,15500,0,0
2014-11-06,22.55,24.25,22.31,24.01,32000,0,0
2014-11-07,24.01,24.76,23.2,23.49,31300,0,0
2014-11-10,23.24,23.7,21.75,22.69,45800,0,0
2014-11-11,22.51,22.51,21.5,21.91,25500,0,0
2014-11-12,21.62,23.58,21.43,21.6,21500,0,0
2014-11-13,21.6,21.93,20.9,21.65,19600,0,0
2014-11-14,21.93,21.93,21.19,21.64,10100,0,0
2014-11-17,21.63,21.73,20.2,20.26,19700,0,0
2014-11-18,20.28,21.35,20.17,21.33,14600,0,0
