Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-12-13,4.04,4.32,3.98,4.15,164800,0.0,0
1985-12-16,4.15,4.21,3.98,4.04,191700,0.0,0
1985-12-17,3.98,3.98,3.65,3.65,126900,0.0,0
1985-12-18,3.65,3.76,3.49,3.65,143100,0.0,0
1985-12-19,3.65,3.76,3.65,3.76,62500,0.0,0
1985-12-20,3.76,3.76,3.65,3.65,39400,0.0,0
1985-12-23,3.65,3.98,3.65,3.87,84200,0.0,0
1985-12-24,3.93,4.59,3.93,4.48,145900,0.0,0
1985-12-26,4.48,5.42,4.48,5.26,210200,0.0,0
1985-12-27,5.26,5.42,4.76,4.98,60100,0.0,0
1985-12-30,4.87,4.87,4.65,4.76,31500,0.0,0
1985-12-31,4.76,4.76,4.65,4.76,12000,0.0,0
1986-01-02,4.76,4.76,4.65,4.76,24400,0.0,0
1986-01-03,4.65,4.65,4.43,4.54,25500,0.0,0
1986-01-06,4.54,4.54,4.21,4.48,16800,0.0,0
1986-01-07,4.48,4.76,4.43,4.65,24000,0.0,0
1986-01-08,4.65,4.87,4.59,4.59,13600,0.0,0
1986-01-09,4.48,4.48,4.26,4.26,9500,0.0,0
1986-01-10,4.32,4.54,4.32,4.37,13500,0.0,0
1986-01-13,4.37,4.48,4.26,4.37,7500,0.0,0
1986-01-14,4.37,4.48,4.37,4.48,30100,0.0,0
1986-01-15,4.54,4.92,4.54,4.92,31600,0.0,0
1986-01-16,4.98,5.2,4.98,5.09,39200,0.0,0
1986-01-17,4.98,4.98,4.87,4.98,10600,0.0,0
1986-01-20,4.98,4.98,4.87,4.98,13000,0.0,0
1986-01-21,4.98,4.98,4.81,4.87,21300,0.0,0
1986-01-22,4.87,4.98,4.87,4.98,26000,0.0,0
1986-01-23,4.98,5.09,4.92,5.09,26800,0.0,0
1986-01-24,5.09,5.09,4.98,5.04,27300,0.0,0
1986-01-27,5.04,5.2,4.98,5.15,6000,0.0,0
1986-01-28,5.15,5.2,4.76,4.76,17200,0.0,0
1986-01-29,4.76,4.92,4.76,4.76,4600,0.0,0
1986-01-30,4.76,4.87,4.65,4.81,9900,0.0,0
1986-01-31,4.76,4.76,4.59,4.59,2300,0.0,0
1986-02-03,4.59,4.7,4.59,4.65,11900,0.0,0
1986-02-04,4.65,4.7,4.59,4.65,5700,0.0,0
1986-02-05,4.65,4.65,4.59,4.65,4600,0.0,0
1986-02-06,4.65,4.65,4.37,4.37,4700,0.0,0
