Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-07-28,240.0,260.0,210.0,250.0,665400,0,0.0
2000-07-31,232.5,247.5,230.0,237.5,61900,0,0.0
2000-08-01,240.0,240.0,235.0,238.75,42300,0,0.0
2000-08-02,240.0,240.0,236.25,240.0,20200,0,0.0
2000-08-03,236.25,240.62,235.0,236.25,32200,0,0.0
2000-08-04,236.88,242.5,235.0,240.0,13400,0,0.0
2000-08-07,240.0,275.0,237.5,268.75,19400,0,0.0
2000-08-08,278.75,318.75,278.75,300.0,24400,0,0.0
2000-08-09,320.0,325.0,273.75,273.75,17400,0,0.0
2000-08-10,275.0,277.5,240.0,260.0,51100,0,0.0
2000-08-11,260.0,260.62,247.5,256.25,13800,0,0.0
2000-08-14,255.0,255.0,250.0,250.0,7500,0,0.0
2000-08-15,256.25,258.12,245.0,246.25,7100,0,0.0
2000-08-16,248.75,250.62,245.0,250.0,31600,0,0.0
2000-08-17,249.38,272.5,247.5,272.5,16200,0,0.0
2000-08-18,273.75,275.0,266.88,275.0,6900,0,0.0
2000-08-21,266.88,295.0,266.25,290.0,15300,0,0.0
2000-08-22,288.75,288.75,281.25,285.0,31100,0,0.0
2000-08-23,285.0,300.0,285.0,300.0,19600,0,0.0
2000-08-24,300.0,301.25,295.0,295.0,15000,0,0.0
2000-08-25,296.88,296.88,285.0,295.0,3200,0,0.0
2000-08-28,305.0,342.5,298.75,335.0,58200,0,0.0
2000-08-29,345.0,380.0,330.0,340.62,22300,0,0.0
2000-08-30,341.25,357.5,335.62,355.0,8900,0,0.0
2000-08-31,359.69,470.0,355.0,462.5,24800,0,0.0
2000-09-01,465.0,465.62,375.0,418.75,32300,0,0.0
2000-09-05,420.31,450.62,420.0,425.0,29900,0,0.0
2000-09-06,431.25,431.25,373.75,387.5,31900,0,0.0
2000-09-07,391.25,420.0,385.0,400.0,21100,0,0.0
2000-09-08,397.5,407.5,390.0,400.0,13100,0,0.0
2000-09-11,396.88,396.88,375.0,390.0,9100,0,0.0
2000-09-12,386.25,386.25,362.5,369.38,6900,0,0.0
2000-09-13,371.25,378.75,371.25,376.25,18200,0,0.0
2000-09-14,378.75,407.5,372.5,396.25,11500,0,0.0
2000-09-15,399.38,409.38,391.25,396.88,18500,0,0.0
2000-09-18,398.12,399.38,390.0,395.0,24400,0,0.0
2000-09-19,395.0,395.0,373.12,373.75,25700,0,0.0
2000-09-20,381.25,381.25,361.25,366.25,4000,0,0.0
2000-09-21,366.88,367.5,345.0,347.5,1600,0,0.0
2000-09-22,348.12,348.75,339.38,341.88,7800,0,0.0
2000-09-25,341.88,428.75,340.0,374.38,26800,0,0.0
2000-09-26,390.0,407.5,380.0,390.0,48300,0,0.0
2000-09-27,392.5,392.5,387.5,390.0,3800,0,0.0
2000-09-28,387.5,420.0,387.5,401.25,10300,0,0.0
2000-09-29,406.25,432.5,391.25,430.0,24500,0,0.0
2000-10-02,421.25,423.75,405.0,422.5,12400,0,0.0
2000-10-03,417.5,419.38,412.5,415.0,8600,0,0.0
2000-10-04,406.88,418.75,405.0,417.5,5100,0,0.0
2000-10-05,417.5,440.0,417.5,425.62,6500,0,0.0
2000-10-06,395.78,405.0,387.5,390.0,12200,0,0.0
2000-10-09,398.75,398.75,382.5,384.38,6400,0,0.0
2000-10-10,388.75,388.75,320.0,333.75,15800,0,0.0
2000-10-11,326.25,343.75,322.5,337.5,51500,0,0.0
2000-10-12,345.62,346.88,325.0,336.88,11300,0,0.0
2000-10-13,336.88,341.25,333.75,333.75,5500,0,0.0
2000-10-16,337.5,337.5,300.0,330.0,11800,0,0.0
2000-10-17,316.25,330.62,300.0,301.25,3400,0,0.0
2000-10-18,301.25,305.31,293.12,297.5,13700,0,0.0
2000-10-19,298.75,305.0,295.0,300.0,15200,0,0.0
2000-10-20,301.25,302.5,290.0,301.25,8200,0,0.0
2000-10-23,301.25,305.0,299.38,300.0,9900,0,0.0
2000-10-24,302.5,330.0,300.0,323.75,13100,0,0.0
2000-10-25,320.0,365.0,319.38,350.0,10600,0,0.0
2000-10-26,350.0,357.5,331.25,348.59,3200,0,0.0
2000-10-27,345.0,347.5,338.75,341.25,2100,0,0.0
2000-10-30,321.25,331.25,320.0,330.62,4300,0,0.0
2000-10-31,333.12,353.12,331.88,349.38,6200,0,0.0
2000-11-01,348.75,352.5,345.0,345.94,5000,0,0.0
2000-11-02,344.06,351.88,342.5,348.75,13200,0,0.0
2000-11-03,355.78,363.75,355.0,360.0,4400,0,0.0
2000-11-06,368.75,415.62,367.5,411.25,19200,0,0.0
2000-11-07,405.62,422.5,403.75,422.5,1800,0,0.0
2000-11-08,411.88,427.5,393.75,410.0,1700,0,0.0
2000-11-09,416.25,419.38,390.0,405.0,14500,0,0.0
2000-11-10,407.5,407.5,388.75,390.16,2200,0,0.0
2000-11-13,354.22,356.25,345.0,353.75,3600,0,0.0
2000-11-14,363.75,372.5,360.0,368.75,4100,0,0.0
2000-11-15,360.0,373.12,358.75,366.88,9800,0,0.0
2000-11-16,372.5,373.75,368.75,371.25,16500,0,0.0
2000-11-17,370.62,371.25,356.25,357.5,14100,0,0.0
2000-11-20,356.25,356.25,336.25,338.75,18700,0,0.0
2000-11-21,336.88,338.75,290.0,293.12,19300,0,0.0
2000-11-22,299.38,300.0,255.62,260.0,13500,0,0.0
2000-11-24,265.0,265.0,240.0,253.75,3100,0,0.0
2000-11-27,260.0,260.0,235.0,247.5,20900,0,0.0
2000-11-28,253.75,253.75,217.5,223.75,11700,0,0.0
2000-11-29,226.25,227.5,200.0,205.0,29500,0,0.0
2000-11-30,205.0,206.25,178.75,195.0,21500,0,0.0
2000-12-01,200.0,251.25,195.0,235.0,22200,0,0.0
2000-12-04,235.0,241.25,233.75,241.25,5100,0,0.0
2000-12-05,241.25,241.25,233.75,233.75,6100,0,0.0
2000-12-06,234.22,234.38,217.5,218.75,15800,0,0.0
2000-12-07,215.0,217.66,190.0,195.0,6900,0,0.0
2000-12-08,197.5,200.0,191.25,192.5,18100,0,0.0
2000-12-11,200.62,206.25,187.5,187.5,13100,0,0.0
2000-12-12,187.5,187.5,160.0,171.25,29700,0,0.0
2000-12-13,177.97,178.12,167.5,170.0,30900,0,0.0
2000-12-14,167.5,175.0,167.5,173.75,4600,0,0.0
2000-12-15,173.75,173.75,168.75,171.56,2000,0,0.0
2000-12-18,171.25,175.62,161.88,169.38,16900,0,0.0
2000-12-19,169.38,169.38,156.25,158.75,16100,0,0.0
2000-12-20,159.38,159.38,142.5,150.0,11300,0,0.0
2000-12-21,148.75,150.0,147.5,150.0,16000,0,0.0
2000-12-22,150.0,155.62,136.25,141.25,23900,0,0.0
2000-12-26,146.88,146.88,140.0,140.62,7600,0,0.0
2000-12-27,146.25,146.25,140.0,140.62,33000,0,0.0
2000-12-28,140.0,170.0,140.0,148.12,11100,0,0.0
2000-12-29,150.62,158.75,147.5,155.0,19900,0,0.0
2001-01-02,158.12,158.12,141.25,141.25,9700,0,0.0
2001-01-03,138.12,138.75,120.0,126.25,30700,0,0.0
2001-01-04,133.59,133.75,125.62,128.75,42700,0,0.0
2001-01-05,136.88,140.0,127.5,131.25,54900,0,0.0
2001-01-08,138.75,140.0,116.88,117.5,34800,0,0.0
2001-01-09,118.12,130.0,116.25,118.12,23000,0,0.0
2001-01-10,115.62,140.0,115.62,123.75,32100,0,0.0
2001-01-11,129.22,140.0,128.75,140.0,3900,0,0.0
2001-01-12,135.0,140.0,126.25,133.75,4000,0,0.0
2001-01-16,135.62,170.62,135.0,160.0,42600,0,0.0
2001-01-17,160.0,166.88,157.03,160.0,15700,0,0.0
2001-01-18,161.25,163.75,148.75,161.25,31600,0,0.0
2001-01-19,165.47,167.5,161.88,163.75,24700,0,0.0
2001-01-22,167.5,168.12,158.75,159.38,18700,0,0.0
2001-01-23,160.62,170.0,153.12,161.25,17300,0,0.0
2001-01-24,160.0,198.75,157.5,184.38,135300,0,0.0
2001-01-25,190.62,214.38,187.5,190.0,21900,0,0.0
2001-01-26,192.5,221.88,191.25,218.75,28300,0,0.0
2001-01-29,214.38,257.5,200.0,248.75,14900,0,0.0
2001-01-30,256.25,271.25,219.38,240.0,26900,0,0.0
2001-01-31,247.5,257.5,238.12,239.38,13700,0,0.0
2001-02-01,237.66,244.38,235.0,244.38,21600,0,0.0
2001-02-02,238.75,240.0,228.75,232.5,14200,0,0.0
2001-02-05,233.75,233.75,228.75,230.62,12800,0,0.0
2001-02-06,230.62,243.75,227.5,241.25,21000,0,0.0
2001-02-07,238.91,251.25,238.75,243.75,10000,0,0.0
2001-02-08,239.38,257.5,238.75,253.12,10400,0,0.0
2001-02-09,250.62,250.62,236.88,238.12,8800,0,0.0
2001-02-12,238.75,240.0,237.5,238.75,5200,0,0.0
2001-02-13,240.0,258.75,238.75,240.0,10400,0,0.0
2001-02-14,240.0,245.0,237.5,244.38,18500,0,0.0
2001-02-15,243.75,243.75,235.62,236.25,26900,0,0.0
2001-02-16,236.88,238.75,213.75,237.5,6500,0,0.0
2001-02-20,237.5,237.5,218.75,225.0,6500,0,0.0
2001-02-21,223.75,228.75,221.25,228.75,9200,0,0.0
2001-02-22,226.25,226.25,221.88,225.62,13000,0,0.0
2001-02-23,210.0,222.5,208.75,220.0,9400,0,0.0
2001-02-26,222.5,230.0,220.0,230.0,3100,0,0.0
2001-02-27,231.09,231.09,223.75,227.5,1000,0,0.0
2001-02-28,227.5,227.5,223.75,223.75,2100,0,0.0
2001-03-01,223.12,234.38,222.5,230.0,4700,0,0.0
2001-03-02,231.88,246.88,230.0,242.5,1900,0,0.0
2001-03-05,248.75,248.75,243.75,246.25,5900,0,0.0
2001-03-06,248.75,250.0,241.25,245.62,2200,0,0.0
2001-03-07,242.5,245.0,241.25,241.25,25700,0,0.0
2001-03-08,240.0,241.88,233.75,235.0,21100,0,0.0
2001-03-09,236.88,236.88,225.0,226.25,2500,0,0.0
2001-03-12,226.25,226.88,213.75,215.62,6600,0,0.0
2001-03-13,213.75,215.0,202.5,202.5,8400,0,0.0
2001-03-14,195.0,195.16,177.66,181.25,46200,0,0.0
2001-03-15,181.88,183.75,175.62,181.25,38800,0,0.0
2001-03-16,182.5,182.5,180.0,180.62,700,0,0.0
2001-03-19,179.38,185.0,178.75,185.0,6700,0,0.0
2001-03-20,185.16,210.0,185.0,195.0,2400,0,0.0
2001-03-21,191.25,200.0,187.5,189.38,7400,0,0.0
2001-03-22,185.0,197.5,177.5,197.5,26000,0,0.0
2001-03-23,197.5,200.0,190.62,200.0,900,0,0.0
2001-03-26,197.5,200.0,180.0,188.12,23000,0,0.0
2001-03-27,185.0,190.0,185.0,189.38,8300,0,0.0
2001-03-28,186.25,190.0,185.0,189.38,1600,0,0.0
2001-03-29,186.25,200.0,186.25,191.25,1300,0,0.0
2001-03-30,195.0,195.0,175.0,178.12,14800,0,0.0
2001-04-02,173.75,182.5,171.25,177.34,14800,0,0.0
2001-04-03,176.25,183.75,172.5,178.75,5300,0,0.0
2001-04-04,184.38,187.5,171.25,177.5,7500,0,0.0
2001-04-05,180.0,198.75,178.75,198.75,3700,0,0.0
2001-04-06,198.12,215.0,197.5,211.25,6900,0,0.0
2001-04-09,215.0,217.7,210.0,213.4,29900,0,0.0
2001-04-10,213.2,213.2,191.0,195.0,6200,0,0.0
2001-04-11,200.5,200.5,179.5,181.2,5400,0,0.0
2001-04-12,182.1,192.7,182.0,191.1,12700,0,0.0
2001-04-16,192.5,200.0,190.5,199.9,3800,0,0.0
2001-04-17,200.0,200.5,197.5,200.5,2400,0,0.0
2001-04-18,200.1,202.5,197.5,198.5,50100,0,0.0
2001-04-19,200.5,200.5,194.6,197.2,8600,0,0.0
2001-04-20,197.4,198.0,191.6,192.6,2800,0,0.0
2001-04-23,192.7,192.7,187.0,188.5,1700,0,0.0
2001-04-24,187.4,193.0,185.0,191.5,8100,0,0.0
2001-04-25,192.0,194.0,189.1,192.0,1800,0,0.0
2001-04-26,195.4,196.5,191.0,195.4,2900,0,0.0
2001-04-27,196.4,198.0,196.4,197.4,4100,0,0.0
2001-04-30,197.1,200.5,196.5,199.4,25500,0,0.0
2001-05-01,200.2,217.5,199.5,206.4,10800,0,0.0
2001-05-02,198.5,204.5,198.5,204.4,79200,0,0.0
2001-05-03,201.0,203.0,199.0,200.2,15200,0,0.0
2001-05-04,200.0,203.0,199.9,202.5,4100,0,0.0
2001-05-07,200.0,203.0,199.9,200.1,1600,0,0.0
2001-05-08,200.0,203.0,199.9,203.0,4000,0,0.0
2001-05-09,200.0,220.5,199.9,220.0,10900,0,0.0
2001-05-10,218.1,250.0,217.0,239.0,15000,0,0.0
2001-05-11,240.9,270.7,240.0,261.0,39000,0,0.0
2001-05-14,259.5,260.5,229.7,245.5,22000,0,0.0
2001-05-15,242.2,257.5,239.6,254.5,22300,0,0.0
2001-05-16,254.5,272.0,249.0,272.0,20400,0,0.0
2001-05-17,275.1,313.0,274.4,307.0,49300,0,0.0
2001-05-18,300.0,303.4,275.6,303.0,65400,0,0.0
2001-05-21,300.4,301.0,287.0,299.6,32100,0,0.0
2001-05-22,301.2,306.8,288.2,304.5,45500,0,0.0
2001-05-23,303.2,305.0,298.1,302.0,25400,0,0.0
2001-05-24,299.5,301.8,291.0,300.0,21400,0,0.0
2001-05-25,299.9,301.8,299.0,299.0,28000,0,0.0
2001-05-29,300.0,301.8,261.4,269.5,12500,0,0.0
2001-05-30,261.0,266.5,259.0,262.0,36100,0,0.0
