Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-31,23.06,24.4,19.32,21.8,2931670,0,0
2020-02-03,21.16,25.82,21.11,25.13,712540,0,0
2020-02-04,25.13,27.45,24.3,25.64,247218,0,0
2020-02-05,26.09,26.09,24.5,25.23,161300,0,0
2020-02-06,25.27,25.55,23.14,24.74,223136,0,0
2020-02-07,24.71,26.66,23.11,26.39,251166,0,0
2020-02-10,26.83,27.73,25.53,26.5,90931,0,0
2020-02-11,26.64,26.7,25.83,26.24,129233,0,0
2020-02-12,26.2,26.2,24.92,25.75,105038,0,0
2020-02-13,25.61,27.53,25.34,26.33,114020,0,0
2020-02-14,26.41,27.47,23.89,25.51,93375,0,0
2020-02-18,25.24,26.36,24.2,25.5,209540,0,0
2020-02-19,25.54,26.96,25.54,26.59,293338,0,0
2020-02-20,27.34,27.39,26.15,26.9,227011,0,0
2020-02-21,26.88,28.5,26.45,27.05,256473,0,0
2020-02-24,26.24,28.49,25.61,27.61,217973,0,0
2020-02-25,27.31,28.94,25.07,26.33,386281,0,0
2020-02-26,26.14,28.58,26.14,28.54,91161,0,0
2020-02-27,28.21,28.85,26.8,27.61,262593,0,0
2020-02-28,27.13,29.06,24.8,26.58,424053,0,0
2020-03-02,26.65,28.14,26.0,27.4,247779,0,0
2020-03-03,27.5,28.84,26.5,27.47,242820,0,0
2020-03-04,27.67,28.26,26.54,27.71,176241,0,0
2020-03-05,27.3,28.8,26.86,27.64,163511,0,0
2020-03-09,27.49,30.55,27.11,28.36,112303,0,0
