Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-04-28,1.79,1.79,1.79,1.79,100,0.0,0.0
1994-04-29,1.79,1.79,1.79,1.79,0,0.0,0.0
1994-05-02,1.79,1.79,1.79,1.79,0,0.0,0.0
1994-05-03,1.79,1.79,1.79,1.79,0,0.0,0.0
1994-05-04,1.79,1.79,1.79,1.79,0,0.0,0.0
1994-05-05,1.82,1.82,1.82,1.82,0,0.06667,0.0
1994-05-06,1.82,1.82,1.82,1.82,0,0.0,0.0
1994-05-09,1.82,1.82,1.82,1.82,0,0.0,0.0
1994-05-10,1.82,1.82,1.82,1.82,0,0.0,0.0
1994-05-11,1.82,1.82,1.82,1.82,0,0.0,0.0
1994-05-12,1.82,1.82,1.82,1.82,0,0.0,0.0
1994-05-13,1.82,1.82,1.82,1.82,0,0.0,0.0
1994-05-16,1.82,1.82,1.82,1.82,0,0.0,0.0
1994-05-17,1.82,1.82,1.82,1.82,0,0.0,0.0
1994-05-18,1.82,1.82,1.82,1.82,0,0.0,0.0
1994-05-19,1.82,1.82,1.82,1.82,0,0.0,0.0
1994-05-20,1.82,1.82,1.82,1.82,0,0.0,0.0
1994-05-23,1.9,1.9,1.9,1.9,100,0.0,0.0
1994-05-24,1.9,1.9,1.9,1.9,0,0.0,0.0
1994-05-25,1.9,1.9,1.9,1.9,0,0.0,0.0
1994-05-26,1.9,1.9,1.9,1.9,0,0.0,0.0
1994-05-27,1.9,1.9,1.9,1.9,0,0.0,0.0
1994-05-31,1.9,1.9,1.9,1.9,0,0.0,0.0
1994-06-01,2.02,2.02,2.02,2.02,600,0.0,0.0
1994-06-02,2.02,2.02,2.02,2.02,0,0.0,0.0
1994-06-03,2.02,2.02,2.02,2.02,0,0.0,0.0
1994-06-06,2.02,2.02,2.02,2.02,0,0.0,0.0
1994-06-07,2.02,2.02,2.02,2.02,0,0.0,0.0
1994-06-08,2.02,2.02,2.02,2.02,0,0.0,0.0
1994-06-09,2.02,2.02,2.02,2.02,0,0.0,0.0
