Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-05,10.16,10.2,10.12,10.17,1487900,0,0
2018-10-08,10.15,10.24,10.15,10.19,254700,0,0
2018-10-09,10.15,10.21,10.15,10.18,128800,0,0
2018-10-10,10.17,10.22,10.17,10.19,5600,0,0
2018-10-11,10.15,10.2,10.15,10.18,20900,0,0
2018-10-12,10.2,10.2,10.19,10.19,161700,0,0
2018-10-15,10.2,10.25,10.17,10.25,16300,0,0
2018-10-16,10.25,10.25,10.23,10.25,4800,0,0
2018-10-17,10.25,10.25,10.23,10.25,10000,0,0
2018-10-18,10.25,10.29,10.2,10.29,11700,0,0
2018-10-19,10.29,10.31,10.29,10.31,4400,0,0
2018-10-22,10.28,10.35,10.23,10.23,45100,0,0
2018-10-23,10.23,10.27,10.2,10.21,30800,0,0
2018-10-24,10.23,10.27,10.17,10.19,52600,0,0
2018-10-25,10.19,10.19,10.19,10.19,100,0,0
2018-10-26,10.2,10.32,10.2,10.32,1500,0,0
2018-10-29,10.31,10.31,10.31,10.31,300,0,0
2018-10-30,10.32,10.32,10.32,10.32,1100,0,0
2018-10-31,10.33,10.35,10.16,10.3,40100,0,0
2018-11-01,10.4,10.4,10.17,10.28,20100,0,0
2018-11-02,10.3,10.3,10.28,10.28,900,0,0
2018-11-05,10.27,10.27,10.27,10.27,6100,0,0
2018-11-06,10.28,10.3,10.14,10.22,20100,0,0
2018-11-07,10.2,10.25,10.16,10.25,30700,0,0
2018-11-08,10.29,10.4,10.23,10.27,38100,0,0
2018-11-09,10.27,10.32,10.17,10.26,41600,0,0
2018-11-12,10.35,10.35,10.3,10.3,20800,0,0
2018-11-13,10.44,10.44,10.25,10.32,2300,0,0
2018-11-14,10.22,10.34,10.21,10.34,1200,0,0
2018-11-15,10.38,10.38,10.38,10.38,2700,0,0
2018-11-16,10.39,10.4,10.36,10.36,3200,0,0
2018-11-19,10.36,10.36,10.36,10.36,300,0,0
2018-11-20,10.39,10.39,10.35,10.35,8100,0,0
2018-11-21,10.34,10.35,10.2,10.35,20100,0,0
2018-11-23,10.39,10.39,10.39,10.39,1000,0,0
2018-11-26,10.35,10.35,10.2,10.35,47500,0,0
2018-11-27,10.38,10.38,10.38,10.38,400,0,0
2018-11-28,10.37,10.37,10.37,10.37,300,0,0
2018-11-29,10.37,10.37,10.37,10.37,0,0,0
2018-11-30,10.32,10.38,10.26,10.37,8200,0,0
2018-12-03,10.37,10.37,10.37,10.37,0,0,0
2018-12-04,10.37,10.37,10.37,10.37,0,0,0
2018-12-06,10.37,10.37,10.37,10.37,0,0,0
2018-12-07,10.37,10.37,10.37,10.37,0,0,0
2018-12-10,10.37,10.37,10.37,10.37,0,0,0
2018-12-11,10.37,10.37,10.37,10.37,0,0,0
2018-12-12,10.37,10.37,10.37,10.37,100,0,0
2018-12-13,10.32,10.33,10.32,10.33,800,0,0
2018-12-14,10.29,10.32,10.29,10.29,600,0,0
2018-12-17,10.33,10.33,10.33,10.33,100,0,0
2018-12-18,10.33,10.33,10.33,10.33,1000,0,0
2018-12-19,10.32,10.32,10.31,10.31,1600,0,0
2018-12-20,10.32,10.32,10.2,10.29,18200,0,0
2018-12-21,10.29,10.36,10.29,10.35,79000,0,0
2018-12-24,10.33,10.33,10.33,10.33,200,0,0
2018-12-26,10.28,10.32,10.2,10.3,35200,0,0
2018-12-27,10.3,10.33,10.3,10.33,300,0,0
2018-12-28,10.21,10.34,10.21,10.33,7400,0,0
2018-12-31,10.34,10.34,10.34,10.34,800,0,0
2019-01-02,10.3,10.3,10.3,10.3,1300,0,0
2019-01-03,10.34,10.34,10.34,10.34,100,0,0
2019-01-04,10.3,10.3,10.3,10.3,500,0,0
2019-01-07,10.25,10.32,10.24,10.29,58800,0,0
2019-01-08,10.15,10.29,10.1,10.26,17700,0,0
2019-01-09,10.3,10.33,10.28,10.33,52200,0,0
2019-01-10,10.33,10.33,10.33,10.33,0,0,0
2019-01-11,10.33,10.33,10.33,10.33,0,0,0
2019-01-14,10.33,10.33,10.33,10.33,0,0,0
2019-01-15,10.34,10.34,10.34,10.34,1000,0,0
2019-01-16,10.34,10.34,10.34,10.34,0,0,0
2019-01-17,10.34,10.34,10.34,10.34,0,0,0
2019-01-18,10.34,10.34,10.34,10.34,0,0,0
2019-01-22,10.34,10.34,10.34,10.34,0,0,0
2019-01-23,10.34,10.45,10.34,10.42,30900,0,0
2019-01-24,10.45,10.45,10.45,10.45,1000,0,0
2019-01-25,10.45,10.45,10.45,10.45,0,0,0
2019-01-28,10.45,10.45,10.45,10.45,0,0,0
2019-01-29,10.37,10.42,10.37,10.39,20300,0,0
2019-01-30,10.48,10.48,10.42,10.42,300,0,0
2019-01-31,10.37,10.37,10.37,10.37,1000,0,0
2019-02-01,10.4,10.4,10.4,10.4,10600,0,0
2019-02-04,10.4,10.4,10.36,10.4,2300,0,0
2019-02-05,10.4,10.4,10.4,10.4,0,0,0
2019-02-06,10.4,10.4,10.4,10.4,0,0,0
2019-02-07,10.29,10.4,10.29,10.4,5700,0,0
2019-02-08,10.4,10.4,10.4,10.4,0,0,0
2019-02-11,10.4,10.4,10.38,10.38,700,0,0
2019-02-12,10.37,10.37,10.37,10.37,400,0,0
2019-02-13,10.36,10.36,10.36,10.36,300,0,0
2019-02-14,10.4,10.4,10.36,10.36,17700,0,0
2019-02-15,10.36,10.36,10.36,10.36,0,0,0
2019-02-19,10.36,10.39,10.23,10.39,2500,0,0
2019-02-20,10.34,10.4,10.25,10.4,49300,0,0
2019-02-21,10.4,10.4,10.39,10.39,2000,0,0
2019-02-22,10.4,10.4,10.27,10.39,16100,0,0
2019-02-25,10.39,10.39,10.39,10.39,0,0,0
2019-02-26,10.39,10.39,10.37,10.37,900,0,0
2019-02-27,10.39,10.4,10.39,10.4,6800,0,0
2019-02-28,10.31,10.4,10.3,10.37,10300,0,0
2019-03-01,10.37,10.4,10.37,10.4,2400,0,0
2019-03-04,10.36,10.36,10.36,10.36,200,0,0
2019-03-05,10.4,10.4,10.38,10.38,300,0,0
2019-03-06,10.39,10.39,10.34,10.36,23300,0,0
2019-03-07,10.36,10.36,9.95,10.35,11200,0,0
2019-03-08,10.31,10.39,10.29,10.35,23500,0,0
2019-03-11,10.35,10.35,10.35,10.35,0,0,0
2019-03-12,10.35,10.35,10.35,10.35,400,0,0
2019-03-13,10.21,10.39,10.2,10.37,4900,0,0
2019-03-14,10.37,10.37,10.37,10.37,0,0,0
2019-03-15,10.37,10.37,10.37,10.37,0,0,0
2019-03-18,10.37,10.37,10.37,10.37,0,0,0
2019-03-19,10.38,10.38,10.38,10.38,1000,0,0
2019-03-20,10.38,10.38,10.38,10.38,0,0,0
2019-03-21,10.36,10.36,10.35,10.35,1000,0,0
2019-03-22,10.35,10.35,10.34,10.34,1200,0,0
2019-03-25,10.3,10.36,10.3,10.36,4600,0,0
2019-03-26,10.36,10.36,10.36,10.36,100,0,0
2019-03-27,10.35,10.35,10.34,10.34,2300,0,0
2019-03-28,10.34,10.34,10.34,10.34,900,0,0
2019-03-29,10.33,10.35,10.33,10.35,4400,0,0
2019-04-01,10.35,10.44,10.35,10.44,58100,0,0
2019-04-02,10.45,10.45,10.45,10.45,1400,0,0
2019-04-03,10.43,10.43,10.43,10.43,2200,0,0
2019-04-04,10.42,10.42,10.42,10.42,1400,0,0
2019-04-05,10.45,10.47,10.45,10.47,1300,0,0
2019-04-08,10.47,10.47,10.47,10.47,1100,0,0
2019-04-09,10.47,10.47,10.47,10.47,1200,0,0
2019-04-10,10.47,10.47,10.47,10.47,0,0,0
2019-04-11,10.48,10.48,10.48,10.48,900,0,0
2019-04-12,10.48,10.48,10.48,10.48,400,0,0
2019-04-15,10.34,10.49,10.34,10.45,1900,0,0
2019-04-16,10.5,10.54,10.5,10.54,10700,0,0
2019-04-17,10.55,10.55,10.55,10.55,300,0,0
2019-04-18,10.54,10.54,10.51,10.54,1800,0,0
2019-04-22,10.54,10.54,10.54,10.54,1300,0,0
2019-04-23,10.54,10.54,10.54,10.54,0,0,0
2019-04-24,10.54,10.54,10.54,10.54,1100,0,0
2019-04-25,10.55,10.55,10.55,10.55,1300,0,0
2019-04-26,10.55,10.55,10.55,10.55,0,0,0
2019-04-29,10.55,10.55,10.55,10.55,1200,0,0
2019-04-30,10.55,10.55,10.55,10.55,2600,0,0
2019-05-01,10.55,10.55,10.55,10.55,700,0,0
2019-05-02,10.55,10.55,10.55,10.55,0,0,0
2019-05-03,10.55,10.6,10.54,10.6,21400,0,0
2019-05-06,10.6,10.6,10.6,10.6,0,0,0
2019-05-07,10.6,10.6,10.6,10.6,0,0,0
2019-05-08,10.47,10.64,10.47,10.64,85700,0,0
2019-05-09,10.64,10.64,10.64,10.64,0,0,0
2019-05-10,10.63,10.63,10.63,10.63,500,0,0
2019-05-13,10.63,10.63,10.63,10.63,81800,0,0
2019-05-14,10.58,10.64,10.56,10.56,82100,0,0
2019-05-15,10.56,10.56,10.56,10.56,0,0,0
2019-05-16,10.6,10.6,10.6,10.6,1000,0,0
2019-05-17,10.6,10.6,10.6,10.6,600,0,0
2019-05-20,10.59,10.6,10.45,10.57,6400,0,0
2019-05-21,10.51,10.65,10.51,10.65,24600,0,0
2019-05-22,10.65,10.65,10.65,10.65,0,0,0
2019-05-23,10.65,10.65,10.65,10.65,0,0,0
2019-05-24,10.65,10.65,10.65,10.65,0,0,0
2019-05-28,10.65,10.65,10.65,10.65,0,0,0
2019-05-29,10.65,10.65,10.65,10.65,0,0,0
2019-05-30,10.61,10.61,10.61,10.61,700,0,0
2019-05-31,10.64,10.64,10.64,10.64,200,0,0
2019-06-03,10.64,10.64,10.64,10.64,0,0,0
2019-06-04,10.63,11.12,10.63,10.65,136800,0,0
2019-06-05,10.65,10.65,10.65,10.65,0,0,0
2019-06-06,10.65,10.65,10.65,10.65,65000,0,0
2019-06-07,10.65,10.65,10.65,10.65,21200,0,0
2019-06-10,10.65,10.65,10.65,10.65,0,0,0
2019-06-11,10.65,10.65,10.65,10.65,100,0,0
2019-06-12,10.65,10.65,10.64,10.64,500,0,0
2019-06-13,10.7,10.7,10.68,10.68,25400,0,0
2019-06-14,10.67,10.68,10.58,10.68,800,0,0
2019-06-17,10.67,10.67,10.67,10.67,1000,0,0
2019-06-18,10.67,10.67,10.67,10.67,0,0,0
2019-06-19,10.67,10.67,10.67,10.67,0,0,0
2019-06-20,10.67,10.67,10.67,10.67,0,0,0
2019-06-21,10.67,10.67,10.67,10.67,0,0,0
2019-06-24,10.67,10.67,10.67,10.67,0,0,0
2019-06-25,10.67,10.67,10.67,10.67,0,0,0
2019-06-26,10.67,10.67,10.67,10.67,0,0,0
2019-06-27,10.67,10.67,10.67,10.67,0,0,0
2019-06-28,10.69,10.69,10.69,10.69,500,0,0
2019-07-01,10.67,10.67,10.67,10.67,200,0,0
2019-07-02,10.67,10.67,10.67,10.67,0,0,0
2019-07-03,10.67,10.67,10.67,10.67,0,0,0
2019-07-05,10.74,10.76,10.64,10.64,2200,0,0
2019-07-08,10.7,10.7,10.69,10.69,500,0,0
2019-07-09,10.66,10.66,10.64,10.65,4100,0,0
2019-07-10,10.65,10.65,10.65,10.65,100,0,0
2019-07-11,10.65,10.65,10.65,10.65,0,0,0
2019-07-12,10.65,10.67,10.64,10.66,1400,0,0
2019-07-15,10.66,10.66,10.66,10.66,0,0,0
2019-07-16,10.64,10.64,10.52,10.6,1900,0,0
2019-07-17,10.65,10.66,10.51,10.55,20300,0,0
2019-07-18,10.64,10.64,10.55,10.63,4000,0,0
2019-07-19,10.64,10.64,10.56,10.64,1600,0,0
2019-07-22,10.64,10.64,10.64,10.64,0,0,0
2019-07-23,10.64,10.64,10.64,10.64,0,0,0
2019-07-24,10.64,10.7,10.55,10.67,6000,0,0
2019-07-25,10.67,10.67,10.67,10.67,100,0,0
2019-07-26,10.67,10.67,10.67,10.67,0,0,0
2019-07-29,10.67,10.67,10.67,10.67,0,0,0
