Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-03-15,1.21,1.38,1.18,1.36,92646400,0.0,0.0
1995-03-16,1.49,1.54,1.43,1.49,22867200,0.0,0.0
1995-03-17,1.5,1.5,1.43,1.44,17163700,0.0,0.0
1995-03-20,1.43,1.44,1.4,1.43,7141300,0.0,0.0
1995-03-21,1.43,1.52,1.42,1.5,8198400,0.0,0.0
1995-03-22,1.51,1.8,1.51,1.68,18216500,0.0,0.0
1995-03-23,1.67,1.71,1.64,1.65,8507700,0.0,0.0
1995-03-24,1.66,1.67,1.62,1.65,2049000,0.0,0.0
1995-03-27,1.65,1.68,1.62,1.68,2526900,0.0,0.0
1995-03-28,1.68,1.8,1.68,1.73,13986100,0.0,0.0
1995-03-29,1.75,1.79,1.71,1.74,5116800,0.0,0.0
1995-03-30,1.72,1.72,1.59,1.64,3025000,0.0,0.0
1995-03-31,1.62,1.7,1.59,1.7,4603700,0.0,0.0
1995-04-03,1.69,1.69,1.64,1.66,3210600,0.0,0.0
1995-04-04,1.65,1.66,1.55,1.56,2643200,0.0,0.0
1995-04-05,1.56,1.56,1.51,1.52,4864000,0.0,0.0
1995-04-06,1.54,1.56,1.52,1.52,2638900,0.0,0.0
1995-04-07,1.52,1.55,1.5,1.52,1559400,0.0,0.0
1995-04-10,1.52,1.63,1.5,1.6,2995200,0.0,0.0
1995-04-11,1.6,1.62,1.59,1.6,2439400,0.0,0.0
1995-04-12,1.61,1.64,1.61,1.63,4126900,0.0,0.0
1995-04-13,1.65,1.65,1.59,1.6,781800,0.0,0.0
1995-04-17,1.59,1.62,1.55,1.55,1000500,0.0,0.0
1995-04-18,1.55,1.57,1.5,1.52,1351400,0.0,0.0
1995-04-19,1.52,1.53,1.5,1.5,1766400,0.0,0.0
1995-04-20,1.51,1.53,1.5,1.5,1704500,0.0,0.0
1995-04-21,1.52,1.53,1.52,1.53,652800,0.0,0.0
1995-04-24,1.53,1.74,1.53,1.72,5712000,0.0,0.0
1995-04-25,1.7,1.71,1.65,1.65,1277800,0.0,0.0
1995-04-26,1.65,1.73,1.65,1.71,2708200,0.0,0.0
1995-04-27,1.71,1.74,1.7,1.72,2250600,0.0,0.0
1995-04-28,1.71,1.71,1.63,1.65,1061300,0.0,0.0
1995-05-01,1.67,1.67,1.64,1.65,1065600,0.0,0.0
