Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-12-03,3.875,3.875,3.75,3.75,5600,0,0
1997-12-04,3.75,3.75,3.75,3.75,0,0,0
1997-12-05,3.75,3.75,3.75,3.75,0,0,0
1997-12-08,3.75,3.75,3.75,3.75,0,0,0
1997-12-09,3.75,3.75,3.75,3.75,5200,0,0
1997-12-10,3.75,3.875,3.75,3.875,41500,0,0
1997-12-11,3.75,3.75,3.75,3.75,14700,0,0
1997-12-12,3.75,3.75,3.625,3.625,12700,0,0
1997-12-15,3.625,3.6875,3.625,3.6875,6000,0,0
1997-12-16,3.5,3.5,3.375,3.375,7000,0,0
1997-12-17,3.125,3.5,3.125,3.125,900,0,0
1997-12-18,3.125,3.5,2.5,2.5,57000,0,0
1997-12-19,2.9375,2.9375,2.9375,2.9375,13700,0,0
1997-12-22,2.9375,3.0625,2.6875,2.8125,27400,0,0
1997-12-23,3.0,3.25,2.9375,3.25,36600,0,0
1997-12-24,3.5,4.0,3.5,3.75,17000,0,0
1997-12-26,3.875,3.875,3.6875,3.6875,1500,0,0
1997-12-29,3.6875,4.6875,3.6875,4.4375,32400,0,0
1997-12-30,4.5,4.625,3.9375,3.9375,45600,0,0
1997-12-31,4.0,4.25,3.9375,4.25,36900,0,0
1998-01-02,4.0,4.25,4.0,4.25,5400,0,0
1998-01-05,4.5,4.5,4.0,4.0,27000,0,0
1998-01-06,4.25,4.375,4.0,4.1875,36400,0,0
1998-01-07,4.375,4.375,4.0,4.125,100000,0,0
1998-01-08,4.375,4.5,4.25,4.25,33600,0,0
1998-01-09,4.375,5.875,4.375,5.25,54300,0,0
1998-01-12,5.0,5.375,4.625,4.875,37200,0,0
1998-01-13,4.75,4.75,4.5,4.75,35600,0,0
1998-01-14,4.75,5.0,4.75,5.0,29100,0,0
1998-01-15,5.0,5.0625,4.5,5.0,76300,0,0
1998-01-16,5.0,5.5,5.0,5.5,29200,0,0
1998-01-20,5.625,6.125,5.625,5.625,27400,0,0
1998-01-21,5.75,6.375,5.75,6.25,77700,0,0
1998-01-22,6.5,7.5,6.5,7.375,129500,0,0
1998-01-23,7.4375,7.875,6.875,7.4375,197500,0,0
1998-01-26,7.5,7.875,7.3125,7.375,73200,0,0
1998-01-27,7.5,7.75,7.375,7.625,34000,0,0
1998-01-28,7.75,8.6875,7.5,8.5,121600,0,0
1998-01-29,8.875,10.0,8.5,9.625,98700,0,0
1998-01-30,9.875,10.25,9.75,10.25,98500,0,0
1998-02-02,10.25,13.0,10.125,12.625,242300,0,0
1998-02-03,13.25,13.5,11.5625,11.75,207600,0,0
1998-02-04,11.875,11.875,10.625,11.25,113100,0,0
1998-02-05,11.5,11.75,11.375,11.75,51600,0,0
1998-02-06,12.0,12.25,11.375,12.0,47900,0,0
1998-02-09,11.625,12.375,11.625,12.0,29500,0,0
1998-02-10,11.75,12.625,11.75,12.625,22300,0,0
1998-02-11,12.5,13.5,12.5,13.25,87800,0,0
1998-02-12,13.0,13.75,13.0,13.375,26400,0,0
1998-02-13,13.625,14.125,13.5,13.875,45300,0,0
1998-02-17,14.0,14.125,13.75,14.0,66700,0,0
1998-02-18,14.25,14.25,11.5,11.875,34100,0,0
1998-02-19,11.9375,12.25,11.875,12.125,21400,0,0
1998-02-20,11.875,14.0,11.75,13.625,26800,0,0
1998-02-23,14.125,14.25,13.625,14.25,12200,0,0
1998-02-24,14.25,14.25,13.75,13.75,36700,0,0
1998-02-25,13.125,13.75,10.75,12.25,42800,0,0
1998-02-26,12.0,12.875,12.0,12.75,30700,0,0
1998-02-27,12.75,12.875,12.375,12.875,28600,0,0
1998-03-02,12.75,13.25,12.75,12.75,3600,0,0
1998-03-03,13.5,13.5,12.625,13.4375,28400,0,0
1998-03-04,13.625,13.875,12.5,12.875,47100,0,0
1998-03-05,12.875,12.875,12.375,12.5,27600,0,0
1998-03-06,12.5625,12.875,12.5,12.5625,5400,0,0
1998-03-09,13.0,13.0,11.75,12.375,25200,0,0
1998-03-10,12.375,12.375,11.25,11.375,11300,0,0
1998-03-11,12.0,12.0,11.125,11.625,3500,0,0
1998-03-12,11.9375,12.0,11.75,11.75,12300,0,0
1998-03-13,11.75,12.0,11.75,11.875,8900,0,0
1998-03-16,11.9375,11.9375,11.875,11.875,3700,0,0
1998-03-17,12.125,12.125,11.875,12.0,31300,0,0
1998-03-18,11.875,11.875,11.875,11.875,8000,0,0
1998-03-19,11.0,11.75,10.625,11.75,18100,0,0
1998-03-20,11.75,11.75,11.375,11.75,13900,0,0
1998-03-23,11.25,11.5,11.25,11.5,5200,0,0
1998-03-24,11.375,11.4375,11.375,11.4375,7300,0,0
1998-03-25,11.375,11.5,11.375,11.375,6000,0,0
1998-03-26,11.3125,11.375,10.625,10.625,13700,0,0
1998-03-27,10.5,10.5625,9.125,9.625,37100,0,0
1998-03-30,9.75,9.75,7.75,9.25,38600,0,0
1998-03-31,9.75,12.375,9.375,12.375,40000,0,0
1998-04-01,12.5,12.5,10.875,11.375,22300,0,0
