Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-06-18,0.0,3.05,2.82,2.93,1435200,0.0,0.0
1986-06-19,2.93,2.96,2.82,2.82,598800,0.0,0.0
1986-06-20,2.82,2.93,2.77,2.82,319600,0.0,0.0
1986-06-23,2.82,2.93,2.71,2.88,94400,0.0,0.0
1986-06-24,2.88,2.88,2.68,2.71,257600,0.0,0.0
1986-06-25,2.71,2.88,2.68,2.82,328000,0.0,0.0
1986-06-26,2.82,2.88,2.71,2.71,94000,0.0,0.0
1986-06-27,2.71,2.88,2.71,2.71,104400,0.0,0.0
1986-06-30,2.71,2.88,2.71,2.77,117600,0.0,0.0
1986-07-01,2.77,2.88,2.71,2.71,242800,0.0,0.0
1986-07-02,2.71,2.88,2.68,2.74,143600,0.0,0.0
1986-07-03,2.74,2.82,2.62,2.62,250000,0.0,0.0
1986-07-07,2.62,2.62,2.54,2.6,54000,0.0,0.0
1986-07-08,2.6,2.71,2.6,2.6,20800,0.0,0.0
1986-07-09,2.6,2.71,2.6,2.71,80000,0.0,0.0
1986-07-10,2.71,2.82,2.65,2.65,4000,0.0,0.0
1986-07-11,2.65,2.65,2.65,2.65,22800,0.0,0.0
1986-07-14,2.65,2.65,2.6,2.65,73600,0.0,0.0
1986-07-15,2.65,2.65,2.65,2.65,52800,0.0,0.0
1986-07-16,2.65,2.71,2.6,2.71,69200,0.0,0.0
1986-07-17,2.71,2.82,2.68,2.71,125200,0.0,0.0
1986-07-18,2.71,2.88,2.71,2.88,5200,0.0,0.0
1986-07-21,2.74,2.74,2.71,2.71,20000,0.0,0.0
1986-07-22,2.71,2.71,2.71,2.71,9600,0.0,0.0
1986-07-23,2.71,2.88,2.71,2.88,22000,0.0,0.0
1986-07-24,2.88,2.88,2.71,2.71,10400,0.0,0.0
1986-07-25,2.71,2.88,2.71,2.88,2400,0.0,0.0
1986-07-28,2.88,2.88,2.71,2.88,2000,0.0,0.0
1986-07-29,2.71,2.71,2.65,2.65,20800,0.0,0.0
1986-07-30,2.65,2.71,2.65,2.65,5200,0.0,0.0
1986-07-31,2.65,2.88,2.65,2.88,46400,0.0,0.0
1986-08-01,2.88,2.88,2.65,2.65,5600,0.0,0.0
1986-08-04,2.65,2.65,2.65,2.65,2400,0.0,0.0
1986-08-05,2.65,2.77,2.54,2.54,21600,0.0,0.0
1986-08-06,2.54,2.6,2.48,2.48,14000,0.0,0.0
1986-08-07,2.43,2.43,2.43,2.43,6000,0.0,0.0
1986-08-08,2.43,2.43,2.37,2.37,2800,0.0,0.0
1986-08-11,2.37,2.37,2.37,2.37,4400,0.0,0.0
1986-08-12,2.37,2.54,2.37,2.37,23600,0.0,0.0
1986-08-13,2.37,2.6,2.37,2.6,73200,0.0,0.0
1986-08-14,2.6,2.6,2.6,2.6,4000,0.0,0.0
1986-08-15,2.48,2.48,2.37,2.48,8400,0.0,0.0
1986-08-18,2.48,2.6,2.37,2.6,4800,0.0,0.0
1986-08-19,2.6,2.6,2.48,2.6,4400,0.0,0.0
1986-08-20,2.37,2.37,2.37,2.37,6800,0.0,0.0
1986-08-21,2.37,2.48,2.37,2.37,40800,0.0,0.0
1986-08-22,2.37,2.37,2.37,2.37,0,0.0,0.0
1986-08-25,2.37,2.37,2.37,2.37,0,0.0,0.0
1986-08-26,2.43,2.43,2.43,2.43,400,0.0,0.0
1986-08-27,2.43,2.48,2.43,2.48,3200,0.0,0.0
1986-08-28,2.48,2.54,2.48,2.54,21200,0.0,0.0
1986-08-29,2.54,2.71,2.48,2.48,14000,0.0,0.0
1986-09-02,2.48,2.71,2.48,2.54,91200,0.0,0.0
1986-09-03,2.48,2.48,2.48,2.48,2400,0.0,0.0
1986-09-04,2.48,2.65,2.48,2.65,8000,0.0,0.0
1986-09-05,2.6,2.6,2.48,2.48,3600,0.0,0.0
1986-09-08,2.48,2.6,2.48,2.48,5200,0.0,0.0
1986-09-09,2.48,2.71,2.48,2.71,6000,0.0,0.0
1986-09-10,2.62,2.62,2.48,2.62,40800,0.0,0.0
1986-09-11,2.6,2.6,2.48,2.48,51600,0.0,0.0
1986-09-12,2.48,2.71,2.48,2.48,8400,0.0,0.0
1986-09-15,2.48,2.48,2.48,2.48,4400,0.0,0.0
1986-09-16,2.48,2.65,2.43,2.43,5200,0.0,0.0
1986-09-17,2.43,2.43,2.43,2.43,2400,0.0,0.0
1986-09-18,2.43,2.43,2.43,2.43,400,0.0,0.0
1986-09-19,2.43,2.43,2.43,2.43,2800,0.0,0.0
1986-09-22,2.43,2.48,2.43,2.48,800,0.0,0.0
1986-09-23,2.48,2.62,2.43,2.43,101600,0.0,0.0
1986-09-24,2.48,2.65,2.48,2.48,6800,0.0,0.0
1986-09-25,2.65,2.65,2.65,2.65,10000,0.0,0.0
1986-09-26,2.65,2.71,2.48,2.71,27200,0.0,0.0
1986-09-29,2.71,2.71,2.54,2.54,18800,0.0,0.0
1986-09-30,2.54,2.71,2.54,2.71,12000,0.0,0.0
1986-10-01,2.65,2.65,2.54,2.65,280000,0.0,0.0
1986-10-02,2.65,2.77,2.54,2.77,110000,0.0,0.0
1986-10-03,2.77,2.77,2.77,2.77,400,0.0,0.0
1986-10-06,2.54,2.54,2.54,2.54,1600,0.0,0.0
1986-10-07,2.54,2.77,2.54,2.54,12000,0.0,0.0
1986-10-08,2.54,2.54,2.54,2.54,800,0.0,0.0
1986-10-09,2.54,2.77,2.54,2.54,2400,0.0,0.0
1986-10-10,2.54,2.54,2.54,2.54,800,0.0,0.0
1986-10-13,2.54,2.54,2.54,2.54,0,0.0,0.0
1986-10-14,2.54,2.54,2.54,2.54,2000,0.0,0.0
1986-10-15,2.54,2.71,2.54,2.54,5200,0.0,0.0
1986-10-16,2.54,2.54,2.54,2.54,3200,0.0,0.0
1986-10-17,2.54,2.77,2.54,2.68,10400,0.0,0.0
1986-10-20,2.68,2.77,2.6,2.77,5600,0.0,0.0
1986-10-21,2.77,2.77,2.54,2.71,5600,0.0,0.0
1986-10-22,2.71,2.71,2.68,2.68,10400,0.0,0.0
1986-10-23,2.68,2.77,2.54,2.77,282800,0.0,0.0
1986-10-24,2.54,2.54,2.54,2.54,400,0.0,0.0
1986-10-27,2.37,2.37,2.34,2.37,400000,0.0,0.0
1986-10-28,2.6,2.6,2.6,2.6,16000,0.0,0.0
1986-10-29,2.71,2.71,2.71,2.71,16000,0.0,0.0
1986-10-30,2.71,2.71,2.54,2.54,4800,0.0,0.0
1986-10-31,2.54,2.54,2.54,2.54,3200,0.0,0.0
1986-11-03,2.54,2.71,2.54,2.54,7200,0.0,0.0
1986-11-04,2.54,2.71,2.54,2.54,4400,0.0,0.0
1986-11-05,2.54,2.54,2.54,2.54,6400,0.0,0.0
1986-11-06,2.54,2.71,2.54,2.57,12800,0.0,0.0
1986-11-07,2.54,2.54,2.54,2.54,2000,0.0,0.0
1986-11-10,2.54,2.71,2.54,2.54,1200,0.0,0.0
1986-11-11,2.54,2.77,2.54,2.65,169600,0.0,0.0
1986-11-12,2.65,2.71,2.54,2.71,14400,0.0,0.0
1986-11-13,2.71,2.71,2.6,2.71,20400,0.0,0.0
1986-11-14,2.71,2.71,2.6,2.71,12800,0.0,0.0
1986-11-17,2.6,2.6,2.6,2.6,400,0.0,0.0
1986-11-18,2.6,2.82,2.6,2.82,13200,0.0,0.0
1986-11-19,2.82,2.82,2.82,2.82,4000,0.0,0.0
1986-11-20,2.82,2.82,2.71,2.71,11600,0.0,0.0
1986-11-21,2.82,2.82,2.82,2.82,800,0.0,0.0
1986-11-24,2.82,2.82,2.82,2.82,0,0.0,0.0
1986-11-25,2.65,2.65,2.65,2.65,1600,0.0,0.0
1986-11-26,2.77,2.82,2.77,2.82,3200,0.0,0.0
1986-11-28,2.82,2.82,2.82,2.82,0,0.0,0.0
1986-12-01,2.82,2.82,2.6,2.82,4000,0.0,0.0
1986-12-02,2.71,2.71,2.65,2.65,1200,0.0,0.0
1986-12-03,2.65,2.82,2.65,2.71,150800,0.0,0.0
1986-12-04,2.71,2.82,2.65,2.77,82800,0.0,0.0
1986-12-05,2.71,2.71,2.71,2.71,1200,0.0,0.0
1986-12-08,2.71,2.71,2.71,2.71,800,0.0,0.0
1986-12-09,2.71,2.88,2.71,2.71,201200,0.0,0.0
1986-12-10,2.71,2.71,2.71,2.71,11600,0.0,0.0
1986-12-11,2.71,2.88,2.71,2.71,26800,0.0,0.0
1986-12-12,2.71,2.71,2.71,2.71,12800,0.0,0.0
1986-12-15,2.71,2.71,2.71,2.71,1600,0.0,0.0
1986-12-16,2.71,2.71,2.71,2.71,1200,0.0,0.0
1986-12-17,2.71,2.82,2.71,2.71,56000,0.0,0.0
1986-12-18,2.71,2.71,2.71,2.71,0,0.0,0.0
1986-12-19,2.71,2.71,2.71,2.71,0,0.0,0.0
1986-12-22,2.71,2.71,2.71,2.71,400,0.0,0.0
1986-12-23,2.71,2.71,2.71,2.71,16000,0.0,0.0
1986-12-24,2.6,2.6,2.6,2.6,20000,0.0,0.0
1986-12-26,2.6,2.6,2.6,2.6,0,0.0,0.0
1986-12-29,2.6,2.6,2.6,2.6,16400,0.0,0.0
1986-12-30,2.6,2.6,2.6,2.6,5600,0.0,0.0
1986-12-31,2.54,2.54,2.37,2.37,27600,0.0,0.0
1987-01-02,2.37,2.54,2.37,2.54,1600,0.0,0.0
1987-01-05,2.43,2.43,2.37,2.37,4000,0.0,0.0
1987-01-06,2.54,2.6,2.54,2.6,13200,0.0,0.0
1987-01-07,2.43,2.43,2.43,2.43,4000,0.0,0.0
1987-01-08,2.43,2.54,2.43,2.54,9600,0.0,0.0
1987-01-09,2.54,2.6,2.48,2.6,6800,0.0,0.0
1987-01-12,2.6,2.6,2.48,2.6,2400,0.0,0.0
1987-01-13,2.6,2.6,2.48,2.6,14400,0.0,0.0
1987-01-14,2.48,2.48,2.48,2.48,400,0.0,0.0
1987-01-15,2.48,2.48,2.48,2.48,0,0.0,0.0
1987-01-16,2.54,2.65,2.54,2.54,3200,0.0,0.0
1987-01-19,2.54,2.65,2.54,2.6,12000,0.0,0.0
1987-01-20,2.6,2.77,2.6,2.6,8000,0.0,0.0
1987-01-21,2.6,2.6,2.6,2.6,5600,0.0,0.0
1987-01-22,2.6,2.77,2.6,2.6,47200,0.0,0.0
1987-01-23,2.6,2.6,2.6,2.6,2000,0.0,0.0
1987-01-26,2.6,2.71,2.6,2.71,15600,0.0,0.0
1987-01-27,2.71,2.71,2.71,2.71,0,0.0,0.0
1987-01-28,2.71,2.71,2.6,2.71,4000,0.0,0.0
1987-01-29,2.71,2.77,2.65,2.77,25600,0.0,0.0
1987-01-30,2.77,2.77,2.65,2.65,12400,0.0,0.0
1987-02-02,2.65,2.77,2.65,2.77,1600,0.0,0.0
1987-02-03,2.77,2.77,2.65,2.71,4000,0.0,0.0
1987-02-04,2.71,2.77,2.65,2.65,2400,0.0,0.0
1987-02-05,2.65,2.88,2.65,2.88,98400,0.0,0.0
1987-02-06,2.88,2.93,2.77,2.93,140400,0.0,0.0
1987-02-09,2.93,3.1,2.93,2.99,16000,0.0,0.0
1987-02-10,3.05,3.22,3.05,3.05,34400,0.0,0.0
1987-02-11,3.1,3.33,3.1,3.33,32800,0.0,0.0
1987-02-12,3.33,3.39,3.27,3.27,12800,0.0,0.0
1987-02-13,3.27,3.44,3.27,3.27,156800,0.0,0.0
1987-02-17,3.27,3.44,3.27,3.27,18000,0.0,0.0
1987-02-18,3.27,3.39,3.27,3.27,20400,0.0,0.0
1987-02-19,3.27,3.27,3.27,3.27,12000,0.0,0.0
1987-02-20,3.27,3.39,3.27,3.27,52400,0.0,0.0
1987-02-23,3.27,3.39,3.27,3.27,9200,0.0,0.0
1987-02-24,3.27,3.39,3.27,3.27,68000,0.0,0.0
1987-02-25,3.27,3.39,3.27,3.39,13200,0.0,0.0
1987-02-26,3.27,3.27,3.27,3.27,2800,0.0,0.0
1987-02-27,3.27,3.27,3.27,3.27,4000,0.0,0.0
1987-03-02,3.27,3.39,3.27,3.27,28400,0.0,0.0
1987-03-03,3.33,3.44,3.33,3.33,16800,0.0,0.0
1987-03-04,3.33,3.44,3.33,3.33,338000,0.0,0.0
1987-03-05,3.33,3.44,3.33,3.44,166800,0.0,0.0
1987-03-06,3.44,3.44,3.33,3.44,183600,0.0,0.0
1987-03-09,3.33,3.33,3.33,3.33,7200,0.0,0.0
1987-03-10,3.33,3.44,3.33,3.33,48400,0.0,0.0
1987-03-11,3.33,3.44,3.33,3.44,2400,0.0,0.0
1987-03-12,3.44,3.44,3.33,3.33,9600,0.0,0.0
1987-03-13,3.33,3.39,3.27,3.27,50800,0.0,0.0
1987-03-16,3.27,3.33,3.13,3.22,28800,0.0,0.0
1987-03-17,3.22,3.22,3.1,3.1,2800,0.0,0.0
1987-03-18,3.1,3.22,3.1,3.1,4000,0.0,0.0
1987-03-19,3.05,3.05,3.05,3.05,800,0.0,0.0
1987-03-20,3.1,3.22,3.1,3.22,66000,0.0,0.0
1987-03-23,3.22,3.22,3.13,3.13,6400,0.0,0.0
1987-03-24,3.22,3.22,3.22,3.22,2800,0.0,0.0
1987-03-25,3.13,3.13,3.13,3.13,800,0.0,0.0
1987-03-26,3.13,3.13,3.13,3.13,1200,0.0,0.0
1987-03-27,3.22,3.22,3.22,3.22,1600,0.0,0.0
1987-03-30,3.1,3.1,3.1,3.1,400,0.0,0.0
1987-03-31,3.1,3.22,3.1,3.22,24000,0.0,0.0
1987-04-01,3.22,3.22,3.1,3.1,55600,0.0,0.0
1987-04-02,3.1,3.22,3.1,3.22,165600,0.0,0.0
1987-04-03,3.22,3.78,3.22,3.75,150800,0.0,0.0
1987-04-06,3.75,3.78,3.67,3.67,59200,0.0,0.0
1987-04-07,3.67,3.78,3.64,3.73,42000,0.0,0.0
1987-04-08,3.73,3.75,3.61,3.75,20000,0.0,0.0
1987-04-09,3.75,3.78,3.64,3.73,23200,0.0,0.0
1987-04-10,3.73,3.95,3.73,3.78,85600,0.0,0.0
1987-04-13,3.78,3.95,3.78,3.78,51200,0.0,0.0
1987-04-14,3.78,3.95,3.78,3.95,97200,0.0,0.0
1987-04-15,3.95,3.98,3.78,3.95,145600,0.0,0.0
1987-04-16,3.95,4.06,3.95,3.95,12800,0.0,0.0
1987-04-20,4.01,4.29,4.01,4.18,29600,0.0,0.0
1987-04-21,4.18,4.29,4.12,4.29,26800,0.0,0.0
1987-04-22,4.29,4.29,4.12,4.29,64800,0.0,0.0
1987-04-23,4.29,4.29,4.12,4.18,120400,0.0,0.0
1987-04-24,4.18,4.29,4.12,4.12,21200,0.0,0.0
1987-04-27,4.12,4.23,4.12,4.23,37600,0.0,0.0
1987-04-28,4.23,4.23,4.18,4.18,14400,0.0,0.0
1987-04-29,4.18,4.29,4.18,4.23,132800,0.0,0.0
1987-04-30,4.23,4.35,4.23,4.35,64400,0.0,0.0
1987-05-01,4.35,4.35,4.29,4.29,88800,0.0,0.0
1987-05-04,4.29,4.35,4.23,4.35,7200,0.0,0.0
1987-05-05,4.35,4.35,4.23,4.35,34800,0.0,0.0
1987-05-06,4.29,4.29,4.23,4.23,6800,0.0,0.0
1987-05-07,4.23,4.35,4.23,4.23,85600,0.0,0.0
1987-05-08,4.29,4.35,4.29,4.29,11200,0.0,0.0
1987-05-11,4.29,4.35,4.23,4.35,1200,0.0,0.0
1987-05-12,4.29,4.29,4.18,4.18,35600,0.0,0.0
1987-05-13,4.18,4.29,4.12,4.12,94800,0.0,0.0
1987-05-14,4.12,4.23,4.12,4.12,12000,0.0,0.0
1987-05-15,4.12,4.29,4.12,4.18,7600,0.0,0.0
1987-05-18,4.18,4.23,4.12,4.23,12400,0.0,0.0
1987-05-19,4.23,4.23,4.12,4.12,490400,0.0,0.0
1987-05-20,4.12,4.29,4.12,4.29,33200,0.0,0.0
1987-05-21,4.29,4.29,4.12,4.12,135600,0.0,0.0
1987-05-22,4.12,4.26,4.12,4.12,87600,0.0,0.0
1987-05-26,4.12,4.29,4.12,4.29,1600,0.0,0.0
1987-05-27,4.06,4.06,4.06,4.06,2000,0.0,0.0
1987-05-28,4.18,4.18,4.18,4.18,400,0.0,0.0
1987-05-29,4.18,4.18,4.06,4.18,7200,0.0,0.0
1987-06-01,4.2,4.23,4.2,4.2,8000,0.0,0.0
1987-06-02,4.2,4.2,4.06,4.06,44000,0.0,0.0
1987-06-03,4.06,4.06,4.06,4.06,0,0.0,0.0
1987-06-04,4.06,4.18,4.06,4.18,52800,0.0,0.0
1987-06-05,4.18,4.23,4.06,4.23,2400,0.0,0.0
1987-06-08,4.06,4.06,4.06,4.06,400,0.0,0.0
1987-06-09,4.06,4.06,4.06,4.06,400,0.0,0.0
1987-06-10,4.06,4.06,4.06,4.06,800,0.0,0.0
1987-06-11,3.98,3.98,3.98,3.98,1200,0.0,0.0
1987-06-12,3.98,4.06,3.98,4.01,7600,0.0,0.0
1987-06-15,4.01,4.01,4.01,4.01,4400,0.0,0.0
1987-06-16,4.01,4.01,4.01,4.01,4800,0.0,0.0
1987-06-17,4.01,4.12,4.01,4.01,58000,0.0,0.0
1987-06-18,4.01,4.01,4.01,4.01,20800,0.0,0.0
1987-06-19,4.01,4.12,4.01,4.12,21200,0.0,0.0
1987-06-22,4.12,4.12,4.01,4.12,118000,0.0,0.0
1987-06-23,4.01,4.01,3.5,3.61,82400,0.0,0.0
1987-06-24,3.73,3.95,3.73,3.78,57600,0.0,0.0
1987-06-25,3.78,3.89,3.73,3.89,8000,0.0,0.0
1987-06-26,3.84,3.84,3.84,3.84,800,0.0,0.0
1987-06-29,3.84,4.01,3.84,3.89,18800,0.0,0.0
1987-06-30,3.89,3.89,3.89,3.89,3600,0.0,0.0
1987-07-01,3.89,3.89,3.89,3.89,2400,0.0,0.0
1987-07-02,3.89,3.89,3.89,3.89,0,0.0,0.0
1987-07-06,3.89,4.06,3.89,4.01,5200,0.0,0.0
1987-07-07,4.01,4.06,3.84,3.84,9200,0.0,0.0
1987-07-08,4.01,4.01,4.01,4.01,1200,0.0,0.0
1987-07-09,4.01,4.01,3.84,3.84,24800,0.0,0.0
1987-07-10,3.84,3.95,3.84,3.84,25200,0.0,0.0
1987-07-13,3.84,3.84,3.84,3.84,3600,0.0,0.0
1987-07-14,3.84,4.01,3.84,3.84,2800,0.0,0.0
1987-07-15,3.84,4.01,3.78,3.95,437600,0.0,0.0
1987-07-16,3.95,4.01,3.84,4.01,29600,0.0,0.0
1987-07-17,4.01,4.01,3.98,4.01,10000,0.0,0.0
1987-07-20,4.01,4.06,3.89,3.89,3600,0.0,0.0
1987-07-21,3.89,3.89,3.89,3.89,800,0.0,0.0
1987-07-22,3.89,3.89,3.89,3.89,8400,0.0,0.0
1987-07-23,3.89,3.92,3.84,3.84,32000,0.0,0.0
1987-07-24,3.89,4.01,3.89,3.95,21200,0.0,0.0
1987-07-27,3.95,4.01,3.87,3.95,46400,0.0,0.0
1987-07-28,3.95,4.01,3.89,4.01,5200,0.0,0.0
1987-07-29,4.01,4.01,4.01,4.01,3200,0.0,0.0
1987-07-30,4.01,4.18,4.01,4.06,34400,0.0,0.0
1987-07-31,4.18,4.35,4.18,4.23,28400,0.0,0.0
1987-08-03,4.23,4.35,4.18,4.35,7200,0.0,0.0
1987-08-04,4.35,4.35,4.18,4.35,1200,0.0,0.0
1987-08-05,4.18,4.18,4.18,4.18,400,0.0,0.0
1987-08-06,4.35,4.35,4.35,4.35,1200,0.0,0.0
1987-08-07,4.18,4.18,4.18,4.18,400,0.0,0.0
1987-08-10,4.18,4.4,4.18,4.23,105600,0.0,0.0
1987-08-11,4.29,4.46,4.29,4.32,19200,0.0,0.0
1987-08-12,4.32,4.32,4.32,4.32,0,0.0,0.0
1987-08-13,4.32,4.4,4.32,4.4,3600,0.0,0.0
1987-08-14,4.52,4.63,4.52,4.52,64000,0.0,0.0
1987-08-17,4.57,4.68,4.57,4.57,21200,0.0,0.0
1987-08-18,4.57,4.8,4.57,4.74,55600,0.0,0.0
1987-08-19,4.74,4.8,4.71,4.74,26000,0.0,0.0
1987-08-20,4.74,4.8,4.68,4.68,8000,0.0,0.0
1987-08-21,4.68,4.74,4.57,4.57,17200,0.0,0.0
1987-08-24,4.63,4.74,4.63,4.63,9600,0.0,0.0
1987-08-25,4.63,4.74,4.63,4.71,248400,0.0,0.0
1987-08-26,4.71,4.85,4.68,4.85,288000,0.0,0.0
1987-08-27,4.85,4.85,4.68,4.85,12800,0.0,0.0
1987-08-28,4.85,4.85,4.68,4.85,9600,0.0,0.0
1987-08-31,4.8,4.8,4.74,4.74,34400,0.0,0.0
1987-09-01,4.74,4.91,4.68,4.8,322400,0.0,0.0
1987-09-02,4.8,4.8,4.8,4.8,8800,0.0,0.0
1987-09-03,4.8,4.85,4.74,4.85,21600,0.0,0.0
1987-09-04,4.85,4.85,4.74,4.85,3600,0.0,0.0
