Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-04-07,86.67,91.67,80.83,83.33,440400,0,0.0
1992-04-08,81.67,83.33,76.67,78.33,82800,0,0.0
1992-04-09,81.67,81.67,76.67,81.67,26400,0,0.0
1992-04-10,81.67,81.67,78.33,78.33,16300,0,0.0
1992-04-13,81.67,81.67,78.33,81.67,1800,0,0.0
1992-04-14,81.67,88.33,78.33,88.33,48000,0,0.0
1992-04-15,93.33,95.0,88.33,90.0,24700,0,0.0
1992-04-16,90.0,93.33,88.33,88.33,11400,0,0.0
1992-04-20,93.33,93.33,83.33,84.17,9400,0,0.0
1992-04-21,86.67,86.67,80.0,83.33,13600,0,0.0
1992-04-22,80.0,85.0,80.0,85.0,2500,0,0.0
1992-04-23,83.33,86.67,83.33,86.67,2800,0,0.0
1992-04-24,86.67,86.67,83.33,86.67,1300,0,0.0
1992-04-27,86.67,86.67,83.33,86.67,5800,0,0.0
1992-04-28,86.67,86.67,77.5,77.5,10900,0,0.0
1992-04-29,77.5,80.0,76.67,78.33,21400,0,0.0
1992-04-30,76.67,85.0,76.67,81.67,10600,0,0.0
1992-05-01,85.0,86.67,81.67,84.17,4300,0,0.0
1992-05-04,86.67,86.67,83.33,85.0,2400,0,0.0
1992-05-05,85.0,86.67,83.33,86.67,3900,0,0.0
1992-05-06,86.67,86.67,83.33,86.67,1500,0,0.0
1992-05-07,86.67,86.67,83.33,85.0,1600,0,0.0
1992-05-08,83.33,86.67,83.33,85.0,1300,0,0.0
1992-05-11,86.67,86.67,83.33,83.33,7200,0,0.0
1992-05-12,85.0,86.67,80.83,80.83,12000,0,0.0
1992-05-13,80.0,85.0,80.0,80.0,4900,0,0.0
1992-05-14,80.0,85.0,80.0,82.5,3400,0,0.0
1992-05-15,81.67,83.33,80.0,81.67,2100,0,0.0
1992-05-18,83.33,86.67,83.33,85.0,1600,0,0.0
1992-05-19,81.67,86.67,81.67,83.33,2500,0,0.0
1992-05-20,86.67,86.67,80.0,80.0,1300,0,0.0
1992-05-21,85.0,85.0,80.0,85.0,1200,0,0.0
1992-05-22,85.0,85.0,81.67,85.0,900,0,0.0
1992-05-26,85.0,85.0,82.5,85.0,100,0,0.0
1992-05-27,85.0,85.0,80.0,85.0,3300,0,0.0
1992-05-28,81.67,85.0,78.33,80.0,6600,0,0.0
1992-05-29,78.33,81.67,73.33,75.0,24900,0,0.0
1992-06-01,76.67,78.33,76.67,78.33,5500,0,0.0
1992-06-02,78.33,80.0,78.33,80.0,100,0,0.0
1992-06-03,80.0,80.0,78.33,79.17,2500,0,0.0
1992-06-04,79.17,80.0,78.33,78.33,2200,0,0.0
1992-06-05,80.0,80.0,76.67,78.33,600,0,0.0
1992-06-08,78.33,78.33,73.33,76.67,18900,0,0.0
1992-06-09,73.33,73.33,70.0,70.0,3300,0,0.0
1992-06-10,71.67,71.67,58.33,61.67,10300,0,0.0
1992-06-11,61.67,61.67,50.0,53.33,18600,0,0.0
1992-06-12,54.17,61.67,53.33,61.67,21400,0,0.0
1992-06-15,63.33,65.0,61.67,65.0,8100,0,0.0
1992-06-16,65.0,65.0,63.33,65.0,1600,0,0.0
1992-06-17,65.0,65.0,61.67,62.5,23200,0,0.0
1992-06-18,61.67,65.0,60.0,60.0,700,0,0.0
1992-06-19,63.33,63.33,60.0,63.33,12700,0,0.0
1992-06-22,60.0,63.33,60.0,60.0,300,0,0.0
1992-06-23,63.33,63.33,63.33,63.33,0,0,0.0
1992-06-24,63.33,63.33,60.0,63.33,100,0,0.0
1992-06-25,63.33,68.33,63.33,65.0,2100,0,0.0
1992-06-26,68.33,68.33,63.33,65.0,1900,0,0.0
1992-06-29,63.33,68.33,63.33,68.33,100,0,0.0
1992-06-30,66.67,68.33,65.0,68.33,1800,0,0.0
1992-07-01,65.0,68.33,65.0,68.33,0,0,0.0
1992-07-02,68.33,73.33,65.0,71.67,2200,0,0.0
1992-07-06,73.33,81.67,71.67,81.67,3700,0,0.0
1992-07-07,81.67,85.0,70.0,70.0,14100,0,0.0
1992-07-08,73.33,73.33,70.0,70.0,0,0,0.0
1992-07-09,73.33,73.33,70.0,70.0,100,0,0.0
1992-07-10,70.83,70.83,70.0,70.0,400,0,0.0
1992-07-13,70.0,73.33,70.0,73.33,1000,0,0.0
1992-07-14,73.33,73.33,70.0,70.0,0,0,0.0
1992-07-15,71.67,73.33,71.67,73.33,1900,0,0.0
1992-07-16,75.0,75.0,70.0,75.0,100,0,0.0
1992-07-17,70.0,73.33,66.67,70.0,14200,0,0.0
1992-07-20,70.0,70.0,66.67,70.0,300,0,0.0
1992-07-21,70.0,71.67,70.0,71.67,1900,0,0.0
1992-07-22,68.33,71.67,68.33,71.67,1000,0,0.0
1992-07-23,71.67,76.67,71.67,73.33,2100,0,0.0
1992-07-24,72.5,76.67,71.67,75.0,3300,0,0.0
1992-07-27,76.67,76.67,71.67,73.33,1600,0,0.0
1992-07-28,75.0,75.0,68.33,68.33,1600,0,0.0
1992-07-29,73.33,83.33,71.67,80.0,9100,0,0.0
1992-07-30,80.0,83.33,80.0,80.0,1000,0,0.0
1992-07-31,80.0,86.67,80.0,84.17,3400,0,0.0
1992-08-03,81.67,83.33,78.33,83.33,4800,0,0.0
1992-08-04,85.0,86.67,83.33,86.67,63000,0,0.0
1992-08-05,83.33,90.0,83.33,86.67,7500,0,0.0
1992-08-06,88.33,88.33,86.67,86.67,1800,0,0.0
1992-08-07,90.0,90.0,86.67,90.0,700,0,0.0
1992-08-10,86.67,91.67,83.33,86.67,5100,0,0.0
1992-08-11,85.0,89.17,85.0,88.33,1600,0,0.0
1992-08-12,86.67,88.33,86.67,86.67,2100,0,0.0
1992-08-13,86.67,86.67,86.67,86.67,100,0,0.0
1992-08-14,90.0,90.0,80.0,85.0,4600,0,0.0
1992-08-17,85.0,85.0,81.67,85.0,100,0,0.0
1992-08-18,83.33,85.0,81.67,85.0,400,0,0.0
1992-08-19,85.0,85.0,81.67,81.67,900,0,0.0
1992-08-20,81.67,83.33,73.33,75.0,13900,0,0.0
1992-08-21,76.67,76.67,68.33,68.33,9600,0,0.0
1992-08-24,71.67,75.0,71.67,71.67,4300,0,0.0
1992-08-25,66.67,66.67,60.0,63.33,15400,0,0.0
1992-08-26,63.33,63.33,56.67,61.67,25000,0,0.0
1992-08-27,63.33,66.67,61.67,66.67,11700,0,0.0
1992-08-28,66.67,66.67,63.33,66.67,2400,0,0.0
1992-08-31,63.33,65.0,60.0,60.0,3600,0,0.0
1992-09-01,63.33,63.33,58.33,61.67,6000,0,0.0
1992-09-02,61.67,61.67,54.17,60.0,44500,0,0.0
1992-09-03,61.67,61.67,58.33,61.67,1600,0,0.0
1992-09-04,61.67,61.67,60.0,60.0,4800,0,0.0
1992-09-08,61.67,61.67,61.67,61.67,0,0,0.0
1992-09-09,61.67,61.67,60.0,61.67,1500,0,0.0
1992-09-10,60.0,61.67,60.0,61.67,4000,0,0.0
1992-09-11,61.67,61.67,60.0,61.67,600,0,0.0
1992-09-14,61.67,61.67,60.0,60.0,700,0,0.0
1992-09-15,61.67,61.67,60.0,60.83,700,0,0.0
1992-09-16,61.67,61.67,56.67,58.33,4800,0,0.0
1992-09-17,60.0,60.0,55.0,58.33,26500,0,0.0
1992-09-18,56.67,58.33,55.0,55.83,26100,0,0.0
1992-09-21,55.0,58.33,50.0,51.67,6400,0,0.0
1992-09-22,51.67,51.67,45.0,46.67,8200,0,0.0
1992-09-23,46.67,51.67,43.33,48.33,16800,0,0.0
1992-09-24,51.67,60.0,46.67,58.33,33000,0,0.0
